Relative Humidity and Temperature Data
TSI Model RHT3000
Date, Time, RH, Temp
04/12/2023, 10:47:51, 79.9, 22.7, 
04/12/2023, 10:47:52, 79.9, 22.7, 
04/12/2023, 10:47:54, 79.9, 22.7, 
04/12/2023, 10:47:55, 79.9, 22.7, 
04/12/2023, 10:47:56, 79.9, 22.7, 
04/12/2023, 10:47:57, 79.9, 22.7, 
04/12/2023, 10:47:58, 79.9, 22.7, 
04/12/2023, 10:47:59, 79.9, 22.7, 
04/12/2023, 10:48:00, 79.9, 22.7, 
04/12/2023, 10:48:01, 79.9, 22.7, 
04/12/2023, 10:48:02, 79.9, 22.7, 
04/12/2023, 10:48:03, 79.9, 22.7, 
04/12/2023, 10:48:04, 79.9, 22.7, 
04/12/2023, 10:48:05, 79.9, 22.7, 
04/12/2023, 10:48:06, 79.9, 22.7, 
04/12/2023, 10:48:07, 79.9, 22.7, 
04/12/2023, 10:48:08, 79.9, 22.7, 
04/12/2023, 10:48:09, 79.9, 22.7, 
04/12/2023, 10:48:10, 79.9, 22.7, 
04/12/2023, 10:48:11, 79.9, 22.7, 
04/12/2023, 10:48:12, 79.9, 22.7, 
04/12/2023, 10:48:13, 79.9, 22.7, 
04/12/2023, 10:48:14, 79.9, 22.7, 
04/12/2023, 10:48:15, 79.9, 22.7, 
04/12/2023, 10:48:16, 79.9, 22.7, 
04/12/2023, 10:48:17, 79.9, 22.7, 
04/12/2023, 10:48:18, 79.9, 22.7, 
04/12/2023, 10:48:19, 79.9, 22.7, 
04/12/2023, 10:48:20, 79.8, 22.7, 
04/12/2023, 10:48:21, 79.8, 22.7, 
04/12/2023, 10:48:22, 79.8, 22.7, 
04/12/2023, 10:48:23, 79.8, 22.7, 
04/12/2023, 10:48:24, 79.8, 22.7, 
04/12/2023, 10:48:25, 79.8, 22.7, 
04/12/2023, 10:48:26, 79.8, 22.7, 
04/12/2023, 10:48:27, 79.8, 22.7, 
04/12/2023, 10:48:28, 79.8, 22.7, 
04/12/2023, 10:48:29, 79.8, 22.7, 
04/12/2023, 10:48:30, 79.8, 22.7, 
04/12/2023, 10:48:31, 79.8, 22.7, 
04/12/2023, 10:48:32, 79.8, 22.7, 
04/12/2023, 10:48:33, 79.8, 22.7, 
04/12/2023, 10:48:34, 79.8, 22.7, 
04/12/2023, 10:48:35, 79.8, 22.7, 
04/12/2023, 10:48:36, 79.8, 22.7, 
04/12/2023, 10:48:37, 79.8, 22.7, 
