Relative Humidity and Temperature Data
TSI Model RHT3000
Date, Time, RH, Temp
05/24/2023, 11:35:39, 72.9, 21.5, 
05/24/2023, 11:35:40, 73.0, 21.5, 
05/24/2023, 11:35:41, 73.1, 21.5, 
05/24/2023, 11:35:42, 73.1, 21.5, 
05/24/2023, 11:35:43, 73.2, 21.5, 
05/24/2023, 11:35:44, 73.3, 21.5, 
05/24/2023, 11:35:45, 73.4, 21.5, 
05/24/2023, 11:35:46, 73.4, 21.5, 
05/24/2023, 11:35:47, 73.5, 21.5, 
05/24/2023, 11:35:48, 73.5, 21.5, 
05/24/2023, 11:35:49, 73.6, 21.5, 
05/24/2023, 11:35:50, 73.6, 21.5, 
05/24/2023, 11:35:51, 73.7, 21.5, 
05/24/2023, 11:35:52, 73.7, 21.5, 
05/24/2023, 11:35:53, 73.8, 21.5, 
05/24/2023, 11:35:54, 73.8, 21.5, 
05/24/2023, 11:35:55, 73.9, 21.5, 
05/24/2023, 11:35:56, 73.9, 21.5, 
05/24/2023, 11:35:57, 73.9, 21.5, 
05/24/2023, 11:35:58, 74.0, 21.5, 
05/24/2023, 11:35:59, 74.0, 21.5, 
05/24/2023, 11:36:00, 74.0, 21.5, 
05/24/2023, 11:36:01, 74.0, 21.5, 
05/24/2023, 11:36:02, 74.1, 21.5, 
05/24/2023, 11:36:03, 74.1, 21.5, 
05/24/2023, 11:36:04, 74.1, 21.5, 
05/24/2023, 11:36:05, 74.1, 21.5, 
05/24/2023, 11:36:06, 74.2, 21.5, 
05/24/2023, 11:36:07, 74.2, 21.5, 
05/24/2023, 11:36:08, 74.2, 21.5, 
05/24/2023, 11:36:09, 74.2, 21.6, 
05/24/2023, 11:36:10, 74.3, 21.6, 
05/24/2023, 11:36:11, 74.3, 21.6, 
05/24/2023, 11:36:12, 74.3, 21.6, 
05/24/2023, 11:36:13, 74.3, 21.6, 
05/24/2023, 11:36:14, 74.4, 21.6, 
05/24/2023, 11:36:15, 74.4, 21.6, 
05/24/2023, 11:36:16, 74.4, 21.6, 
05/24/2023, 11:36:17, 74.4, 21.6, 
05/24/2023, 11:36:18, 74.5, 21.6, 
05/24/2023, 11:36:19, 74.5, 21.6, 
05/24/2023, 11:36:20, 74.5, 21.6, 
05/24/2023, 11:36:21, 74.5, 21.6, 
05/24/2023, 11:36:22, 74.5, 21.6, 
05/24/2023, 11:36:23, 74.5, 21.6, 
05/24/2023, 11:36:24, 74.5, 21.6, 
05/24/2023, 11:36:25, 74.6, 21.6, 
05/24/2023, 11:36:26, 74.6, 21.6, 
05/24/2023, 11:36:27, 74.6, 21.6, 
05/24/2023, 11:36:28, 74.6, 21.6, 
05/24/2023, 11:36:29, 74.6, 21.6, 
05/24/2023, 11:36:30, 74.6, 21.6, 
05/24/2023, 11:36:31, 74.7, 21.6, 
05/24/2023, 11:36:32, 74.7, 21.6, 
05/24/2023, 11:36:33, 74.7, 21.6, 
05/24/2023, 11:36:34, 74.7, 21.6, 
05/24/2023, 11:36:35, 74.7, 21.6, 
05/24/2023, 11:36:36, 74.7, 21.6, 
05/24/2023, 11:36:37, 74.7, 21.6, 
05/24/2023, 11:36:38, 74.7, 21.6, 
05/24/2023, 11:36:39, 74.8, 21.6, 
05/24/2023, 11:36:40, 74.8, 21.6, 
05/24/2023, 11:36:41, 74.8, 21.6, 
05/24/2023, 11:36:42, 74.8, 21.6, 
05/24/2023, 11:36:43, 74.8, 21.6, 
05/24/2023, 11:36:44, 74.8, 21.6, 
05/24/2023, 11:36:45, 74.8, 21.6, 
05/24/2023, 11:36:46, 74.8, 21.6, 
05/24/2023, 11:36:47, 74.8, 21.6, 
05/24/2023, 11:36:48, 74.8, 21.6, 
05/24/2023, 11:36:49, 74.8, 21.6, 
05/24/2023, 11:36:50, 74.9, 21.6, 
05/24/2023, 11:36:51, 74.9, 21.6, 
05/24/2023, 11:36:52, 74.9, 21.6, 
05/24/2023, 11:36:53, 74.9, 21.6, 
05/24/2023, 11:36:54, 74.9, 21.6, 
05/24/2023, 11:36:55, 74.9, 21.6, 
05/24/2023, 11:36:56, 74.9, 21.6, 
05/24/2023, 11:36:57, 74.9, 21.6, 
05/24/2023, 11:36:58, 74.9, 21.6, 
05/24/2023, 11:36:59, 74.9, 21.6, 
05/24/2023, 11:37:01, 74.9, 21.6, 
05/24/2023, 11:37:02, 74.9, 21.6, 
05/24/2023, 11:37:03, 75.0, 21.6, 
05/24/2023, 11:37:04, 75.0, 21.6, 
05/24/2023, 11:37:05, 75.0, 21.6, 
05/24/2023, 11:37:06, 75.0, 21.6, 
05/24/2023, 11:37:07, 75.0, 21.6, 
05/24/2023, 11:37:08, 75.0, 21.6, 
05/24/2023, 11:37:09, 75.0, 21.6, 
05/24/2023, 11:37:10, 75.0, 21.6, 
05/24/2023, 11:37:11, 75.0, 21.6, 
05/24/2023, 11:37:12, 75.0, 21.6, 
05/24/2023, 11:37:13, 75.0, 21.6, 
05/24/2023, 11:37:14, 75.0, 21.7, 
05/24/2023, 11:37:15, 75.0, 21.7, 
05/24/2023, 11:37:16, 75.0, 21.7, 
05/24/2023, 11:37:17, 75.0, 21.7, 
05/24/2023, 11:37:18, 75.0, 21.7, 
05/24/2023, 11:37:19, 75.0, 21.7, 
05/24/2023, 11:37:20, 75.0, 21.7, 
05/24/2023, 11:37:21, 75.0, 21.7, 
05/24/2023, 11:37:22, 75.0, 21.7, 
05/24/2023, 11:37:23, 75.0, 21.7, 
05/24/2023, 11:37:24, 75.0, 21.7, 
05/24/2023, 11:37:25, 75.0, 21.7, 
05/24/2023, 11:37:26, 75.0, 21.7, 
05/24/2023, 11:37:27, 75.0, 21.7, 
05/24/2023, 11:37:28, 75.0, 21.7, 
05/24/2023, 11:37:29, 75.1, 21.7, 
05/24/2023, 11:37:30, 75.1, 21.7, 
05/24/2023, 11:37:31, 75.1, 21.7, 
05/24/2023, 11:37:32, 75.1, 21.7, 
05/24/2023, 11:37:33, 75.1, 21.7, 
05/24/2023, 11:37:34, 75.1, 21.7, 
05/24/2023, 11:37:35, 75.1, 21.7, 
05/24/2023, 11:37:36, 75.1, 21.7, 
05/24/2023, 11:37:37, 75.1, 21.7, 
05/24/2023, 11:37:38, 75.1, 21.7, 
05/24/2023, 11:37:39, 75.1, 21.7, 
05/24/2023, 11:37:40, 75.1, 21.7, 
05/24/2023, 11:37:41, 75.1, 21.7, 
05/24/2023, 11:37:42, 75.1, 21.7, 
05/24/2023, 11:37:43, 75.1, 21.7, 
05/24/2023, 11:37:44, 75.1, 21.7, 
05/24/2023, 11:37:45, 75.1, 21.7, 
05/24/2023, 11:37:46, 75.1, 21.7, 
05/24/2023, 11:37:47, 75.1, 21.7, 
05/24/2023, 11:37:48, 75.1, 21.7, 
05/24/2023, 11:37:49, 75.1, 21.7, 
05/24/2023, 11:37:50, 75.1, 21.7, 
05/24/2023, 11:37:51, 75.1, 21.7, 
05/24/2023, 11:37:52, 75.1, 21.7, 
05/24/2023, 11:37:53, 75.1, 21.7, 
05/24/2023, 11:37:54, 75.1, 21.7, 
05/24/2023, 11:37:55, 75.1, 21.7, 
05/24/2023, 11:37:56, 75.1, 21.7, 
05/24/2023, 11:37:57, 75.1, 21.7, 
05/24/2023, 11:37:58, 75.1, 21.7, 
05/24/2023, 11:37:59, 75.1, 21.7, 
05/24/2023, 11:38:00, 75.1, 21.7, 
05/24/2023, 11:38:01, 75.1, 21.7, 
05/24/2023, 11:38:02, 75.1, 21.7, 
05/24/2023, 11:38:03, 75.1, 21.7, 
05/24/2023, 11:38:04, 75.1, 21.7, 
05/24/2023, 11:38:05, 75.1, 21.7, 
05/24/2023, 11:38:06, 75.1, 21.7, 
05/24/2023, 11:38:07, 75.2, 21.7, 
05/24/2023, 11:38:08, 75.2, 21.7, 
05/24/2023, 11:38:09, 75.2, 21.7, 
05/24/2023, 11:38:10, 75.2, 21.7, 
05/24/2023, 11:38:11, 75.2, 21.7, 
05/24/2023, 11:38:12, 75.2, 21.7, 
05/24/2023, 11:38:13, 75.2, 21.7, 
05/24/2023, 11:38:14, 75.2, 21.7, 
05/24/2023, 11:38:15, 75.2, 21.7, 
05/24/2023, 11:38:16, 75.2, 21.7, 
05/24/2023, 11:38:17, 75.2, 21.7, 
05/24/2023, 11:38:18, 75.2, 21.7, 
05/24/2023, 11:38:19, 75.2, 21.7, 
05/24/2023, 11:38:20, 75.2, 21.7, 
05/24/2023, 11:38:21, 75.2, 21.7, 
05/24/2023, 11:38:22, 75.2, 21.7, 
05/24/2023, 11:38:23, 75.2, 21.7, 
05/24/2023, 11:38:24, 75.2, 21.7, 
05/24/2023, 11:38:25, 75.2, 21.7, 
05/24/2023, 11:38:26, 75.2, 21.7, 
05/24/2023, 11:38:27, 75.2, 21.7, 
05/24/2023, 11:38:28, 75.2, 21.7, 
05/24/2023, 11:38:29, 75.2, 21.7, 
05/24/2023, 11:38:30, 75.2, 21.7, 
05/24/2023, 11:38:31, 75.2, 21.7, 
05/24/2023, 11:38:32, 75.2, 21.7, 
05/24/2023, 11:38:33, 75.2, 21.7, 
05/24/2023, 11:38:34, 75.2, 21.7, 
05/24/2023, 11:38:35, 75.2, 21.7, 
05/24/2023, 11:38:36, 75.2, 21.7, 
05/24/2023, 11:38:37, 75.2, 21.7, 
05/24/2023, 11:38:38, 75.2, 21.7, 
05/24/2023, 11:38:39, 75.2, 21.7, 
05/24/2023, 11:38:40, 75.2, 21.7, 
05/24/2023, 11:38:41, 75.2, 21.7, 
05/24/2023, 11:38:42, 75.2, 21.7, 
05/24/2023, 11:38:43, 75.2, 21.7, 
05/24/2023, 11:38:44, 75.2, 21.7, 
