Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Wall_Loss\SMPS_20230124_Wall_Loss_Dry.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
 34.6,10.212,0.000,2356619.035,139642.652,74643.507,44848.567,29158.080,19969.492,13308.965,8843.860,6177.187,4776.121,3187.938,2395.381,2079.594,1534.803,1168.004,988.208,755.497,573.099,495.293,435.401,406.973,336.484,252.044,211.473,212.318,199.451,160.781,96.276,109.572,110.384,94.413,62.156,98.801,64.043,59.425,53.014,39.754,0.000,22.890,29.770,45.364,49.810,14.377,43.722,27.319,0.000,6.003,36.038,19.050,0.000,11.620,0.000,0.000,4.055,0.000,30.322,0.000,13.233,11.626,15.395,11.368,15.681,7.164
 35.9,5.481,11.195,1734812.535,149004.181,79495.356,49248.914,33028.540,23235.904,15101.754,10098.031,7221.944,5653.854,4064.278,3063.264,2643.029,1699.799,1464.358,1191.500,908.676,681.364,715.632,554.515,606.998,379.981,283.589,239.578,295.333,222.879,152.178,182.366,174.161,131.115,53.527,118.504,69.019,91.448,11.576,20.664,63.894,70.430,40.643,44.466,45.098,25.629,66.371,17.075,29.795,29.268,34.777,19.171,26.037,23.095,0.000,24.436,24.848,0.000,19.237,3.400,7.067,19.833,0.000,2.750,24.045,17.728,7.467
 37.2,4.943,10.866,1237784.564,158922.688,88773.770,57298.389,38557.841,25307.555,17699.575,11847.899,9232.274,6911.310,5089.525,3586.779,3044.282,2364.363,1795.256,1495.787,1190.376,988.821,823.686,782.071,619.637,431.962,334.921,388.315,430.019,283.770,220.338,240.701,224.122,163.590,89.623,99.305,124.675,133.050,93.659,94.334,67.062,39.665,64.300,26.721,54.308,49.888,46.662,50.769,48.498,15.317,9.024,60.281,50.002,47.132,18.602,0.000,14.838,51.648,12.957,0.000,12.069,1.231,31.991,2.942,20.790,0.000,10.815
 38.5,15.503,5.243,868586.062,161191.007,95951.375,61246.574,42178.488,28886.845,20814.237,14440.935,10351.948,8270.346,6241.436,4579.889,3849.527,2996.131,2134.162,1692.454,1508.129,1234.907,861.636,862.690,685.251,676.698,556.276,438.212,421.964,480.434,267.295,319.770,203.602,254.442,260.360,218.511,205.097,139.085,163.282,69.984,42.603,89.135,149.373,42.006,49.766,77.854,79.145,47.955,50.428,72.473,48.988,58.375,65.523,16.998,45.017,9.728,27.352,63.559,64.292,26.016,25.169,9.171,19.974,11.693,14.187,37.776,12.228
 40.0,0.000,5.066,648680.872,173947.842,106206.701,66770.451,48152.590,31843.021,22748.009,16779.560,12351.120,9510.259,6857.382,5373.015,4626.552,3381.933,2482.298,2098.485,1676.913,1371.904,1293.734,1203.569,872.406,783.324,787.019,570.923,476.823,411.418,366.641,369.854,275.067,324.389,254.776,229.594,203.467,145.839,182.528,92.864,121.753,87.521,174.483,142.521,114.004,106.164,79.850,49.295,95.285,51.133,70.933,0.000,95.609,71.435,23.591,80.740,1.965,0.000,9.653,32.811,61.291,15.861,27.006,32.521,42.022,28.494,5.555
 41.4,9.281,0.000,516666.031,187866.324,112751.590,75930.392,51517.917,37097.450,26606.401,18995.775,14870.361,11339.762,8293.233,6581.445,5610.904,4277.503,3261.077,2450.634,2258.878,1832.198,1592.204,1365.078,1210.798,1132.080,927.093,631.015,558.754,516.248,624.387,417.808,349.346,296.883,268.997,171.101,302.844,178.335,271.697,153.350,162.856,226.800,144.609,83.449,65.565,87.506,103.792,144.522,83.097,86.187,27.269,34.109,19.528,67.918,55.212,49.700,39.953,0.000,29.954,17.001,47.188,17.429,43.339,63.533,41.294,46.878,7.500
 42.9,0.673,0.000,383381.340,194759.241,120005.090,81520.679,57942.649,42384.864,29510.893,22724.707,17319.822,13192.177,10201.760,7631.516,6118.546,4849.056,4085.382,3405.037,2985.196,2454.234,2002.665,1739.359,1587.181,1077.836,1074.963,782.649,836.296,676.388,630.732,588.729,463.309,446.160,336.153,306.009,337.424,198.565,247.271,227.651,112.971,184.145,135.788,167.138,126.704,144.682,127.484,78.001,58.811,90.383,61.950,144.585,69.146,96.847,21.765,98.327,55.072,16.148,84.559,4.239,63.277,26.827,9.485,48.597,0.000,41.869,22.883
 44.5,11.567,0.000,273519.619,209619.201,129245.071,87826.286,64097.610,48457.798,33747.120,26400.878,20135.502,15368.783,11698.561,9401.493,7686.792,5977.882,4821.971,4382.106,3391.109,2931.123,2337.751,2391.987,1944.097,1603.470,1377.311,1167.939,889.222,904.349,888.918,846.329,621.153,456.558,290.961,421.361,364.620,377.179,378.990,184.789,150.713,201.895,94.702,210.219,191.790,189.782,117.253,100.740,85.977,129.711,196.350,55.293,63.218,146.672,92.870,109.631,58.795,1.587,60.307,79.718,82.852,53.298,33.301,15.170,0.000,65.994,42.613
 46.1,3.715,0.000,172001.813,220253.981,139678.873,98173.469,71814.280,54478.884,37564.644,29002.265,23254.192,18566.394,13659.825,10678.304,9076.365,7173.549,6260.881,4995.735,4209.641,3689.106,3223.154,2676.856,2279.327,1835.143,1719.241,1277.418,1265.826,1238.817,1101.504,986.902,680.221,612.500,570.438,615.326,429.421,438.186,330.956,301.034,307.042,322.025,319.730,410.548,226.126,204.798,104.057,190.402,153.833,113.122,76.084,110.900,131.485,95.376,67.947,141.481,70.378,77.926,44.275,105.944,44.231,36.946,66.468,0.000,0.000,49.345,60.517
 47.8,0.000,0.000,80271.271,232100.033,154027.498,106319.419,82069.738,61581.282,46431.581,35274.905,27255.656,22347.800,16999.248,13222.651,10789.778,9727.882,7492.784,6365.192,5871.006,4426.427,4216.598,3744.100,3226.302,2268.029,2091.862,1775.808,1767.753,1647.123,1371.275,1244.457,1058.062,1000.633,932.450,897.676,829.598,536.209,605.393,525.761,499.238,337.985,335.311,347.799,293.745,421.829,335.151,256.973,318.603,190.213,266.391,165.468,150.139,231.311,152.470,199.036,183.257,97.089,65.872,32.558,118.856,150.948,78.269,115.340,0.000,82.544,30.133
 49.6,12.544,0.000,4693.321,246857.887,170843.348,121442.776,94398.305,70884.567,53961.772,40622.497,32263.981,26851.284,20435.666,16703.813,14425.072,11241.277,9728.256,8459.921,7195.402,5857.300,5536.534,4559.863,4273.011,3494.582,3108.170,2855.807,2764.552,2452.033,2448.631,1988.043,1506.162,1574.474,1381.042,1260.129,1315.231,1195.678,985.863,873.346,955.390,938.831,734.039,794.125,603.931,631.132,545.627,560.268,528.611,421.377,450.563,444.246,388.229,456.370,320.515,364.707,327.906,300.347,270.568,269.247,188.961,176.377,232.301,252.708,104.276,176.274,114.339
 51.4,11.777,0.000,0.000,259719.015,186542.315,136521.923,104279.163,79927.929,60694.568,49324.367,37279.234,31992.905,23801.637,20168.809,17146.372,14526.597,12508.575,10141.778,9304.032,7973.736,6824.484,6390.326,5500.957,4329.987,3943.387,3860.423,3502.408,3477.734,3186.294,2392.836,2290.550,2200.283,2085.021,1900.798,1641.743,1507.898,1506.041,1497.741,1248.710,1258.649,1129.569,912.668,760.842,770.291,695.759,748.534,775.491,712.360,736.271,527.733,535.856,656.031,401.343,598.783,453.025,437.342,453.909,357.924,345.879,306.779,421.499,341.565,309.935,298.648,275.935
 53.3,7.511,0.000,0.000,279625.790,201385.996,148237.444,115342.532,90273.658,69810.924,54973.744,42721.863,35307.795,28118.184,24055.710,19798.557,17494.024,15405.414,12849.387,11295.725,9460.669,8249.678,7787.339,6978.397,6127.388,5294.493,4977.999,4436.812,4003.328,3737.543,3420.444,3118.305,2659.222,2728.229,2386.278,2070.393,2194.241,1914.421,1850.078,1606.182,1469.180,1313.993,1248.117,1129.018,1110.022,980.703,1162.863,921.150,1019.213,1093.687,736.409,583.220,902.719,696.198,692.821,662.652,586.527,488.675,636.088,398.008,461.263,437.605,452.152,414.360,350.106,347.483
 55.2,3.813,0.000,0.000,297676.089,217718.197,168022.296,129343.383,98454.118,80227.826,62249.157,50220.225,40919.575,33388.211,28455.828,23650.986,19944.759,18001.651,15511.351,13324.243,11688.570,10584.043,9103.168,8438.344,7558.090,6502.825,6050.760,5818.957,5080.524,4867.417,3905.453,3949.129,3480.237,3327.475,3252.688,2773.830,2618.697,2453.027,2587.368,2189.537,2038.883,1764.567,1777.177,1829.217,1425.856,1403.703,1248.526,1313.516,1162.496,1213.728,1023.516,1212.037,1013.638,899.994,927.340,849.411,769.257,734.549,746.927,646.737,677.518,651.551,601.307,533.578,457.927,419.407
 57.3,0.000,0.000,0.000,318832.957,238549.140,180689.695,141661.503,111296.936,87562.382,71578.231,57166.726,47224.674,38584.678,32199.258,27764.944,23059.167,21204.458,18395.985,16764.276,14200.963,12931.035,12162.812,10120.198,8639.262,7938.373,7502.112,7448.471,6288.339,6062.548,5118.529,5138.514,4216.700,4076.585,3900.437,3710.186,3447.085,3132.642,3019.859,2817.873,2563.190,2418.593,2163.825,2129.013,1880.993,1826.462,1619.405,1685.057,1545.533,1482.052,1267.450,1256.229,1198.039,1121.204,1387.090,1130.991,1011.231,903.741,986.324,845.961,885.670,717.492,897.841,685.221,636.679,698.191
 59.4,3.460,0.000,52186.913,345488.075,257427.928,200068.716,158712.196,122900.037,100546.533,81304.242,65000.936,53209.600,43841.011,37607.341,32688.809,28179.358,25039.447,21981.682,18997.223,17033.583,14957.940,13736.035,12438.177,10335.537,9726.795,9241.274,8632.698,8065.257,7044.245,6647.619,6433.280,5588.247,5554.996,4962.944,4526.245,4375.276,4118.232,3819.055,3703.632,3278.424,2904.842,2930.837,2650.883,2288.738,2285.879,2119.613,2050.304,1904.171,1932.800,1825.773,1720.077,1725.828,1674.930,1477.381,1482.694,1217.642,1159.054,1455.426,1121.384,1033.418,1019.116,1063.052,929.395,948.058,931.366
 61.5,13.033,98.523,215860.421,368862.561,276972.055,219815.933,179626.434,137219.834,112340.331,91483.827,74345.943,60672.886,49444.924,41822.411,37317.912,34216.355,28576.071,25518.015,22766.807,19926.486,18339.326,16438.303,14832.416,13102.974,12195.670,10496.819,10589.325,9440.673,8803.442,7871.883,7816.957,6968.483,6724.984,6213.166,5627.224,5447.682,4771.534,4699.120,4332.069,4046.375,3558.933,3460.099,3813.262,3118.142,2782.801,2718.687,2519.926,2508.638,2370.788,2301.347,2132.450,2048.833,1970.178,1786.198,1832.273,1737.371,1678.083,1513.838,1565.575,1371.953,1396.876,1265.703,1232.832,1172.181,1284.811
 63.8,5.817,791.968,425397.003,389512.599,300035.869,237578.608,192982.020,150204.340,124311.670,103809.780,83513.260,70494.369,57600.009,49404.867,43294.347,38851.023,33673.789,28993.820,26637.749,23389.371,21189.170,19421.407,16925.661,15194.606,14532.172,12405.134,12385.211,11150.511,10593.109,9522.708,9412.911,8654.030,7889.888,7497.352,6760.885,6551.670,5871.719,5603.265,5414.109,5132.541,4931.229,4367.156,4204.236,4105.153,4054.037,3735.934,3079.359,3188.965,2925.701,3023.792,2784.419,2586.108,2696.988,2365.859,2198.756,2148.905,1784.691,1822.034,1856.988,1769.189,1914.761,1524.174,1812.473,1397.827,1496.948
 66.1,6.952,1496.404,649656.337,423127.642,321956.019,263165.972,212948.068,165444.620,136936.253,113064.291,93311.944,79547.841,66828.731,56862.349,49733.354,43868.404,38137.883,33161.320,31537.179,28099.477,24103.753,21718.250,20643.443,18580.456,17463.168,15328.219,15023.679,13480.489,12714.380,11472.918,11652.670,9920.049,9776.196,9276.528,8239.829,8391.810,7396.786,7336.419,6891.592,6233.846,5894.617,5215.527,4617.782,4825.933,4690.693,4204.071,4046.235,3885.198,4012.832,3764.786,3425.107,3032.713,3210.891,2728.659,2920.900,2750.247,2595.593,2402.416,2396.103,2363.074,2317.369,2010.445,1993.302,1980.141,1736.799
 68.5,7.404,1442.197,948811.753,453280.416,345597.720,286967.682,230834.739,184414.686,154115.223,126705.903,110062.161,89180.601,75738.400,63737.511,57638.964,50974.190,44468.300,39000.966,35627.831,32348.777,29011.884,25710.810,23779.002,22063.125,20562.578,18295.450,18354.044,16080.166,15362.506,14387.876,14525.388,12278.651,11445.054,10956.893,10207.048,9646.176,8241.696,8190.874,7570.119,7491.766,6894.184,6523.843,6323.199,5932.015,5645.708,5581.660,4632.243,4936.163,4246.782,4843.961,4287.325,3840.075,3871.064,3479.408,3458.063,3217.309,3272.531,3071.174,2990.687,2581.283,2578.611,2403.423,2767.634,2190.514,2177.292
 71.0,0.000,1137.820,1221472.048,452677.363,351608.848,281201.512,223758.478,185727.556,156094.267,126474.041,106765.983,88249.327,77221.980,67093.438,57953.595,50014.660,43379.368,39056.307,36400.577,32355.196,28823.045,25134.938,23205.278,22359.763,20140.644,18297.329,16462.132,15520.885,14894.561,13772.107,13819.851,11835.051,11199.363,10496.647,9795.616,9078.374,9044.335,8039.372,7989.567,6991.702,6631.929,6233.187,6434.209,5539.180,5761.118,5054.658,4533.962,5106.028,4266.743,4567.453,4053.691,3945.195,3619.483,3648.788,3087.178,3348.395,3420.367,2848.760,2750.241,2737.291,2753.570,2277.389,2730.592,2443.259,2089.766
 73.7,4.831,691.755,1480299.405,455741.342,349563.703,286974.058,220648.333,190273.548,158769.303,127336.674,106437.145,91688.240,80706.315,66738.336,59588.398,50913.827,43750.297,39673.363,34574.598,31915.827,28488.786,25384.786,23067.583,21501.999,20725.909,18302.999,17445.418,15857.746,14880.382,14308.759,13308.953,11256.631,10649.997,11098.296,9419.226,8912.178,8294.167,7924.414,7511.708,7028.146,6330.433,6619.708,6735.554,5362.786,5337.133,4497.589,4585.389,4696.036,3977.857,4281.734,4180.682,3610.687,3822.592,3419.517,3322.862,2870.415,3155.302,2643.808,2758.081,2805.835,2412.373,2189.253,2148.179,2265.319,2288.444
 76.4,6.350,544.550,1801923.946,488159.675,371016.832,308357.105,248086.695,206727.703,177626.296,139809.414,119448.193,101713.998,87110.294,70410.490,66779.696,57001.619,48232.864,44269.937,39887.318,35236.822,34911.402,28053.443,25496.017,24113.711,23559.143,20786.278,18685.909,18276.967,17081.076,15561.139,14794.037,13871.161,12275.704,12498.878,11000.776,10234.901,9587.606,8519.675,8198.686,7919.237,7843.301,7946.629,7516.112,6465.106,6723.093,5926.610,5543.026,5156.443,4596.815,4963.917,4772.364,3863.573,4162.506,3619.029,3843.761,3210.082,3573.873,3453.935,2822.589,3197.776,2814.886,2842.425,2903.094,2454.473,2468.748
 79.1,2.508,347.651,1953314.456,502055.437,402097.815,329140.896,267054.173,224763.308,187851.676,151645.897,129718.431,109709.388,94005.206,81981.162,75207.429,62352.232,52429.591,48552.904,45366.264,39983.164,36716.860,32694.967,29273.345,27515.557,25195.806,22810.028,21698.620,20479.730,18173.586,16626.838,15835.033,14767.995,14055.637,13816.727,11937.685,11690.885,11018.444,10152.044,9523.459,9091.762,8725.262,8397.743,7634.215,7109.179,7270.788,6525.416,6357.863,5907.721,5256.506,5770.054,5242.837,4899.849,5053.609,4421.533,4045.932,3743.094,4303.234,3626.549,3605.561,3591.877,3338.846,3191.438,2988.453,3076.328,2646.840
 82.0,0.000,227.253,2029369.094,547680.543,434904.747,353361.764,284235.174,248890.191,203267.555,177392.654,140800.966,122339.725,103505.201,89954.518,82256.616,71741.475,61448.247,53646.289,48071.281,43713.799,40521.905,35547.544,32487.107,30443.158,30148.405,27010.998,23344.222,21748.609,20699.768,19851.957,17509.736,17537.505,15643.716,15073.220,13427.377,13316.331,12578.410,11130.122,10348.326,9562.190,10582.191,9385.966,9041.355,8148.540,8189.168,7915.414,6817.714,6648.615,6411.682,6492.387,6247.956,6048.203,5349.751,5090.856,4533.496,4478.249,4485.335,4359.588,4605.827,3878.650,4057.522,3617.146,3570.099,3267.066,3118.862
 85.1,5.888,180.062,2082362.897,579461.649,462400.592,387800.474,326169.077,265012.241,221243.676,187545.673,153295.693,137083.099,114718.168,99912.407,91947.132,76846.089,65464.993,61057.884,54420.689,49175.224,46732.589,39475.425,37084.809,36165.510,32438.695,28675.439,27390.746,24290.766,23902.325,22460.717,20131.342,19864.546,17849.393,16467.117,15433.348,14794.017,14053.816,13452.787,12293.482,11283.708,10834.897,10853.806,10056.054,9779.802,9658.877,8563.861,7969.890,8359.075,7463.780,7181.637,6766.964,7039.742,5905.343,5655.531,5611.607,5612.253,5217.499,4859.081,4764.269,4055.400,4517.682,4382.025,4021.482,3642.364,3214.014
 88.2,0.000,145.666,2102213.934,625630.726,505893.432,407304.285,345594.271,298558.888,240553.637,207098.088,173999.966,149629.432,127331.719,118610.017,100640.353,87613.527,75579.889,68418.357,62870.106,54687.116,50721.278,46735.547,42574.378,41260.364,37303.370,33015.848,31895.176,28575.088,28853.961,25703.107,21928.686,21691.866,19564.321,18819.665,18039.215,16940.824,16446.884,14574.199,14102.148,13279.955,12892.608,11650.762,11336.470,11203.971,10552.109,9703.465,10056.757,8972.759,8529.346,8054.116,7854.582,8255.458,7029.039,7028.908,6307.545,6242.182,6073.245,5494.222,4968.276,5258.432,4534.706,4749.409,4863.433,4340.726,3898.229
 91.4,15.435,104.318,2064676.338,672656.371,547985.530,450311.835,370239.667,320960.482,266163.660,230581.433,190379.492,165653.433,146858.525,128507.297,110713.533,97659.131,83830.830,78199.772,67937.965,64825.652,58332.383,52233.950,48103.347,45193.692,40543.049,39115.259,34395.504,31678.179,31221.735,28817.122,25974.378,24161.382,22982.358,22356.769,20552.160,19421.838,19981.380,17657.107,15995.489,14775.139,14755.130,13750.297,12750.688,11923.337,11992.916,10871.005,10435.213,9510.547,9883.634,9094.617,8764.149,8651.445,8174.181,8206.378,6830.473,7474.215,6901.798,6595.334,6283.243,5727.288,5628.796,5416.384,5108.000,4881.787,4753.111
 94.7,5.258,86.692,1995861.220,713724.641,596646.472,481331.820,417695.470,355617.091,291489.235,248802.050,206812.583,185370.183,161514.458,137334.475,120509.810,107713.764,93784.434,87566.512,74604.361,71638.244,64389.089,60206.644,53156.506,50975.375,45193.634,42413.796,38740.999,35628.794,35463.848,33553.323,28966.131,27374.367,25748.739,25218.835,23058.721,22354.879,20878.281,19187.817,18004.880,16504.823,15674.714,16675.677,15246.004,13996.253,12870.619,12572.155,11888.359,11465.450,10764.911,10296.006,10432.519,9604.045,8651.668,8722.091,8231.594,7889.661,8258.008,7470.684,7030.621,6523.955,5885.227,6388.747,5901.118,5565.892,5010.747
 98.2,0.000,59.246,1931201.137,781891.906,639590.125,521252.576,443620.817,388784.636,333296.152,280041.653,232560.250,200271.087,169629.184,153253.916,136936.380,122921.638,105502.870,99561.732,84553.125,79349.808,72770.260,69941.372,59635.462,57337.119,50094.812,48163.190,44583.106,40909.939,40236.849,37880.302,33644.556,30647.999,29900.068,28752.062,26441.300,24490.985,23484.075,22256.947,20202.962,19101.520,18666.792,17633.558,17766.111,15818.991,15144.504,14911.584,13623.102,12859.877,12186.933,12044.071,11782.599,10333.312,10307.596,10467.013,9123.876,9410.543,8807.406,8352.836,8029.241,7223.745,6742.666,7197.226,6553.188,6420.461,5936.892
101.8,18.427,88.677,1875012.471,838329.418,697961.708,567273.683,489333.350,423265.618,364377.419,298018.632,257043.216,225831.443,192601.413,170965.472,151358.305,135792.287,119593.918,110676.513,97691.221,89436.467,81929.470,78442.703,67134.388,62334.687,56372.367,54278.210,49682.361,46865.732,43593.856,41315.859,37454.814,35568.608,34263.962,32897.231,31199.847,28592.840,28103.842,26511.578,24189.816,22737.892,21065.309,19779.454,19349.463,18357.321,17879.089,16379.500,16227.581,14972.215,14604.966,13278.751,13705.786,12704.069,11753.799,12016.589,10828.063,10848.987,9345.948,9742.941,9472.898,8715.973,8387.261,8306.425,7564.718,7625.572,6845.016
105.5,2.910,52.702,1814091.868,893304.592,747420.863,618159.524,544464.314,455974.644,386368.509,328542.995,285388.887,255745.120,210989.488,182098.720,164504.146,151196.280,137700.203,121463.667,107042.294,99657.508,91996.148,86483.449,77077.985,70798.259,64302.642,61230.539,60346.794,53926.426,50475.487,46299.868,43547.797,39001.628,41165.139,36560.810,35112.889,32238.638,30048.417,29989.991,27220.957,26293.430,24125.506,22471.515,21992.169,20998.557,20211.916,20287.838,18175.013,16770.913,17081.427,14946.494,16518.299,15055.388,13733.251,13212.763,12690.559,12176.797,11336.503,11550.225,10611.571,10060.865,9376.307,9775.163,8734.273,8534.258,8092.394
109.4,9.042,58.990,1822614.007,952855.406,800023.949,670598.576,584255.933,488801.338,430899.060,364008.100,318252.397,274292.497,228163.696,204438.724,182402.837,165711.439,153762.325,134945.040,123909.790,110531.265,100230.237,94890.767,86593.407,78228.949,70960.770,67952.306,65972.560,60509.521,55861.982,53301.786,49088.588,46848.092,45600.346,41772.382,41255.373,36863.490,34089.846,33689.548,31767.581,30953.108,27974.488,26512.295,24985.270,24395.318,23151.845,22735.775,20391.418,19372.002,19703.629,17853.617,18215.189,17041.613,15413.141,15400.484,15027.940,14139.582,13525.000,12747.810,12118.632,11112.235,10731.764,10866.100,10852.815,10101.041,8410.797
113.4,0.000,36.569,1779697.957,988742.784,841961.624,714365.550,622807.363,531872.869,455887.547,390478.786,345715.281,299614.772,255858.214,223529.801,200473.985,181085.710,167394.734,149267.005,135572.167,121180.987,111330.391,108096.594,96443.565,89905.110,81438.508,75164.524,75746.699,68450.264,64715.394,60296.289,55629.530,52388.997,53057.216,45458.567,45966.494,41302.508,39155.285,39987.922,35264.748,34866.184,30850.421,29055.806,28607.080,26733.316,25647.431,26125.292,22472.099,22461.198,22645.242,20152.656,20231.903,19184.992,18024.134,17218.190,17510.659,16138.372,15022.184,14294.250,14187.351,13256.882,12284.401,12572.743,11513.480,11464.732,10249.516
117.6,3.012,58.122,1743418.695,1061046.982,881313.384,748284.245,678507.786,562981.122,498046.118,429506.845,371511.226,330678.162,279913.827,241661.642,221464.133,200572.978,186733.781,164143.510,150118.010,134185.501,126025.375,118624.123,106661.167,99014.349,94869.262,85269.082,83724.758,78535.518,73748.062,68380.743,63844.651,58267.929,57768.158,52703.908,51351.065,47892.247,43801.138,43288.134,40181.402,39738.529,35559.097,33882.852,32184.475,31418.191,29161.001,28934.006,25826.420,26204.762,26261.735,23224.239,22402.400,21469.079,20028.303,20357.315,19316.296,19080.526,17281.484,17073.950,15818.239,15416.857,14971.868,14163.086,13665.048,13219.127,12755.332
121.9,2.921,44.755,1771594.128,1095813.395,927514.490,798997.797,717845.716,597108.955,532843.908,453084.913,399014.530,351389.932,302615.175,263744.718,240089.206,216872.653,198115.191,180930.308,168007.387,149549.780,137968.200,128144.386,119514.168,109276.507,103538.306,93144.263,92749.027,89261.308,82568.080,75329.499,71099.024,64859.118,62860.288,60470.665,58676.352,52123.633,50666.113,48646.309,46092.964,44670.983,40551.576,38022.195,36523.310,35221.570,33116.934,31964.974,29593.555,29354.795,26735.198,26667.760,25894.053,24128.014,23254.345,22178.260,22179.619,21241.469,19754.406,18385.039,17943.719,17799.597,15877.688,15729.241,15151.766,14111.120,13687.980
126.3,0.000,39.137,1735342.777,1130586.595,975414.803,848731.613,749689.193,651043.627,565683.239,492535.361,427823.355,377980.912,325681.706,286487.327,261831.971,237747.667,218885.294,195531.329,182690.889,163664.704,151868.358,144731.131,129569.871,122008.306,113152.554,107355.991,100840.297,95760.559,90917.786,84583.773,80833.090,73167.407,71126.868,67469.471,63849.379,58901.558,57519.951,54430.380,52204.713,49685.007,44842.566,43469.208,41654.325,39290.383,38151.519,36377.995,33697.319,32702.373,31431.870,29367.566,28118.307,26426.345,26644.466,25551.352,24465.589,23119.770,22457.492,21779.781,20429.860,19779.103,18942.372,17958.529,16818.419,16521.081,15627.146
131.0,8.719,19.439,1725209.636,1178202.226,1014269.081,889796.538,787648.242,679916.919,592995.791,520109.761,456554.965,406303.371,353786.838,306071.251,279990.565,259815.170,233636.250,213441.741,194668.916,179000.611,166493.831,152675.747,140665.891,133889.235,123370.845,116422.517,109645.954,106004.083,99201.557,93190.575,87242.718,81672.320,80657.454,73504.293,69751.149,67464.717,63859.635,59711.667,57638.104,55014.928,50402.684,47730.703,45718.701,44554.211,41072.454,39897.388,36995.220,36318.220,34090.310,33440.685,32370.997,29824.374,29334.908,28113.238,27482.512,26379.730,25702.231,24508.807,24183.423,21893.940,22207.947,19678.291,19459.882,18720.835,17893.409
135.8,1.967,19.339,1751513.428,1210681.445,1044444.501,909280.646,814114.796,706568.827,623938.275,547581.513,470341.985,424977.232,377119.744,329477.252,300196.914,276598.472,253680.021,231112.751,214146.249,196200.844,177877.658,167058.317,154060.914,145585.810,135344.629,127345.577,122358.772,115726.946,108175.543,103305.003,96213.825,90653.538,86828.434,80681.012,76827.247,73819.755,69522.408,64321.401,63113.552,59475.692,55257.256,52853.549,51571.909,48702.878,45282.460,44210.837,42226.627,41155.228,38625.165,36859.229,35785.805,33771.652,32794.517,31148.921,30131.105,27821.014,28679.835,27043.792,26572.685,24851.351,24497.428,22852.255,21535.919,19880.835,20188.744
140.7,0.000,20.770,1768994.778,1233968.325,1058141.884,943298.023,831283.175,739257.620,652456.039,571279.045,497325.644,442709.070,391082.562,350301.493,317459.338,288728.425,267504.753,246329.891,228951.747,208617.776,193503.036,179379.880,164613.951,157565.940,148302.607,139251.089,130064.598,125489.423,118240.387,112498.148,104702.412,97999.306,93959.145,88190.829,85257.252,78990.147,75675.330,71672.086,69457.169,64143.994,62237.668,59595.923,55222.661,52837.136,51001.510,48988.357,45521.680,44757.654,42345.519,40689.053,40386.876,38782.008,36752.743,33942.095,33472.562,31566.764,30516.396,29529.128,28652.684,27079.083,26279.131,25342.996,24523.168,22512.180,21858.463
145.9,7.881,24.885,1752587.827,1219050.963,1068825.743,961793.479,852671.295,751159.502,668189.272,580608.284,513554.227,460254.356,410598.455,370488.186,334469.689,304913.912,281269.543,261400.507,241816.196,222787.725,203870.521,191019.021,176086.553,165943.627,158467.297,147132.328,138990.651,136312.691,127775.376,122714.340,111764.325,105878.654,101954.941,96233.786,92664.547,87950.148,85105.227,79531.221,75238.307,71554.955,66885.017,62885.198,60448.982,59649.349,55901.049,53301.350,50031.900,49257.300,46724.293,46030.826,44069.832,41423.440,39317.245,38414.289,37295.310,34772.904,33353.559,32168.391,31626.878,30413.513,29444.495,27054.317,26217.787,25044.663,24056.493
151.2,0.000,16.070,1690333.338,1222564.840,1074301.938,971406.291,868857.310,767637.638,672651.994,602867.178,527867.648,475778.832,431662.103,384024.831,350021.011,320420.662,295450.388,270991.740,252627.378,232556.639,216016.340,201970.511,187810.246,177689.847,169123.358,157960.765,147829.669,141609.599,135676.929,128873.994,120895.491,112328.217,110242.361,103726.426,97979.621,95408.765,89381.189,83132.550,80996.791,75911.605,73186.988,69693.072,64924.534,64865.110,60636.383,57732.764,53958.467,50844.478,52332.721,48174.156,47231.617,44905.860,42362.625,40892.306,40302.512,37069.102,36818.851,35336.237,33551.516,32757.750,31032.717,29492.105,28855.160,27456.389,26387.196
