Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Wall_Loss\SMPS_20230124_Wall_Loss_Dry.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
 34.6,0.160,0.000,36822.172,2181.916,1166.305,700.759,455.595,312.023,207.953,138.185,96.519,74.627,49.812,37.428,32.494,23.981,18.250,15.441,11.805,8.955,7.739,6.803,6.359,5.258,3.938,3.304,3.317,3.116,2.512,1.504,1.712,1.725,1.475,0.971,1.544,1.001,0.929,0.828,0.621,0.000,0.358,0.465,0.709,0.778,0.225,0.683,0.427,0.000,0.094,0.563,0.298,0.000,0.182,0.000,0.000,0.063,0.000,0.474,0.000,0.207,0.182,0.241,0.178,0.245,0.112
 35.9,0.086,0.175,27106.446,2328.190,1242.115,769.514,516.071,363.061,235.965,157.782,112.843,88.341,63.504,47.863,41.297,26.559,22.881,18.617,14.198,10.646,11.182,8.664,9.484,5.937,4.431,3.743,4.615,3.482,2.378,2.849,2.721,2.049,0.836,1.852,1.078,1.429,0.181,0.323,0.998,1.100,0.635,0.695,0.705,0.400,1.037,0.267,0.466,0.457,0.543,0.300,0.407,0.361,0.000,0.382,0.388,0.000,0.301,0.053,0.110,0.310,0.000,0.043,0.376,0.277,0.117
 37.2,0.077,0.170,19340.384,2483.167,1387.090,895.287,602.466,395.431,276.556,185.123,144.254,107.989,79.524,56.043,47.567,36.943,28.051,23.372,18.600,15.450,12.870,12.220,9.682,6.749,5.233,6.067,6.719,4.434,3.443,3.761,3.502,2.556,1.400,1.552,1.948,2.079,1.463,1.474,1.048,0.620,1.005,0.418,0.849,0.779,0.729,0.793,0.758,0.239,0.141,0.942,0.781,0.736,0.291,0.000,0.232,0.807,0.202,0.000,0.189,0.019,0.500,0.046,0.325,0.000,0.169
 38.5,0.242,0.082,13571.657,2518.609,1499.240,956.978,659.039,451.357,325.222,225.640,161.749,129.224,97.522,71.561,60.149,46.815,33.346,26.445,23.565,19.295,13.463,13.480,10.707,10.573,8.692,6.847,6.593,7.507,4.176,4.996,3.181,3.976,4.068,3.414,3.205,2.173,2.551,1.093,0.666,1.393,2.334,0.656,0.778,1.216,1.237,0.749,0.788,1.132,0.765,0.912,1.024,0.266,0.703,0.152,0.427,0.993,1.005,0.407,0.393,0.143,0.312,0.183,0.222,0.590,0.191
 40.0,0.000,0.079,10135.639,2717.935,1659.480,1043.288,752.384,497.547,355.438,262.181,192.986,148.598,107.147,83.953,72.290,52.843,38.786,32.789,26.202,21.436,20.215,18.806,13.631,12.239,12.297,8.921,7.450,6.428,5.729,5.779,4.298,5.069,3.981,3.587,3.179,2.279,2.852,1.451,1.902,1.368,2.726,2.227,1.781,1.659,1.248,0.770,1.489,0.799,1.108,0.000,1.494,1.116,0.369,1.262,0.031,0.000,0.151,0.513,0.958,0.248,0.422,0.508,0.657,0.445,0.087
 41.4,0.145,0.000,8072.907,2935.411,1761.744,1186.412,804.967,579.648,415.725,296.809,232.349,177.184,129.582,102.835,87.670,66.836,50.954,38.291,35.295,28.628,24.878,21.329,18.919,17.689,14.486,9.860,8.731,8.066,9.756,6.528,5.459,4.639,4.203,2.673,4.732,2.786,4.245,2.396,2.545,3.544,2.260,1.304,1.024,1.367,1.622,2.258,1.298,1.347,0.426,0.533,0.305,1.061,0.863,0.777,0.624,0.000,0.468,0.266,0.737,0.272,0.677,0.993,0.645,0.732,0.117
 42.9,0.011,0.000,5990.333,3043.113,1875.080,1273.761,905.354,662.263,461.108,355.074,270.622,206.128,159.403,119.242,95.602,75.766,63.834,53.204,46.644,38.347,31.292,27.177,24.800,16.841,16.796,12.229,13.067,10.569,9.855,9.199,7.239,6.971,5.252,4.781,5.272,3.103,3.864,3.557,1.765,2.877,2.122,2.612,1.980,2.261,1.992,1.219,0.919,1.412,0.968,2.259,1.080,1.513,0.340,1.536,0.860,0.252,1.321,0.066,0.989,0.419,0.148,0.759,0.000,0.654,0.358
 44.5,0.181,0.000,4273.744,3275.300,2019.454,1372.286,1001.525,757.153,527.299,412.514,314.617,240.137,182.790,146.898,120.106,93.404,75.343,68.470,52.986,45.799,36.527,37.375,30.377,25.054,21.520,18.249,13.894,14.130,13.889,13.224,9.706,7.134,4.546,6.584,5.697,5.893,5.922,2.887,2.355,3.155,1.480,3.285,2.997,2.965,1.832,1.574,1.343,2.027,3.068,0.864,0.988,2.292,1.451,1.713,0.919,0.025,0.942,1.246,1.295,0.833,0.520,0.237,0.000,1.031,0.666
 46.1,0.058,0.000,2687.528,3441.468,2182.482,1533.960,1122.098,851.233,586.948,453.160,363.347,290.100,213.435,166.849,141.818,112.087,97.826,78.058,65.776,57.642,50.362,41.826,35.614,28.674,26.863,19.960,19.779,19.357,17.211,15.420,10.628,9.570,8.913,9.614,6.710,6.847,5.171,4.704,4.798,5.032,4.996,6.415,3.533,3.200,1.626,2.975,2.404,1.768,1.189,1.733,2.054,1.490,1.062,2.211,1.100,1.218,0.692,1.655,0.691,0.577,1.039,0.000,0.000,0.771,0.946
 47.8,0.000,0.000,1254.239,3626.563,2406.680,1661.241,1282.340,962.208,725.493,551.170,425.870,349.184,265.613,206.604,168.590,151.998,117.075,99.456,91.734,69.163,65.884,58.502,50.411,35.438,32.685,27.747,27.621,25.736,21.426,19.445,16.532,15.635,14.570,14.026,12.962,8.378,9.459,8.215,7.801,5.281,5.239,5.434,4.590,6.591,5.237,4.015,4.978,2.972,4.162,2.585,2.346,3.614,2.382,3.110,2.863,1.517,1.029,0.509,1.857,2.359,1.223,1.802,0.000,1.290,0.471
 49.6,0.196,0.000,73.333,3857.154,2669.427,1897.543,1474.974,1107.571,843.153,634.727,504.125,419.551,319.307,260.997,225.392,175.645,152.004,132.186,112.428,91.520,86.508,71.248,66.766,54.603,48.565,44.622,43.196,38.313,38.260,31.063,23.534,24.601,21.579,19.690,20.550,18.682,15.404,13.646,14.928,14.669,11.469,12.408,9.436,9.861,8.525,8.754,8.260,6.584,7.040,6.941,6.066,7.131,5.008,5.699,5.124,4.693,4.228,4.207,2.953,2.756,3.630,3.949,1.629,2.754,1.787
 51.4,0.184,0.000,0.000,4058.110,2914.724,2133.155,1629.362,1248.874,948.353,770.693,582.488,499.889,371.901,315.138,267.912,226.978,195.446,158.465,145.375,124.590,106.633,99.849,85.952,67.656,61.615,60.319,54.725,54.340,49.786,37.388,35.790,34.379,32.578,29.700,25.652,23.561,23.532,23.402,19.511,19.666,17.650,14.260,11.888,12.036,10.871,11.696,12.117,11.131,11.504,8.246,8.373,10.250,6.271,9.356,7.079,6.833,7.092,5.593,5.404,4.793,6.586,5.337,4.843,4.666,4.311
 53.3,0.117,0.000,0.000,4369.153,3146.656,2316.210,1802.227,1410.526,1090.796,858.965,667.529,551.684,439.347,375.870,309.352,273.344,240.710,200.772,176.496,147.823,128.901,121.677,109.037,95.740,82.726,77.781,69.325,62.552,58.399,53.444,48.724,41.550,42.629,37.286,32.350,34.285,29.913,28.907,25.097,22.956,20.531,19.502,17.641,17.344,15.323,18.170,14.393,15.925,17.089,11.506,9.113,14.105,10.878,10.825,10.354,9.164,7.636,9.939,6.219,7.207,6.838,7.065,6.474,5.470,5.429
 55.2,0.060,0.000,0.000,4651.189,3401.847,2625.348,2020.990,1538.346,1253.560,972.643,784.691,639.368,521.691,444.622,369.547,311.637,281.276,242.365,208.191,182.634,165.376,142.237,131.849,118.095,101.607,94.543,90.921,79.383,76.053,61.023,61.705,54.379,51.992,50.823,43.341,40.917,38.329,40.428,34.212,31.858,27.571,27.768,28.582,22.279,21.933,19.508,20.524,18.164,18.965,15.992,18.938,15.838,14.062,14.490,13.272,12.020,11.477,11.671,10.105,10.586,10.180,9.395,8.337,7.155,6.553
 57.3,0.000,0.000,0.000,4981.765,3727.330,2823.276,2213.461,1739.015,1368.162,1118.410,893.230,737.886,602.886,503.113,433.827,360.299,331.320,287.437,261.942,221.890,202.047,190.044,158.128,134.988,124.037,117.221,116.382,98.255,94.727,79.977,80.289,65.886,63.697,60.944,57.972,53.861,48.948,47.185,44.029,40.050,37.791,33.810,33.266,29.391,28.538,25.303,26.329,24.149,23.157,19.804,19.629,18.719,17.519,21.673,17.672,15.800,14.121,15.411,13.218,13.839,11.211,14.029,10.707,9.948,10.909
 59.4,0.054,0.000,815.421,5398.251,4022.311,3126.074,2479.878,1920.313,1571.040,1270.379,1015.640,831.400,685.016,587.615,510.763,440.302,391.241,343.464,296.832,266.150,233.718,214.626,194.347,161.493,151.981,144.395,134.886,126.020,110.066,103.869,100.520,87.316,86.797,77.546,70.723,68.364,64.347,59.673,57.869,51.225,45.388,45.794,41.420,35.762,35.717,33.119,32.036,29.753,30.200,28.528,26.876,26.966,26.171,23.084,23.167,19.026,18.110,22.741,17.522,16.147,15.924,16.610,14.522,14.813,14.553
 61.5,0.204,1.539,3372.819,5763.478,4327.688,3434.624,2806.663,2144.060,1755.318,1429.435,1161.655,948.014,772.577,653.475,583.092,534.631,446.501,398.719,355.731,311.351,286.552,256.848,231.756,204.734,190.557,164.013,165.458,147.511,137.554,122.998,122.140,108.883,105.078,97.081,87.925,85.120,74.555,73.424,67.689,63.225,55.608,54.064,59.582,48.721,43.481,42.479,39.374,39.197,37.044,35.959,33.320,32.013,30.784,27.909,28.629,27.146,26.220,23.654,24.462,21.437,21.826,19.777,19.263,18.315,20.075
 63.8,0.091,12.375,6646.828,6086.134,4688.060,3712.166,3015.344,2346.943,1942.370,1622.028,1304.895,1101.475,900.000,771.951,676.474,607.047,526.153,453.028,416.215,365.459,331.081,303.459,264.463,237.416,227.065,193.830,193.519,174.227,165.517,148.792,147.077,135.219,123.279,117.146,105.639,102.370,91.746,87.551,84.595,80.196,77.050,68.237,65.691,64.143,63.344,58.374,48.115,49.828,45.714,47.247,43.507,40.408,42.140,36.967,34.356,33.577,27.886,28.469,29.015,27.644,29.918,23.815,28.320,21.841,23.390
 66.1,0.109,23.381,10150.880,6611.369,5030.563,4111.968,3327.314,2585.072,2139.629,1766.630,1457.999,1242.935,1044.199,888.474,777.084,685.444,595.904,518.146,492.768,439.054,376.621,339.348,322.554,290.320,272.862,239.503,234.745,210.633,198.662,179.264,182.073,155.001,152.753,144.946,128.747,131.122,115.575,114.632,107.681,97.404,92.103,81.493,72.153,75.405,73.292,65.689,63.222,60.706,62.701,58.825,53.517,47.386,50.170,42.635,45.639,42.973,40.556,37.538,37.439,36.923,36.209,31.413,31.145,30.940,27.137
 68.5,0.116,22.534,14825.184,7082.506,5399.964,4483.870,3606.793,2881.479,2408.050,1979.780,1719.721,1393.447,1183.413,995.899,900.609,796.472,694.817,609.390,556.685,505.450,453.311,401.731,371.547,344.736,321.290,285.866,286.782,251.253,240.039,224.811,226.959,191.854,178.829,171.201,159.485,150.722,128.776,127.982,118.283,117.059,107.722,101.935,98.800,92.688,88.214,87.213,72.379,77.128,66.356,75.687,66.989,60.001,60.485,54.366,54.032,50.270,51.133,47.987,46.729,40.333,40.291,37.553,43.244,34.227,34.020
 71.0,0.000,17.778,19085.501,7073.084,5493.888,4393.774,3496.226,2901.993,2438.973,1976.157,1668.218,1378.896,1206.593,1048.335,905.525,781.479,677.803,610.255,568.759,505.550,450.360,392.733,362.582,349.371,314.698,285.896,257.221,242.514,232.728,215.189,215.935,184.923,174.990,164.010,153.056,141.850,141.318,125.615,124.837,109.245,103.624,97.394,100.535,86.550,90.017,78.979,70.843,79.782,66.668,71.366,63.339,61.644,56.554,57.012,48.237,52.319,53.443,44.512,42.973,42.770,43.025,35.584,42.666,38.176,32.653
 73.7,0.075,10.809,23129.678,7120.958,5461.933,4483.970,3447.630,2973.024,2480.770,1989.636,1663.080,1432.629,1261.036,1042.787,931.069,795.529,683.598,619.896,540.228,498.685,445.137,396.637,360.431,335.969,323.842,285.984,272.585,247.777,232.506,223.574,207.952,175.885,166.406,173.411,147.175,139.253,129.596,123.819,117.370,109.815,98.913,103.433,105.243,83.794,83.393,70.275,71.647,73.376,62.154,66.902,65.323,56.417,59.728,53.430,51.920,44.850,49.302,41.309,43.095,43.841,37.693,34.207,33.565,35.396,35.757
 76.4,0.099,8.509,28155.062,7627.495,5797.138,4818.080,3876.355,3230.120,2775.411,2184.522,1866.378,1589.281,1361.098,1100.164,1043.433,890.650,753.638,691.718,623.239,550.575,545.491,438.335,398.375,376.777,368.112,324.786,291.967,285.578,266.892,243.143,231.157,216.737,191.808,195.295,171.887,159.920,149.806,133.120,128.104,123.738,122.552,124.166,117.439,101.017,105.048,92.603,86.610,80.569,71.825,77.561,74.568,60.368,65.039,56.547,60.059,50.158,55.842,53.968,44.103,49.965,43.983,44.413,45.361,38.351,38.574
 79.1,0.039,5.432,30520.538,7844.616,6282.778,5142.826,4172.721,3511.927,2935.182,2369.467,2026.850,1714.209,1468.831,1280.956,1175.116,974.254,819.212,758.639,708.848,624.737,573.701,510.859,457.396,429.931,393.684,356.407,339.041,319.996,283.962,259.794,247.422,230.750,219.619,215.886,186.526,182.670,172.163,158.626,148.804,142.059,136.332,131.215,119.285,111.081,113.606,101.960,99.342,92.308,82.133,90.157,81.919,76.560,78.963,69.086,63.218,58.486,67.238,56.665,56.337,56.123,52.169,49.866,46.695,48.068,41.357
 82.0,0.000,3.551,31708.892,8557.508,6795.387,5521.278,4441.175,3888.909,3176.056,2771.760,2200.015,1911.558,1617.269,1405.539,1285.260,1120.961,960.129,838.223,751.114,683.028,633.155,555.430,507.611,475.674,471.069,422.047,364.753,339.822,323.434,310.187,273.590,274.024,244.433,235.519,209.803,208.068,196.538,173.908,161.693,149.409,165.347,146.656,141.271,127.321,127.956,123.678,106.527,103.885,100.183,101.444,97.624,94.503,83.590,79.545,70.836,69.973,70.083,68.119,71.966,60.604,63.399,56.518,55.783,51.048,48.732
 85.1,0.092,2.813,32536.920,9054.088,7225.009,6059.382,5096.392,4140.816,3456.932,2930.401,2395.245,2141.923,1792.471,1561.131,1436.674,1200.720,1022.891,954.029,850.323,768.363,730.197,616.804,579.450,565.086,506.855,448.054,427.980,379.543,373.474,350.949,314.552,310.384,278.897,257.299,241.146,231.157,219.591,210.200,192.086,176.308,169.295,169.591,157.126,152.809,150.920,133.810,124.530,130.611,116.622,112.213,105.734,109.996,92.271,88.368,87.681,87.691,81.523,75.923,74.442,63.366,70.589,68.469,62.836,56.912,50.219
 88.2,0.000,2.276,32847.093,9775.480,7904.585,6364.129,5399.910,4664.983,3758.651,3235.908,2718.749,2337.960,1989.558,1853.282,1572.506,1368.961,1180.936,1069.037,982.345,854.486,792.520,730.243,665.225,644.693,582.865,515.873,498.362,446.486,450.843,401.611,342.636,338.935,305.693,294.057,281.863,264.700,256.983,227.722,220.346,207.499,201.447,182.043,177.132,175.062,164.877,151.617,157.137,140.199,133.271,125.846,122.728,128.992,109.829,109.827,98.555,97.534,94.894,85.847,77.629,82.163,70.855,74.210,75.991,67.824,60.910
 91.4,0.241,1.630,32260.568,10510.256,8562.274,7036.122,5784.995,5015.008,4158.807,3602.835,2974.680,2588.335,2294.664,2007.927,1729.899,1525.924,1309.857,1221.871,1061.531,1012.901,911.443,816.155,751.615,706.151,633.485,611.176,537.430,494.972,487.840,450.268,405.850,377.522,359.099,349.325,321.127,303.466,312.209,275.892,249.930,230.862,230.549,214.848,199.230,186.302,187.389,169.859,163.050,148.602,154.432,142.103,136.940,135.179,127.722,128.225,106.726,116.785,107.841,103.052,98.176,89.489,87.950,84.631,79.812,76.278,74.267
 94.7,0.082,1.355,31185.332,11151.948,9322.601,7520.810,6526.492,5556.517,4554.519,3887.532,3231.447,2896.409,2523.663,2145.851,1882.966,1683.028,1465.382,1368.227,1165.693,1119.348,1006.080,940.729,830.570,796.490,706.151,662.716,605.328,556.700,554.123,524.271,452.596,427.724,402.324,394.044,360.293,349.295,326.223,299.810,281.326,257.888,244.917,260.557,238.219,218.691,201.103,196.440,185.756,179.148,168.202,160.875,163.008,150.063,135.182,136.283,128.619,123.276,129.031,116.729,109.853,101.937,91.957,99.824,92.205,86.967,78.293
 98.2,0.000,0.926,30175.018,12217.061,9993.596,8144.571,6931.575,6074.760,5207.752,4375.651,3633.754,3129.236,2650.456,2394.592,2139.631,1920.651,1648.482,1555.652,1321.143,1239.841,1137.035,1092.834,931.804,895.892,782.731,752.550,696.611,639.218,628.701,591.880,525.696,478.875,467.189,449.251,413.145,382.672,366.939,347.765,315.671,298.461,291.669,275.524,277.595,247.172,236.633,232.994,212.861,200.936,190.421,188.189,184.103,161.458,161.056,163.547,142.561,147.040,137.616,130.513,125.457,112.871,105.354,112.457,102.394,100.320,92.764
101.8,0.288,1.386,29297.070,13098.897,10905.652,8863.651,7645.834,6613.525,5693.397,4656.541,4016.300,3528.616,3009.397,2671.335,2364.974,2121.754,1868.655,1729.321,1526.425,1397.445,1280.148,1225.667,1048.975,973.979,880.818,848.097,776.287,732.277,681.154,645.560,585.231,555.759,535.374,514.019,487.498,446.763,439.123,414.243,377.966,355.280,329.145,309.054,302.335,286.833,279.361,255.930,253.556,233.941,228.203,207.480,214.153,198.501,183.653,187.759,169.188,169.515,146.030,152.233,148.014,136.187,131.051,129.788,118.199,119.150,106.953
105.5,0.045,0.823,28345.185,13957.884,11678.451,9658.743,8507.255,7124.604,6037.008,5133.484,4459.201,3996.017,3296.711,2845.292,2570.377,2362.442,2151.566,1897.870,1672.536,1557.149,1437.440,1351.304,1204.344,1106.223,1004.729,956.727,942.919,842.600,788.679,723.435,680.434,609.400,643.205,571.263,548.639,503.729,469.507,468.594,425.327,410.835,376.961,351.117,343.628,328.102,315.811,316.997,283.985,262.046,266.897,233.539,258.098,235.240,214.582,206.449,198.290,190.262,177.133,180.472,165.806,157.201,146.505,152.737,136.473,133.348,126.444
109.4,0.141,0.922,28478.344,14888.366,12500.374,10478.103,9128.999,7637.521,6732.798,5687.627,4972.694,4285.820,3565.058,3194.355,2850.044,2589.241,2402.536,2108.516,1936.090,1727.051,1566.097,1482.668,1353.022,1222.327,1108.762,1061.755,1030.821,945.461,872.843,832.840,767.009,732.001,712.505,652.693,644.615,575.992,532.654,526.399,496.368,483.642,437.101,414.255,390.395,381.177,361.748,355.246,318.616,302.688,307.869,278.963,284.612,266.275,240.830,240.633,234.812,220.931,211.328,199.185,189.354,173.629,167.684,169.783,169.575,157.829,131.419
113.4,0.000,0.571,27807.781,15449.106,13155.650,11161.962,9731.365,8310.514,7123.243,6101.231,5401.801,4681.481,3997.785,3492.653,3132.406,2829.464,2615.543,2332.297,2118.315,1893.453,1739.537,1689.009,1506.931,1404.767,1272.477,1174.446,1183.542,1069.535,1011.178,942.130,869.211,818.578,829.019,710.290,718.226,645.352,611.801,624.811,551.012,544.784,482.038,453.997,446.986,417.708,400.741,408.208,351.127,350.956,353.832,314.885,316.123,299.766,281.627,269.034,273.604,252.162,234.722,223.348,221.677,207.139,191.944,196.449,179.898,179.136,160.149
117.6,0.047,0.908,27240.917,16578.859,13770.522,11691.941,10601.684,8796.580,7781.971,6711.044,5804.863,5166.846,4373.654,3775.963,3460.377,3133.953,2917.715,2564.742,2345.594,2096.648,1969.146,1853.502,1666.581,1547.099,1482.332,1332.329,1308.199,1227.117,1152.313,1068.449,997.573,910.436,902.627,823.499,802.360,748.316,684.393,676.377,627.834,620.915,555.611,529.420,502.882,490.909,455.641,452.094,403.538,409.449,410.340,362.879,350.038,335.454,312.942,318.083,301.817,298.133,270.023,266.780,247.160,240.888,233.935,221.298,213.516,206.549,199.302
121.9,0.046,0.699,27681.158,17122.084,14492.414,12484.341,11216.339,9329.827,8325.686,7079.452,6234.602,5490.468,4728.362,4121.011,3751.394,3388.635,3095.550,2827.036,2625.115,2336.715,2155.753,2002.256,1867.409,1707.445,1617.786,1455.379,1449.204,1394.708,1290.126,1177.023,1110.922,1013.424,982.192,944.854,916.818,814.432,791.658,760.099,720.203,697.984,633.618,594.097,570.677,550.337,517.452,499.453,462.399,458.669,417.737,416.684,404.595,377.000,363.349,346.535,346.557,331.898,308.663,287.266,280.371,278.119,248.089,245.769,236.746,220.486,213.875
126.3,0.000,0.612,27114.731,17665.416,15240.856,13261.431,11713.894,10172.557,8838.801,7695.865,6684.740,5905.952,5088.777,4476.364,4091.125,3714.807,3420.083,3055.177,2854.545,2557.261,2372.943,2261.424,2024.529,1906.380,1768.009,1677.437,1575.630,1496.259,1420.590,1321.621,1263.017,1143.241,1111.357,1054.210,997.647,920.337,898.749,850.475,815.699,776.328,700.665,679.206,650.849,613.912,596.117,568.406,526.521,510.975,491.123,458.868,439.349,412.912,416.320,399.240,382.275,361.246,350.898,340.309,319.217,309.048,295.975,280.602,262.788,258.142,244.174
131.0,0.136,0.304,26956.401,18409.410,15847.954,13903.071,12307.004,10623.702,9265.559,8126.715,7133.671,6348.490,5527.919,4782.363,4374.853,4059.612,3650.566,3335.027,3041.702,2796.885,2601.466,2385.559,2197.905,2092.019,1927.669,1819.102,1713.218,1656.314,1550.024,1456.103,1363.167,1276.130,1260.273,1148.505,1089.862,1054.136,997.807,932.995,900.595,859.608,787.542,745.792,714.355,696.160,641.757,623.397,578.050,567.472,532.661,522.511,505.797,466.006,458.358,439.269,429.414,412.183,401.597,382.950,377.866,342.093,346.999,307.473,304.061,292.513,279.585
135.8,0.031,0.302,27367.397,18916.898,16319.445,14207.510,12720.544,11040.138,9749.036,8555.961,7349.094,6640.269,5892.496,5148.082,4690.577,4321.851,3963.750,3611.137,3346.035,3065.638,2779.338,2610.286,2407.202,2274.778,2114.760,1989.775,1911.856,1808.234,1690.243,1614.141,1503.341,1416.462,1356.694,1260.641,1200.426,1153.434,1086.288,1005.022,986.149,929.308,863.395,825.837,805.811,760.982,707.538,690.794,659.791,643.050,603.518,575.925,559.153,527.682,512.414,486.702,470.799,434.703,448.122,422.559,415.198,388.302,382.772,357.066,336.499,310.638,315.449
140.7,0.000,0.325,27640.543,19280.755,16533.467,14739.032,12988.800,11550.900,10194.626,8926.235,7770.713,6917.329,6110.665,5473.461,4960.302,4511.382,4179.762,3848.905,3577.371,3259.653,3023.485,2802.811,2572.093,2461.968,2317.228,2175.798,2032.259,1960.772,1847.506,1757.784,1635.975,1531.239,1468.112,1377.982,1332.145,1234.221,1182.427,1119.876,1085.268,1002.250,972.464,931.186,862.854,825.580,796.899,765.443,711.276,699.338,661.649,635.766,631.045,605.969,574.262,530.345,523.009,493.231,476.819,461.393,447.698,423.111,410.611,395.984,383.174,351.753,341.538
145.9,0.123,0.389,27384.185,19047.671,16700.402,15028.023,13322.989,11736.867,10440.457,9072.004,8024.285,7191.474,6415.601,5788.878,5226.089,4764.280,4394.837,4084.383,3778.378,3481.058,3185.477,2984.672,2751.352,2592.869,2476.052,2298.943,2171.729,2129.886,1996.490,1917.412,1746.318,1654.354,1593.046,1503.653,1447.884,1374.221,1329.769,1242.675,1175.599,1118.046,1045.078,982.581,944.515,932.021,873.454,832.834,781.748,769.645,730.067,719.232,688.591,647.241,614.332,600.223,582.739,543.327,521.149,502.631,494.170,475.211,460.070,422.724,409.653,391.323,375.883
151.2,0.000,0.251,26411.458,19102.576,16785.968,15178.223,13575.895,11994.338,10510.187,9419.800,8247.932,7434.044,6744.720,6000.388,5469.078,5006.573,4616.412,4234.246,3947.303,3633.697,3375.255,3155.789,2934.535,2776.404,2642.552,2468.137,2309.839,2212.650,2119.952,2013.656,1888.992,1755.128,1722.537,1620.725,1530.932,1490.762,1396.581,1298.946,1265.575,1186.119,1143.547,1088.954,1014.446,1013.517,947.443,902.074,843.101,794.445,817.699,752.721,737.994,701.654,661.916,638.942,629.727,579.205,575.295,552.129,524.242,511.840,484.886,460.814,450.862,429.006,412.300
156.8,0.000,0.319,25229.700,18846.097,16423.880,14990.335,13442.012,12184.244,10709.661,9522.906,8390.905,7537.787,6812.824,6160.879,5597.794,5134.274,4714.907,4348.434,4129.252,3758.079,3513.949,3288.028,3082.667,2914.020,2764.118,2564.592,2416.211,2324.586,2261.646,2068.033,1983.366,1871.519,1790.812,1696.584,1642.182,1555.429,1491.625,1400.191,1322.803,1255.270,1219.919,1169.800,1102.059,1047.892,1004.954,961.432,896.081,869.697,843.016,818.141,785.648,749.365,731.538,679.207,664.193,634.723,613.810,581.107,582.686,555.993,517.865,495.159,475.948,457.331,440.951
162.5,0.011,0.424,24128.492,18320.175,16188.316,14606.202,13273.346,12185.933,10711.021,9525.546,8550.760,7589.023,6903.343,6244.917,5734.472,5223.962,4887.666,4494.859,4267.574,3906.010,3636.696,3435.399,3147.217,2988.409,2847.538,2691.070,2528.818,2456.704,2356.199,2198.887,2073.626,1952.405,1877.827,1806.772,1696.994,1609.617,1553.412,1460.797,1399.055,1332.566,1273.931,1212.838,1155.997,1117.405,1065.014,1023.099,952.433,927.236,892.894,874.584,831.300,778.637,771.159,739.800,695.175,677.500,657.618,621.642,610.020,590.779,556.114,533.208,505.946,481.853,473.849
168.5,0.000,0.447,22741.849,17544.519,15606.136,14428.181,13137.325,11834.310,10570.292,9493.406,8529.280,7689.121,7000.674,6224.612,5815.510,5309.413,4899.015,4502.966,4275.122,3972.213,3748.501,3497.037,3262.728,3083.770,2986.684,2771.320,2619.243,2520.912,2451.456,2270.647,2158.644,2024.287,1945.801,1878.489,1786.604,1681.529,1639.447,1523.443,1466.571,1383.536,1345.579,1274.342,1226.495,1176.154,1122.764,1063.380,991.206,990.244,931.107,933.169,882.346,829.366,809.540,768.247,748.204,718.303,682.902,652.727,633.371,607.971,581.939,557.694,537.045,511.768,500.166
174.7,0.000,0.320,21371.230,16789.916,15045.011,13777.146,12618.745,11553.605,10413.502,9458.747,8354.247,7688.588,6915.951,6194.694,5781.558,5316.322,4941.016,4617.913,4326.737,4018.925,3819.114,3582.763,3305.362,3135.277,3000.808,2868.607,2689.920,2571.203,2477.683,2339.954,2226.555,2099.063,2020.574,1955.099,1848.086,1771.398,1678.314,1571.251,1527.008,1442.423,1411.291,1329.208,1274.295,1224.733,1180.072,1105.207,1046.517,1017.774,993.648,950.522,917.373,860.153,851.573,802.856,772.679,758.154,726.410,691.390,664.064,644.140,613.996,594.419,569.132,540.638,522.036
181.1,0.000,0.194,19964.656,15665.592,14280.531,13241.154,12036.224,11068.629,9976.145,9141.943,8146.675,7426.324,6765.685,6149.616,5702.951,5269.626,4861.932,4583.273,4343.881,4038.141,3799.557,3589.656,3351.622,3194.883,3014.283,2903.876,2733.516,2634.397,2516.570,2352.367,2242.889,2138.916,2058.546,1987.815,1883.349,1806.847,1726.554,1606.387,1559.485,1493.268,1435.703,1358.235,1314.717,1256.926,1219.373,1148.141,1076.901,1058.731,1019.656,988.325,957.392,913.842,884.744,830.134,806.173,765.380,741.733,708.922,696.290,659.775,631.595,608.831,582.018,560.086,530.667
