Start Time	16:09:00	16:12:00	16:15:01	16:18:00	16:21:01	16:24:00	16:27:01	16:30:00	16:33:00	16:36:00	16:39:00	16:42:00	16:45:00	16:48:00	16:51:00	16:54:00	16:57:00	17:00:00	17:03:00	17:06:00	17:09:00	17:12:00	17:15:00	17:18:00	17:21:00	17:24:00	17:27:00	17:30:00	17:33:00	17:36:00	17:39:00	17:42:00	17:45:00	17:48:00	17:51:00	17:54:00	17:57:00	18:00:00	18:03:00	18:06:00	18:09:00	18:12:00	18:15:00	18:18:00	18:21:00	18:24:00	18:27:00	18:30:00	18:33:00	18:36:00	18:39:00	18:42:00	18:45:00	18:48:00	18:51:00	18:54:00	18:57:00	19:00:00	19:03:00	19:06:00	19:09:00	19:12:00	19:15:00	19:18:00	19:21:00	19:24:00	19:27:00	19:30:00	19:33:00	19:36:00	19:39:00	19:42:00	19:45:00	19:48:00
Diameter Midpoint
 22.5	0	0	18677.5	7792.27	4178.47	2123.06	1356.56	987.185	918.782	386.296	442.422	141.891	353.909	258.798	61.5891	161.146	82.6763	65.5446	126.748	51.6106	11.1321	31.841	31.9651	13.2191	35.8428	33.6053	14.5164	0	0	0	18.1957	15.804	0	18.7131	17.4866	0	17.9102	0	0	0	0	0	0	40.3754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 23.3	0	0	19789.2	8345.68	4317.19	2333.07	1501.75	1068.48	826.544	593.842	365.937	391.225	330.439	152.994	178.312	110.947	9.24484	116.45	140.175	80.9426	87.9521	44.8119	0	41.05	10.9625	69.8747	15.1311	51.4034	17.3591	36.783	0	33.5747	14.5897	17.4491	0	0	36.4484	0	0	0	17.1334	0	17.6774	3.87021	18.8008	0	0	0	0	18.319	18.6041	0	0	18.7916	0	0	0	0	0	0	0	0	0	0	0	0	19.2287	0	0	0	0	0	0	0
 24.1	0	0	20078.7	8869.2	4452.29	2799	1840.06	1115.72	1090.09	646.085	429.773	436.466	456.511	248.126	212.354	240.529	90.508	77.1332	145.615	153.804	64.1494	18.5397	144.778	1.43156	6.93475	10.3623	40.7946	24.6858	97.2634	44.187	0	30.8257	0	14.9355	0	0	13.2874	16.335	32.9493	0	17.541	15.3876	0	11.5809	17.1012	0	0	0	0	0	0	17.2517	0	0	0	18.1837	17.4135	0	0	17.25	0	0	0	0	16.9883	0	18.1796	0	0	0	16.8922	0	18.0254	0
 25.0	0	0	21793.7	9887.81	5182.67	3928.2	1978.67	1480.53	1437.58	977.97	835.507	422.093	424.777	477.266	239.118	214.384	145.433	186.334	148.108	113.075	60.8071	93.4169	219.52	22.5242	0	69.5339	18.5176	0.228763	52.4842	22.0805	42.3849	20.086	0	62.3323	0	13.4209	5.93008	63.9652	0	30.4696	15.1843	0	0	32.6634	32.2796	0	0	0	0	0	27.3295	8.14119	16.371	16.0285	0	0	10.6002	0	0	0	33.2446	0	16.8594	9.93514	0	0	0	15.9934	10.1404	0	0	0	0	0
 25.9	0	0	22861.6	11302	5584.75	4224.29	2715.16	2185.29	1682.98	1128.8	870.72	547.407	510.291	688.561	406.873	434.837	269.194	209.195	210.779	163.009	118.601	81.9175	114.712	95.3458	54.4794	72.3737	93.0116	91.5889	52.9658	60.4177	19.8365	0	8.32495	6.63514	19.5224	0	15.5116	9.55202	28.3812	0	28.5691	0	0	29.4209	12.4653	12.8752	11.9102	15.6071	0	13.4664	35.312	36.7188	15.158	0	14.238	14.3476	20.4916	0	14.4803	0	0	15.5148	15.117	4.85579	0	0	0	15.6561	4.72322	0	0	0	16.2626	0
 26.9	0	0	25279.5	12194.6	7016.17	5101.32	2853.4	2591.61	1946.49	1424.72	1194.82	1038.76	710.642	521.763	431.852	498.51	444.652	361.501	184.615	186.738	54.4959	140.42	169.193	170.387	92.8227	20.868	88.789	24.9747	60.9096	41.0248	11.5798	92.9647	66.0107	14.9976	36.8413	37.7504	22.1365	22.6522	21.7929	24.4129	26.0336	0	25.6772	9.7819	12.7287	42.6555	26.4539	29.264	12.4143	13.3907	14.9269	0	0	0	0	0	13.7646	0	0	45.5814	0	0	0	13.7105	0	14.8415	0	0	0	14.0241	0	0	0	0
 27.9	0	0	26763.8	14326.8	7545.3	5451.8	4484.54	3132.06	2687.4	1806.45	1350.28	1048.84	855.147	745.155	721.482	509.907	509.559	490.532	201.587	148.999	164.223	131.685	274.109	68.906	155	144.468	103.877	163.801	81.5968	51.1701	46.8431	100.121	42.0202	108.87	13.7327	0	0	45.2603	33.3172	36.8928	21.5495	0	20.3705	23.045	41.1439	0	99.5658	0	23.8576	0	10.8906	10.4664	24.6318	10.805	0	14.1422	0	0	0	0	12.2826	10.6784	0	28.393	0	14.6584	0	0	13.5774	27.6916	0	0	13.1965	0
 28.9	0	0	30603.3	14055.8	9013.52	7079.47	5076.25	3408.3	2682.93	2259.47	1639.02	1311.67	1152.67	948.14	701.618	742.477	650.251	321.563	425.155	330.886	312.594	324.562	206.978	157.912	222.736	122.583	243.84	168.131	161.398	147.143	181.705	63.5083	89.3447	46.2594	69.4845	38.3055	36.7733	54.7453	54.7078	0	67.6381	2.11944	13.8656	51.9025	20.5123	16.2885	45.1151	4.90613	20.9583	35.601	22.4112	24.6632	0	0	39.8021	4.63768	10.2301	0	37.3231	0	0	0	25.563	0	11.9882	0	28.1969	0	13.5229	0	0	0	11.5177	0
 30.0	0	0	30907.7	18592.4	10588.3	7742.71	5550.29	4287.02	3656	2364.59	1766.12	1553.29	1262.91	1462.94	793.134	945.986	937.201	578.238	564.57	712.489	375.134	401.91	258.882	367.767	305.096	252.579	150.069	135.719	124.866	120.497	153.799	95.338	88.1279	75.5924	167.614	122.669	30.7955	94.1312	98.2976	0	88.1236	37.9272	66.1663	35.6491	32.9865	78.1345	68.397	18.1181	3.46377	13.7976	17.4499	33.8908	25.9055	48.3291	0	19.9808	3.26621	21.2338	34.9654	23.1944	0	0	10.47	0	0	15.2848	24.0652	10.9435	0	13.1026	0	0	0	24.7046
 31.1	0	0	34018.4	20272.4	11431	9242.86	6538.51	4667.02	3635.57	3132.61	2655.66	1889.94	1341.05	1356.17	1149.47	1129.35	752.341	895.098	758.293	641.421	388.304	501.846	369.628	271.752	285.608	369.892	284.928	283.094	155.495	169.917	190.016	87.9228	176.714	95.4365	59.9886	14.958	82.0936	87.4008	28.103	41.8114	33.3975	0	79.4296	9.38073	70.111	97.7891	51.6763	27.205	48.6959	36.2975	41.97	17.886	39.3419	2.60809	19.8121	1.2074	18.9239	33.8902	0	5.55262	6.4827	19.3253	0	5.37333	7.99999	16.242	22.0608	10.4054	8.45491	10.596	11.5605	1.25666	0	29.8525
