Relative Humidity (%),25.6,23.2,21.2,19.6,18.2,17.0,16.0,15.1,14.3,13.6,13.1,12.6,12.1,11.7,11.4,11.0,10.7,10.5,10.2,10.0,9.8,9.7,9.5,9.6,9.4,9.2
Mean Free Path (m),8.48930e-008,8.48930e-008,8.48930e-008,8.48930e-008,8.48565e-008,8.48565e-008,8.47507e-008,8.47507e-008,8.47507e-008,8.47507e-008,8.47507e-008,8.48565e-008,8.48565e-008,8.48565e-008,8.48565e-008,8.48199e-008,8.48199e-008,8.48199e-008,8.48199e-008,8.48199e-008,8.48199e-008,8.49260e-008,8.48894e-008,8.49260e-008,8.49260e-008,8.49260e-008
Gas Viscosity (Pa*s),1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 25.0,0.000,0.000,0.000,46274.135,27735.128,19403.988,13885.250,10196.815,8067.876,6038.062,4623.990,3592.968,2884.855,2189.279,1798.620,1416.807,1227.242,964.129,722.134,664.992,577.297,407.157,607.505,460.779,412.882,314.718
 25.9,0.000,0.000,0.000,48986.029,29263.233,20924.378,15366.239,11126.848,8747.875,6848.655,5349.972,4018.059,3177.936,2348.993,2037.316,1702.927,1418.073,1154.864,922.965,932.458,763.858,614.896,655.606,523.187,505.490,519.603
 26.9,0.000,0.000,0.000,48414.560,30353.093,22755.914,16571.711,12696.450,9789.842,7803.108,5967.688,4813.324,3661.445,3224.743,2374.362,1944.503,1860.850,1479.494,1062.399,887.185,792.832,806.102,796.290,739.015,660.139,625.840
 27.9,0.000,0.000,0.000,51580.356,33015.081,24668.283,18199.127,13845.005,10292.082,8493.189,6714.364,5147.056,4308.243,3253.591,2632.960,2265.889,1784.969,1589.818,1421.135,1135.550,1016.468,882.057,1022.401,828.771,686.101,740.205
 28.9,0.000,0.000,0.000,51796.591,34972.638,25779.207,19669.204,15178.161,11993.867,9444.376,7358.679,6103.377,4756.210,4022.643,3325.653,2630.793,2302.813,1883.479,1675.577,1439.216,1189.091,1129.592,1110.711,1119.273,1045.605,806.036
 30.0,0.000,0.000,0.000,54701.345,36068.700,27197.428,21105.954,16520.364,13223.134,10485.243,8465.273,6170.749,5343.086,4356.155,3645.315,3113.836,2755.679,2424.286,2088.158,1701.805,1318.150,1179.412,1485.802,1211.361,1114.279,1086.936
 31.1,0.000,0.000,0.000,56592.003,37693.435,28974.596,22920.433,17990.228,14042.045,11147.911,9431.705,7272.001,5938.420,4955.932,4363.813,3650.036,2997.750,2681.128,2357.734,1991.655,1699.774,1557.372,1584.032,1629.438,1192.545,1198.230
 32.2,0.000,0.000,0.000,58296.245,39751.128,30568.608,24314.889,18474.666,15353.495,12187.390,10348.406,8336.653,7025.151,5762.635,4849.367,3861.545,3461.012,3283.629,2541.020,2338.008,2142.710,1693.458,1950.624,1800.473,1631.150,1486.652
 33.4,0.000,0.000,0.000,61259.648,42406.193,32274.380,26595.967,20536.195,16744.025,13207.925,11068.474,9122.952,8014.707,6162.417,5395.439,4648.683,3887.248,3300.444,2941.751,2502.950,2307.852,1899.758,2446.042,2137.817,1836.309,1891.159
 34.6,0.000,0.000,0.000,63107.408,42470.952,34780.279,27674.902,21186.445,18203.420,14612.648,12265.238,9828.891,8484.845,7116.406,6261.914,5511.375,4384.156,3705.286,3547.344,3149.823,2700.847,2231.021,2557.078,2515.471,2113.433,1977.062
 35.9,0.000,0.000,0.000,64522.706,45479.749,36198.037,28406.784,23642.761,19037.311,15784.651,13977.799,10855.390,9180.220,8248.800,6803.301,5594.481,5396.295,4415.382,3882.754,3446.833,2780.104,2480.335,2962.075,2776.328,2517.808,2224.775
 37.2,0.000,0.000,0.000,66328.969,47331.685,37102.317,29902.453,24668.966,20503.751,17398.180,14530.638,11959.046,10286.200,8452.530,7589.842,6436.589,5870.179,5199.715,4329.065,3765.321,3575.409,3151.192,3484.092,3011.098,2985.923,2488.257
 38.5,0.000,0.000,0.000,66945.540,48946.992,39414.607,31828.103,26539.007,22093.372,18456.413,15335.663,12825.186,11245.373,9341.327,8497.922,7256.844,6568.335,5788.915,4952.361,4332.497,3878.042,3406.227,3836.681,3518.835,3192.876,2751.718
 40.0,0.000,0.000,0.000,68141.955,49613.919,39960.458,34040.352,28215.492,23212.864,19214.257,16374.417,14243.167,12480.652,10443.146,9245.040,8163.331,7187.093,6029.668,5263.318,4721.514,4346.876,4014.383,4551.003,4122.601,3733.524,3228.064
 41.4,0.000,0.000,0.000,69244.725,52765.080,41848.461,35091.758,29110.390,24198.762,20550.991,17793.226,15709.924,13672.128,11471.439,10060.257,8182.871,7961.300,7064.487,5936.680,5300.806,4785.106,4382.550,5053.073,4413.079,4135.107,3867.073
 42.9,0.000,0.000,0.000,69968.432,54421.880,43714.151,37019.629,31114.838,26179.736,22163.893,19506.423,16642.496,14668.082,12064.774,11038.936,9383.315,8317.427,7856.589,6581.577,6116.205,5626.555,4760.465,5854.428,4796.273,4480.712,4234.980
 44.5,0.000,0.000,0.000,71854.521,54925.335,45379.536,38676.291,31901.438,28170.115,23975.647,20725.392,17680.965,15047.978,13688.891,11805.188,10436.721,9393.318,8563.967,7345.605,6321.941,5843.943,5225.221,6442.301,5572.006,4975.990,4863.118
 46.1,0.000,0.000,0.000,73500.527,57385.753,47149.859,40205.895,34326.608,29839.881,25695.807,22065.091,19344.182,16137.753,14619.326,12957.012,11376.148,10283.102,9218.153,7993.006,7517.641,6471.610,5438.034,6583.546,6206.888,5690.719,5276.278
 47.8,0.000,0.000,0.000,75843.615,59137.880,49371.415,43499.895,36237.004,30872.793,27275.367,23998.128,20859.548,18088.389,16170.565,13743.663,12662.765,11342.395,10159.073,9389.804,8432.682,7831.970,6484.430,7483.535,7156.354,6685.340,5953.851
 49.6,0.000,0.000,0.000,80269.843,62252.755,52360.597,44475.722,38701.778,34364.442,29675.010,25551.571,22774.506,20086.878,18042.197,15776.120,14004.862,12835.253,11224.216,10250.937,9323.512,8741.447,7602.026,8624.544,8423.660,7279.873,7127.099
 51.4,2.723,0.000,0.000,82035.257,65457.239,55797.090,47364.835,41938.926,36856.613,32021.828,28260.667,24435.451,22145.724,19352.051,17466.383,15972.344,14633.041,12737.475,11463.873,10827.913,9440.429,8552.246,9802.852,9046.355,8268.105,8226.597
 53.3,0.000,0.000,0.000,85313.589,68139.332,57589.034,51026.735,44557.046,38629.870,34313.692,29561.102,26149.936,23657.931,20614.223,19049.122,16794.416,15727.350,14213.914,13030.483,11382.469,10676.973,9391.191,10941.780,9960.068,9014.600,8928.908
 55.2,0.000,0.000,0.000,90089.073,70442.403,60862.873,53710.537,48176.560,41081.435,36789.708,32095.851,28639.243,25458.727,22392.684,20433.535,19131.616,17095.340,15409.552,14202.700,13117.405,11992.015,10399.312,12187.826,11430.128,10390.898,10155.071
 57.3,0.000,0.000,0.000,93787.205,75208.239,63806.509,57568.023,51688.282,43839.494,39413.072,34571.002,31074.528,28386.834,25429.548,22910.123,20030.937,19223.816,16704.744,15798.904,14223.529,13507.855,12147.652,13838.455,12777.408,12139.617,11115.141
 59.4,0.000,0.000,0.000,98961.689,78417.847,69439.282,61601.847,55036.848,48202.530,41992.888,37474.920,33488.662,30087.485,27313.695,25218.063,22331.473,20875.544,18167.945,17012.522,16239.268,14757.142,12997.549,14948.334,14372.529,13122.999,12392.452
 61.5,0.000,0.000,0.000,104901.751,84840.722,73781.093,65533.159,57680.962,50904.787,46147.388,41259.167,37276.282,32486.061,30274.133,27107.254,24531.053,23083.464,20819.561,19657.223,17793.010,15888.881,14950.864,17206.783,16057.637,14430.646,13772.770
 63.8,1.769,0.000,0.000,112061.856,89397.498,77180.754,68657.047,62102.133,54839.728,49673.369,43688.082,40190.342,35815.841,32061.708,29351.014,27034.175,25499.228,22793.363,22127.908,19686.245,18336.670,15934.064,18508.421,17201.581,16322.944,15114.678
 66.1,0.618,0.000,0.000,115062.992,95342.205,81803.488,75561.163,66833.476,58740.732,53584.872,47011.271,42789.476,39371.941,34624.135,32581.802,29601.697,27766.113,24594.069,23799.865,21244.684,19790.947,18261.762,21412.696,19099.874,17985.659,16845.347
 68.5,0.000,0.000,0.000,122019.693,99421.969,88347.443,79666.341,70984.814,63286.574,57041.011,50431.625,46752.556,42721.452,38083.130,33786.378,32549.766,30049.922,27068.168,25475.789,22945.747,21047.036,20822.565,23285.681,20705.254,19444.430,18868.872
 71.0,0.000,0.000,309260.377,121495.237,98609.963,87414.676,79702.049,71384.186,62679.599,57196.064,51137.607,46616.663,42564.797,37899.319,35456.486,32226.971,29901.060,28171.636,25995.337,22825.133,21913.728,19934.975,23062.372,20875.534,19723.972,19146.583
