Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\COMP_Water_SMPS_100nm700nm_20230523.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12
Date,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23
Start Time,12:34:00,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:01,13:04:00,13:07:00
Diameter Midpoint
101.8,508.626,292435,309187,310379,314786,320614,342.911,481.493,288201,282662,287431,291188
105.5,387.008,235000,247044,245954,252058,259575,422.561,326.491,229441,235217,230363,235960
109.4,531.18,174754,181943,183545,188276,199630,440.262,346.701,173541,180129,172349,177270
113.4,0,118640,123357,125634,129872,140886,319.837,198.778,118344,129361,121672,121552
117.6,0,73301.8,76409.2,79171.4,81627.4,91477.8,385.237,189.452,76830.5,86616,78111.9,76412.1
121.9,0,48450.2,51378.2,53235.3,55005.6,63865.4,385.174,57.8022,53577.2,62887.5,55374.5,53850.1
126.3,0,39928.4,43164.9,43465.4,44306.9,52252.7,473.503,78.26,43102.7,50720.5,45283.7,43767.2
131.0,0,35559.1,37880.9,37086.2,39803.8,45641.1,423.6,47.4359,39187.3,42781.9,39389.1,38406.2
135.8,0,30906,33341.1,32398.2,34182.9,39993.5,404.838,0,34227.9,36821.5,34471.2,33968.6
140.7,0,25831.9,28726.9,27355.2,28927.8,34053.2,356.775,0,30108,31827.1,29796.3,29482.9
145.9,0,20207.1,23427.2,22927.5,24194.2,27848.3,456.204,0,24124,25621.3,23710.5,24159.2
151.2,0,16189.6,18738.6,17644.4,18481.5,22286.7,432.891,0,18734.4,18736.9,18308.6,18484.9
156.8,0,11115.9,13936.2,12890.6,12784.1,16017.7,415.218,0,13210.2,14151.9,13987.6,13444.1
162.5,0,8361.39,9987.26,9186.15,9524.95,10962.6,478.879,0,9366.44,10373.1,9250.17,10300.7
168.5,205.317,6276.21,8339.27,6986.44,7489.21,8216.58,482.851,0,7318.77,7950.52,7478.38,7639.23
174.7,3423.12,5548.59,6817.53,5972.77,6053.11,6382.67,466.824,0,5714.03,6186.73,6199.16,6520.55
181.1,5061.2,4363.85,5278.74,4298.88,4798.61,4658.04,345.352,0,4429.1,4932.01,5055.86,5532.2
187.7,5067.42,3387.32,4122.48,3359.28,3558.64,2627.83,476.832,0,3515.07,3341.62,3830.28,4204.93
194.6,4198.53,2236.27,2716.41,2559.74,2094.12,1316.94,420.903,0,2284.43,2312.55,2357.5,2354.06
201.7,3538.03,1617.27,2378.6,1576.42,1801.56,884.891,423.094,0,1987.88,1490.88,1700.9,1864.86
209.1,2882.72,1028.29,1933.16,1455.75,1340.91,655.61,327.257,466.792,1272.74,1467.03,1569.07,1538.29
216.7,2777.14,1310.43,2048.32,1359.69,1275.47,536.603,416.065,948.842,1352.81,1405.83,1454.77,1619.92
224.7,2132.88,1180.56,1551.34,1128.16,1263.97,481.571,288.797,726.297,1217.82,1319.91,1149.49,1050.93
232.9,2039.39,1041.64,1133.47,889.626,1088.37,357.604,447.979,1075.28,1164.36,957.552,1131.88,1128.39
241.4,1530.75,862.76,1254.9,561.406,915.642,372.256,295.523,754.268,740.543,575.553,896.718,701.867
250.3,1028.38,524.256,217.093,75.0817,385.651,413.294,254.696,570.288,381.69,681.444,343.459,532.468
259.5,618.432,130.06,187.82,0,82.1028,303.223,322.236,0,264.653,233.363,279.308,113.717
269.0,587.215,260.116,141.512,0,51.5984,262.67,332.897,251.194,476.477,0,189.391,102.601
278.8,328.604,190.676,261.224,66.7272,0,279.477,314.771,125.901,286.37,0,216.586,84.3682
289.0,0,0,195.808,0,0,263.92,408.56,0,103.646,0,48.394,46.5056
299.6,225.332,231.917,305.163,0,116.704,188.406,306.013,26.612,221.557,66.8011,0,0
