Sample #,1,2,3,4,5,6,7,8,9,10,11,12
Date,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023
Start Time,12:34:02,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:00,13:04:00,13:07:00
Sample Temp (C),22.7,22.6,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7
Sample Pressure (kPa),74.7,80.5,80.5,80.5,80.5,80.6,80.3,80.3,80.5,80.5,80.6,80.5
Relative Humidity (%),24.9,25.2,26.5,27.5,27.0,26.4,26.4,27.8,28.8,27.1,25.5,24.3
Mean Free Path (m),9.11474e-008,8.45439e-008,8.45802e-008,8.45802e-008,8.45802e-008,8.44753e-008,8.47909e-008,8.47909e-008,8.45802e-008,8.45802e-008,8.44753e-008,8.45802e-008
Gas Viscosity (Pa*s),1.83102e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005
Diameter Midpoint (nm)
 53.3,308.186,101987.602,66702.193,90452.964,103614.942,98408.167,326.147,354.726,96730.381,97472.175,94964.860,97907.287
 55.2,324.177,87184.821,60013.558,77256.992,87572.369,84988.225,324.791,329.603,84266.667,83562.691,81594.115,84104.415
 57.3,312.467,74695.925,52659.196,66223.270,76162.470,72202.814,294.907,329.689,70315.333,73957.695,69654.955,72026.948
 59.4,291.807,64592.756,44075.711,55255.754,63785.781,63705.982,258.023,294.354,61835.718,63211.059,59518.162,61067.603
 61.5,286.393,53411.987,38563.839,47063.046,53789.832,52613.603,326.475,290.272,51827.671,52485.292,47441.612,50299.611
 63.8,396.852,42454.062,29435.477,36211.447,41547.823,41035.163,237.795,196.516,41882.704,43071.504,37326.524,40326.037
 66.1,252.836,29823.926,20650.495,26622.379,29709.552,28261.201,262.656,145.149,29570.537,34411.740,27768.874,29847.147
 68.5,260.237,19566.676,13087.929,15148.953,19708.634,18465.613,264.476,106.127,19356.057,24205.873,19452.699,19465.472
 71.0,350.435,12014.429,6624.922,9820.099,10588.277,11150.102,309.120,32.900,13112.339,15604.518,11656.189,11049.116
 73.7,342.804,11020.966,7121.855,6797.321,8390.244,8822.356,252.592,90.593,9531.689,10358.592,7733.527,6506.254
