Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_LRH_20230516_dryerNodryer.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Date,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23
Start Time,10:00:00,10:03:00,10:06:00,10:09:00,10:12:00,10:15:00,10:18:00,10:21:00,10:24:00,10:27:00,10:30:00,10:33:00,10:36:00,10:39:00,10:42:00,10:45:00,10:48:00,10:51:00,10:54:00,10:57:00,11:00:00,11:03:00,11:06:00,11:09:00,11:12:00,11:15:00,11:18:00,11:21:00,11:24:00,11:27:00,11:30:00,11:33:00,11:36:00,11:39:00,11:42:00,11:45:00,11:48:00,11:51:00
Diameter Midpoint
 28.9,0,0,42652.3,109333,54664.6,33406.5,20574.7,13396.7,9582.15,6283.58,4611.7,3891.09,2847.62,2153.08,1618.41,1136.73,1225.31,780.484,666.166,582.303,440.935,555.879,410.2,269.178,255.966,224.605,164.803,200.128,184.969,150.27,59.1068,86.8522,64.7389,91.163,221.962,39.6361,50.2057,51.5269
 30.0,0,0,155120,110373,60093.6,37195.4,23325.3,16158.7,11012.1,7692.83,5931.01,4251.18,3473.03,2532.95,1906.44,1572.76,1424.86,1077.92,987.247,821.656,532.625,754.294,493.585,443.88,456.473,222.878,202.754,260.658,176.308,166.233,178.159,62.967,177.567,139.787,90.6726,75.5604,90.6726,56.028
 31.1,0,0,327326,112629,64934.4,39065.5,26002.3,18172.7,13108.1,9360.61,6708.52,5021.56,3878.83,3235.76,2478.08,1933.62,1494.2,1453.79,1187.74,1031.64,881.969,665.662,635.721,517.846,360.282,252.669,355.332,419.594,312.37,382.332,253.958,278.768,142.685,176.286,169.685,142.685,79.323,129.094
 32.2,0,0,1.03887e+006,118461,69851.9,43922.2,29366.5,21130.9,15065,10532.8,8540.3,6179.82,5057.88,4211.63,2833.82,2851.17,2249.67,1850.74,1530.91,1348.69,1233.88,907.5,766.52,851.367,732.614,548.425,416.708,442.036,450.369,347.926,319.252,321.224,230.459,252.529,181.088,251.843,262.234,221.882
 33.4,0,0,1.99725e+006,124800,72005.9,47205.5,32663,23708.7,17420.1,12765.7,9714.02,7537.43,6097.24,5137.99,3483.74,3244.58,2815.16,2583.85,2026.21,1454.25,1427.47,1216.29,1039.18,956.27,790.492,868.736,571.756,559.535,462.214,539.613,484.569,538.57,386.402,289.579,252.269,147.546,152.168,196.033
 34.6,0,0,1.92752e+006,128478,79784.3,51425.2,36635.6,27038.4,19419.7,15273.1,11920.7,9717.35,7518.93,5964.94,4820.37,4381.58,3382.44,3002.3,2441.89,2291.84,2054.19,1691.36,1322.33,1138.01,1029.82,1016.39,781.058,811.306,872.399,670.765,466.181,562.009,451.214,505.184,402.766,357.237,294.293,318.015
 35.9,0,0,1.28327e+006,131661,84399.7,56741.8,38247.2,28984,22924.7,17517.5,14554,10923.7,8304.98,7053.96,5850.38,5005.61,4154.15,3723.67,3132.82,2623.55,2589.87,1939.89,1992.98,1761.21,1543.32,1225.37,1041.56,1071.95,745.695,950.323,736.057,690.047,545.719,644.784,498.989,504.869,462.856,449.285
 37.2,0,0,804521,141540,89959.6,63550.5,46090.3,34382.1,26107.7,20847.3,16433.8,13432.9,10580.9,9146.6,7259.66,6007.16,5813.65,4678.18,3938.37,3486.65,2987.84,2799.61,2379.46,2092.57,2139.26,1897.46,1562.94,1682.39,1350.72,1044.7,910.036,792.053,990.624,913.492,674.577,713.916,574.349,600.961
 38.5,0,0,573651,150694,97916.3,67242,52250.9,38989.1,29793.1,23146.5,19749.7,15864.5,13081.5,9975.85,9280.99,7103.49,6408.04,5445.74,4700.74,4133.31,3900.34,3407,2965.87,2521.06,2391.36,2442.95,2084.9,1825.83,1542.52,1491.21,1459.51,1169.41,1059.27,1221.67,1034.1,905.823,758.686,726.654
 40.0,0,0,382761,158568,105002,77061.2,58332,43518,34742.2,27065.2,22223.1,17779,15276.5,12871.9,10971.7,9308.97,8198.16,7015.95,5793.12,5324.65,4713.91,4269.9,3860.85,3414.95,3079.88,2650.71,2655.93,2203.43,2032.5,2051.88,1756.2,1814.91,1244.9,1394.38,1134.1,951.833,1076.05,923.128
 41.4,0,0,253007,169210,114145,85870,64764.8,49553.5,39485.4,31122,26554.2,21071.8,18528.7,15695.3,12764.1,10815.4,9606.87,8692.55,7788.22,6623.47,5712.67,5034.73,4805.18,4408.47,3670.07,3206.88,3052.84,2869.26,2586.5,2320.45,2091.74,2130.04,1903.4,1652.86,1513.21,1603,1432.08,1374.29
 42.9,0,0,161249,186586,127121,93059.4,72401.1,57408.8,45918.3,37022.9,29864.3,24841.8,21861.2,18170.4,15436.7,12754,11594.4,10203,9831.54,7869.47,7177.76,6742.54,6193.01,5199.33,4728.6,4547.7,3941.28,3623.7,3387.93,2933.66,2606.2,2773.71,2306.46,2313.96,1970.45,2045.63,2031.94,1705.08
 44.5,0,0,103772,196638,135663,102693,79560.1,64465.9,52990.7,41558.8,35109.7,30243.7,25299.9,21520.8,18569.2,15911.5,14503.3,12996.9,11095,10131.1,8951.18,8027.87,7181.4,6227.45,5849.51,5473.09,4602.55,4491.34,4065.13,3650.31,3612.43,3726.55,3416.41,3102.46,3095.58,2566.21,2230.4,2152.88
 46.1,0,0,78279.6,209475,148108,115058,89382.5,71569.3,58579.5,49399,41415.4,35026.6,29981.2,26190.6,21635.7,18853.2,16946.1,15185.9,13513.1,12150.9,11140.8,9463.43,8949.25,8219.8,7620.92,6771.48,6375.68,5762.04,5253.46,4920.59,4284.29,4208.06,3627.04,3905.01,3456.85,3085.66,2964.75,2888.03
 47.8,0,0,99969.2,227178,164349,126617,98911.4,83695.1,67033.8,56250.3,47176.2,41094.2,35032.2,31596,26950.8,23604.4,20835.9,18381.8,16374.5,14398.3,13794.4,12058.9,10546.3,9957.86,8918.4,8349.68,7952.24,7017.67,6421.08,5608.3,5558.93,5076.33,4844.72,4540.21,4189.18,3711.49,3871.74,3409.47
