Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_LRH_20230512.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Date,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23
Start Time,10:20:00,10:23:00,10:26:01,10:29:00,10:32:00,10:35:00,10:38:00,10:41:00,10:44:00,10:47:00,10:50:01,10:53:00,10:56:00,10:59:00,11:02:01,11:05:00,11:08:00,11:11:00,11:14:00,11:17:00,11:20:01,11:23:00,11:26:00,11:29:00,11:32:00,11:35:00,11:38:01,11:41:00,11:44:01,11:47:00,11:50:01
Diameter Midpoint
 33.4,0,11.9794,0,0,11.9798,445254,186448,97926.4,59924.6,38002.7,24601.5,17675,12634.4,8301.16,6607.32,4457.22,3871.79,3341.28,2252.93,1932.11,1671.74,1360.59,1038.72,895.268,698.742,510.316,611.572,580.763,394.697,349.649,338.028
 34.6,0,0,0,0,0,785269,191267,106572,66182.3,43297.3,28123.8,19248.4,14220.4,10454,8313.83,6283.52,4600.17,3740.02,3007.42,2626.78,2138.3,1582.47,1397.74,1003.59,998.277,763.178,705.701,708.146,571.352,399.316,485.426
 35.9,0,0,0,0,0,830010,198249,112082,71083.8,46316.2,31168.4,21323.7,17296.5,11842.5,9411.35,7010.89,5313.79,4888.68,3846.9,3073.68,2725.83,2068.99,1477.17,1469.98,1262.19,1215.64,893.192,819.172,737.624,828.035,575.283
 37.2,0,0,10.6937,0,0,925511,201862,119333,75288.1,50850.9,37083.6,23585.7,19522.7,14227.9,11265.7,8255.55,7026.92,5586.77,4375,3351.79,3068.15,2582.69,2390.89,2009.37,1625.34,1581.17,1308.79,1103.68,948.356,712.23,743.269
 38.5,0,10.2689,0,0,0,931624,205577,126033,81507.5,56722.8,39488.1,17619.1,22715.1,16790.3,13111.7,10266.8,8452.62,6850.88,5620.08,4341.52,3855.52,3157.68,2929.88,2603.01,1903.83,1768.32,1425.75,1375.18,1055.79,1021.23,870.954
 40.0,0,0,0,9.94068,0,769916,215997,131635,86931.2,61891.8,43473.5,18858.3,24934,19187,15436.7,11888.4,9578.84,8940.17,6896.62,5792.25,4685.06,3646.9,3434.59,3037.57,2726.17,2123.73,2078.27,1737.91,1427.08,1486.78,1192.14
 41.4,0,0,0,0,0,718683,218695,137722,94922.6,66947.1,49949.1,23590.7,28610.6,22509.4,17854,13789.1,12170.3,9952.76,8191.39,6866.38,5764.76,5002.89,4378.74,3814.3,3274.16,2928.33,2607.6,2161.15,1911.27,1895.16,1332.4
 42.9,9.28134,0,0,0,0,767136,226391,147452,100869,72846.2,55069.2,25432.2,32781.2,25559.1,20176,16521.5,14447.7,11749.6,9821.61,8015.21,6872.11,6174.23,5049.14,4625.38,4088.05,3763.56,3593.72,2793.5,2596.94,2307.45,2039.22
 44.5,0,0,0,0,0,698046,233757,151889,108751,80009.8,60823,34969.7,36682,29273.3,24298.3,19385.3,15949.5,14321.6,12446.7,10053.3,9226.1,7700.09,6816.78,5751.1,5263.03,4300.48,3981.56,3839.68,2833.86,2954.28,2873.2
 46.1,8.69708,0,0,0,0,600838,245404,166612,116206,86910.1,66684.5,45579.2,42413,34528.7,28729.3,23454.9,19318.3,16724.3,14394,12930.1,9860.81,9378.11,8219.91,7379.73,6255.52,5394.79,4867.5,4408.05,3728.83,3555.15,3076.28
 47.8,8.4044,0,0,0,0,452301,256056,175433,128795,95482.5,75036.1,54302.1,47374.6,39368.8,31856.8,26259.2,22204.9,18971.1,16012.7,13977.3,12692.2,10761.3,9776.69,8561.06,7337.79,6647.44,6312.63,5861.84,5214.39,4487.99,4570.58
 49.6,0,0,0,8.17682,0,327971,268735,187995,140030,104583,83384,63812.9,53845.7,45001.8,36985.6,31938.1,26170.2,22909.6,18968.4,17235,15359.5,12646.3,11838.7,10147.7,9524.13,8229.13,8229.48,6668.94,5849.76,5234.12,4716.04
 51.4,0,0,0,0,0,240086,283430,203884,151174,114664,93566.6,73429.4,62227.9,51139.8,42608,35270.3,30634.2,26965.8,24259.7,20367.9,18759.8,15826.7,14148.6,12829.2,11267.7,10287.3,9467.72,7955.43,7490.11,7238.95,6330.34
 53.3,0,0,0,0,0,196808,299370,216077,164583,127492,105223,83111.6,69822.9,58897.1,48678.2,41038.9,34562.8,31141.9,27651.7,24234.9,21661.4,18949.3,17175.5,15511.6,13572.3,12228,11147.9,10422.5,9168.93,8625.12,7867.09
 55.2,0,0,0,0,0,189225,321624,234423,177823,141726,114862,91567.5,80403,67215,56687.7,47284.9,41671.1,36289.8,32290.5,28925.3,26275.6,22582,19726.3,18243,16575.4,15049.4,13078,12292.5,11020.7,10057.9,9685.95
 57.3,0,0,0,0,0,204839,344901,248736,197030,156295,129496,105938,89588.2,75201.5,65354.3,55982.2,48698.4,42314,38593,34168.2,31021.9,27010,24196.1,21403.2,19580.3,17815.2,15834.7,15216.8,13387.1,12708.2,11365.8
 59.4,0,0,0,0,0,233889,368436,272817,214533,171508,141602,116314,99276.7,86410.3,74340.8,64054.6,54583.2,48793.7,44179.8,38743.6,35432.7,30435.9,27996.4,26272.7,23390.2,21022.6,19255.9,17794.3,16779,14637.6,13371.2
 61.5,0,14.062,0,0,0,261449,396377,293539,234311,190735,156181,132101,111470,97885,83343.9,73648.7,62745.9,56201.8,50475.2,44790.9,41185.6,36061.6,31772.3,29984,27015.4,25554.5,23451.8,21614,20159.6,18396.2,16357.1
 63.8,0,0,0,0,0,315791,428076,320217,259034,206842,170956,146614,127003,109943,92277,83355.1,72849.6,66195.4,59033.3,52947.7,48633.1,43081.7,38893.9,35172.9,32164.2,30199.2,27587.4,24980.3,23250.4,21188.7,18926.1
 66.1,0,0,0,0,0,536520,459782,341868,282083,230311,193673,164039,139799,123059,106420,95261.3,82493.8,73593.8,67705.6,61069.4,55090.2,49531.8,43546.2,42076.6,38092.6,34358.3,31794.7,28778.6,27498.7,25279.4,23370.3
 68.5,0,0,0,0,0,806682,496040,375125,300233,251418,215236,183067,158139,138388,120244,106919,93557.4,86183.8,75577.8,69726.3,62978.3,56117.6,52531.8,46950.1,43766.6,40650.7,36886.3,34597.4,32021.9,29576.9,26966.2
 71.0,0,0,0,0,0,874631,527754,404786,331812,276178,233796,201569,176220,156987,136371,121617,107525,97524.6,88139.6,77404.4,74221.8,65284.8,58721.6,53037.9,50583.8,46738.6,43405,38685.6,37305.8,34828.8,32024.6
 73.7,0,0,6.36881,0,0,947121,573019,437604,360416,301367,257018,226615,196184,172733,151316,134660,119117,110968,100716,90172.9,83565,76111.4,66890.3,62025.7,58518.5,54163.9,49116.2,45858.3,44003,39562.7,37461.8
 76.4,6.27628,0,0,0,0,1.15765e+006,611232,475484,387873,331178,282077,248096,215079,188677,167155,152852,135745,125460,111784,101725,95065.4,85219.7,78278,72327.7,67013.8,60961,56885.3,52189.1,49354.7,45973.1,43766
 79.1,0,0,0,6.18698,0,1.30816e+006,651951,508227,424819,359175,308563,269119,238487,211694,188854,170457,151131,139933,126739,114631,106983,97364.9,88307.9,80684.4,74752.6,69976.6,64408.7,59848,57285.1,53559.5,49162.1
 82.0,0,0,0,0,6.10093,1.36064e+006,693897,544150,458008,387324,333670,296277,260531,232449,207512,187425,165639,154101,140191,128278,118651,106385,97954.3,91311.4,86200,77818.3,73440.6,67408.1,64323.9,58607.8,56326.8
 85.1,0,0,0,0,0,1.39985e+006,729720,569403,485874,416814,361993,322915,283649,255170,226847,206197,184870,168532,155302,143364,131502,119180,110490,101767,94056.1,89326.3,82210.7,76148.7,73303.5,67613.9,62008.2
 88.2,0,0,0,0,0,1.47301e+006,773599,615646,528430,449256,386355,347512,302447,276531,249665,222673,201619,186450,172026,156754,147724,131780,120871,113716,107310,99478.4,92440.4,86290.3,82301.2,75594.3,70905.9
 91.4,0,0,0,0,0,1.53214e+006,815339,652556,547750,478406,415760,370628,330559,292193,267922,240976,219562,205040,185977,168498,160873,145848,134078,125493,117914,110682,100373,95777,90000.7,84182.7,78361.9
 94.7,0,0,0,0,0,1.59092e+006,854576,682359,580706,506049,443776,398496,353211,321397,286332,259540,236565,223390,202817,187468,175545,161103,147619,138484,128463,119915,109745,105834,100329,93731.5,87284.3
 98.2,0,0,0,0,0,1.57487e+006,887366,718866,608593,533960,473626,419310,377399,341080,311811,282538,256961,236876,220575,204012,190377,173333,160273,150203,138990,132926,123213,115473,110206,103166,94099.4
101.8,0,0,0,0,0,1.50165e+006,915881,748752,630269,562796,495879,439368,400344,360928,325459,301270,274764,257216,236052,219289,204731,186219,172398,162400,152819,144034,133800,126464,119784,113032,105571
105.5,5.6942,0,0,0,0,1.44377e+006,939393,775344,658485,582303,516721,463550,418344,384120,348937,319399,290028,272231,252586,234026,219499,198917,186991,174594,162343,153727,144173,135843,130483,121412,112351
109.4,0,0,0,0,0,1.41511e+006,962537,793062,677760,605966,533529,480273,437363,398684,366221,334080,307827,288545,268936,248040,231321,210787,199223,186592,174565,162901,152566,145903,140561,128993,121709
113.4,0,0,0,0,0,1.40388e+006,983777,807334,698967,623266,557210,494256,452960,416489,380751,348135,322852,304805,282431,261856,244499,224952,210092,196354,185254,174571,164644,155473,148444,136549,130093
117.6,0,0,0,0,0,1.35872e+006,988051,820445,713475,635429,568715,514396,464062,429086,395629,366264,338167,315775,291681,269291,253844,233759,218622,206685,194327,185374,172910,164601,156241,146936,137885
121.9,0,0,0,5.57233,0,1.27148e+006,1.00079e+006,826692,721885,652772,578793,519368,471624,441236,404547,375873,348909,323978,302763,285154,264344,245269,228893,218429,202977,194161,179844,172435,163408,152891,146595
126.3,0,0,0,0,0,1.19842e+006,1.00695e+006,825573,738504,656103,589000,525823,490019,448878,413765,387320,360378,334650,314345,291451,271792,253741,238318,221676,212023,200671,187883,180002,170430,159970,150778
131.0,0,0,0,5.54132,0,1.18082e+006,1.00344e+006,828525,725790,658861,587636,530528,489484,455929,420162,397931,364806,340089,320070,300228,280314,258825,244205,232093,219464,208862,194750,184486,177933,166672,157105
135.8,0,0,0.754927,0,0,1.15573e+006,977088,823703,724686,657966,585760,533382,493953,457672,425265,397875,370692,347395,326136,306505,281257,261946,248426,237865,223764,213054,201772,189090,183970,170987,162846
140.7,0,0,4.78175,0,0,1.12788e+006,960749,814031,719720,651520,586827,531700,495939,458855,424528,401313,373718,351314,329196,309431,288857,267051,251735,241564,230787,219224,204761,196573,187291,175519,167212
145.9,0,5.54999,0,5.54994,0,1.07619e+006,938913,797401,713132,644911,575760,524481,492490,460789,427967,403003,376440,354469,332132,308444,291312,271190,256256,243155,234584,222655,209505,199350,190665,178600,169431
151.2,0,0,0,0,0,1.0417e+006,908250,772043,687441,635172,566846,516698,484319,450106,420041,396055,373207,348484,327448,308677,287710,266534,259620,244846,232919,224792,208380,200146,192209,178457,170508
156.8,0,0,0,0,0,1.00474e+006,872030,748822,665987,618630,554984,505573,475293,440811,412687,391279,369640,345364,328255,305226,285713,269235,255358,243760,231254,220427,209946,200489,193594,181594,171266
162.5,0,0,0,0,0,931730,838258,722862,644397,596202,535678,496273,463509,432652,404304,385601,359936,339307,322743,300918,280896,265634,253892,241544,231749,219980,206764,199830,193731,181160,171179
168.5,0,0,0,0,0,875655,797203,687958,612766,573630,519203,476802,445935,418710,394696,373545,356223,332039,311369,293903,276587,260350,251200,238241,227941,218376,203496,197724,188808,177408,172234
174.7,0,0,0,0,0,826218,756385,657981,591222,550531,492136,457566,432119,406297,379261,360771,343208,323613,305744,287989,271283,254395,244152,235072,223628,215942,200072,195751,187314,177074,170064
181.1,0,0,0,0,0,771205,705997,617825,557343,519594,470247,435286,411722,388218,362471,346669,329497,313333,294356,278192,264047,247575,237629,226644,216795,206425,196271,191643,181109,174068,166087
187.7,0,0,5.67706,0,0,735687,665931,579197,524069,489903,442787,408801,392145,374142,347109,330161,316198,300989,284300,269471,254742,242673,231229,220524,208656,205333,190123,184878,176676,169801,162887
194.6,5.19658,0,0,0,0,697209,612353,537839,489244,460322,412754,380172,365203,348829,329519,317682,299754,286886,269092,255370,240488,228350,220273,210344,201007,196522,183054,177558,173090,161658,156255
201.7,0.500893,0,0,0,0,631116,560392,500750,449337,427183,388459,357402,343940,325563,310876,296523,283857,270465,255526,242083,231075,221811,208240,200353,195179,186760,176033,172481,165001,156021,150281
209.1,0,0,0,0,0,553869,509983,455231,412799,389957,358142,327050,315726,302571,288052,277575,264504,251570,240196,229366,215860,206769,199135,190284,184116,175863,170534,161340,158184,147376,141657
216.7,0,0,0,0,0,509150,460483,409063,372808,357262,327993,299917,295860,279719,267616,256608,246910,238999,225417,213782,201536,195152,184500,177553,172479,167538,159072,153743,147879,141111,138490
224.7,0,0,0,0,0,468401,406867,361703,332274,320522,294874,273860,265229,257479,245778,236013,229098,218463,210075,196834,188039,179385,171908,167879,164813,155798,149557,145777,139855,130532,128469
232.9,0,0,0,0,0,446381,359733,323049,291896,286596,266552,245087,239734,229633,224435,214587,207349,201413,191631,182054,172325,165362,159625,155142,151630,144962,138014,134941,129786,124814,120428
241.4,0,0,0,0,0,409610,312888,281656,260773,256778,236729,217044,212820,207046,201293,194890,188445,181480,171929,164040,157954,151414,148229,142659,139105,132253,128361,125382,120926,115238,110674
250.3,0,0,0,0,0,362123,269494,244279,227181,220892,204718,190692,189292,185471,178155,173141,168343,162164,156580,150493,143129,137391,134720,126908,126590,122582,116085,113413,110347,104689,100904
259.5,0,0,0,0,0,315051,229188,208101,192074,189582,177401,165666,162900,159000,157188,152945,146818,143300,137268,134204,127943,124980,120136,112269,115276,108158,106512,103885,99934.1,95036.5,91004.4
269.0,0,0,0,0,0,259143,192692,175106,164760,163324,151205,141876,143542,139153,134983,132733,132221,126602,120895,116348,112495,109863,107340,102360,100443,95726.7,93728.2,93547.2,89737.9,85727.8,84360.1
278.8,0,0,0,0,0,210711,160113,143819,137241,135541,127938,119745,119162,116736,114488,114753,112051,109343,104243,101938,97739.4,95320,92474.4,89328.6,89520.5,84931.3,83785.3,82454.4,79230.2,76896.3,74152.3
289.0,0,0,0,0,0,166969,126801,116423,113720,112403,104181,99316.8,99650.8,100710,98168.4,97449.3,95456.2,92198.8,88879.2,85579.4,84274.2,83226.8,81119.8,79099,77566.9,74760.2,72285.3,72573.9,69822.6,68458.2,64454.3
299.6,0,0,0,0,0,134645,103110,94675.4,89444.6,90420.5,85049,80895.3,83035.7,80661,81732.1,80416.2,81616.3,77842.6,75206.1,72695.3,72041.6,69839.6,68988.7,67394.9,66541.5,63943,62328.7,62558.5,60202.2,58879.5,56166.9
310.6,0,0,0,0,0,105632,79681.8,73444.9,72649.3,71552.7,67261.1,65325.1,65250.9,66728.8,66021.7,66342.1,66233.6,64441.4,62416.3,61037,60177.6,57888.9,57498.9,57562.3,56481.9,53338.4,52736.3,55005.8,51281.5,50690.8,48432.2
322.0,0,0,0,0,0,80819.9,59934.4,54890.1,54875.7,55401.6,52283,50903.5,52175.9,52007.5,53661.5,52829.1,54205.3,51694.4,50821.8,49477.9,48714.1,47843.6,47960.7,46836.3,47208,45868.6,44374.5,44496.5,43120.6,43120.6,41408.5
333.8,0,0,0,0,0,58638.2,44483.5,42216.5,41900.1,42408,40295.8,39547.5,39614.7,40571.7,40458.1,41594.1,42422.8,40907.8,40926.2,40726.9,39316.5,39149.3,39287.4,38406.2,38222,38663.3,36629.1,36913.9,36940.9,35200.1,34256.6
346.0,0,0,0,0,0,42622.7,32295,30220.1,30635.1,31636.6,29700.3,29838.2,30498.3,30862.9,32084.9,31842.4,31896.5,32777,32051.2,31105.2,31081.6,30797.5,30784.6,30129.4,30170.5,30201.4,29657.5,30880.6,29652.9,29458,28292.6
358.7,0,0,0,0,0,30809.7,23217.8,21421.5,22054.6,22539.8,21554.2,20907.2,22536.9,23304.2,23734.6,24553.5,24645.5,25108.6,23903.9,24285.8,23958.1,24145.2,24837.4,23994.3,24232,23928.2,23660.1,23965,23694.6,23409.3,22956.1
371.8,0,0,0,0,0,21481.8,15862.4,15450.7,15311.2,15891.9,15661.6,14870.7,16554.9,17017.5,17056.5,17792,19123.1,18397.1,18219.2,18995.6,18324.9,18785.1,18619,18876.5,19105.9,19226.6,18921.5,19499.7,18440.9,18379.2,18388.6
385.4,0,0,7.20182,0,0,14660,10885.8,10364.9,10355.6,11319.8,10774.9,10635.8,11627.1,12210.9,12444.1,13082.1,13808.5,14391.9,12774.7,13671.9,13552.8,13799.4,14356.5,13838.5,14609.1,14728.9,14401,14704.1,14139.1,14435.1,13905.2
399.5,0,0,7.29006,0,0,9583.54,6807.45,6554.48,7133.48,7483.52,7333.73,7136.58,7717.78,8832.34,8426.44,9055.71,9809.05,9387.04,9403.14,10126.9,9973.75,10368.3,10619.8,10241.9,10691.2,10874.7,10381.3,11666.2,10846.1,10791.3,10542.2
414.2,0,0,0,0,0,6390.55,4649.48,4360.44,4567.29,4740.62,4349.05,4495.45,5384.74,5809.46,6089.26,6552.82,6542.08,6857.72,7282.77,7056.66,7402.42,7308.53,7271.22,7572.11,8335.69,7973.54,7503.15,7911.74,8540.56,7935.4,8343.96
429.4,0,0,7.57278,7.57275,0,3887.49,3091.74,2737.7,2946.43,3019.29,3070.08,3451.69,3499,3586.59,3890.22,4377.76,4415.09,4459.87,4425.1,4902.25,4978.3,5300.48,5437.3,5259.1,5737.39,5980.33,5314.28,6273.02,5904.85,6006.2,5958.37
445.1,0,0,0,0,0,2404.9,1703.38,1864.99,1674.46,2137.53,2188.25,2302.36,2174.23,2332.09,2565.12,2871.77,2977.81,3270.91,3266.58,3111.53,3536.78,3922.44,3670.06,3698.44,3823.07,4272.34,3885.95,4169.17,4458.75,4615.4,4336.11
461.4,0,0,0,0,0,1489.37,1223.55,954.94,1216.66,1219.3,1075.49,1308.78,1496.75,1570.06,1533.08,1805.5,1897.94,1926.6,2114.05,2378.73,2379.65,2486.81,2578.55,2833.14,2785.65,2869.25,2741.54,3319.71,3238.26,3010.16,3077.8
478.3,0,0,0,0,0,1095.3,873.216,712.495,806.873,876.207,757.753,781.369,804.408,944.16,1078.39,1210.7,1381.07,1323.84,1405.63,1490.82,1523.3,1657.27,1780.79,1581.47,1905.24,1847,1911.63,2152.22,2211.97,2307.74,2018.56
495.8,0,0,24.2889,0,0,696.704,414.428,390.737,330.175,419.245,553.839,458.468,448.836,557.811,727.07,668.457,870.35,913.617,779.705,1020.99,1071.67,1045.11,1113,1086.61,1167.47,1285.28,1314.4,1276.43,1335.22,1475.39,1426.99
514.0,0,0,8.26913,0,0,400.212,322.671,254.74,188.419,294.4,335.746,317.943,303.935,299.719,352.116,423.419,622.055,556.155,463.333,638.083,651.501,781.028,762.888,704.405,844.737,896.965,824.487,1104.45,996.029,974.763,924.297
532.8,0,0,0,0,0,218.885,193.759,131.931,200.569,138.048,183.796,160.172,199.8,246.356,218.114,250.165,425.613,329.54,373.71,388.178,379.059,488.905,446.969,550.618,489.676,440.081,539.272,600.214,664.351,584.247,603.251
552.3,0,0,0,0,0,228.525,92.0475,65.1367,140.165,126.866,174.059,90.6658,117.119,140.945,142.648,172.822,217.075,181.79,176.688,192.783,181.333,284.052,229.451,400.715,269.516,318.414,252.818,382.304,447.449,382.625,486.59
572.5,0,0,0,0,0,81.6326,78.3138,41.7656,41.7656,63.9169,102.52,50.4671,88.4359,41.7656,99.0358,123.242,116.595,144.13,99.0362,177.194,127.04,177.195,206.618,239.839,175.452,208.517,246.485,349.328,316.566,283.033,296.952
593.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scan Up Time(s),155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
Retrace Time(s),10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
