Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_20230418.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
 17.5,0.000,0.000,127791.776,37166.574,14497.542,6617.480,3020.287,1513.972,1050.936,783.131,579.518,344.328,365.147,247.621,259.254,173.339,123.812,210.014,154.902,99.049,99.293,86.882,62.060,86.668,61.755,74.469,24.763,0.000,24.763,37.214,61.906,49.498,12.374,61.870,24.748,12.374,61.856,24.748,37.122,111.367,61.870,30.124,12.373,24.733,0.000,12.367,12.364,37.121,12.364,12.363,37.091,24.733,0.000,24.728,12.364,0.000,24.789,4.003,24.784,24.783,12.391,12.391,0.000,12.389,0.000,0.000,12.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 18.1,0.000,0.000,136812.670,42288.479,16667.288,7307.948,3956.823,2027.597,1249.339,605.857,524.583,257.550,267.231,139.346,145.270,139.662,69.675,80.229,34.758,127.738,25.358,11.642,11.640,34.837,69.503,34.923,69.673,23.213,58.062,58.172,23.382,23.212,23.212,11.606,11.606,69.636,11.603,11.606,11.606,11.606,23.212,0.000,34.818,23.198,11.605,0.000,11.596,0.000,0.000,23.194,0.000,23.199,11.625,23.193,23.193,11.625,11.625,0.000,0.000,0.000,0.000,34.868,0.000,0.000,0.000,0.000,11.594,0.000,23.188,0.000,0.000,0.000,0.000,0.000
 18.8,0.000,0.000,145467.142,47414.186,17838.396,8689.404,4751.427,2646.254,1562.357,800.821,523.939,425.697,163.850,240.181,207.915,141.632,98.256,120.649,54.467,65.505,41.824,21.887,10.944,21.834,10.892,46.406,32.753,21.824,10.918,21.876,43.522,43.647,10.912,21.823,10.912,10.912,32.728,10.912,10.912,21.823,10.912,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.904,0.000,10.930,21.807,0.000,0.000,10.930,0.000,0.000,10.928,0.000,0.000,0.000,10.925,0.000,0.000,10.901,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 19.5,0.000,0.000,151433.899,53276.589,22493.822,9966.748,5491.281,3225.474,1639.680,1210.190,825.892,578.983,370.607,288.103,163.301,144.050,102.894,51.334,61.599,20.578,30.943,61.886,30.943,41.157,10.264,49.092,30.868,30.851,0.000,20.618,41.158,0.000,41.137,10.284,20.568,0.000,0.000,10.284,0.000,30.853,20.568,0.000,0.000,10.279,10.284,10.278,10.277,10.284,10.276,0.000,0.000,0.000,10.302,0.000,0.000,0.000,10.301,0.000,0.000,0.000,0.000,10.299,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.322,0.000,0.000
 20.2,0.000,0.000,162802.004,58857.124,26076.008,12512.131,6617.734,3709.637,2567.246,1470.060,960.408,608.215,489.559,378.264,280.599,184.280,126.086,168.351,106.454,119.243,58.334,58.332,29.167,67.893,29.028,19.445,19.397,29.083,48.495,0.000,0.000,19.389,38.777,0.000,29.083,19.388,9.692,0.000,19.389,19.389,9.694,0.000,9.694,9.689,0.000,9.689,9.687,0.000,9.688,0.000,19.375,0.000,9.711,0.000,0.000,9.710,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.707,0.000,0.000,9.705
 20.9,0.000,0.000,166606.263,62814.619,29035.050,13772.227,7844.447,4136.957,2421.379,1865.469,1142.887,868.924,739.164,439.058,362.322,173.577,102.816,181.946,138.264,176.440,79.966,73.367,20.991,41.874,43.310,98.392,0.000,20.259,1.205,1.033,40.762,11.988,31.224,41.398,13.888,0.000,5.606,6.560,14.699,6.420,6.659,0.000,0.000,0.000,6.623,25.407,0.000,0.000,0.000,0.000,8.054,7.696,0.000,8.155,0.000,0.000,0.000,0.000,0.000,17.534,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.574,17.789,8.552,0.000,0.000
 21.7,0.000,0.000,180916.967,69020.702,32441.348,15236.260,8471.421,5026.547,3565.547,2477.619,1609.184,1128.872,700.799,548.359,432.406,370.405,264.674,251.053,230.127,121.686,111.885,56.852,126.945,81.883,31.809,51.742,48.074,37.304,66.114,49.339,24.759,51.894,9.303,37.280,19.166,21.990,3.858,48.286,2.810,5.041,3.916,0.000,4.867,4.207,0.000,4.806,5.151,5.805,5.528,14.708,0.000,6.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.147,6.688,0.000,25.127,24.871,15.491,0.000,0.000,7.990,0.000,7.646,0.000,0.000,7.976,8.102
 22.5,0.000,0.000,193333.982,76906.900,35215.706,18692.121,10816.308,6117.775,4327.535,2834.905,2013.768,1380.763,868.895,661.415,450.526,484.585,364.500,235.704,174.803,155.112,132.577,115.043,144.006,143.518,64.411,33.662,42.308,45.617,24.393,31.724,58.749,61.943,12.218,21.425,49.096,24.272,9.319,18.519,32.700,25.274,10.472,10.634,10.901,36.376,0.553,0.000,13.189,0.000,0.000,28.573,4.778,29.193,5.045,22.309,6.126,0.000,0.000,0.000,6.141,6.213,0.000,0.000,22.585,15.490,6.125,6.806,0.000,0.000,0.000,0.000,10.044,0.000,7.560,0.000
 23.3,0.000,0.000,205438.530,84420.357,40979.686,21752.848,12896.016,7377.605,5137.433,3380.858,2348.929,1723.490,1242.538,933.824,617.645,554.041,352.470,359.802,212.906,238.397,229.702,75.059,255.584,120.761,86.320,136.297,57.683,63.854,18.882,95.506,54.853,65.632,29.217,24.194,71.365,23.204,35.675,36.546,43.079,12.770,20.653,20.880,36.721,6.099,23.700,2.504,8.255,9.175,41.110,0.000,26.024,10.569,11.768,26.770,20.600,19.970,4.234,12.409,5.855,12.231,0.000,13.419,20.886,0.000,5.988,5.053,5.948,12.192,4.940,5.713,3.055,0.000,0.000,0.000
 24.1,0.000,0.000,221631.404,94864.434,47639.732,24366.904,14232.725,9612.660,6079.916,4179.626,2981.266,2158.436,1578.487,1213.021,767.364,678.622,563.428,466.488,338.198,332.343,356.565,201.116,194.587,175.558,120.446,145.480,85.393,132.000,166.421,52.859,4.432,55.961,49.174,45.126,96.722,24.620,67.320,33.003,11.250,45.152,16.804,21.228,19.054,0.000,11.680,33.349,34.012,39.094,28.347,1.639,8.044,7.775,9.266,23.621,9.174,23.367,1.754,0.000,3.299,3.778,3.097,12.222,19.303,18.566,4.264,18.264,0.000,19.266,4.751,4.865,12.093,6.018,5.300,4.128
