Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_20230418.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
 35.9,0.000,0.000,480368.384,276584.929,174772.787,115771.504,82534.509,60361.123,43293.827,33966.815,26519.907,20337.920,16168.679,14542.122,10955.262,9377.071,8197.989,6390.976,5880.230,5052.048,4464.795,3711.481,3401.153,3048.478,2846.090,2614.681,2183.869,1893.286,1750.006,1759.966,1502.836,1536.583,1357.796,1138.318,1066.750,970.219,931.683,878.571,747.633,666.668,851.568,608.884,544.520,590.693,566.797,431.892,579.349,385.295,450.044,460.145,456.445,301.357,366.738,275.781,245.342,332.112,303.119,222.115,208.348,249.968,215.443,170.252,194.817,159.156,182.430,123.433,134.320,135.292,96.815,141.900,136.068,135.251,95.041,87.365
 37.2,0.000,0.000,514736.079,307891.225,197847.415,132112.292,94300.233,70048.216,50740.582,39234.236,30720.790,24002.721,19778.569,16407.120,12887.377,11558.343,9561.036,8465.307,7101.468,6248.281,5430.606,5406.674,4537.468,4033.596,3693.309,2844.589,2714.737,2445.026,2358.459,2219.039,1798.071,1953.218,1555.407,1666.611,1376.621,1253.553,956.457,1092.543,916.237,1260.392,904.467,731.903,774.697,663.837,756.606,607.636,706.613,523.999,612.687,478.323,467.577,384.574,447.781,448.257,433.257,344.662,313.607,381.718,288.481,249.328,251.856,236.953,245.800,237.043,254.527,216.326,138.233,200.052,164.184,163.433,169.297,136.408,158.103,111.036
 38.5,0.000,0.000,548327.283,339016.373,216300.743,148944.199,106369.582,80410.566,58075.481,45837.412,35683.685,28452.402,24029.647,19990.194,16166.241,14363.552,12178.954,10506.684,8889.377,7620.209,6911.042,5611.797,5319.438,4820.249,4164.782,4005.391,3533.538,3144.302,2729.205,2808.542,2323.886,2370.778,1883.718,1873.624,1883.628,1681.349,1561.406,1575.654,1201.714,1150.644,1121.368,1214.123,1117.092,736.289,775.683,758.996,804.710,707.937,756.877,558.581,699.855,520.563,534.288,462.771,494.925,496.707,338.731,328.262,344.719,497.708,334.778,295.415,269.257,342.426,245.757,146.148,280.036,258.558,157.578,248.373,165.160,178.502,163.223,110.674
 40.0,0.000,0.000,584023.025,363099.676,238402.748,165235.939,121800.272,90907.193,67052.680,52963.866,42539.700,34640.007,28390.250,23738.285,19449.208,16409.496,14954.269,12563.848,10779.067,8796.280,8254.083,7307.283,6733.001,5599.452,5423.381,4653.301,4333.539,3906.454,3556.355,3317.139,2995.089,2734.095,2448.778,2377.817,2169.249,1873.552,1836.553,1647.933,1451.160,1609.767,1362.313,1409.530,1265.171,1131.211,1048.361,1021.209,760.637,808.934,901.108,786.767,704.802,690.147,690.330,623.313,559.016,519.968,500.778,543.902,387.571,400.955,468.388,374.150,336.471,291.687,461.637,360.091,258.589,255.331,243.272,255.778,251.158,246.302,185.337,193.075
 41.4,0.000,0.000,630989.940,397379.047,269538.265,186511.933,132635.461,105381.531,77861.735,61751.525,49403.362,40163.453,34270.285,27580.274,23276.861,19914.751,17227.429,14153.286,13219.933,10950.875,10166.979,8689.404,8036.647,7037.059,6291.793,5456.303,5424.846,4770.439,4515.664,4117.194,3884.213,3255.293,3032.393,3013.837,2715.023,2486.023,2416.836,2248.885,1847.916,1990.883,1693.455,1373.049,1656.100,1339.570,1195.754,1294.074,1163.305,1090.334,858.209,901.158,867.518,970.245,771.319,668.976,759.173,662.466,684.700,655.550,517.790,457.916,466.878,615.709,394.491,359.471,480.373,385.611,359.360,320.655,266.009,315.255,265.734,366.757,196.248,328.057
 42.9,0.000,0.000,667424.917,424922.932,292810.412,205649.192,147464.290,116148.037,88715.659,70105.073,57833.262,47435.987,39704.838,32511.868,26610.253,22515.043,20486.182,16973.966,15378.403,13377.881,11229.612,10613.050,9484.514,8314.429,8040.835,6909.620,6669.095,5894.890,5227.847,4757.888,4602.237,3860.036,3652.607,3368.034,3375.318,3266.602,2758.571,2669.286,2099.504,2310.632,2064.536,2039.937,2060.670,1667.201,1652.998,1682.356,1196.009,1478.631,1218.470,1106.578,1116.275,1230.761,951.353,906.023,766.529,970.964,740.168,714.989,696.875,666.356,588.945,522.589,635.320,485.770,519.054,506.328,404.720,422.565,461.828,445.478,317.467,339.006,332.134,346.237
 44.5,0.000,0.000,706159.241,457555.645,316053.732,222713.923,166620.030,131718.414,100853.764,78716.464,66389.740,54234.174,45508.689,38382.635,32396.638,27464.081,23127.348,20556.372,18774.558,16146.843,14162.895,12558.180,11454.807,10267.176,9810.429,8188.278,7828.330,7069.865,6307.493,5802.555,5437.174,5326.296,4646.383,4003.380,3960.077,3850.440,3584.488,3035.348,2964.590,2930.663,2573.328,2152.549,2326.248,2053.000,2050.361,1906.614,1764.378,1877.178,1277.022,1509.896,1478.645,1372.492,1223.011,1110.806,1141.423,983.833,876.149,997.270,904.476,865.225,718.102,731.177,664.496,647.496,734.173,476.016,546.536,506.257,499.402,479.378,450.716,444.853,437.986,343.159
 46.1,0.000,161648.702,766943.166,487144.441,350000.923,248181.947,189244.249,143841.506,113177.025,90737.953,75920.570,63419.305,52818.404,42522.620,38414.881,31974.673,28767.160,24060.867,22177.141,18893.547,16960.936,14997.901,13488.490,11415.740,11567.954,10423.971,9809.612,8164.047,7682.882,6950.343,6026.489,5778.291,5415.828,4865.832,4696.888,4429.600,4433.911,3885.405,3484.123,3562.116,2871.882,2805.245,2621.655,2663.431,2500.598,2625.361,2183.491,1910.455,1921.412,1714.616,1820.970,1740.790,1297.726,1413.266,1423.732,1235.156,1250.749,1257.113,1133.388,864.971,947.586,742.514,890.264,801.202,598.361,752.812,497.723,620.700,647.209,622.874,458.031,499.310,444.801,468.246
 47.8,0.000,898776.653,797595.922,531650.705,378846.101,267332.978,210513.777,159712.035,129124.916,104638.291,89059.347,74099.212,58904.001,51156.237,44164.413,38328.420,33434.132,28761.539,25698.678,23547.798,20630.002,18569.378,16443.458,14316.625,13589.800,12617.558,11692.090,10459.508,9256.394,8679.658,8302.463,7741.774,6644.585,6203.516,6238.316,5181.418,5228.872,4629.949,4808.970,4110.006,3539.110,3649.271,3220.403,3007.090,3101.622,2766.335,2524.944,2573.548,2377.376,2227.354,2292.474,1879.777,1702.622,1739.570,1681.844,1529.280,1442.000,1389.581,1148.905,984.391,1091.538,1124.661,1009.728,929.390,782.827,757.352,883.558,828.767,693.914,645.126,660.395,790.134,698.452,535.066
 49.6,0.000,1928103.117,853216.325,572228.498,413816.146,305343.678,241619.356,179176.593,143457.798,122498.974,101478.911,85616.284,71205.715,59437.280,52391.719,45244.817,41197.036,34867.856,31730.661,27421.019,24514.427,21820.942,20089.167,17859.656,15425.061,15139.292,13958.218,13325.639,11525.785,10663.842,9643.121,9343.637,8462.721,7793.624,7063.247,6558.453,6108.708,5735.854,5901.601,5247.062,4872.615,4451.497,4437.833,3841.779,3715.964,3649.159,3288.892,3119.589,3029.424,2946.181,2494.337,2381.197,2280.082,1948.148,2121.193,2062.752,1747.374,1711.183,1701.341,1389.321,1567.198,1284.399,1328.513,1224.385,1185.748,1005.069,971.172,902.367,807.473,729.727,860.310,771.879,783.823,638.711
 51.4,0.000,2380636.548,911308.702,614163.370,453923.480,343129.158,263154.263,200082.475,165497.387,134772.996,117338.496,98755.086,81513.356,67565.733,61085.874,53135.085,47767.933,41655.534,35801.066,33008.613,29647.926,26539.313,23724.923,21668.553,19959.019,18566.519,16633.971,15323.823,13994.584,13215.489,11894.807,11129.294,10676.974,9388.147,8997.578,7961.764,7974.353,7271.576,6395.733,6275.644,5354.548,5050.153,4986.432,4715.855,4397.705,4153.254,3848.330,3647.567,3736.906,3226.469,3124.802,2980.669,2707.006,2584.298,2544.064,2242.509,2250.696,1992.603,2065.807,1759.729,1496.615,1513.238,1536.667,1178.269,1462.885,1294.780,1117.048,1087.346,1022.054,966.196,893.919,868.050,797.838,691.078
 53.3,0.000,2549618.299,936600.534,661163.352,486679.091,364746.392,285757.817,220306.618,183287.468,152116.126,130684.416,112486.054,90963.433,78441.766,68104.527,60452.250,54378.275,48425.751,42700.687,37874.622,34037.664,30179.121,27750.703,25681.282,22895.760,21516.345,19375.252,17874.650,16239.217,15393.635,13948.909,12878.144,11666.069,10735.606,10352.981,9606.413,9194.176,8056.961,7862.170,7146.433,6652.427,6000.099,6177.136,5596.722,5253.061,5468.486,4589.867,4702.848,4307.629,3647.317,3477.994,3442.693,3276.063,2897.261,2868.627,2941.987,2874.374,2294.712,2329.718,2130.550,2076.982,1882.872,1768.110,1583.268,1631.158,1580.716,1448.171,1385.874,1239.823,1233.766,1142.826,1142.742,941.905,846.822
 55.2,0.000,2852417.480,990921.731,695213.988,520914.756,392320.302,311405.262,245240.252,207477.304,172455.992,148349.991,123704.954,105429.515,89723.069,80514.411,68147.839,61663.773,53398.572,49109.957,44076.222,38747.776,35716.772,32625.716,30176.013,27795.528,24416.946,22603.900,21059.904,19701.077,18190.291,15976.420,15772.847,13908.464,12835.993,11671.828,11528.854,10813.231,9739.187,9042.500,8558.934,8273.438,7079.402,7202.373,6799.009,6171.054,5957.077,5465.944,5244.089,4833.445,4319.371,4233.765,4261.997,3903.867,3774.540,3256.863,3375.828,3161.041,3040.029,2778.526,2479.858,2410.530,2127.469,1899.074,1904.168,1865.919,1852.137,1674.000,1546.933,1361.087,1449.490,1252.611,1353.929,1257.547,1062.586
 57.3,0.000,3893502.724,1027850.798,744177.183,557060.915,437215.087,340955.969,271436.313,230715.683,188711.981,165351.668,139716.347,116869.156,103990.521,91278.474,78220.189,72166.910,59855.113,54449.903,50016.430,45584.038,42664.231,36556.904,34224.156,31991.045,27928.497,26437.212,24595.339,22380.001,20877.605,19014.785,17907.043,16107.910,14987.754,14351.149,13234.036,12470.754,12010.377,10522.179,10010.111,9057.924,8698.836,8096.313,7860.982,7203.264,7102.249,6503.920,5710.416,5584.022,5325.508,5072.894,4886.295,4388.555,4012.862,4060.846,3600.598,3436.293,3325.391,2917.685,2726.809,2892.248,2653.188,2363.514,2204.771,2169.320,2284.041,1766.672,1828.837,1819.493,1612.412,1694.838,1459.738,1514.268,1281.786
 59.4,0.000,3861065.806,1070998.890,790199.720,589453.625,466731.911,374261.445,298523.247,247705.063,212252.727,181830.111,155737.236,130137.154,112344.399,102629.939,89246.841,80923.271,68720.867,64328.087,58667.259,52786.484,47344.952,42674.672,39395.911,36011.502,32465.964,29872.074,27895.654,25024.305,24566.653,21307.350,20890.780,18345.121,17779.592,16027.533,14871.150,13856.455,13390.931,12066.807,11855.779,10376.717,10263.748,9317.522,9532.547,8743.083,7997.959,7398.018,7124.914,6812.453,6578.851,5591.793,5588.685,5364.976,4731.453,4697.472,4292.837,4131.731,3768.601,3609.802,3145.621,3149.243,3010.404,2678.055,2789.341,2213.442,2517.086,2322.350,1919.473,1926.961,1838.252,1880.883,1711.692,1548.748,1564.280
 61.5,0.000,3398870.026,1113660.098,823208.978,630977.632,500702.315,400792.544,333685.663,273186.484,232519.553,201149.875,167852.584,144945.235,128910.419,111507.697,101655.378,91752.044,78416.106,73063.142,65221.091,59086.669,54270.972,48575.933,44606.480,40015.175,37198.147,34714.079,31960.713,29467.120,27274.696,25048.746,23500.176,22381.019,20186.368,18679.751,17534.144,15892.895,15367.821,14733.336,13370.160,12382.936,11616.272,10550.334,10449.471,9472.294,9036.666,8340.189,8177.418,7573.052,7528.402,6746.648,6444.925,6087.262,5590.094,5341.322,4930.865,4813.493,4508.645,4162.522,3634.982,3699.106,3657.267,3099.475,2977.344,2873.114,2763.742,2735.077,2318.695,2252.669,2058.746,1962.301,1951.781,1878.793,1614.000
 63.8,0.000,2762557.037,1162263.079,857956.522,679009.308,547045.424,438461.201,359057.715,299462.090,255448.469,222730.267,187901.846,163678.553,140852.691,126169.667,111901.429,102042.375,88474.947,79605.511,74096.948,66825.938,60945.093,55145.139,50501.689,45959.435,42727.761,39071.341,35762.520,33081.418,30254.737,28413.274,27225.492,24550.854,23390.386,21026.989,19540.135,18396.930,17849.095,16247.491,15401.402,14205.341,13799.311,12151.517,11797.234,11129.417,10421.951,9894.484,9390.744,8287.051,8349.437,7659.950,7641.043,6839.722,6317.895,5750.462,5692.776,5333.539,4821.481,5133.080,4053.299,4089.797,3954.625,3778.802,3393.135,3211.689,3042.185,3020.241,2655.738,2591.851,2435.397,2275.367,2049.592,1846.106,1797.962
 66.1,0.000,2073991.717,1195235.703,913304.814,709935.425,583198.127,470751.513,392672.785,327856.991,279218.437,244553.994,206313.305,178344.819,157180.449,137802.895,126217.612,113477.201,102301.570,89561.706,83792.301,73242.484,67688.872,60985.066,57406.410,51998.510,48003.119,43971.894,40424.662,38118.180,35090.699,32068.955,29618.458,28279.320,26923.895,24892.306,22292.413,21526.637,20228.427,18713.220,17855.285,16556.417,15413.593,14293.867,12776.369,12680.003,11814.306,11413.084,10329.775,9973.973,9672.187,8735.894,8349.198,7700.082,7199.881,6826.866,6669.025,6253.143,5924.220,5575.924,5087.034,4958.276,4714.955,4393.750,4181.792,3882.035,3598.434,3296.791,3126.994,3086.986,2809.670,2785.436,2538.515,2271.710,2354.632
 68.5,0.000,1444468.921,1238896.164,942063.705,756638.470,614133.447,499750.080,422502.554,355068.278,304605.237,265387.515,222760.796,201008.262,175987.664,150486.084,136952.151,125436.220,112031.889,99698.029,92463.283,84292.061,75405.021,68028.550,63791.062,57560.253,54547.314,48206.287,46389.984,42244.441,39061.195,35690.799,34390.882,31629.621,29600.050,28550.421,26453.227,24231.267,22748.002,21278.821,20267.529,18764.374,17937.009,15770.694,15001.373,13999.407,13431.137,12502.487,12205.677,10718.809,11054.476,9780.395,9241.263,8127.849,8414.153,7669.506,7391.980,6717.934,6101.916,6329.300,5780.394,5386.500,5060.505,4738.342,4499.150,4530.842,4151.068,3888.690,3528.291,3070.531,2942.014,2955.259,2827.767,2605.425,2644.528
 71.0,0.000,933691.882,1251564.575,959343.847,765414.438,620982.762,505600.918,433727.967,369960.031,314231.044,272417.283,234106.372,206452.684,181464.204,159689.928,144954.772,131124.048,114749.578,103692.463,95062.053,83398.701,77077.257,70756.112,66502.642,60761.221,55017.770,51387.796,46388.111,44181.060,40664.300,38206.207,34842.227,33050.982,30885.848,27457.448,26407.925,24697.367,23704.037,21421.688,21095.349,19465.654,17812.373,16778.502,15832.307,14538.163,14166.118,13756.482,12093.586,11289.853,10832.011,10260.571,10233.055,9029.708,8534.763,8200.281,7422.572,7037.419,7034.867,6422.427,6054.056,5523.252,5028.356,4761.328,4516.666,4406.131,3975.584,3831.798,3784.432,3715.983,3276.087,2960.137,2760.289,2654.360,2938.291
 73.7,0.000,622082.967,1253905.516,987286.051,781824.075,645322.245,531883.524,447933.058,387378.753,327851.087,278777.136,246295.624,214981.007,191322.366,168247.012,152112.945,137364.099,122894.423,112792.188,98753.448,89808.689,79851.636,74334.522,69098.982,61715.656,58658.591,53960.415,50744.400,45297.504,42707.284,40508.126,37604.800,34216.062,31744.410,29283.443,28192.219,26802.228,24744.594,22675.820,22523.467,20120.870,19409.012,16632.702,16534.171,15131.877,14827.117,13607.052,12692.934,12324.612,11622.360,10244.402,10261.084,9526.899,9032.630,8425.310,8183.286,7674.462,7164.930,6717.770,6074.866,6139.641,5487.942,5212.049,4906.253,4543.951,4684.718,4117.673,3970.576,3712.794,3463.970,3295.961,2877.686,2821.515,2518.856
 76.4,0.000,447916.894,1282069.808,1010415.583,820535.295,674043.335,558881.445,483152.858,405729.966,354105.438,299744.408,267769.343,232729.473,211083.539,185205.572,162029.999,151369.679,133056.283,123475.952,108178.232,96937.553,87535.665,81587.629,76078.827,68197.410,64950.440,59631.829,57228.243,50313.751,47366.923,44724.286,41468.416,37943.849,35704.936,33548.666,30954.837,29172.274,27070.601,25459.480,24206.097,22487.117,21280.014,19238.402,17927.672,17135.671,15485.365,15214.307,13592.568,13078.158,13011.328,11864.064,10981.168,11120.851,10118.446,9309.245,9152.900,8448.439,8001.343,7219.301,7390.646,6529.379,5752.639,5558.432,5478.070,5185.343,4885.491,4484.407,4361.685,4067.166,3863.448,3467.546,3387.937,3156.450,3057.499
 79.1,0.000,377422.629,1301759.081,1041678.035,850879.158,707750.138,594122.265,511762.331,432978.974,373285.274,328549.811,284946.410,249072.226,224301.977,198063.960,175719.518,161928.324,141697.351,132181.003,115273.391,106256.305,97904.083,90231.470,81046.232,74793.867,72740.387,66098.034,61425.489,56323.763,52120.741,49158.058,46557.513,41431.104,39209.224,37353.466,34075.591,31799.924,30077.335,28977.159,26976.939,24335.390,23294.739,21506.841,20476.494,18916.422,17545.108,17034.115,15145.659,14496.942,14738.455,12938.424,11974.824,12014.177,11387.925,9991.878,9621.696,8804.102,9032.207,7903.266,7656.266,6858.156,6559.794,6613.424,5866.889,5240.702,5553.050,5124.952,4668.464,4358.908,4103.157,3729.493,3609.934,3515.397,3228.611
 82.0,0.000,423139.117,1318369.433,1074860.341,868254.245,737074.586,624939.408,539308.483,456286.715,397808.208,343123.733,303003.337,265817.547,230653.814,207859.941,193134.602,175330.512,157765.593,143799.951,127624.702,115961.356,106271.440,100114.161,89980.552,82547.577,78593.569,71352.518,67354.323,60389.548,56994.731,52888.069,50531.586,44615.737,41949.444,39980.202,37338.092,34841.723,33011.924,30065.658,28850.548,27386.136,25315.191,23779.938,22031.850,20762.921,20251.321,18544.597,17681.578,16011.728,15723.428,14276.739,13381.797,13038.227,12943.868,11301.811,10962.423,9766.549,9604.451,8969.579,8947.960,7524.943,7436.000,7105.844,6456.836,5940.743,5673.884,5525.037,4877.660,4705.842,4657.752,4177.193,3965.331,3938.709,3523.995
 85.1,2.676,537871.851,1326761.052,1078290.867,900061.308,763740.298,647906.542,567192.024,480647.469,415021.296,366031.749,328913.320,285958.673,254479.677,227220.126,202574.394,188346.100,172297.131,153486.765,137311.405,127083.117,115153.159,107583.299,97318.762,89688.253,84540.032,77334.389,72565.908,66980.422,61400.764,59047.804,54364.774,49770.815,45982.237,43834.696,39806.275,39125.415,35490.524,33138.612,32088.017,29952.272,27662.430,25529.580,23814.440,22930.689,21481.745,20326.611,17927.916,17370.458,16852.511,15686.367,14807.438,13974.763,13510.412,11971.448,11981.406,10849.108,10136.494,9669.113,9449.844,8696.070,7938.257,7877.858,7579.762,6895.796,6381.997,5943.114,5420.149,5136.340,4938.745,4296.066,4361.818,4206.591,3804.449
 88.2,0.000,718379.314,1330307.442,1101323.479,924956.810,792527.730,668684.742,588064.651,511121.089,443499.629,390166.980,343538.100,302639.619,276594.506,241081.126,226013.751,204731.962,181594.752,165453.055,149839.002,139275.421,128444.185,119980.889,104492.858,97838.837,93821.035,85617.251,79182.473,72923.714,67874.625,62913.970,60813.307,55622.050,50370.233,48184.061,43326.460,42388.837,39496.551,37549.166,35180.111,32093.953,30811.673,29839.201,25806.990,25051.169,23351.418,22106.199,20821.160,18734.053,18722.571,16966.675,16107.953,15392.455,15124.140,13535.237,12692.770,12021.703,11267.698,10986.127,10519.753,9547.715,8889.821,8136.698,7599.625,7441.025,6811.930,6601.634,6171.742,5923.559,5560.952,5195.990,4902.388,4534.741,4283.753
 91.4,0.000,945277.218,1331999.692,1109281.205,942767.974,808233.960,694296.110,606885.337,529116.274,461182.604,406155.007,363242.622,325918.052,290458.594,260281.273,235503.805,213426.500,196893.779,180145.511,163202.386,148580.913,137595.414,128333.959,114805.018,108447.706,99820.870,94489.389,86098.767,78495.988,72004.082,68506.301,63420.573,60668.245,54996.229,51539.852,47568.318,46302.799,43044.715,39967.069,37832.844,34706.981,32920.659,31515.356,29244.566,27232.142,25585.232,24130.618,21508.189,21128.429,20488.921,18319.142,18018.888,17081.785,15856.123,14560.172,13733.299,13191.534,11963.541,11525.333,11199.207,10489.684,9439.942,9276.267,8675.611,8051.924,7522.855,6769.436,6690.788,6349.306,5905.753,5888.003,5304.543,4964.014,4765.731
 94.7,0.000,1201119.984,1324431.886,1117101.499,951205.322,823790.908,718297.943,628657.043,549842.937,482336.770,422726.372,383759.886,340427.978,309027.301,280134.970,253600.007,226244.558,207392.636,190232.708,173663.166,161844.654,145172.985,134301.725,124001.570,115233.379,105518.574,100759.956,92195.806,84743.682,78767.481,73675.073,69203.876,64505.416,59475.931,55106.301,51926.131,49323.718,45363.678,43272.716,40976.710,38649.878,35609.372,32608.395,31673.310,28751.808,26787.182,26170.097,23428.443,23203.544,22081.354,19376.341,18992.817,18315.835,16999.654,16302.489,14799.280,13778.300,13336.526,11984.986,11749.441,11211.418,10280.275,9776.103,9102.940,8704.344,8058.133,7694.780,7098.767,6793.449,6676.530,6088.174,5942.558,5176.595,5130.516
 98.2,0.000,1466219.288,1309622.914,1107105.689,962430.715,839927.777,722580.907,632764.282,558433.602,496101.941,441771.242,404129.361,361788.832,327533.899,294867.940,266852.626,241621.449,216636.149,207053.258,182942.974,170501.417,156705.968,146190.943,132829.977,122902.477,113425.122,106107.561,98323.491,91694.977,85678.813,80605.345,75534.032,69211.804,63545.615,59118.976,55830.383,52664.290,50015.285,46946.558,42600.594,40206.026,37663.668,36459.897,33621.411,32227.588,29437.077,27538.595,26570.231,24595.095,23021.097,21251.195,20367.934,19348.874,18470.138,16726.883,15963.425,15163.302,13954.590,13175.412,13106.117,12244.901,10586.294,10410.892,9925.739,9263.187,9028.001,8244.371,7543.549,7437.342,6921.325,6406.707,6149.350,5951.846,5515.578
101.8,0.000,1711415.607,1290882.825,1116650.059,966507.693,849253.807,745485.906,659293.092,580491.444,520520.597,463469.293,424627.189,377747.150,339300.156,310067.067,276010.249,252729.106,231661.003,216883.660,195291.362,181152.711,165159.366,157075.055,142903.071,131428.446,120890.749,111409.004,105690.194,97732.192,90793.219,84466.003,80414.255,75303.537,69229.630,63524.751,61821.810,55878.492,53387.033,48649.728,45435.151,43120.451,40635.203,38871.710,36142.126,33591.199,31214.902,29444.644,28431.208,26706.985,25135.136,22991.571,21744.479,20785.037,19625.769,18083.457,16750.942,15898.688,15228.003,14091.731,13312.026,12621.919,12221.780,11627.731,10241.201,9778.728,9157.762,8775.486,8366.575,7702.871,7301.200,7045.424,6590.255,6243.795,5429.542
105.5,0.000,1907371.517,1265326.007,1100142.241,967913.486,856502.908,752619.057,670976.720,590514.254,528620.826,480736.697,440804.009,391147.278,352784.771,322590.792,290853.505,267162.622,244553.289,224817.009,206496.624,191808.641,173818.238,164352.075,153217.420,140359.250,127695.526,117699.554,113103.713,103185.842,95371.258,89404.479,85001.555,79234.390,73417.990,69320.390,63764.218,59525.199,55734.959,52566.270,48721.810,46034.699,43564.111,40737.328,38619.399,35574.049,33759.187,31326.600,29850.820,27792.022,26763.058,24136.225,23380.663,21675.910,20697.392,19386.018,18739.766,17455.105,16018.214,14870.227,14007.450,13428.393,12870.352,11813.684,11540.870,10715.893,10268.699,9769.414,8691.646,7985.937,8232.950,7288.610,7145.412,6535.254,5778.366
109.4,1.925,1926631.970,1221825.832,1075965.613,952690.787,854473.631,749127.729,675425.745,605697.717,538023.805,492563.064,447567.999,402290.084,366784.126,330684.752,301754.660,281472.151,255157.541,233934.941,213066.799,198279.222,184744.454,169913.413,159127.970,148075.950,135166.905,126544.431,116757.976,107771.650,100471.146,93630.684,89003.305,82072.780,78502.362,72439.514,67923.950,63387.289,59438.993,55796.300,51514.097,48818.653,45817.096,43276.447,40412.179,38154.303,35173.475,33672.386,31051.982,29203.847,27844.571,26771.587,25008.010,23300.344,21939.556,20327.853,18966.548,17831.533,17013.124,16095.852,14712.489,14089.221,13569.604,12727.553,11976.455,10864.868,10386.539,10077.234,9476.919,8556.649,8114.014,8001.985,7308.844,6933.877,6620.032
113.4,0.000,1841648.421,1178106.820,1051073.217,938085.469,854694.814,750036.880,680674.609,606602.682,549744.525,494377.535,449822.892,409869.442,369557.823,340431.845,310244.209,284507.427,260100.871,241415.066,225623.974,208057.096,192432.282,178501.240,164610.225,153397.510,142221.412,131648.633,120910.957,112797.329,106069.472,98841.563,92574.109,86429.558,82505.319,75877.426,69924.920,66424.193,62152.387,58931.376,53586.427,50968.536,47872.264,44943.137,42505.714,39411.077,37738.391,35417.724,32790.358,30794.076,29100.977,27388.579,26108.950,24167.906,22620.281,21326.265,19999.214,19081.901,17796.328,17011.771,15540.696,15308.105,14233.327,13135.628,12455.536,11440.114,10779.279,10622.285,9560.909,9066.979,8615.792,7994.969,7715.693,7348.292,6672.341
117.6,0.000,1738157.571,1137192.183,1021960.659,920377.790,833860.824,758188.678,676138.317,610929.350,554040.072,509580.103,459731.207,420529.625,380455.962,348491.422,321259.284,297268.706,274013.254,247953.663,233398.520,212159.348,195713.429,181639.604,172817.942,159043.140,146016.615,136800.460,129208.827,118776.226,110719.621,103838.519,96325.875,89856.518,83932.302,79430.970,73234.716,69597.260,64290.444,59725.858,55400.521,53405.327,50015.565,47124.743,43717.776,40972.077,38955.561,36136.449,34566.383,32355.457,30295.679,29033.237,27082.557,25135.270,23605.209,22140.524,21623.744,20229.077,17932.813,17186.731,16067.742,15761.425,14527.501,13965.046,13035.188,12183.758,11121.551,10751.000,10182.254,9539.304,8545.361,8670.901,7899.543,7717.041,7307.742
121.9,0.000,1589852.391,1080585.886,978129.284,889872.944,812561.416,734096.711,667672.926,605252.563,549424.775,502699.609,461274.993,422161.415,387287.180,347937.342,326219.254,298425.022,275313.018,254587.125,233206.363,214429.667,202562.374,186306.674,174119.730,163980.039,149086.857,138507.169,130154.419,123147.655,113818.034,106848.162,98957.474,92661.776,86802.192,81075.422,77466.509,71475.806,66519.074,62386.115,58836.886,55394.966,52559.243,49080.244,45399.345,42224.888,39753.962,37959.648,35377.412,32411.253,31384.557,29039.761,27922.960,26025.410,24432.386,22767.021,21779.696,20372.733,19157.533,17523.789,16951.719,16091.264,14794.994,13974.936,13221.478,12711.449,11410.272,10723.702,10528.357,9999.694,8917.671,8710.481,8170.694,7844.750,7329.716
126.3,0.000,1415629.164,1023577.868,936342.928,860038.274,787248.644,721850.567,654732.879,597379.542,549309.645,503271.564,457933.739,422278.816,387547.379,347630.663,331222.630,299877.618,276603.079,257825.164,239205.151,221236.379,208037.332,190861.952,176044.078,166235.804,154078.526,143293.763,133051.368,124106.193,118199.655,108751.360,100508.956,94109.472,90413.536,82804.397,78545.370,72301.364,68253.793,64348.441,60006.830,55918.172,52777.089,49638.630,46016.654,43168.046,41356.346,38755.837,36900.249,34031.772,31861.272,29698.927,28941.281,27114.563,24811.461,23756.878,22194.629,20964.321,19676.565,18899.545,17366.814,16595.429,15605.497,14531.526,13336.940,12712.397,11887.113,11526.406,10543.962,10044.492,9581.789,9304.935,8543.279,7747.258,7606.588
