Gas Viscosity (Pa*s),1.83054e-005,1.83054e-005,1.83006e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005
Diameter Midpoint (nm)
 57.3,2.943,0.000,0.000,0.000,0.000,3.133,2.944,0.000,2.889,3.133,0.000,0.000,6.159,0.000,0.000,3.052,0.000,0.000,2.504,3.022,0.000,0.000,0.000,0.000,0.000,3.127,0.000,255635.784,222804.477,165269.686,128299.526,95817.064,77140.137,59910.458,47088.527,39510.806,32717.999,27076.976,22826.441,19707.865,17299.097,14741.738,13053.547,10550.875,10084.533,8844.674,7326.774,6862.024,6630.157,5263.129,4975.464,4625.667,4103.817
 59.4,0.000,0.000,0.000,0.000,0.000,0.000,2.954,2.778,0.000,2.835,0.000,0.000,0.000,2.925,0.000,3.018,1.948,0.000,2.941,0.000,0.000,0.000,2.757,0.000,0.000,0.000,5.338,275634.941,236941.513,175667.073,139382.437,106642.873,84848.665,65618.530,53871.795,44708.865,35780.740,30507.682,25858.379,22853.934,19258.730,17096.209,14959.915,12453.352,12038.558,10843.270,9231.050,8393.982,7897.847,7210.178,6015.806,5526.996,4943.400
 61.5,6.016,0.000,0.000,0.000,2.806,5.596,0.000,2.989,0.000,0.000,0.000,3.003,0.000,0.000,0.000,0.000,0.000,2.763,0.000,0.000,0.000,0.000,0.000,0.000,3.003,0.000,2.755,309479.346,250730.839,187943.787,148814.774,118447.800,93949.281,74358.245,61009.314,49922.254,40811.586,35392.713,29653.208,25953.886,22648.458,19824.090,17340.425,13859.847,13851.661,12661.160,11348.513,10030.282,9469.357,8375.564,8086.135,6726.290,6325.171
 63.8,2.790,0.000,2.468,5.732,0.000,2.060,2.950,0.000,2.491,0.000,0.000,0.000,2.963,0.000,0.000,0.000,2.858,0.000,0.000,0.000,0.000,2.511,2.347,0.000,0.000,2.650,0.000,359677.685,264535.681,202062.439,157756.721,126172.908,101778.281,82014.556,67799.041,55957.059,45959.969,39330.371,34823.886,30234.980,26932.277,22923.824,21392.633,18109.566,17271.765,15024.940,13594.989,12346.670,10966.142,10202.354,8968.208,7872.992,7369.383
 66.1,2.537,0.000,0.000,0.000,2.133,4.555,2.768,0.000,5.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.895,0.000,2.889,1.847,2.197,0.000,0.000,0.000,0.000,0.000,0.000,414456.928,280796.929,215871.741,173323.724,138040.402,112830.348,90578.307,76611.940,63972.541,51991.947,44564.835,39821.927,34792.122,31090.720,27795.481,23806.044,21370.837,19938.227,17947.098,16203.685,13658.678,13052.274,12231.244,10859.646,9901.823,9019.148
 68.5,2.767,0.000,5.531,0.000,2.477,2.372,0.000,2.755,0.000,0.000,0.000,2.568,0.000,0.000,2.129,2.772,5.682,0.000,2.835,1.945,0.000,0.000,0.000,0.000,0.000,0.000,2.520,471724.032,295949.979,229460.203,186840.192,147940.464,122022.945,100810.725,83708.438,70413.793,58101.082,48702.215,44371.040,40419.536,34618.694,31168.179,27758.507,24661.551,23132.356,20764.197,18845.197,16710.162,15739.123,13863.255,13111.246,12314.278,10880.009
 71.0,0.000,0.000,0.000,0.000,2.428,0.000,0.000,2.574,0.000,0.000,5.276,0.000,0.000,2.797,0.000,0.000,2.604,2.754,0.000,0.000,2.678,2.354,0.000,0.000,0.000,0.000,0.000,506329.194,292934.288,231955.591,187183.677,150387.838,122338.286,100153.470,83689.485,71054.789,58704.351,51435.688,44633.922,39981.055,35366.530,30556.758,27392.801,24337.447,22927.057,20698.059,18392.542,16442.269,15375.515,13753.990,12556.288,11926.693,10145.161
 73.7,2.521,0.000,2.619,2.212,0.000,0.000,2.231,1.411,0.000,2.657,1.766,0.000,0.000,0.000,0.000,7.827,1.264,0.000,0.000,0.000,1.692,0.000,0.000,0.000,0.000,2.703,5.192,533655.492,300270.997,232070.133,190076.861,151018.257,124449.806,101408.905,86531.686,72394.478,58301.426,51885.304,45043.256,40200.953,36379.842,31162.478,27585.019,24782.598,23389.371,21713.482,18444.959,16812.554,15209.740,14149.736,13229.398,12134.619,10674.503
 76.4,0.000,0.000,5.037,2.090,2.635,3.841,5.045,0.000,2.179,0.000,0.000,8.010,1.752,0.890,0.000,0.000,0.000,2.633,0.000,0.000,0.000,0.000,2.584,0.000,0.000,4.932,0.000,562332.642,314567.028,246351.724,199981.612,162708.474,131513.527,110217.768,94553.040,78213.472,66445.553,58665.544,49709.227,45172.837,39617.106,33504.290,30738.067,27334.354,25169.534,23202.149,21192.149,18874.845,18062.041,15881.615,14458.797,13905.641,12745.273
 79.1,2.431,7.597,0.976,7.971,2.458,0.000,0.000,0.000,0.000,2.269,0.000,0.000,0.000,1.820,0.000,2.417,2.553,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.004,0.000,594330.632,331732.033,265005.998,207683.021,177277.573,139452.851,120200.896,104147.828,86144.023,74201.316,63905.199,55186.874,49048.529,43380.315,37093.795,33060.119,30185.564,27094.211,26148.440,22791.270,20336.476,19241.861,17696.955,15834.822,15380.801,13513.181
 82.0,0.000,0.000,0.000,1.873,0.000,0.000,0.000,0.000,2.121,0.000,5.006,0.000,2.151,0.000,0.000,0.000,0.000,0.000,6.723,1.661,7.701,0.000,0.000,2.083,0.000,0.000,0.000,639207.017,349770.190,275349.981,223881.178,184952.363,149013.815,128057.789,110655.672,93843.911,78524.812,69139.830,59540.069,53339.990,48053.239,41663.842,36879.967,33704.152,31043.273,28866.602,25931.398,23392.855,20381.514,20388.274,18096.392,17671.367,15612.708
 85.1,1.937,0.000,2.479,1.278,4.141,0.000,1.927,4.246,1.138,0.000,0.000,0.000,0.000,2.314,0.000,0.764,4.877,7.501,2.052,0.000,0.000,2.436,5.138,0.000,4.004,0.000,4.989,652004.408,360522.085,285657.882,234487.279,197805.771,158873.632,137165.186,116522.885,98036.396,86939.732,77285.725,64674.211,58019.482,51206.711,45194.401,41975.959,36778.419,31900.066,31969.980,29330.712,25939.843,24077.308,22764.419,21327.796,20221.713,16550.633
 88.2,0.000,0.000,2.110,0.000,0.000,1.237,0.000,0.338,0.441,2.129,0.000,0.000,0.000,0.000,0.000,0.000,7.534,0.000,0.000,0.000,2.258,0.000,0.000,2.251,0.000,0.000,4.458,665030.855,379020.537,308664.891,252209.535,209462.121,169831.566,148528.357,128740.127,108274.885,95728.160,83449.930,71495.671,61506.225,57641.971,51453.824,46405.590,40550.015,35624.297,33626.949,32206.490,28146.995,25330.810,24128.476,22875.781,22456.109,19087.461
 91.4,0.000,0.000,4.531,0.944,1.645,2.040,0.000,0.000,9.113,0.000,2.194,0.000,0.000,0.000,2.065,0.000,1.831,1.942,1.808,1.353,4.449,2.012,0.000,2.335,0.000,0.000,0.000,706306.776,397231.416,321689.089,266522.439,220002.389,183513.132,162233.208,135245.397,119611.366,103991.845,90237.364,79442.865,68922.724,64486.444,57823.007,50103.967,45125.516,40947.086,39385.432,34613.543,32733.140,29931.892,27938.652,23921.157,23793.234,20934.573
 94.7,1.153,4.681,1.830,0.867,1.700,6.389,0.000,1.848,0.000,0.000,2.292,4.484,0.000,4.216,9.869,0.000,0.000,0.000,0.000,0.000,3.562,2.400,4.319,0.000,0.000,2.130,0.000,748318.180,417465.338,339519.265,286022.807,237986.243,200591.221,174542.964,147085.452,126064.353,109531.744,97742.091,85917.378,74599.241,69307.380,62429.718,55830.040,49391.960,46109.940,41681.693,38394.411,35544.866,33716.617,29887.909,27033.210,26370.769,22790.988
 98.2,1.986,3.099,1.606,1.902,4.447,6.160,0.813,2.307,0.000,9.901,0.000,0.000,0.000,0.000,0.000,1.029,0.000,0.000,0.000,6.753,3.464,0.000,0.000,0.000,0.000,0.000,0.000,798018.945,441821.621,361421.381,300328.767,256382.438,208994.021,189727.203,160683.163,137707.351,122016.200,107740.322,93973.829,82206.400,78262.719,69062.551,60914.407,54298.638,49889.540,46090.925,42813.773,39476.434,36712.193,32934.931,30930.347,28671.658,25687.426
101.8,0.000,1.006,0.525,0.000,1.164,1.409,2.004,0.000,0.000,2.372,0.000,1.554,1.408,0.000,4.149,0.147,0.000,0.000,0.000,3.738,2.070,1.362,0.000,0.000,1.028,0.000,1.834,870773.179,468723.144,389169.995,323373.761,276748.242,236388.878,204157.462,174814.447,149499.564,133735.021,116875.859,102941.000,91314.721,85254.012,76788.818,67555.890,60576.736,55541.391,49794.197,46714.481,45190.442,40515.795,37861.700,33169.460,31848.747,29310.660
105.5,1.886,0.748,2.836,1.063,1.547,6.725,1.146,1.090,0.835,0.000,1.526,0.000,1.734,0.000,1.539,1.165,0.828,0.000,0.000,1.825,0.000,1.854,2.427,2.144,0.497,1.338,4.801,916969.495,488189.207,403989.789,347810.680,296750.953,253903.177,221308.577,191977.537,166613.044,146095.438,125580.040,115109.382,102104.845,93972.524,83981.389,77693.231,67528.849,61847.057,56661.285,53685.329,50958.553,45051.093,42678.501,39962.309,36568.230,32905.206
109.4,0.000,0.000,0.000,1.263,0.000,2.038,1.448,5.733,4.028,0.341,4.421,1.405,0.000,0.000,0.000,1.276,6.648,4.029,2.085,0.000,4.468,3.771,0.000,0.000,1.818,0.000,0.624,956711.906,514601.426,429290.412,366507.007,314283.563,275257.645,242035.367,204997.778,178709.229,157039.170,139823.472,125681.123,108987.592,101089.975,91662.516,83092.162,74428.457,66655.849,61140.514,58602.623,55045.041,50181.238,46384.905,43457.445,41537.539,38766.210
113.4,1.982,2.755,1.378,2.109,0.000,6.743,0.000,0.000,1.702,0.000,2.201,0.000,3.663,7.049,1.866,4.039,3.514,0.000,2.027,0.000,0.000,1.277,0.000,0.000,0.000,1.613,1.594,1012936.560,539717.295,450403.851,390964.603,337570.063,292673.073,261367.162,220200.787,194301.980,171843.744,149759.058,137665.211,123590.224,111084.175,103146.352,92523.919,83311.790,76511.487,69732.992,63990.100,62027.663,54010.006,53574.592,48962.847,46155.526,41029.772
117.6,0.000,0.315,6.178,0.000,0.692,0.000,0.000,3.052,1.717,1.301,0.000,8.705,2.271,2.538,0.000,0.000,0.000,0.907,0.000,0.000,0.000,0.000,1.953,0.000,0.000,6.250,1.919,1024479.445,564983.035,464706.340,420429.916,359187.060,313368.044,272807.800,234952.689,211530.822,186258.053,160616.335,149124.917,135821.812,120926.009,112427.217,103072.825,91966.124,85935.564,77143.884,74384.685,68026.958,63611.287,59363.981,55893.820,49693.333,46695.170
121.9,8.312,0.000,0.595,2.252,0.000,0.000,0.000,8.007,0.000,4.470,1.025,4.240,1.793,1.631,4.712,6.634,0.000,7.233,4.206,2.915,0.000,3.682,1.517,2.154,0.000,6.342,0.000,1038106.951,590297.255,503036.099,431419.064,381907.624,337353.375,294534.492,251716.486,226178.320,199074.039,176111.598,160517.896,146347.334,132514.174,122220.406,112118.377,99849.454,91742.856,82673.550,79332.144,74155.371,69251.300,64725.724,61326.284,55211.163,51473.629
126.3,1.667,0.000,0.000,4.747,4.258,0.000,0.967,0.000,3.851,1.873,0.000,1.805,0.000,1.131,0.000,4.695,0.000,0.000,2.189,0.000,2.824,0.000,0.000,0.000,4.239,0.000,0.000,1078263.545,618032.241,528275.280,461880.536,404237.247,353845.014,317768.699,269780.491,249424.356,217021.494,188259.893,176256.365,157721.117,144360.047,135612.446,123275.931,111418.134,101914.210,94081.745,87042.027,82710.708,75837.726,71863.466,65672.271,60742.623,57134.697
131.0,4.445,0.000,0.000,1.050,0.000,6.355,2.319,0.000,8.177,0.000,0.601,0.000,0.000,0.000,0.000,8.908,0.000,2.142,0.000,0.000,0.000,1.670,0.000,1.415,0.000,1.625,1.475,1080470.197,642948.693,552258.550,484797.710,428607.967,373914.571,331321.368,289464.919,262009.861,231544.149,205174.246,189670.176,173217.301,157463.519,143606.692,134139.777,120206.396,110855.645,102418.230,96715.598,91159.046,83888.293,77607.091,73305.981,66564.038,62222.038
135.8,4.537,6.530,0.000,4.669,1.697,0.000,0.000,0.000,3.708,0.000,1.135,2.399,0.195,0.000,1.717,4.733,1.096,1.492,1.402,4.234,2.382,2.085,2.231,0.000,0.000,0.443,0.000,1071294.186,669064.345,574303.673,504687.344,454460.452,395068.290,354169.212,306210.130,277346.643,243088.424,219379.158,204156.846,187125.827,167864.204,159750.439,145238.415,129198.909,122576.114,113171.132,106790.821,98425.912,93703.893,87913.423,80480.708,77432.046,71206.923
140.7,4.302,0.000,1.956,5.710,1.274,3.743,5.736,2.862,1.573,0.000,0.000,0.000,5.414,1.079,0.000,1.203,1.296,0.000,4.111,0.000,2.163,0.000,2.157,1.867,0.000,0.000,1.584,1054353.395,682499.189,593936.484,520228.472,466320.714,413524.609,369722.887,324000.159,295989.428,263052.159,235699.023,216920.022,200031.641,183003.082,169633.691,156460.191,141737.682,131765.786,122444.346,114536.603,108227.801,99995.212,94144.238,88650.929,82979.854,75827.038
145.9,1.666,0.000,0.000,1.653,0.000,0.000,7.766,0.000,1.961,0.000,0.000,0.811,1.340,4.777,0.000,0.371,3.838,0.000,0.000,0.000,4.114,0.000,1.439,1.733,0.000,1.894,0.000,1018045.741,693514.546,606190.355,542666.859,483422.018,428696.219,382148.075,334593.872,308848.766,277511.668,249850.667,229996.367,213621.106,197326.875,179629.013,167066.935,153365.925,140618.481,131048.485,122464.343,115522.309,107511.581,102776.752,96533.679,90968.073,82445.150
151.2,0.000,7.674,4.752,0.022,0.688,4.470,0.153,0.000,0.000,0.000,0.884,0.000,6.020,4.128,1.934,2.337,1.077,2.534,2.125,1.731,1.503,1.320,0.000,0.000,1.731,1.068,2.397,971222.914,700014.626,616006.315,558063.018,496025.695,448824.015,403676.090,351265.183,319202.097,291396.418,263408.982,241420.676,221601.412,207018.076,192616.182,176983.357,162519.000,150923.867,141478.483,131616.291,125073.784,116194.167,109953.764,104182.862,97546.413,89027.634
156.8,3.303,0.000,0.000,0.000,3.024,1.082,1.435,0.000,6.388,0.000,0.000,0.000,0.000,9.149,2.205,1.887,3.720,1.802,2.155,4.593,0.000,3.960,0.000,0.000,2.757,0.000,0.000,915538.466,699971.425,620393.422,560965.608,505382.502,458543.518,414103.037,365567.961,330110.748,298779.637,271644.585,250884.274,233711.339,217017.461,199071.677,184353.146,170573.289,158775.928,148016.522,138449.426,132360.634,125166.030,116977.035,111271.282,103124.804,95594.255
162.5,0.692,6.860,0.000,2.638,0.715,0.679,5.090,6.048,2.089,0.615,3.114,9.243,1.782,0.000,2.106,4.697,4.228,2.291,1.170,0.000,0.000,0.000,0.000,0.000,4.170,2.550,0.000,868468.248,700880.675,621922.049,564607.790,510975.268,465812.453,415784.302,371322.304,339619.710,310798.095,281642.059,256936.479,244123.537,227099.113,209482.029,195446.561,179893.672,167265.429,156548.542,148427.425,138949.729,130167.046,122883.521,115917.105,110167.639,100973.547
168.5,0.209,4.624,3.987,1.220,4.993,0.000,0.991,2.089,1.291,4.514,0.000,0.000,9.685,0.000,2.702,2.286,0.000,2.345,0.000,0.000,1.676,4.141,4.495,0.000,0.000,1.696,7.022,817906.938,692498.680,615366.194,568036.375,513386.516,466478.863,424199.938,374708.377,347153.562,317542.038,288128.503,266259.997,254207.589,236212.225,217273.752,204062.649,185931.085,175263.640,164909.990,156189.926,145363.513,137221.720,130538.250,122859.915,114454.416,105569.763
174.7,0.382,4.558,0.000,0.000,7.114,0.000,1.943,5.021,2.094,7.254,0.000,2.413,0.000,0.000,0.000,0.000,3.615,6.015,0.632,4.364,0.000,2.228,4.304,0.000,0.000,1.195,0.000,771017.760,676854.212,610017.405,562987.834,509778.332,466188.343,425257.296,381456.366,349443.103,322125.084,293899.465,272250.247,257628.187,240476.612,221277.409,209725.024,191789.503,179696.869,170441.519,161640.919,149907.037,142015.033,133197.736,127432.892,120282.933,111721.036
181.1,6.410,0.000,1.265,0.000,2.206,2.264,6.445,0.000,1.783,0.000,3.486,9.462,0.000,0.000,4.237,0.000,4.975,0.245,0.000,3.232,2.021,0.000,0.000,0.000,0.000,2.420,1.233,723557.241,658284.698,593277.678,549310.932,505062.769,458619.605,426097.361,382512.632,349819.627,324585.424,295516.490,275662.332,260440.612,245524.544,225810.917,211895.514,195105.813,183767.628,172714.036,163063.179,154839.633,145746.282,136526.603,130535.802,124854.226,111918.810
187.7,2.133,6.384,2.003,4.886,8.697,7.328,3.136,0.000,0.000,0.000,1.432,0.000,6.592,0.000,0.000,1.365,3.464,0.000,1.495,4.876,7.008,2.438,2.438,5.846,0.000,0.000,0.000,686168.221,629751.916,571801.671,528126.006,490163.515,450883.889,416669.662,376722.474,346256.467,321816.589,294152.558,276997.913,261578.259,245464.619,228594.882,215095.347,196306.227,187886.466,175235.693,166806.895,158052.046,149755.453,139892.613,132641.209,127427.114,118420.673
194.6,0.000,6.221,0.000,3.792,0.000,6.060,2.871,0.000,1.984,0.000,3.957,0.000,0.000,1.711,0.000,0.000,7.353,0.000,0.000,4.339,4.892,0.000,0.000,3.957,0.000,0.000,2.446,640334.996,596844.395,544223.552,507406.165,471269.725,438067.300,403529.515,367137.821,338586.997,314499.757,288028.643,272228.062,258221.204,243512.052,227639.984,214469.187,196458.341,187822.389,177529.758,169917.777,157899.783,150966.549,143396.131,134007.260,128792.772,119477.933
201.7,0.000,0.000,13.340,8.118,7.331,0.000,0.000,0.056,2.470,0.000,4.126,11.511,0.906,4.890,1.650,1.729,4.939,0.000,1.653,0.000,0.000,2.150,0.000,1.729,7.394,0.790,2.465,599073.947,560537.307,514115.143,484090.568,452816.956,419183.832,388123.639,351584.482,330100.274,306340.602,282512.030,267873.865,255215.912,241134.424,223544.593,210902.356,192917.026,187876.837,176351.385,167826.846,156456.065,149470.074,143710.194,134851.820,129320.664,121771.275
209.1,0.000,0.000,16.324,5.775,1.549,3.356,0.000,0.409,2.478,4.955,1.253,0.000,2.488,1.546,1.679,0.000,1.549,1.573,0.000,0.000,4.945,0.000,0.000,1.804,4.945,4.019,0.000,548291.209,512788.282,474799.390,452198.717,424271.561,394705.615,368699.442,338153.340,316484.496,295564.638,274356.823,258445.050,245447.994,233202.363,218491.201,206029.679,190762.875,182050.722,172904.132,165352.543,154014.448,148672.611,140896.193,134827.836,127686.728,118755.222
216.7,0.000,1.980,15.367,4.477,0.000,1.980,0.504,2.497,2.497,7.492,0.000,0.000,5.015,0.843,0.000,0.000,1.981,0.000,1.461,3.850,0.000,0.843,0.000,0.000,0.000,0.981,0.000,506154.385,465552.607,435467.569,416337.610,393659.797,368516.036,345000.275,319213.815,297857.392,282215.836,257242.143,249050.325,235935.527,224773.655,209184.767,199777.523,185247.782,178141.350,169294.317,159295.451,152169.174,145108.090,137466.989,130462.831,125830.744,117452.911
224.7,0.000,2.517,4.402,1.163,5.034,2.517,4.328,7.550,0.000,2.517,0.000,2.512,2.528,0.000,2.517,6.185,2.517,2.416,1.160,0.000,0.000,0.000,1.160,0.000,7.536,2.021,2.512,450465.352,419864.518,392153.239,375934.189,357008.370,340131.250,320347.582,295741.464,277678.724,265118.747,244262.558,234800.176,223366.392,212543.674,199043.996,189438.730,177062.540,170718.265,162121.904,155714.746,147553.682,139458.497,131716.451,127373.379,121474.938,114087.578
232.9,6.706,5.074,3.151,0.791,5.075,0.000,2.537,7.612,0.000,5.075,2.523,2.532,0.000,0.000,0.000,0.000,0.000,10.130,0.000,0.965,2.346,5.065,2.356,0.000,0.000,0.000,0.000,400581.137,373902.577,348418.584,337119.592,324001.967,308790.641,291217.778,272391.511,257657.657,244368.612,227239.225,219601.223,210467.772,199428.186,189053.447,178611.109,168772.023,161404.795,155920.415,146688.615,139041.642,132538.615,128011.992,120992.919,117916.968,110099.486
241.4,2.894,2.349,5.116,5.116,2.558,0.000,5.116,0.000,0.000,4.887,2.558,0.000,2.569,2.553,0.000,0.000,0.000,0.000,0.000,0.000,0.956,0.000,0.000,2.553,2.553,2.553,0.000,353176.738,321050.911,304133.105,298425.586,286640.908,273220.023,260171.467,244660.517,233258.599,222311.498,207532.099,200909.540,195251.316,184819.059,176056.434,166942.429,159099.949,152112.766,145982.990,139015.581,131550.811,125765.883,120370.802,114052.128,112543.201,105306.493
250.3,0.000,8.874,7.738,5.159,4.322,2.161,0.000,0.000,2.580,0.000,2.580,2.575,5.182,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.575,2.575,0.000,2.575,5.149,7.306,2.575,307011.225,271455.814,262017.042,257948.038,250138.509,238994.583,230133.699,218989.752,207847.432,201206.236,187670.465,183077.834,176493.609,167332.415,159530.360,153305.134,145638.136,141300.151,135197.597,129075.517,121190.093,116083.435,111963.252,106256.772,104334.181,96718.339
259.5,0.095,2.614,7.841,2.614,0.000,1.330,2.614,2.614,0.000,4.073,1.973,0.000,0.000,3.936,0.000,0.000,0.000,0.000,0.000,2.609,0.000,0.000,2.609,2.609,0.000,1.327,2.609,258913.655,228519.098,222545.443,218496.264,214646.251,205945.643,201886.176,192264.971,182652.494,177601.825,167240.350,161624.761,156855.752,152036.880,145878.057,138014.611,132023.993,127365.171,122332.927,118065.199,110874.111,108402.795,103084.434,98836.827,95676.227,91280.570
269.0,0.000,0.000,0.000,1.763,5.274,2.636,0.000,0.000,2.637,0.000,1.529,0.000,0.000,0.000,4.993,0.000,0.000,0.000,1.526,5.263,0.000,0.000,0.000,0.000,2.632,0.000,0.000,213172.304,185408.226,182360.718,181687.130,177243.350,176151.212,171737.022,164642.074,155629.548,152533.004,145606.225,141623.382,139663.774,133284.135,128263.697,123626.578,117837.859,114212.147,109556.251,106567.251,101281.332,97982.385,92938.515,90094.368,88663.678,83514.457
278.8,0.000,0.000,4.206,0.000,0.000,7.979,0.000,4.399,0.000,0.000,4.207,0.000,5.342,7.964,0.283,0.000,2.660,1.788,2.655,0.000,5.309,0.000,0.000,0.000,0.000,2.655,0.000,167140.176,146501.675,148087.634,147493.609,147353.838,145334.778,142857.045,138342.908,132556.971,129604.076,123069.687,122190.747,121314.454,116375.787,112421.667,108783.086,102763.907,100011.542,97861.536,93379.801,89547.265,87276.085,84144.874,80516.280,78895.998,74719.489
289.0,0.000,10.786,0.608,0.000,0.000,0.000,1.240,0.000,0.000,0.000,0.680,0.000,0.000,5.383,0.000,0.000,0.000,4.517,0.000,2.691,0.000,2.691,0.000,2.692,2.691,0.000,2.692,129900.762,113702.483,115801.408,116614.285,118897.742,118906.661,115509.798,111976.308,109900.140,109938.505,104232.294,103450.259,103969.980,99227.553,95896.191,94246.433,89278.442,86680.597,84825.919,82221.504,77381.518,77761.780,74413.394,71020.513,69359.212,66653.993
299.6,0.000,0.000,0.000,0.000,2.721,0.000,0.000,0.000,2.721,0.000,7.586,2.716,0.000,0.000,0.000,2.716,2.722,0.000,0.000,0.000,0.000,0.000,0.000,2.716,0.000,0.000,0.000,97419.772,85639.871,88850.445,92023.680,92129.972,94707.884,92894.115,90887.042,89575.327,87810.281,85688.835,84476.402,85559.788,82363.279,81194.766,79318.171,75720.193,73812.427,72993.588,69755.911,67577.735,66942.207,64657.550,61748.428,59946.170,57699.363
310.6,10.422,2.760,2.760,0.000,0.000,0.000,2.760,2.760,0.000,0.000,2.744,0.000,5.544,0.000,0.000,0.000,0.000,0.000,2.755,0.000,0.000,0.000,0.000,2.755,0.000,0.000,0.000,70750.176,63448.303,65473.544,69112.543,71378.475,71956.432,73326.588,71095.654,70869.991,70400.570,70722.446,68787.535,69561.302,67078.862,66538.885,65705.104,63521.564,61727.008,61836.259,59549.814,56911.816,57023.889,53606.587,53083.134,52102.616,49334.457
322.0,8.253,0.000,0.000,5.600,0.000,2.800,0.000,2.800,0.000,2.801,0.000,0.000,0.000,0.000,2.801,0.000,0.000,0.767,0.000,2.795,0.000,0.000,0.000,0.000,0.000,5.590,0.000,50228.762,45109.494,47791.745,50444.204,53202.710,53339.337,55300.355,54500.453,56154.383,54167.226,55127.041,54972.759,56307.224,54254.542,54664.045,53432.279,52881.238,50642.952,50392.999,48875.005,48841.079,47409.189,44662.762,44756.355,43415.992,41573.710
333.8,0.886,2.827,5.654,0.000,0.000,2.827,0.000,5.654,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.822,0.000,2.822,0.000,0.000,0.000,0.000,0.000,2.822,0.000,0.000,0.000,34478.232,31172.846,33025.156,35616.707,37894.911,38385.147,40184.553,40370.090,41695.977,41701.460,41406.758,42305.880,42937.185,42141.638,42180.491,42284.991,41610.895,40699.607,41003.006,39673.742,38243.242,38125.031,37555.961,36086.858,35514.513,34753.366
346.0,2.869,2.869,5.738,2.869,2.870,2.869,5.739,0.000,0.000,0.000,2.870,0.000,0.000,2.864,1.125,0.000,2.870,0.000,5.728,0.000,0.000,2.864,2.864,0.000,0.000,2.864,0.000,22583.657,20574.071,22084.704,24788.100,26906.532,27384.951,28897.053,29867.424,30411.354,30379.991,30828.355,31529.940,33415.062,32246.359,33084.113,32448.948,32517.843,31795.694,31940.373,31644.524,31132.301,30181.098,29670.825,29138.394,28592.779,27902.793
358.7,2.913,0.000,0.000,0.000,0.000,0.000,5.827,0.000,0.000,0.000,0.000,0.000,0.000,2.908,0.000,0.000,0.000,0.000,0.000,2.908,2.908,2.908,0.000,0.000,0.000,2.908,0.000,14950.894,13159.368,14783.345,16005.100,17980.845,18498.638,20275.574,20815.208,21604.992,21934.062,22203.258,23107.642,24394.259,24005.950,24438.971,24988.684,24971.674,24063.794,24417.940,24647.175,23841.537,23244.455,23319.619,23139.011,22793.034,21753.968
371.8,5.917,0.000,5.917,2.959,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.953,0.000,0.000,2.953,0.000,2.953,0.000,2.953,0.000,0.000,0.000,0.000,9023.311,8307.517,9483.506,10413.740,11486.349,12600.283,13664.469,14085.943,14556.092,15156.410,15775.441,16370.340,17639.019,17514.096,17993.895,19006.717,18302.455,17981.845,18441.117,18546.642,17955.845,17547.404,18083.092,17762.890,17744.305,17094.606
385.4,0.000,0.000,3.006,3.006,0.000,0.000,0.000,0.000,3.006,0.000,0.000,0.000,0.000,0.000,3.006,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,5786.363,5350.181,5683.231,6487.163,6882.886,8190.218,8755.171,9471.159,9817.437,10798.102,10755.656,11290.803,12317.626,12840.683,12671.130,13461.407,13387.794,13253.843,14005.425,13754.606,13328.483,13157.305,13102.993,13122.885,13180.102,13355.057
399.5,0.965,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.032,0.000,0.000,0.000,0.000,0.000,0.000,3346.377,3166.914,3537.235,3915.262,4346.593,4930.244,5692.215,5981.411,6342.209,7064.767,7147.345,7662.161,8357.751,8857.638,9047.449,9120.729,9519.096,9298.376,9957.565,9926.149,9718.842,9863.245,10140.062,9824.762,9845.289,9655.911
