Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Date,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023
Start Time,17:30:00,17:33:00,17:36:00,17:39:00,17:42:00,17:45:00,17:48:00,17:51:00,17:54:00,17:57:00,18:00:00,18:03:00,18:06:00,18:09:00,18:12:00,18:15:01,18:18:01,18:21:00,18:24:00,18:27:00,18:30:00,18:33:00,18:36:00
Sample Temp (C),22.3,22.2,22.2,22.2,22.1,22.1,22.1,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.1,22.1,22.1,22.1,22.1
Sample Pressure (kPa),80.1,80.1,80.1,80.1,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.1,80.1,80.1,80.1,80.1,80.0,80.1,80.0,79.9,80.0,80.0
Relative Humidity (%),28.8,26.0,23.7,21.8,20.2,18.9,17.7,16.7,15.9,15.2,14.6,14.0,13.6,13.2,12.8,12.5,12.3,12.0,11.8,11.6,11.5,14.6,20.7
Mean Free Path (m),8.48565e-008,8.48199e-008,8.48199e-008,8.48199e-008,8.46777e-008,8.46777e-008,8.46777e-008,8.46412e-008,8.46412e-008,8.46412e-008,8.46412e-008,8.46412e-008,8.47469e-008,8.47469e-008,8.47469e-008,8.47469e-008,8.47469e-008,8.48528e-008,8.47834e-008,8.48894e-008,8.49956e-008,8.48894e-008,8.48894e-008
Gas Viscosity (Pa*s),1.82911e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005
Diameter Midpoint (nm)
 27.9,0.000,0.000,0.000,29329.962,12366.691,7734.299,5077.227,3357.274,2106.385,1658.454,970.918,896.373,559.476,434.386,404.764,338.315,276.503,96.464,112.808,137.088,105.024,72.315,70.038
 28.9,4.725,0.000,0.000,31847.017,13155.810,8356.034,6025.567,3918.778,2952.343,1818.475,1446.695,1058.937,741.007,511.501,535.277,423.433,289.524,237.102,204.742,176.056,161.169,124.354,160.550
 30.0,0.000,0.000,0.000,33573.891,15082.410,9343.004,6596.984,5076.767,3334.982,2585.207,1833.571,1330.959,1241.802,871.269,595.738,471.018,379.184,352.769,337.555,247.512,222.481,202.590,80.869
 31.1,0.000,0.000,0.000,37346.173,16946.931,10740.531,7421.876,5624.810,4011.928,3008.416,2331.280,1686.811,1187.324,909.197,870.003,673.712,603.433,381.660,322.686,310.194,291.544,260.610,245.115
 32.2,0.000,0.000,0.000,40462.950,19647.749,12535.970,9479.798,6721.258,4946.860,3928.973,2648.687,1887.926,1628.189,1000.393,856.270,748.334,893.653,585.786,521.168,426.460,310.969,371.696,271.050
 33.4,0.000,0.000,0.000,44381.305,21645.960,14067.779,10363.159,7913.247,5610.560,4334.918,3275.989,2438.007,1851.910,1457.225,1157.983,1025.576,874.831,639.996,631.113,673.343,445.409,417.425,375.350
 34.6,0.000,0.000,0.000,47872.105,23795.178,15811.713,12095.220,8379.266,6470.203,5023.208,3905.853,3221.120,2123.047,2031.134,1560.695,1166.282,1053.580,947.274,674.328,647.541,596.636,622.164,478.858
 35.9,0.000,0.000,0.000,52585.773,27006.997,19193.319,13389.949,9517.491,7663.142,5964.620,4651.027,3535.777,2645.400,2391.119,1860.850,1505.221,1206.959,992.856,901.532,727.028,755.562,654.942,613.168
 37.2,0.000,0.000,0.000,55891.340,29301.222,20909.296,14947.332,11538.385,9096.331,6962.360,5416.330,4364.612,3629.007,2843.103,2333.263,2166.305,1623.563,1306.369,1218.974,1044.085,1133.961,905.853,673.327
 38.5,0.000,0.000,0.000,58702.452,31805.750,22846.421,16694.338,13275.920,10596.602,8288.539,6676.535,5104.477,3803.046,3426.592,2951.347,2193.996,2090.010,1618.125,1374.662,1187.684,1116.082,1135.300,931.365
 40.0,3.436,0.000,0.000,62709.409,35119.662,24931.891,19721.413,14754.074,11571.189,9747.848,7568.153,6342.977,5208.592,4010.189,3375.718,2973.075,2654.673,2121.893,1933.106,1483.291,1341.804,1410.827,1232.235
 41.4,0.000,0.000,0.000,65575.586,38853.732,28524.717,21715.905,16756.056,14128.108,10903.112,8737.111,7798.042,6182.490,5007.461,4080.869,3353.591,3033.230,2572.700,2279.455,1638.859,1801.990,1908.031,1720.309
 42.9,0.000,0.000,0.000,68597.534,40667.687,30579.871,24139.526,19507.875,15329.625,12875.725,10490.146,8765.444,7434.843,5933.515,5080.466,4359.695,3362.217,3147.304,2780.872,2135.589,2108.494,2160.823,1992.975
 44.5,0.000,0.000,0.000,71333.800,44739.670,34014.770,27246.941,21216.257,17557.557,14903.997,11662.768,10086.541,8400.900,6876.660,5746.481,4753.306,4563.425,3856.176,3238.825,2775.865,2957.109,2801.859,2169.530
 46.1,0.000,0.000,0.000,75698.729,48118.707,37575.125,30215.292,23861.385,19989.967,17236.227,13863.408,11921.545,10018.259,8384.232,6825.764,6063.360,5240.349,4454.540,3740.947,3352.471,3479.343,3315.809,3037.915
 47.8,2.984,0.000,0.000,80896.538,53064.941,42202.422,33411.959,27224.647,23290.727,19370.661,16323.858,13412.733,11349.210,9981.567,8558.935,7339.669,6527.044,5624.408,4655.904,4090.377,4240.295,4209.039,3672.273
 49.6,0.000,0.000,0.000,86413.848,59758.743,46975.254,39231.104,32356.864,27315.938,22781.135,19286.385,16634.889,14387.845,12190.251,10468.572,9338.056,8229.551,7157.688,6650.989,5692.237,5602.206,5485.817,5277.064
 51.4,0.000,0.000,117594.500,92843.998,66499.732,51061.314,43596.184,36332.255,31086.458,26241.692,22931.181,19711.669,17667.770,14702.871,13186.312,11309.668,10230.432,9091.924,7842.681,7185.341,6831.922,6966.949,6574.130
 53.3,0.000,2.778,543581.818,95877.853,72169.007,56716.203,48692.781,40580.636,34243.002,29433.104,26066.504,22907.871,19183.758,17545.100,15039.992,13556.356,12037.834,11059.994,9632.856,8220.247,8924.586,8641.242,7555.964
 55.2,0.000,0.000,1061203.343,103973.882,78272.005,62584.354,53356.465,45488.888,39705.584,33508.255,29181.858,25744.646,22813.773,20930.181,17812.441,16460.659,14149.896,12561.916,11065.753,10344.797,10547.134,10394.930,10055.671
 57.3,0.000,0.000,1544414.441,111557.477,85775.125,70080.180,59161.975,51078.010,44615.560,38204.506,33725.176,30207.083,26916.028,24302.051,21396.782,19095.159,16779.026,15572.268,13476.346,12344.189,12788.735,12713.511,11588.052
 59.4,0.000,0.000,1872446.180,123433.339,94348.146,75812.011,62923.238,58225.335,49623.601,43674.117,37824.480,33911.006,29882.974,27060.760,24482.701,23412.439,18913.706,18074.588,15618.706,15449.609,15487.565,14338.816,13729.182
 61.5,0.000,0.000,2166547.605,136866.008,103374.039,83211.977,72745.307,64857.577,57413.831,49307.586,43444.769,39877.245,34340.429,31155.109,28621.346,25509.986,22229.203,20640.413,18949.801,16958.699,17832.010,17652.440,16669.263
 63.8,2.242,0.000,2282892.335,148887.502,111015.111,92517.650,79038.803,72939.797,62943.032,55882.573,50617.882,44614.909,40153.117,34658.649,31825.496,30257.745,25217.399,23923.875,22037.025,20904.974,20318.921,20149.603,20228.577
 66.1,0.000,0.000,2318090.221,159162.979,120070.657,100666.552,88215.979,81461.450,70503.559,61460.911,56008.374,51043.338,45689.093,40550.141,35999.636,33984.308,29166.929,27895.794,26043.796,23258.440,24186.745,23657.670,23528.230
 68.5,0.000,2.420,2162828.620,174757.627,128467.118,109347.764,97244.575,90159.094,78500.654,68013.552,63378.704,57123.719,51493.273,45650.657,40878.960,38821.083,34050.869,31659.580,30298.549,26659.406,28321.171,27967.724,26303.211
 71.0,0.000,0.000,1922096.791,180408.265,131591.265,109487.076,97468.317,90622.400,80249.921,70325.311,63292.408,57383.617,51739.565,47451.971,41637.502,38653.687,33984.031,31982.490,30705.183,27564.397,28311.317,28483.855,27367.346
 73.7,0.000,0.000,1627789.521,187629.829,130137.903,113548.965,99198.964,89695.286,83074.020,71778.701,64179.503,59814.754,52962.062,46240.264,41644.778,39543.659,35178.836,33237.953,32139.098,27220.646,29668.280,29940.172,26900.717
 76.4,0.000,0.000,1346883.953,199635.619,140112.657,122989.647,108346.014,97336.076,91125.135,79027.900,69805.900,65754.113,57758.876,52363.892,45839.181,43377.246,40830.658,36681.031,34893.186,30721.657,33639.631,32771.535,30664.072
 79.1,0.000,0.000,1142251.674,215330.111,148648.836,132848.506,116462.111,107065.185,98304.514,87817.114,75892.159,70271.594,62648.014,56330.039,51049.566,47327.026,44786.819,42091.601,38567.408,33980.720,37822.044,35632.344,35712.968
 82.0,2.043,2.150,1010148.447,226161.453,160422.975,148211.906,128741.461,115367.513,106423.166,95106.096,83017.331,76083.590,69764.903,61539.429,56395.183,52157.303,49793.679,44407.518,42453.418,38235.820,42235.516,41138.007,37739.855
 85.1,0.000,0.000,946171.112,238250.242,172159.675,155676.411,138962.923,125715.365,117510.115,102208.132,89308.820,83353.144,74146.633,68385.554,63201.794,56280.006,53907.409,49089.412,47602.905,42452.813,45908.160,45370.323,42833.742
 88.2,0.000,0.000,903468.386,251886.241,184821.759,166245.179,149786.316,141042.124,124043.198,110132.712,100172.232,92817.785,83902.884,76759.752,67949.728,62639.695,61886.423,55601.772,54431.559,49059.674,50278.777,51228.812,47700.200
 91.4,0.000,1.993,859267.734,262731.617,199716.145,181611.566,163474.626,148305.758,135634.355,121733.388,108469.730,100280.990,92386.065,82810.570,75773.899,71685.009,68046.922,61556.963,56810.210,55925.471,56686.541,58939.865,52514.416
 94.7,1.956,0.000,824275.113,278543.610,219625.344,191208.482,174031.449,160333.379,146852.724,131782.949,119111.584,107151.466,100261.395,90777.566,83418.722,77395.254,73675.948,68194.623,61770.361,59978.475,61563.887,62107.821,57616.951
 98.2,0.000,0.000,816188.812,295077.859,230761.447,205151.593,187806.125,172810.180,156252.274,140701.525,130798.213,118612.415,112132.961,99882.345,92350.217,86336.182,82849.238,77626.024,67948.124,65841.724,67858.371,68886.489,64861.358
101.8,1.398,0.000,852216.929,310253.506,247289.822,226076.983,206288.918,183408.863,168936.147,154419.498,141176.078,130545.789,121512.266,109542.849,100808.095,97642.540,90202.861,84290.556,77207.426,72697.850,77530.115,78476.870,72748.008
105.5,0.000,0.000,866012.827,322042.223,264711.194,241233.794,218961.026,197734.461,183194.048,166500.648,152626.523,140132.828,133072.969,119657.896,112157.685,105005.787,98187.254,91934.982,86482.905,79984.888,85305.998,85703.622,80904.510
109.4,3.653,0.000,805185.705,326934.162,283535.212,254293.087,231396.639,214062.850,194040.362,177099.869,165449.226,153728.120,145598.094,133514.275,121421.145,111743.331,107086.196,99446.208,94017.818,89603.736,93733.283,93771.933,89318.206
113.4,0.000,1.194,679148.194,336310.234,297327.056,269960.552,249581.714,225418.403,206916.239,189557.510,180337.885,166903.981,151895.300,141819.944,132739.893,124189.996,115385.115,109346.178,102704.914,97280.805,101894.089,103418.678,98930.659
117.6,1.565,1.095,536790.479,348322.690,314493.976,284973.122,258338.253,239708.142,222843.962,201349.298,191828.349,179605.092,163263.639,155339.423,147800.762,137694.301,126855.436,115156.258,112977.868,106858.038,111793.222,114741.014,108169.179
121.9,0.000,0.000,396815.875,357283.885,323311.855,291676.464,270117.008,258148.201,234558.862,213397.810,207083.161,190191.758,176354.587,167995.035,154831.433,145426.884,134165.156,127459.059,120349.781,114919.763,121339.729,123052.645,117975.398
126.3,0.000,1.564,286944.784,370649.436,340400.574,305881.898,287077.035,269633.706,248604.737,229389.511,215959.847,204330.495,188299.717,178010.244,165680.615,157642.910,144558.202,138082.220,128320.199,126450.928,132683.254,135267.483,127233.948
131.0,0.000,0.000,234005.769,377437.046,354348.718,317774.678,300678.336,279826.741,262006.394,245031.850,228590.810,215308.873,197548.690,185535.055,178936.392,168301.129,155276.887,145780.025,136334.322,134167.230,141207.555,143749.793,138421.142
135.8,0.000,0.000,230145.026,394418.182,362883.670,329109.489,313464.003,288050.646,271307.891,253166.931,239201.789,223628.816,208183.829,197771.052,186111.061,174356.309,166164.027,156691.787,149684.809,141660.808,151391.758,153162.244,150670.759
140.7,0.000,0.000,216265.260,407447.414,370315.195,338865.336,325177.217,299125.747,281668.288,265446.955,248069.807,234636.076,218481.299,204594.231,197371.382,184619.643,173582.081,167351.016,157970.208,151842.660,161451.242,163805.271,160052.005
145.9,1.307,0.000,182572.372,406148.783,375608.020,345835.532,326148.946,306231.352,287992.208,273385.362,256198.414,240144.385,224263.621,217285.739,204107.842,189695.047,181163.631,171859.495,164995.373,158472.641,169253.737,175651.127,169998.703
151.2,0.054,0.000,155033.000,414969.721,378712.432,349097.747,332139.875,314016.474,294966.300,277198.154,261736.068,247353.971,232184.396,224292.136,210721.390,198412.861,187872.827,178829.400,175185.037,163700.208,176107.359,183363.573,180008.469
