Relative Humidity (%),32.1,38.0,42.7,46.4,49.5,52.2,54.7,56.7,58.5,60.0,61.3,62.3,63.2,63.9,64.5,65.0,65.6,66.1
Mean Free Path (m),8.42487e-008,8.43536e-008,8.43536e-008,8.43901e-008,8.43901e-008,8.44265e-008,8.44629e-008,8.45358e-008,8.46087e-008,8.46816e-008,8.47545e-008,8.47909e-008,8.47909e-008,8.47545e-008,8.47545e-008,8.47180e-008,8.46816e-008,8.47872e-008
Gas Viscosity (Pa*s),1.82528e-005,1.82528e-005,1.82528e-005,1.82576e-005,1.82576e-005,1.82624e-005,1.82672e-005,1.82767e-005,1.82863e-005,1.82958e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.82958e-005,1.82958e-005
Diameter Midpoint (nm)
 34.6,13.861,4.508,0.000,0.000,117811.438,82072.957,50704.803,32784.627,21223.071,15235.764,10382.739,7842.082,5498.765,4346.678,3418.632,2818.380,2420.728,1718.027
 35.9,0.000,0.000,3.757,0.000,106821.571,90584.379,56417.429,38548.339,25025.977,17551.241,12652.025,8972.914,7194.429,5175.070,4292.765,3354.205,2801.701,2041.200
 37.2,0.000,0.000,4.230,0.000,99245.742,99466.818,63687.959,43059.398,28996.151,20394.404,15283.636,11076.256,8979.217,6625.514,5355.615,4662.703,3394.067,2809.611
 38.5,0.000,4.005,0.000,0.000,101842.939,109926.514,71459.858,47829.587,33974.060,23537.177,18048.821,13563.823,10191.280,7893.357,6708.905,5375.246,4321.662,3631.900
 40.0,0.000,0.000,0.000,0.000,125240.586,119174.467,80103.161,54398.502,37881.685,27638.996,21002.969,15324.009,11620.874,9519.017,7937.595,6357.162,5138.633,4030.688
 41.4,0.000,3.372,3.518,7.856,163350.610,129180.277,88325.756,63113.565,44166.572,32481.817,24650.318,18794.493,14920.080,11972.705,9789.662,7997.053,6534.021,4969.153
 42.9,0.000,0.000,6.874,0.000,209575.558,140997.354,97010.680,70236.601,49595.292,37976.376,28696.671,21759.008,18148.682,14201.529,11709.162,9365.762,7963.776,6424.856
 44.5,0.000,0.000,0.000,3.527,246753.604,154544.727,108880.743,79237.185,56178.965,43044.808,32831.671,24463.062,21197.235,16403.898,13907.688,11511.010,9411.085,7334.035
 46.1,6.579,3.540,0.000,6.786,270191.191,170364.705,119539.466,87094.459,65409.720,50034.255,38798.409,29391.770,25622.018,20224.195,16405.698,13385.994,11630.831,9355.657
 47.8,2.460,0.000,3.052,2.685,277467.892,186422.080,134385.157,98697.581,74520.613,59060.910,45416.294,35593.372,28611.416,23506.354,20820.599,16432.706,13939.457,11842.682
 49.6,2.600,2.870,2.937,9.353,307101.124,209090.771,150543.604,112808.087,87493.661,68079.607,54860.624,42737.603,37066.589,29764.261,25593.627,20772.159,17424.553,15275.038
 51.4,0.000,0.000,12.977,2.371,338699.620,230230.391,168620.749,128709.050,100068.786,80917.319,64594.771,51555.411,43418.724,35284.727,30240.576,24913.641,22017.191,19123.075
 53.3,5.462,2.794,2.229,6.111,382358.649,248763.278,186360.237,141431.708,112392.788,89895.859,73763.548,60420.361,51118.866,42120.470,35548.460,29619.806,25972.759,22211.602
 55.2,2.220,2.871,0.000,2.527,435252.925,277002.835,203573.896,161473.421,127123.582,101319.229,85182.239,70413.828,58770.647,48707.939,41791.638,35720.466,31116.727,26570.337
 57.3,5.663,1.721,2.788,5.788,488220.369,298295.341,223172.245,177140.072,141744.328,118559.310,96737.236,80053.461,67457.173,57009.355,47687.814,41492.613,37090.119,32064.253
 59.4,0.000,8.031,2.094,0.000,541598.630,322763.401,246099.854,195266.419,156987.434,134484.229,110130.114,92394.046,77456.080,67821.824,56110.525,49309.269,43287.344,37884.764
 61.5,0.000,2.841,11.279,1.729,589192.309,350019.855,271720.670,216804.278,176123.158,147751.192,125089.806,104520.549,86343.164,76639.978,65704.806,58186.693,49215.584,43763.903
 63.8,1.965,0.000,1.996,1.914,629686.419,383917.244,300797.256,238669.867,194951.618,168210.350,138447.167,116722.462,97347.108,87205.614,74626.486,66467.118,57632.073,51846.976
 66.1,5.127,0.000,10.513,1.480,698751.353,414563.018,328694.604,265532.695,217346.174,184464.322,156815.906,132803.701,111549.240,98599.573,84849.609,76672.371,63968.616,60312.123
 68.5,7.854,1.999,1.445,8.086,767086.247,444073.246,354601.755,295047.915,239894.762,206497.266,173971.953,147389.252,127655.722,110409.363,96650.025,87388.556,76030.005,69912.432
 71.0,10.565,5.466,7.355,5.520,794058.866,457419.292,364565.245,300846.629,246524.270,206336.222,178080.518,150375.131,127644.502,110094.225,98391.040,88763.606,76205.095,69633.676
 73.7,2.123,3.378,0.000,9.802,802561.698,470395.715,372588.671,310422.474,256804.168,209741.114,179352.740,153338.766,129283.418,115486.180,101746.545,92145.954,78716.667,71048.757
 76.4,7.631,2.015,7.185,4.709,818343.676,502899.219,407530.725,341372.870,277027.451,235853.128,197792.495,169368.930,144284.328,125720.002,115325.867,101853.894,90934.708,80757.966
 79.1,7.728,4.540,7.428,1.423,825516.290,531379.624,435698.310,364137.435,301731.340,254610.529,219013.028,187713.310,160733.232,142325.599,129461.788,112827.573,97168.088,88679.004
 82.0,5.651,0.440,3.735,6.706,832117.273,561891.959,476186.831,385810.415,327786.680,280963.280,236970.358,203773.785,179486.566,155776.335,138606.813,124409.557,107965.307,98224.108
 85.1,2.757,14.228,1.171,0.540,823525.198,599871.187,499712.599,420262.552,355464.269,302041.038,261083.182,223768.775,196642.933,173850.969,154627.614,138563.916,121590.328,108799.733
 88.2,0.000,3.097,8.257,8.224,853170.443,641360.750,532167.111,451205.628,387096.705,325678.951,288749.556,246675.396,218356.754,190520.126,171404.151,151595.445,132957.224,122826.047
 91.4,4.032,0.000,2.548,6.643,876006.928,682402.138,566151.011,481243.942,414531.829,356889.920,315657.236,273539.628,242393.186,213591.004,187435.078,168011.251,151695.854,132805.628
 94.7,5.725,7.011,6.000,5.061,912473.824,723771.223,601280.774,513063.625,458770.304,385673.515,343996.323,297420.931,263367.953,233257.126,206221.072,184576.741,167803.292,147634.086
 98.2,2.780,10.780,5.297,7.709,963181.828,765848.779,641259.615,557206.907,494376.082,417699.330,375397.951,324769.370,283192.013,257208.476,227205.470,199679.359,187537.464,165199.567
101.8,3.466,2.618,7.019,0.864,1012473.009,811591.244,688664.330,592997.307,530730.258,449191.006,409622.568,354770.619,309218.637,283227.399,247758.611,223937.920,204272.670,178990.598
105.5,2.943,0.000,3.265,0.274,1054639.471,855386.960,733901.930,637035.664,567471.599,486133.821,438546.555,376447.428,340704.362,307350.612,272014.257,245816.009,222730.326,197232.582
109.4,1.906,8.188,10.448,4.595,1079824.500,888930.346,772984.656,668329.268,600303.635,521059.010,470317.420,412484.162,366488.282,333542.992,297420.888,266317.865,241560.133,217291.947
113.4,0.770,1.466,3.268,1.664,1119036.233,926753.203,815536.148,708764.299,639351.716,561655.082,501654.821,440213.339,401770.308,358535.208,322554.512,290377.797,259115.683,236601.244
117.6,0.000,1.551,11.366,4.263,1179878.842,974465.414,852145.833,752026.595,673553.896,586869.964,537593.289,468845.374,429007.558,383758.718,345860.665,310092.965,284242.320,259139.466
121.9,7.182,8.682,4.609,0.000,1215922.389,1005613.813,884644.121,790502.351,709354.234,617508.690,564316.776,496674.592,452075.818,401864.242,370187.905,330099.569,303864.707,274170.303
