Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_MRH_20230522_dryerNodryer.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Date,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23
Start Time,17:30:00,17:33:00,17:36:00,17:39:00,17:42:00,17:45:00,17:48:00,17:51:00,17:54:00,17:57:00,18:00:00,18:03:00,18:06:00,18:09:00,18:12:00,18:15:00,18:18:00,18:21:00,18:24:00,18:27:00,18:30:00,18:33:00,18:36:00
Diameter Midpoint
 38.5,9.6401,0,0,136839,90537.6,70987.8,57271.9,47814.8,39177.2,33383.1,27169.9,23520.5,19829.3,18247.1,14705,13319.2,11636.8,10054.4,9125.6,7725.92,6684.29,6042.36,5326.61
 40.0,0,9.34563,323712,146515,100093,77233.3,65075.1,53309.1,44294.4,37022.9,31255.6,28189.8,23176,20060.9,17074,15783.6,13657.3,12106.7,11557.4,9523.05,8595.42,7861.4,7105.62
 41.4,0,0,1.02512e+006,150469,108022,86963.3,69770.3,60177.3,50138.7,42031.2,37622,31796.6,27784.2,22123.6,20731.6,17867.4,16747.4,13723.3,12931,11181.8,10205.5,9194.3,8505.5
 42.9,0,0,1.9062e+006,161857,118614,93135.2,79204.6,66559.6,57776.3,48133.1,42147.8,35773.3,29642.4,27147.1,23597.6,21087.5,19195.6,17686.1,15035.5,13784.7,11749.5,11126.3,10778
 44.5,0,0,2.68925e+006,165830,125585,103991,85944.9,73122.7,62745.7,54266.4,47033.1,41419.2,33631.3,30625.9,28018.9,24706.1,21716.3,20008,18278.6,14911.8,14229.3,13594.3,12154.4
 46.1,0,8.21657,2.94675e+006,185354,137756,113205,96301.4,84918.3,73085.4,61668,53208.7,47222.9,40613.8,36685.8,31771.1,27910.9,26208.1,23715.7,20902.5,18388.5,18272.4,15416.3,14911.7
 47.8,0,0,3.14684e+006,205466,151708,125363,105499,94701.6,79762.9,69207.6,60686.7,53093.1,48032.5,42204.4,38875.4,33665.6,30677.6,28531.4,25216.1,23002.9,21174.3,18371.4,17774.7
 49.6,0,0,3.21021e+006,229765,166743,138753,121391,103881,90309.3,79529.2,70928.7,64143.8,55368.2,49659.2,42976.2,39370,36303.8,33753.6,29460.4,27002.1,24398.7,23125.9,22138.3
 51.4,0,0,3.03357e+006,249168,176752,152126,130672,117637,101849,90388.6,78824.3,70955.7,63734.2,56445.5,49861.6,45143.7,43459.5,37535.3,35726.3,31633.5,29304.7,27848.9,25247.7
 53.3,0,0,2.60632e+006,261018,194750,166077,145421,129431,116317,100939,89304.7,79552,70917.6,65526.1,57643,52873.8,50002.6,44809.3,39567.3,36371.8,34092,32456.6,29470.2
