Relative Humidity (%),18.3,16.9,15.7,14.7,13.9,13.2,12.5,12.0,11.5,11.1,10.7,10.4,10.1,9.8,9.6,9.4,9.2,9.0,8.9,8.7,8.6,8.5,8.4,8.3,8.2,8.1,8.0,7.9,7.7
Mean Free Path (m),8.49661e-008,8.49661e-008,8.49661e-008,8.49661e-008,8.50026e-008,8.49661e-008,8.48966e-008,8.50026e-008,8.50026e-008,8.51089e-008,8.51089e-008,8.51788e-008,8.51788e-008,8.52855e-008,8.52855e-008,8.53925e-008,8.54998e-008,8.56073e-008,8.55705e-008,8.56783e-008,8.56783e-008,8.56783e-008,8.57863e-008,8.57863e-008,8.57863e-008,8.58946e-008,8.58946e-008,8.58946e-008,8.58946e-008
Gas Viscosity (Pa*s),1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005
Diameter Midpoint (nm)
156.8,0.000,0.000,131679.323,450679.240,384267.349,349052.185,326643.551,301488.888,273599.922,249385.691,229428.458,211921.954,198010.735,182538.179,166176.827,153190.474,141079.964,129823.246,121140.273,113392.961,107383.117,99807.713,92717.686,86778.715,95865.356,91148.709,86481.728,80343.798,77869.868
162.5,0.000,0.000,178846.899,427423.924,369619.819,337946.606,315850.012,291334.328,267135.126,246227.158,226506.670,211713.333,193608.208,179035.524,165466.073,151207.656,141967.010,128672.651,121952.435,114251.953,106124.471,98644.428,92530.200,87203.527,95900.264,91722.374,86565.509,83193.008,76876.534
168.5,0.000,0.000,217238.174,400919.237,349666.617,322928.359,300968.867,280110.671,259163.921,238816.746,220658.122,207604.755,190547.745,176075.822,162471.790,148762.982,138248.664,127375.671,120596.867,111868.512,106713.710,99702.969,93950.611,86107.007,95964.079,91205.728,86434.572,82209.605,78876.479
174.7,0.000,0.000,238149.685,374728.002,328377.406,306326.034,285976.456,266072.705,248496.793,226490.038,211937.922,198223.958,182579.748,171146.403,160378.727,145928.739,135363.883,125455.967,119801.352,110292.324,104472.024,98564.505,92129.310,85668.516,94537.175,90736.016,85846.838,81538.336,78755.648
181.1,2.062,0.000,245111.134,344160.339,305668.977,286485.146,269939.769,250079.339,234016.878,216485.102,201563.601,189704.116,175971.939,166053.380,152245.396,141114.214,131762.665,122584.288,116269.094,108548.684,103312.093,96795.261,91145.450,84763.499,91513.372,88212.103,83318.718,80015.616,76680.129
187.7,0.000,0.000,244439.352,313646.515,280082.634,263136.978,251194.024,234366.132,220981.330,205495.847,191676.321,179472.831,166943.054,155827.006,144577.934,136738.310,126191.592,117826.374,112174.516,104858.699,99127.470,93079.732,87224.508,81189.433,90271.824,86327.209,81600.812,78132.749,75355.530
194.6,0.000,0.000,236008.575,281765.086,252813.043,240493.694,231320.689,214203.284,202323.696,191244.273,179754.414,167251.568,157670.081,148154.892,137502.208,127594.599,120827.758,111771.428,105152.273,99327.921,94170.920,89489.334,82275.630,78166.903,87367.228,83591.688,79004.769,75730.801,72493.800
201.7,0.000,2.102,215454.697,251375.301,229131.366,217291.325,209880.929,196636.957,185499.843,173927.442,164588.349,156171.324,145207.252,137229.384,129094.747,120684.990,113280.378,105529.224,99813.244,94402.114,90300.999,84453.523,78961.487,75399.405,82743.815,79656.292,75314.282,72788.766,69423.666
209.1,0.000,0.000,193876.595,222436.282,201286.064,193107.988,187357.630,176729.881,165364.009,157207.296,149619.473,140650.718,133696.105,126769.257,119158.703,111618.620,103966.197,98601.557,92745.517,87595.201,83678.684,79162.019,74601.255,70576.457,76569.153,73630.723,70397.712,67780.149,64731.809
216.7,2.124,2.126,172885.806,192248.657,176177.208,169888.263,165747.518,157385.961,147468.083,140980.142,134683.576,127896.090,120509.629,115733.123,108319.564,102010.380,95098.644,90378.851,85003.334,80674.376,77603.874,72570.992,68793.716,65432.962,71891.819,68375.494,65919.147,63186.559,61367.733
224.7,0.000,0.000,159569.270,164061.240,152787.622,148908.359,145028.797,137072.252,129993.493,124783.180,119418.629,112516.046,107290.838,102733.169,98246.147,91324.430,86142.550,81964.821,78635.068,73741.195,70172.644,66825.357,62210.939,58227.016,65572.113,62520.226,59862.473,58228.072,56667.685
232.9,0.000,0.000,146483.413,141057.836,129477.876,126174.344,123943.776,118976.286,112668.686,108852.246,103412.077,99683.372,94851.544,89808.536,87018.870,82735.313,78321.547,73582.532,70381.903,66004.896,61916.773,60232.549,57134.995,54488.213,59517.741,57995.379,55087.149,53034.969,51256.954
241.4,0.000,0.000,131589.746,117730.202,108961.474,106812.184,104194.374,100439.606,97803.527,92569.426,89658.601,86254.660,83768.393,78334.584,75654.962,72776.690,68573.648,65408.659,61604.204,58289.850,56468.013,54110.510,50971.867,48431.927,52685.117,51286.566,48784.726,47439.433,46017.621
250.3,2.195,0.000,117898.306,96602.980,90181.016,88231.487,86488.209,83503.353,81192.171,77966.283,76410.456,73215.430,70067.915,66732.943,64699.773,61941.067,59003.947,56473.298,53592.232,51347.694,48972.797,47070.153,45167.680,42654.520,46795.148,45408.905,42961.626,41344.662,40211.888
259.5,0.000,0.000,100765.895,79000.594,72467.001,72065.324,71279.636,70167.981,67429.919,65643.175,63795.324,61801.293,59381.375,56401.643,55745.587,52534.440,49668.093,48541.594,46345.409,43761.549,42242.165,40957.790,38500.434,37501.546,40846.166,39271.356,37870.842,36524.632,36032.418
269.0,0.000,0.000,84408.362,62638.576,58905.231,58573.023,57436.380,56482.009,55326.678,53642.372,52073.918,50340.301,49097.558,47139.155,45664.518,44282.103,42593.978,40600.739,39551.830,36975.842,35386.204,34623.246,32224.211,31759.254,33808.956,32876.357,32435.975,31639.459,30248.083
278.8,0.000,0.000,67945.384,50085.617,46214.906,45603.605,45513.483,44228.193,43158.125,42561.185,41633.433,41312.787,40006.373,38352.891,37589.064,35479.434,34493.003,34000.522,32899.674,30414.480,29655.868,29105.002,26782.156,25859.686,28749.401,28223.382,27086.100,26397.988,25301.679
289.0,0.000,0.000,53775.466,37552.962,35447.543,34712.290,35910.360,34658.479,33844.468,33613.546,33038.205,33070.761,32391.841,30438.054,29640.102,28495.923,27925.928,27007.564,26582.311,25701.056,24254.929,23490.409,22183.645,21230.495,23656.625,23288.518,22077.060,22677.971,21172.929
299.6,0.000,0.000,41751.337,28566.205,27140.638,26402.214,27227.347,26360.472,26485.979,26400.086,25234.970,25769.365,24816.876,24178.757,23468.716,23330.237,21851.402,21451.338,20955.146,20172.559,19767.714,18781.149,18315.648,17642.909,18843.718,18545.764,18241.890,18001.573,17466.208
310.6,0.000,0.000,31366.867,21409.476,20091.430,19834.164,20065.238,19855.933,19646.263,19209.562,19289.823,19536.890,19041.672,18670.050,18541.801,18329.620,17032.910,16697.990,16390.493,15809.385,15399.706,15046.360,14437.575,13820.491,14949.337,15248.937,14350.722,14220.054,14192.257
322.0,0.000,0.000,23202.209,15611.062,15067.328,14609.161,14917.562,14406.424,14357.693,14426.420,14376.832,14511.638,14143.599,14156.154,13880.738,13668.313,13070.651,12878.690,12362.736,12649.560,11789.492,11623.374,11172.051,10613.041,11760.393,11628.693,11646.095,11350.644,10858.067
333.8,0.000,0.000,17008.189,11636.935,10426.792,10544.254,10535.215,10728.272,10337.277,10546.796,10115.425,10750.865,10419.825,9944.899,9988.902,9997.451,9517.848,9250.290,9502.538,9481.959,8749.212,8803.037,8326.262,7927.286,8662.389,8810.323,8610.252,8828.424,8398.388
346.0,0.000,0.000,12341.877,7809.592,7687.230,7445.361,7555.176,7309.470,7592.321,7482.883,7427.193,7469.788,7231.615,7322.420,7311.542,7202.395,6990.562,6895.614,6656.994,6871.304,6346.567,6490.295,6140.948,5787.835,6334.854,6715.748,6487.672,6213.973,6507.986
358.7,0.000,0.000,9066.111,5706.827,5497.261,4992.145,5022.690,5061.103,5264.883,5089.731,4963.494,5116.443,5185.613,5210.305,5294.084,5321.083,5122.846,4992.041,5030.644,4902.291,4556.295,4600.488,4523.424,4187.087,4787.665,5007.768,4695.098,4744.281,4444.395
371.8,0.000,0.000,6697.182,4172.092,3986.934,3594.372,3691.146,3641.163,3647.042,3516.282,3381.521,3818.120,3708.030,3477.514,3502.825,3529.804,3556.979,3557.824,3448.539,3367.841,3372.104,3375.582,3082.881,2878.926,3284.789,3487.407,3390.983,3465.582,3295.183
385.4,0.000,0.000,4820.349,2871.557,2825.309,2437.243,2462.554,2496.444,2512.494,2376.240,2582.575,2537.277,2452.963,2329.222,2448.109,2372.467,2353.526,2301.611,2474.175,2321.751,2425.217,2194.738,2299.588,2145.297,2336.137,2279.215,2316.355,2604.603,2316.127
399.5,0.000,0.000,3404.985,1973.078,1976.165,1725.488,1801.999,1632.036,1676.214,1636.903,1596.209,1635.341,1739.498,1683.638,1619.654,1627.507,1656.293,1647.487,1569.657,1638.069,1510.625,1509.392,1506.883,1444.662,1633.548,1647.798,1545.485,1727.596,1628.957
414.2,0.000,0.000,2576.593,1508.144,1392.602,1263.830,1266.738,1195.083,1212.729,1163.239,1100.691,1146.063,1249.240,1233.268,1146.230,1118.623,1113.087,1116.276,1036.971,1030.600,1011.303,986.939,1000.897,919.727,1104.559,1190.220,1043.668,1152.674,1149.266
429.4,0.000,0.000,1754.898,1059.807,974.197,926.828,937.351,816.084,786.673,762.556,741.658,734.761,726.834,704.213,725.621,697.876,726.919,760.468,715.584,719.413,698.859,663.133,705.085,591.672,790.929,731.741,749.130,733.668,762.592
445.1,0.000,0.000,1359.156,894.975,755.714,691.993,658.947,559.183,593.295,557.593,576.587,555.839,546.972,513.748,503.028,498.799,435.961,543.193,522.472,566.168,463.188,427.308,452.383,400.408,458.966,479.245,464.284,486.706,522.389
461.4,0.000,0.000,1082.015,585.649,580.537,474.507,401.857,418.707,356.816,385.011,397.692,312.860,360.998,345.647,336.877,373.004,287.471,331.467,328.253,296.692,309.042,296.466,311.872,242.859,283.054,296.863,351.749,280.663,323.580
478.3,0.000,0.000,914.056,452.828,422.566,382.078,329.684,307.934,276.544,277.088,235.091,273.754,259.649,252.047,242.476,235.212,210.596,208.976,181.970,235.199,200.381,184.722,196.217,156.212,160.331,175.780,182.557,165.660,242.825
495.8,0.000,0.000,627.856,372.014,331.758,266.625,214.772,239.375,201.236,208.190,159.061,211.120,173.376,149.529,158.953,139.454,142.804,155.389,109.963,114.848,145.682,124.874,111.474,119.993,119.910,144.200,149.413,120.001,113.999
514.0,0.000,0.000,494.956,308.351,242.127,226.970,245.630,171.171,135.635,122.517,144.657,279.119,139.328,161.680,113.560,110.278,93.871,108.904,91.851,82.342,75.492,72.702,70.198,73.320,88.593,88.357,73.722,64.552,81.768
532.8,0.000,0.000,417.420,221.240,191.174,124.675,165.958,96.228,132.460,82.532,113.894,216.297,104.517,79.790,55.508,73.673,60.292,85.562,64.701,66.094,74.764,60.811,64.750,39.838,43.910,62.449,55.479,45.856,67.846
552.3,0.000,0.000,281.393,184.676,133.041,133.404,113.092,105.938,86.352,105.657,58.803,72.230,61.748,84.265,64.797,46.041,40.074,41.651,46.768,72.542,53.970,23.100,28.116,35.951,32.320,24.772,30.290,17.366,27.331
572.5,0.000,0.000,251.454,126.034,117.107,92.235,89.723,64.411,69.613,83.784,61.274,38.293,59.828,80.186,47.754,46.941,41.619,18.767,48.104,39.971,44.915,34.279,36.305,28.027,25.349,17.680,30.354,12.647,22.800
593.5,0.000,0.000,179.376,85.610,75.510,84.366,63.004,53.025,30.662,27.799,22.059,53.715,36.575,23.210,28.458,16.785,13.025,10.865,32.489,37.112,15.665,18.297,22.470,18.348,10.272,10.235,15.376,20.501,20.532
615.3,0.000,0.000,110.195,117.439,73.369,54.916,58.665,41.371,56.311,45.866,39.854,39.582,9.041,29.601,26.131,25.455,28.155,16.628,30.386,16.382,13.567,18.935,19.962,10.697,18.341,18.275,18.302,15.688,15.711
637.8,0.000,0.000,109.626,87.941,41.555,60.850,48.380,41.966,12.772,46.917,50.069,15.539,27.609,24.171,20.747,6.064,5.748,18.743,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
661.2,0.000,0.000,98.709,82.558,71.217,29.938,39.914,20.026,9.713,19.648,19.036,25.208,18.663,15.938,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
685.4,0.000,0.000,104.197,70.841,18.172,53.923,27.182,26.914,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
710.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Scan Time (s),155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
Retrace Time (s),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Scan Resolution (Hz),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sheath Flow (L/min),3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Aerosol Flow (L/min),1.12,1.12,1.12,1.12,1.12,1.12,1.11,1.12,1.14,1.15,1.16,1.17,1.18,1.20,1.22,1.25,1.26,1.28,1.29,1.30,1.31,1.31,1.33,1.33,1.36,1.36,1.36,1.36,1.36
Bypass Flow (L/min),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Low Voltage (V),11.02,11.02,11.02,11.02,11.01,11.02,11.03,11.01,11.01,11.01,11.01,11.00,11.01,11.00,11.01,11.00,10.99,10.99,11.00,10.98,10.99,10.99,10.98,10.98,10.98,10.98,10.98,10.98,10.98
High Voltage (V),9194.13,9193.84,9194.13,9194.42,9197.16,9195.00,9199.24,9199.49,9196.29,9188.42,9184.69,9177.88,9175.61,9169.00,9163.96,9155.21,9147.08,9140.08,9133.15,9129.68,9125.70,9123.59,9120.13,9116.99,9116.21,9106.81,9105.52,9106.04,9106.04
Lower Size (nm), 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0
Upper Size (nm),723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4
Density (g/cm³),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
td + 0.5 (s),1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
tf (s),6.02,6.02,6.03,6.03,6.03,6.03,6.04,6.03,6.00,5.98,5.97,5.95,5.93,5.91,5.88,5.85,5.82,5.80,5.79,5.77,5.76,5.75,5.74,5.73,5.70,5.69,5.69,5.69,5.70
D50 (nm),678.1,678.5,678.8,680.2,679.6,679.8,683.1,679.2,672.8,668.3,665.0,662.3,657.5,651.8,644.8,638.4,633.4,627.6,626.4,622.2,620.0,618.9,615.6,614.8,607.7,606.3,606.8,606.8,607.3
Neutralizer Status,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON
Median (nm),147.004,198.654,94.278,110.788,116.661,120.890,124.300,127.401,130.189,132.492,134.844,136.892,138.731,140.542,142.848,144.208,145.419,146.728,148.152,149.383,150.647,151.385,152.246,152.882,152.736,154.029,154.485,155.473,156.454
Mean (nm),154.795,160.260,107.009,117.734,123.344,127.490,130.903,133.798,136.619,138.997,141.276,143.450,145.376,147.047,149.242,150.765,152.086,153.579,154.884,156.019,157.165,158.113,158.945,159.686,159.511,160.758,161.251,162.354,163.286
Geo. Mean (nm),142.614,151.771,102.023,103.940,110.056,114.542,118.176,121.233,124.195,126.636,128.934,131.184,133.150,134.847,136.960,138.433,139.837,141.307,142.595,143.680,144.911,145.792,146.631,147.384,147.118,148.393,148.819,149.911,150.873
Mode (nm),79.148,216.739,91.398,130.975,130.975,135.773,140.746,145.902,145.902,145.902,145.902,151.247,151.247,151.247,151.247,156.788,162.531,156.788,151.247,162.531,156.788,156.788,168.485,151.247,168.485,162.531,162.531,162.531,168.485
Geo. Std. Dev.,1.508,1.397,1.323,1.690,1.648,1.621,1.601,1.586,1.573,1.564,1.557,1.549,1.543,1.538,1.535,1.533,1.527,1.524,1.522,1.521,1.516,1.516,1.514,1.512,1.516,1.511,1.512,1.510,1.507
Total Conc. (#/cm³),2.269564e-001,1.273724e-001,4.441743e+005,2.704646e+005,2.143986e+005,1.860638e+005,1.667281e+005,1.479919e+005,1.319346e+005,1.188198e+005,1.076096e+005,9.847838e+004,8.964833e+004,8.198521e+004,7.433753e+004,6.794236e+004,6.258109e+004,5.757030e+004,5.369116e+004,4.963321e+004,4.637835e+004,4.347621e+004,4.036602e+004,3.777272e+004,4.163348e+004,3.943463e+004,3.732290e+004,3.549232e+004,3.369307e+004
Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB
Sample ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leak Test and Leakage Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Errors,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
