Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_LRH_20230514_ozonecheck_nodryercomp.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8
Date,05/14/23,05/14/23,05/14/23,05/14/23,05/14/23,05/14/23,05/14/23,05/14/23
Start Time,13:51:00,13:54:00,13:57:00,14:00:00,14:03:00,14:06:00,14:09:00,14:12:00
Diameter Midpoint
181.1,90697.6,86208.5,83220,77749.5,74567,72295.1,66887.1,66886.2
187.7,86460.7,84262,78318.7,75614.1,72590.3,69810.4,66055.9,63323.3
194.6,81798.4,77237,74824.7,70662.7,67643.4,65387.7,62537.8,59677.5
201.7,76324.6,72366.7,69332.9,66798.8,63323.6,62260.8,58732.8,56698.1
209.1,70022.9,67216.1,65446.6,61693.2,59278.3,56778.5,55443.4,52580.8
216.7,65128.1,63619.4,60006.6,57584.8,55235,52348.7,49764.3,48394.5
224.7,58788.7,56380.9,54037.9,51971.1,49846.5,47904.4,46140.9,44911
232.9,52136.3,51063,48801.7,46474.3,44523.1,43645.7,42011.4,39830.2
241.4,45514.7,44769.6,42624.1,41056.3,40874.9,39306.2,36772.2,35087
250.3,40781.6,38385.5,38390.1,36693.9,35181.2,34924.8,33194.8,31930.6
259.5,35115.3,34167.8,32173.3,31622.6,31265.4,29778.4,28349,27401.6
269.0,28994.2,28945,27838.9,27117.4,26555.7,25127.3,23916,23637.7
278.8,25099.2,24629.5,23672.8,22785.5,22268.4,21393.5,20280.6,19649.4
289.0,20375.1,20226.5,19653.4,18633.2,18877,18306.3,17389.2,17128.7
299.6,16753.8,16307.5,16182,15298.5,15175.7,14524.3,14420.7,13545.6
310.6,13086.5,12764.3,12966.8,12358.8,12420.3,12268.5,11632.9,10490.1
322.0,10342.5,9980.34,10129.1,9747.76,9867.82,9696.48,8888.67,8541.01
333.8,8436.75,8573.89,7663.16,7402.74,7655.38,7253.6,6695.4,6691.86
346.0,5816.79,5954.21,5875.99,5794.27,5843.83,5522.45,5386.99,5023.51
358.7,4401.19,4445.51,4024.27,3964.35,4262.49,4108.18,3889.71,3924.83
371.8,3061.62,3400.03,3093.01,3285.37,3230.92,3096.21,2705.12,2929.72
385.4,2267.62,2269.33,2175.98,2194.04,2359.53,2015.05,2037.78,2185.01
399.5,1644.07,1554.91,1559.8,1621.26,1530.05,1463.19,1536.37,1516.25
414.2,1076.62,933.483,1061.58,980.605,1013.19,997.027,849.712,885.752
429.4,618.037,802.326,574.055,752.19,808.508,616.894,776.422,688.191
445.1,518.418,487.188,496.725,444.528,500.955,428.327,443.629,443.34
461.4,275.314,262.391,249.705,256.137,264.902,220.831,329.494,285.423
