Relative Humidity (%),28.1,25.3,23.1,21.1,19.5,18.1,17.0,15.9,15.1,14.3,13.7,13.1,12.6,12.2,11.8,11.4,11.1,10.9,10.6,10.4,10.2,10.1,9.9,12.4,18.7,24.7,30.1
Mean Free Path (m),8.45358e-008,8.45358e-008,8.45358e-008,8.45358e-008,8.45358e-008,8.45358e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.46087e-008,8.45722e-008,8.46087e-008,8.46087e-008,8.46087e-008,8.46087e-008,8.47142e-008,8.46087e-008,8.47142e-008,8.47142e-008,8.47142e-008,8.47142e-008
Gas Viscosity (Pa*s),1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 24.1,0.000,0.000,0.000,38197.080,19237.874,12000.708,7655.073,5330.600,3585.698,2627.895,1777.161,1404.412,1130.868,846.659,672.561,452.289,455.891,300.043,249.097,244.429,120.921,80.065,142.051,120.961,91.342,64.129,57.519
 25.0,0.000,0.000,0.000,38552.956,21229.078,13509.176,8767.654,5901.122,4466.373,3163.863,2234.372,1752.110,1368.724,1014.005,871.553,596.401,513.769,430.638,373.497,218.278,122.463,151.926,231.191,163.659,131.919,79.118,70.904
 25.9,0.000,0.000,0.000,39914.089,22470.808,14616.151,9943.350,6760.226,5017.377,3663.767,2833.427,2045.438,1556.724,1247.694,1239.172,741.009,523.582,507.924,410.947,318.971,295.456,195.010,370.709,163.880,173.471,179.627,216.285
 26.9,0.000,0.000,0.000,42235.648,24642.039,16172.722,10987.145,7901.187,5734.647,4274.810,3121.449,2317.584,1979.718,1502.261,1161.119,942.069,790.837,663.309,594.588,534.859,348.202,300.480,331.474,291.378,221.819,273.033,199.523
 27.9,0.000,0.000,0.000,42884.282,25697.914,17216.974,11702.600,8668.911,6777.278,4870.001,3784.070,2921.247,2010.636,1968.527,1495.818,1185.510,985.189,756.261,683.935,573.959,485.840,341.427,490.988,382.041,337.916,271.848,208.718
 28.9,0.000,4.663,0.000,44790.180,27490.203,19181.663,13928.291,9711.499,7663.721,5645.263,4653.106,3808.677,2869.787,2194.586,1906.198,1521.785,1085.421,1125.800,920.825,751.634,637.265,518.347,604.071,487.862,388.509,386.543,328.018
 30.0,0.000,4.381,0.000,46842.874,30104.511,21475.525,14956.628,11395.359,8659.096,6701.564,5226.736,4279.226,3286.154,2796.711,2344.636,1896.937,1466.236,1313.909,1006.502,917.866,774.943,672.107,810.734,630.909,524.083,600.269,441.668
 31.1,0.000,0.000,0.000,49338.410,31653.249,22589.016,17008.033,12724.714,9588.509,7497.804,5806.491,4870.376,3796.441,3107.263,2430.393,2297.081,1974.296,1428.309,1145.456,1183.991,941.242,758.546,793.562,779.939,548.145,558.976,659.175
 32.2,0.000,0.000,0.000,51001.458,34585.717,24220.943,18200.777,14169.035,11359.726,8715.173,6897.054,5572.471,4473.529,3774.538,2916.295,2757.544,2239.778,1837.762,1486.224,1461.035,1035.061,1091.272,1237.367,849.670,733.916,689.926,644.038
 33.4,0.000,0.000,48171.141,52660.682,37135.895,26724.752,20312.244,14967.468,12425.186,9672.080,7914.067,6755.046,5606.736,4490.966,3623.880,3170.620,2736.280,2251.304,1999.991,1652.446,1352.322,1350.143,1441.767,1243.619,1219.261,1080.987,753.637
 34.6,0.000,0.000,288861.051,54407.836,39614.863,28643.637,22058.057,17571.028,13592.096,11609.058,9014.740,7262.354,6416.703,4798.172,4378.385,3494.911,3151.216,2611.940,2138.880,1866.950,1692.400,1454.164,1632.882,1417.304,1186.896,1235.622,944.071
 35.9,0.000,0.000,631129.024,57472.600,41145.771,30731.590,24545.566,19185.045,15411.991,12151.561,10727.828,8592.015,7329.715,5716.294,4830.034,4180.497,3560.868,2975.310,2598.411,2475.182,1991.411,1728.842,1859.714,1828.573,1627.590,1425.723,1248.404
 37.2,0.000,3.635,1024134.097,61165.527,45173.795,32785.282,26351.865,20995.866,17241.428,13733.851,11770.500,9605.754,8356.584,6622.697,5444.952,5132.506,4226.195,3713.254,3193.040,2918.741,2402.205,2321.162,2335.236,2346.595,2069.375,1749.583,1490.200
 38.5,0.000,0.000,1336500.621,63124.120,47640.733,36317.835,28224.396,23194.734,18700.671,15490.221,13154.056,10887.162,9297.715,7723.757,6026.787,5636.830,5172.447,4184.394,3733.035,3286.214,2971.189,2436.567,2797.069,2479.440,2387.036,2506.945,2001.338
 40.0,0.000,6.797,1606492.384,67387.901,50409.570,38015.971,31679.420,25454.598,20686.837,16959.305,15275.021,12114.638,10343.486,8913.850,7748.609,6765.184,5907.304,4832.680,4638.052,3746.207,3306.027,3121.509,3263.503,3255.161,2800.696,2547.660,2273.985
 41.4,0.000,0.000,1797065.251,74290.262,55419.773,42652.263,34878.309,28294.323,24182.645,19507.807,16520.826,14133.054,12509.570,10349.437,9060.037,7955.033,6927.778,6081.506,5473.281,4430.962,4270.470,3679.635,4026.114,3797.601,3525.110,3117.237,3125.730
 42.9,0.000,3.209,1887459.097,77215.663,57963.070,45182.154,37671.987,31476.526,26004.187,22001.070,18309.522,15309.979,13510.875,12125.214,9763.540,9479.482,7885.371,6843.214,5978.447,5411.382,4807.046,4302.383,5000.453,4487.543,4588.389,3919.072,3451.740
 44.5,0.000,0.000,1799107.009,82044.733,62034.128,49796.713,40443.713,33992.168,28484.162,24412.044,20952.157,17940.990,15348.811,13902.606,11508.578,10285.471,9088.176,8057.682,7281.210,6195.384,5897.100,5173.975,5574.951,5555.337,5213.486,4574.728,4305.936
 46.1,0.000,0.000,1607716.100,88851.967,66954.587,53366.708,44955.523,38158.579,32671.463,27441.048,24133.272,20864.852,17540.559,15995.534,13509.807,11622.847,10762.740,9676.803,8610.736,7694.922,6568.759,6349.119,6663.317,6522.082,6316.678,6075.426,5026.322
 47.8,0.000,0.000,1383805.232,95700.377,71212.132,58959.015,49093.914,42131.387,35140.787,31656.635,26664.308,23351.836,20569.537,18122.272,15975.223,13873.899,12747.768,11796.830,10314.640,8955.434,8264.555,7190.858,7903.534,7686.230,7315.676,6668.742,6481.177
 49.6,0.000,5.773,1191762.162,106071.606,78924.757,64717.062,54143.908,48416.027,39432.749,34711.801,32446.950,27336.232,23537.089,21339.917,18271.730,16716.108,15326.343,13641.903,12765.914,11482.228,9875.648,9041.134,10304.658,9921.115,9024.731,8599.556,8129.782
 51.4,0.000,0.000,1022465.394,113664.161,86186.950,72490.758,63072.237,52435.826,45249.307,40537.544,35515.812,31407.462,27854.697,24662.099,21932.448,19893.108,18214.792,16070.717,14661.751,13607.927,12418.198,10860.449,12155.702,12639.902,11083.418,10280.003,9765.455
 53.3,0.000,0.000,861794.881,121753.245,95120.606,78540.026,68720.550,56324.369,50795.090,44951.148,40234.905,34859.334,31213.854,27859.156,25775.050,23201.666,20817.437,18598.320,17119.397,15433.662,14171.493,12702.369,14223.097,14475.538,12746.940,12784.778,11692.463
 55.2,0.000,0.000,720005.914,132378.344,102300.018,84137.786,74327.941,62827.530,55747.927,50250.769,44790.638,39945.242,36034.505,32595.242,29827.396,25852.048,24693.788,22083.231,19951.927,17627.138,16817.244,14908.641,17777.699,17209.405,14929.846,14463.989,13486.418
