Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_LRH_20230517_dryerNodryer.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Date,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23
Start Time,13:50:00,13:53:00,13:56:00,13:59:00,14:02:00,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00,14:29:00,14:32:00,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00
Diameter Midpoint
 32.2,0,0,0,168592,102250,73421.5,55690.6,39843.9,31883.8,26695.1,20564.9,17029.1,13869.8,12208.6,9084.15,8661.98,7373.13,6277.5,5301.39,5013.46,4338.37,3252.54,2815.63,3021.5,2441.07,2132.79,2036.72,1779.08,1638.98
 33.4,0,0,0,181872,111574,80434.6,61180.7,47534.1,37806.3,30941.9,25131.6,18898.4,16641.5,13982.4,12054.2,9194.83,7909.56,6907.65,6496.51,6013.47,5139.41,3930.99,4156.64,3166.04,3222.88,2673.52,2497.18,2520.23,1932.52
 34.6,0,0,0,194082,123443,89511,69676.1,53237.2,41472.9,34944.4,28609.6,23688.9,18669,17321.4,13988.3,12138.3,10134.8,9526.51,8073.71,6469.13,5894.42,5497.31,4877.2,4113.01,3831.6,3289.04,3418.04,2511.06,2544.01
 35.9,0,0,0,203342,131806,98717.1,75682.2,60216,47145.9,39845.1,32084,25817.6,21797.1,19459.4,17179.4,14112.3,12338.6,10401.7,9273.92,8125.26,7231.55,6146.33,5565.88,5221.22,4531.29,4383.29,3515.34,3519.5,3098.29
 37.2,0,0,0,219127,149783,112428,85128,66207.8,54693.5,46128.8,36675.2,31192,26228.7,21799.9,18896.2,16859.8,14156.7,12512.1,10876.1,9614.74,9142.28,8064.28,6978.57,5981.96,5430.72,5473.83,4551.23,4249.35,3960.91
 38.5,0,0,0,232293,158985,122672,94868.3,74324.3,59992.6,50537.2,42154.5,34868.5,31787.2,26726.8,22294.8,19907.6,17525.8,14570.9,13853.6,11159.7,10323.3,9595.9,8386.83,7970.84,6910.85,6461.71,5973.06,5116.48,5058.22
 40.0,0,0,0,249469,174416,134727,106150,85065.4,70430.4,56006.8,48841,40865.2,35759.9,31469.8,25743.2,23128,19899,17466,16528.8,14159.5,12666.9,11591.6,10269.8,8655.28,8135.35,7928.61,7027.33,6470.57,5905.13
 41.4,0,0,0,266159,189577,145566,118738,92449.5,76509.1,62569.1,54558.6,46248.5,39337.5,35498.8,29306.3,25883.4,21348.9,19829,18822.1,16311.8,15741.7,12898.2,11427.9,10874.9,10117.2,9077.36,8134.52,7884.32,7157.87
 42.9,0,8.74759,0,292884,204040,159948,127261,103852,85464.8,71954.4,60500.9,51544.2,45566.6,39886,34764.7,30475.3,27607,23643.1,21270.4,18960.9,16819.7,15402.1,14151.2,12108.7,11869.8,10105,9817.61,8879.85,8124.23
 44.5,0,8.44771,0,309924,220557,175116,141360,114184,94747.2,80002.9,69322.8,59874.8,49022.3,44991.5,39883,34833.2,30138.4,26858.1,23981.9,21073.3,20317,18265,17018.4,15194.2,13968.8,13272.6,11415.3,10321.1,9583.98
 46.1,0,0,0,331755,240238,191194,155658,125940,103712,89825.6,77363.6,65782.1,57831.3,51283.6,43382.4,38674,34238.5,30551,28416.8,25618.1,22416.5,21483.5,18977.6,17287.5,15873.3,15295.2,13821.7,12168.3,11110.5
 47.8,0,0,0,363137,258286,206982,168710,135581,116433,101632,84640.9,72543.5,64476.7,58482.6,50167.8,44880,39442.7,35982.9,31716.5,27424.5,26001.2,24167.3,22567.3,19648.2,18590.4,17260.8,15874.7,14329.3,13082.7
 49.6,0,0,0,386121,275038,221782,176763,151121,129204,112977,94736.3,83447.1,72909.3,66485.3,57070.6,50128.5,46629.5,40511.5,36450.7,32585.1,29995.7,27515.8,25767.2,23722.6,21989.2,19714.8,18405.9,17867.7,15828.7
