Start Time,13:06:00,13:09:00,13:12:00,13:15:00,13:18:00,13:21:00,13:24:00,13:27:00,13:30:00,13:33:00,13:36:00,13:39:00,13:42:00,13:45:00,13:48:00,13:51:00,13:54:00,13:57:01,14:00:00,14:03:00,14:06:00,14:09:00,14:12:00,14:15:00,14:18:00,14:21:00,14:24:00,14:27:00,14:30:00,14:33:00,14:36:00,14:39:00,14:42:00,14:45:00,14:48:00,14:51:00,14:54:00,14:57:00,15:00:00,15:03:00,15:06:00,15:09:00,15:12:00,15:15:00,15:18:00,15:21:00,15:24:00,15:27:00,15:30:00,15:33:00,15:36:00,15:39:00
Diameter Midpoint
 22.5,110.441,55.3074,110.166,110.442,55.1253,104.125,55.1253,84.9311,48.8097,18.2483,54.8545,36.877,0,36.6879,18.4385,18.2511,48.8138,73.289,36.416,36.877,18.2494,36.6879,55.3155,0,36.877,36.6868,36.8731,616743,350014,142651,66304.6,33268.8,17547.6,10357.5,5939.26,4056.96,2247.93,1460.9,1116.2,592.886,558.155,431.388,197.868,191.579,109.677,98.459,88.6489,116.459,102.66,17.3686,112.698,7.30411
 23.3,105.109,132.765,140.586,80.2071,115.038,52.1409,35.035,35.0291,115.246,70.072,52.9934,70.074,34.7501,52.5535,35.037,0,17.5185,17.9564,35.4749,35.037,0,27.6516,17.5185,17.5178,17.3112,35.035,35.037,744500,351850,148213,69175,36619.4,21301.1,12151.8,7695.81,4634.03,2828.73,1795.31,1316.86,1170.44,532.579,441.094,448.163,304.562,152.595,278.625,61.1442,178.518,45.9958,47.8481,32.5007,95.1472
 24.1,16.5908,40.1694,52.4633,23.375,23.1466,35.8772,16.5908,32.9579,23.5833,32.9601,16.5863,16.5908,66.0213,55.1588,16.5861,16.5908,0,16.3692,0,33.1721,0,56.765,0,0,0,0,16.5908,976027,350170,152490,76364,39562.2,24145,13441,8555.09,5332.69,3561.21,2604.1,1659.36,1199.81,815.414,696.097,509.907,407.251,348.303,225.599,153.572,204.407,95.1164,123.781,68.3893,32.7486
 25.0,47.493,31.4341,13.0088,47.5023,31.6588,76.5979,0,47.2635,0,31.6682,31.4377,15.8341,31.6682,105.459,15.6,0,0,0,63.3364,31.2,47.2384,0,11.4961,0,0,0,11.4961,1.53927e+006,346826,162840,83001.7,43659.7,28329.1,15931.2,10518.5,6409.06,4541.13,3400.74,2246.7,1618.64,1351.14,872.236,901.759,659.702,515.008,385.769,154.893,234.938,220.968,142.072,133.255,108.445
 25.9,14.8898,60.5381,29.7625,45.4036,34.0835,30.2691,60.5381,14.8722,30.0211,30.2691,14.8813,0,0,30.2691,15.1345,0,0,15.1345,0,15.1345,0,15.1345,19.2669,0,0,0,34.3571,1.98305e+006,347933,166333,91000.9,49948.4,30676.2,18655.7,12034.5,8364.86,5505.06,4102,3135.96,1971.18,1682.64,1154.16,883.881,769.625,480.438,507.574,172.513,433.074,277.769,275.148,133.032,165.667
 26.9,28.9731,28.9731,14.24,28.9731,10.5981,0,28.9731,0,14.4865,14.4865,28.4719,0,28.9532,14.4865,28.9731,0,14.24,0,14.4865,0,0,14.4865,14.2387,14.4865,0,0,42.4093,2.16362e+006,345794,167743,93315.3,54184.7,33113.1,20967.7,13006.4,9117.74,6435.68,4406.32,3859.69,2356.2,2097.58,1572.57,1317.89,1023.8,713.795,412.507,462.382,279.526,210.235,231.625,314.754,326.246
 27.9,0,0,13.7633,27.4988,45.2303,0,13.7633,13.7633,31.4111,0,0,13.4976,13.5073,13.7633,55.0533,13.503,27.4988,0,0,0,0,0,13.7633,0,0,13.7354,96.1443,1.87868e+006,339729,173042,96351.6,57824.7,34507.5,23367.8,15355.8,10461.1,7277.05,5286.44,4272.13,3078.2,2337.69,1869.27,1514.15,1013.07,661.887,714.527,544.856,511.683,503.632,453.35,433.724,269.228
 28.9,13.212,52.8482,0,12.8944,9.42962,13.1769,13.212,0,22.0406,26.4241,0,20.0822,0,0,0,0,26.1416,13.212,0,0,13.1413,10.0068,0,12.8935,13.212,0,13.0746,1.49396e+006,331106,177709,103287,62156.7,39178.2,26091.7,17067.1,12543.3,8711.35,6698.54,5136.52,4004.41,2576.73,2696.62,1957.3,1730.46,1022.23,949.366,641.157,515.092,589.281,457.397,508.011,268.805
 30.0,0,0,12.5047,0,0,0,0,25.142,24.8943,25.1868,12.5934,18.6383,0,0,0,0,12.5934,0,0,0,0,2.70345,12.5934,0,0,0,50.0231,1.09226e+006,329666,181298,105363,65424.3,42252.1,30166.7,19827.6,14220.4,10217.3,6818.68,5509.08,4489.73,3020.94,2954.63,1873.71,1835.09,1401.1,1129.81,842.2,941.355,687.759,494.486,308.711,366.322
 31.1,0,23.9058,11.5203,12.0671,0,11.8385,0,0,12.0668,0,0,0,0,0,0,24.1338,0,12.0113,0,0,0,0,0,7.60837,0,0,11.5661,769896,324559,185059,111973,71296.8,48091.3,32554.1,22597.1,16557.8,12331.8,8806.71,7081.68,5019.59,4313.43,3564.5,2459.33,2123.65,1607.7,1219.78,1118.33,1082.09,741.452,741.59,737.851,595.452
 32.2,11.678,0,0,11.3751,11.678,0,11.678,46.6502,0,11.678,0,0,0,11.6111,0,11.0051,0,0,0,0,11.6111,11.6111,0,3.97896,0,11.678,0,698661,323370,186449,116238,75599.9,52020.2,35162.8,25310.7,18510.2,13899.6,10814.2,7761.96,6085.75,4808.23,4682.42,3222.07,2825.65,2232.84,1825.85,1660.2,1456.42,1206.96,1154.12,989.883,671.283
 33.4,0,0,0,0,11.1018,22.3555,0,0,0,0,0,0,15.4721,0,0,0,0,0,0,0,4.12547,0,0,0,11.1777,0,0,1.27845e+006,313955,189287,118305,78748.9,54507.4,37553.2,27920.8,20171.4,15514.9,12105.8,9381.13,8000.51,5441.22,4707.57,3769.52,3210.25,3134.46,2533.02,1957.67,1720,1287.44,1211.66,1072.45,1077.73
 34.6,0,0,0,10.1466,21.2716,0,0,10.6688,0,10.794,0,0,16.6592,0,0,0,0,10.794,0,0,6.40588,0,0,0,0,0,0,2.44722e+006,308416,190608,124621,84664.3,59016.5,41559.4,31018.2,23291.1,18199.6,13588.2,10426.1,8520.07,6687.95,5932.44,4730.82,4096.16,3400.23,2729.53,2617.1,2106.65,1786.42,1465.73,1487.32,1137.55
 35.9,0,10.3579,10.3579,0,0,0,0,10.151,0,0,9.82249,0,0,10.3579,10.3579,0,0,0,0,20.7158,10.0207,0,0,0,0,0,0,2.36439e+006,307247,194005,129287,89186.9,62608.9,46229.6,36005.1,26432.2,20172.2,16110.2,11881.9,10292.8,8265.18,6982.02,5655.69,4878.29,4426.6,3432.49,3185.65,2601.73,2016.22,1803.64,1337.54,1428.98
 37.2,9.8944,0,19.9172,0,10.0228,0,0,10.0228,10.0228,0,9.09641,0,0,0,0,0,0,0,0,0,39.9627,0,0,0,0,0,0,1.65045e+006,311707,202437,136666,96248.3,68051.7,50313.1,37553.3,29763.1,22765.4,19003.2,14184,11921.2,10058.4,8074.79,6404.82,5731.15,4805.6,4500.9,3969,2965,2828.02,2170.88,2154.77,1889.45
 38.5,0,0,9.15015,0,0,0,0,9.49875,0,0,18.5986,0,0,0,0,0,9.15105,0,0,0,0,0,9.1991,0,0,0,38.4346,1.1427e+006,309567,202410,140050,101048,73820.3,54542,42518.6,31804.5,25318.6,21027.5,17207.1,13331.3,10648.1,9717.39,8177.25,6687.81,5580.01,4634.89,4606.77,3488.1,2920.12,2709.9,2354.87,2333.11
 40.0,0,0,0,0,0,0,0,0,0,0,0,9.17649,8.84254,0,0,8.99142,0,0,0,9.34563,9.34563,0,0,0,0,0,6.51783,772409,310391,210924,150059,107663,80620,58244,46294.6,34416.7,28498.6,23483.6,19825,16130.8,13288.1,10965.7,9650.24,8226.94,7101.2,6075.87,5184.32,4371.84,3707.96,3526.01,3024.09,2887.52
 41.4,0,0,0,9.0078,0,0,0,0,18.0156,0,9.0078,0,0,0,0,0,9.0078,0,0,0,0,0,0,9.0078,0,9.0078,3.32652,534167,317876,215991,154545,109287,84624.5,64822.1,50918.8,40078.8,33739.5,27004.7,20971.2,17946.5,15360.5,12856.7,10879.1,9201.15,7770.85,7037.21,6335.43,5968.21,4907.91,4107.36,3704.56,3494.77
 42.9,0,0,0,8.53316,0,8.52982,0,0,8.74759,0,0,0,0,0,8.74759,0,0,0,8.74759,0,17.1522,8.31205,0,8.74759,0,0,8.03468,392191,322944,222670,163796,120184,91543.8,72067.4,56535.7,44461.2,36032.9,29174.2,24995.2,20986.8,17698,15313.3,12848.6,10980.9,10122.2,8401.09,7780.19,6952.97,5712.26,5038.5,4839.01,4356.42
 44.5,0,7.84957,16.7084,0,0,7.84957,0,8.44771,0,0,0,0,0,0,0,0,0,0,0,0,25.3431,7.74077,0,0,0,8.44771,15.433,340991,330166,235443,167879,126079,99361.9,78104.7,61706.9,51014.6,41192.5,33996.4,27854.8,23125.9,20218.4,17588.2,15177.4,13359.1,11869.2,9952.39,8553.74,7622.99,7097.1,6174.3,5387.28,5175.21
 46.1,0,7.86577,0,7.90107,0,0,0,0,7.94521,0,0,0,0,0,0,15.8665,8.21657,16.1832,0,0,0,0,0,8.21657,0,0,0,360247,341835,249253,183481,137401,107021,82728.4,68039,55727.5,45464.9,36962.3,31739.6,26672.6,23183.4,19600.5,17798.3,15453.7,14001.5,12007.9,10363,9828.71,8095.08,7387.15,7040.63,5996.08
 47.8,0,0,0,0,0,0,0,7.34975,7.30144,0,0,0,0,7.94902,0,7.67947,0,0,0,0,7.94902,7.94902,0,0,0,0,4.19481,414309,352447,250720,193874,148180,114186,92972.7,73291.9,60876.6,51877.3,41734.2,35498.8,30836.2,27456.8,22817.4,20238.9,18237.5,15716.1,14712.4,13197.3,10624.5,10417.8,9325.74,8061.89,7375.23
 49.6,0,0,0,15.1518,7.40457,0,7.4977,1.57773,0,0,15.4854,0,14.8568,0,0,0,7.74269,0,0,0,0,0,0,0,0,0,7.41685,447723,368800,273295,205190,158007,125893,103039,81824.1,68529.6,57184.4,48669.7,42072.4,36085.7,30521.4,26388.9,23873.1,20642.6,18726.4,16713.6,15072,12700.6,11895,10931.5,9567.55,9367.27
