Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_LRH_20230514_ozonecheck_nodryercomp.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8
Date,5/14/2023,5/14/2023,5/14/2023,5/14/2023,5/14/2023,5/14/2023,5/14/2023,5/14/2023
Start Time,13:51:00,13:54:00,13:57:00,14:00:00,14:03:00,14:06:00,14:09:00,14:12:00
Sample Temp (C),22.1,22.1,22.0,22.0,22.0,22.0,22.0,22.1
Sample Pressure (kPa),81.5,81.5,81.5,81.5,81.4,81.4,81.4,81.4
Relative Humidity (%),8.3,8.7,8.8,8.8,8.7,8.7,8.6,8.5
Mean Free Path (m),8.33270e-008,8.33270e-008,8.32911e-008,8.32911e-008,8.33934e-008,8.33934e-008,8.33934e-008,8.34294e-008
Gas Viscosity (Pa*s),1.82815e-005,1.82815e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82815e-005
Diameter Midpoint (nm)
109.4,49279.474,44414.374,42859.343,38344.809,37340.313,35298.230,34282.010,30989.898
113.4,55344.512,49268.746,46440.840,43158.410,40248.517,39125.448,37009.435,34482.611
117.6,60712.309,54144.336,50598.213,47179.169,44707.969,42228.045,40000.004,37393.461
121.9,63543.249,59532.584,55694.083,52046.531,47659.783,46611.154,42404.876,39722.736
126.3,69407.702,64968.335,60980.391,56726.453,52610.722,49913.714,45981.595,43920.888
131.0,74025.766,69747.996,65924.952,61767.582,56582.549,53600.697,50018.319,47541.208
135.8,79726.854,73827.278,69054.921,66498.908,61648.660,57702.500,54464.792,52463.944
140.7,84524.983,78185.630,73331.770,68612.484,64158.603,61386.435,57154.975,54811.003
145.9,87896.443,84251.849,76677.113,73664.041,68296.368,66205.060,61650.800,58165.898
151.2,92794.100,86967.963,81142.034,77290.135,73553.871,70449.868,65241.506,61301.310
156.8,97024.425,91070.020,84729.698,79779.557,75466.412,72158.463,68357.254,64785.531
162.5,101309.894,95984.383,87081.149,83277.309,77747.265,75947.896,70124.062,65786.038
168.5,102703.676,96549.339,90152.201,87000.846,82388.688,76764.811,70965.063,69063.450
174.7,104284.936,99426.379,92734.969,88529.269,83627.662,78666.004,74226.207,70359.725
181.1,105228.037,101428.562,94033.511,89976.126,84358.995,78958.773,74879.998,71065.279
187.7,108058.879,102112.148,95627.554,91249.165,85629.837,80325.070,75434.360,72250.909
194.6,106648.736,100011.904,94979.709,90904.621,84008.657,79714.521,75786.584,71679.972
201.7,105922.919,99000.047,91684.251,87849.864,83705.274,78360.843,74773.227,71936.736
209.1,101954.021,96117.859,90176.600,85904.719,81724.090,76778.090,72466.795,69270.078
216.7,99538.855,93207.518,89084.762,82436.468,78079.096,74617.485,70796.480,66751.554
224.7,94923.673,89626.455,84382.665,78583.564,76411.432,71902.742,66976.623,64146.307
232.9,88914.065,85006.712,80687.148,74876.228,71373.596,66541.938,63947.431,60722.160
