Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023
Start Time,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:01
Sample Temp (C),22.8,22.8,22.8,22.8,22.7,22.7,22.7,22.6,22.6,22.6,22.6,22.6,22.5,22.5,22.5,22.5,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.3
Sample Pressure (kPa),81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.0,81.0,81.0,80.9,80.9,80.9,80.8,80.8,80.8,80.7,80.7,80.7,80.7,80.6
Relative Humidity (%),16.9,16.4,16.1,15.8,15.6,15.4,15.2,15.1,15.0,14.9,14.8,14.8,14.7,14.7,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.5,14.6
Mean Free Path (m),8.39906e-008,8.39906e-008,8.39906e-008,8.39906e-008,8.39545e-008,8.39545e-008,8.39545e-008,8.39184e-008,8.39184e-008,8.39184e-008,8.40220e-008,8.40220e-008,8.39859e-008,8.40897e-008,8.40897e-008,8.40897e-008,8.41575e-008,8.41575e-008,8.41575e-008,8.42618e-008,8.42618e-008,8.42618e-008,8.42618e-008,8.43301e-008
Gas Viscosity (Pa*s),1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005
Diameter Midpoint (nm)
181.1,0.000,0.000,2.074,0.000,788637.080,644811.387,584298.773,531658.222,483548.467,439977.370,399787.494,368039.979,334539.898,303426.394,280185.255,253586.172,232290.774,212131.299,193608.182,180258.676,170802.757,160342.208,144202.901,132105.990
187.7,0.000,0.000,0.000,0.000,711241.231,618437.436,558028.736,510308.244,464931.404,428883.599,386532.805,359484.194,326267.959,297269.446,277282.400,250719.765,227600.500,208972.932,193038.393,178452.185,167250.947,156190.583,143644.198,130485.539
194.6,2.096,0.000,4.192,0.000,639559.205,581523.590,527361.497,480590.223,440706.116,407824.682,373720.652,341880.938,314398.040,285480.918,263940.804,240683.457,221219.030,201753.814,184357.513,172390.795,162358.713,152492.867,138474.927,127295.357
201.7,0.000,2.112,0.000,0.000,576574.958,535269.929,490068.163,453120.108,413861.339,383812.346,352047.264,328087.265,297330.478,270570.091,253359.962,229230.718,212593.520,193101.141,177497.866,166117.542,156058.433,145784.199,134124.981,122084.947
209.1,0.000,0.000,0.000,2.123,520356.490,488195.030,451274.702,415934.349,381019.665,356398.493,323585.388,304803.054,277501.098,253328.510,235716.605,215139.555,199711.498,181794.791,165538.511,157474.874,147452.031,139348.694,125967.990,115543.884
216.7,0.000,0.000,0.000,0.000,468006.117,440255.175,408192.173,377636.210,346635.136,326482.892,296862.501,277210.482,255599.328,235008.125,218367.516,199774.998,183117.619,167941.033,154430.080,146382.453,138224.318,130305.874,117363.853,108965.243
224.7,0.000,0.000,0.000,1.855,418689.421,390071.951,365247.457,333766.816,309394.836,291187.754,268989.790,253792.002,232421.728,214408.234,199228.352,179719.385,167176.822,153092.008,141455.407,133379.760,127175.797,119738.316,108686.910,99197.180
232.9,0.000,2.171,2.171,0.000,363759.973,339483.861,314375.600,290074.559,273462.556,256277.837,236257.207,222779.128,204752.117,191998.711,175739.095,161655.780,151928.473,136735.164,127705.461,120801.624,114196.590,108428.438,98050.686,90372.771
241.4,0.000,0.000,0.000,0.000,308839.205,291155.547,271406.450,248852.510,238026.358,220905.868,205125.337,194870.128,177306.495,167028.425,154865.059,142458.308,132890.577,121032.308,110983.260,106273.637,102518.590,94699.007,86897.965,80512.946
250.3,0.000,0.000,0.000,2.212,261405.386,243561.787,223880.143,210226.722,199065.638,186884.876,173239.432,165508.081,149930.394,141700.695,132934.145,122388.418,115134.636,105720.964,96445.093,93044.759,88138.053,83253.630,74973.294,69568.148
259.5,0.000,2.237,0.000,0.000,217933.901,200605.189,184553.333,174540.865,166596.241,155209.265,144500.966,139713.184,125561.323,118640.738,112233.737,104259.354,97799.522,89409.748,82191.209,79556.469,76173.458,70960.266,64927.664,59579.998
269.0,2.257,0.000,0.000,0.000,178183.021,160970.503,148688.296,142190.679,132741.404,125784.221,116436.507,112523.908,105296.356,97082.190,91348.142,84429.828,81031.791,74100.328,67362.232,65676.167,61833.427,59918.087,53653.284,50239.088
278.8,0.000,0.000,0.000,2.281,143526.728,125758.829,115284.480,111484.304,103426.737,99953.838,91449.370,90071.289,82478.828,78306.979,73151.332,67804.752,63720.095,59820.261,54414.933,52546.676,50664.048,47411.317,43397.279,41418.630
289.0,0.000,0.000,0.000,0.000,111861.442,95133.364,89487.515,84547.723,79912.364,77431.052,71093.916,69855.814,64347.021,61275.172,57209.648,52792.236,50288.323,46971.570,42937.887,41651.222,40356.450,36757.575,34938.550,32506.638
299.6,0.000,0.000,0.000,0.000,82592.113,69400.648,65311.455,62584.166,58813.503,57270.793,53370.969,52042.495,48312.028,45999.457,43443.249,40539.190,38592.350,35459.564,32573.767,32294.298,31540.400,28715.880,27228.717,25565.004
310.6,0.000,2.363,0.000,0.000,59276.627,49298.212,47278.500,44769.583,43516.491,41274.245,38780.419,38225.181,35311.101,33934.734,31947.975,30131.167,28206.096,25886.948,24619.236,24711.543,23699.353,22013.163,19939.951,19186.412
322.0,0.000,0.000,0.000,0.000,41528.873,34659.038,33615.540,31478.204,30129.811,28931.970,27194.134,26818.288,24692.933,23796.806,23014.310,21975.802,20243.980,18798.516,17993.399,17246.544,17003.855,16218.902,14353.101,14009.856
333.8,0.000,0.000,0.000,0.000,28209.913,23171.186,22488.374,21406.931,20033.571,20012.409,19221.189,18540.941,17268.469,16827.002,15908.871,15029.465,14150.547,13091.496,12593.531,12086.192,12075.992,11217.691,10013.441,9969.935
346.0,0.000,0.000,0.000,0.000,18393.771,14580.682,15306.085,14073.547,13334.097,13430.957,12963.472,11903.134,11753.148,10961.983,10420.215,10026.603,9497.007,8670.843,8559.768,8294.157,8094.379,7553.541,6970.837,6622.068
358.7,0.000,0.000,0.000,2.499,11585.091,9541.377,9445.864,8869.475,8510.486,8445.733,8273.688,7507.553,7363.925,7143.073,6557.060,6255.472,6223.118,5508.716,5425.990,5197.904,5385.019,5202.319,4600.619,4302.717
371.8,0.000,0.000,0.000,0.000,6952.953,5747.941,5928.274,5581.900,5049.741,5074.242,5182.840,4726.589,4544.892,4274.448,3993.394,3936.136,3795.732,3520.912,3450.484,3302.548,3507.027,3151.146,2916.953,2756.645
385.4,0.000,0.000,0.000,0.000,4285.642,3493.952,3512.881,3302.864,2922.861,2949.943,2945.551,2698.091,2613.259,2518.257,2493.536,2247.938,2215.004,2108.932,1888.531,1913.066,1949.495,1908.287,1586.064,1648.131
399.5,0.000,0.000,0.000,0.000,2477.097,2008.927,1904.549,1915.242,1731.555,1695.472,1599.524,1494.186,1485.037,1443.631,1321.654,1269.162,1245.623,1137.059,1072.280,1136.123,1042.634,1093.534,1059.189,828.941
414.2,0.000,0.000,0.000,0.000,1173.306,1137.257,1016.541,966.768,823.522,927.914,940.148,792.729,873.914,829.203,711.429,663.588,640.878,643.875,558.099,641.162,615.942,630.955,556.732,498.366
429.4,0.000,0.000,0.000,0.000,722.600,649.431,561.926,505.144,459.930,532.158,507.637,512.972,392.408,416.131,401.258,342.139,342.187,318.046,378.354,308.932,278.238,339.697,309.862,282.138
445.1,0.000,0.000,0.000,0.000,395.314,336.794,301.116,259.351,224.959,299.293,246.641,230.750,218.902,192.162,172.528,191.715,210.551,185.892,170.067,158.578,172.354,202.764,168.969,126.129
461.4,0.000,0.000,0.000,0.000,217.181,174.561,155.939,136.063,119.427,128.399,88.809,127.954,104.754,137.235,102.003,103.592,71.793,111.878,101.144,61.158,93.536,91.294,85.753,61.634
478.3,0.000,0.000,0.000,0.000,154.685,115.248,101.960,87.541,84.244,86.816,94.292,102.520,49.693,35.327,51.045,58.439,40.380,52.961,34.689,47.587,37.503,50.417,42.618,49.952
495.8,0.000,0.000,0.000,0.000,71.756,68.948,63.151,54.398,37.276,39.671,44.897,61.678,53.036,24.900,28.515,28.398,13.512,18.755,23.372,15.702,15.013,21.095,26.391,23.322
514.0,0.000,0.000,0.000,0.000,73.006,49.598,37.962,32.032,28.590,31.742,31.434,25.696,28.487,16.905,14.075,16.713,16.513,10.915,21.997,18.656,21.574,10.741,18.813,5.278
532.8,0.000,0.000,0.000,0.000,54.596,29.942,20.824,20.766,35.373,35.277,34.935,23.269,23.184,14.352,11.471,14.189,14.019,16.679,19.212,10.861,8.242,8.207,13.364,18.819
552.3,0.000,0.000,0.000,0.000,50.474,25.505,9.095,18.141,33.046,11.984,17.802,14.821,18.545,17.552,8.768,14.461,17.441,16.998,16.783,11.069,2.800,11.153,11.495,8.220
572.5,0.000,0.000,0.000,0.000,34.002,29.740,30.912,27.742,30.630,27.492,18.150,21.088,17.228,26.843,8.940,17.692,11.352,11.554,5.704,11.285,2.855,8.528,14.225,13.968
593.5,0.000,0.000,0.000,0.000,68.894,9.412,21.921,13.722,24.824,18.568,13.252,3.130,15.254,18.129,9.057,11.949,14.757,11.706,5.778,11.433,11.568,8.640,8.647,11.321
615.3,0.000,0.000,0.000,0.000,42.768,22.406,31.950,24.233,23.333,9.472,11.493,16.642,18.675,12.331,12.320,3.048,9.034,2.986,14.739,5.833,5.902,5.876,2.941,5.775
637.8,0.000,0.000,0.000,0.000,28.093,9.802,22.829,16.261,18.193,19.337,19.149,18.088,22.239,9.440,15.720,9.333,0.000,12.190,3.009,2.977,6.024,5.999,9.005,5.895
661.2,0.000,0.000,0.000,0.000,26.453,23.188,19.839,32.973,9.829,19.605,16.179,16.165,12.885,6.381,6.376,0.000,9.350,9.270,0.000,0.000,12.215,0.000,6.087,0.000
685.4,0.000,0.000,0.000,0.000,16.888,33.839,23.644,20.210,18.150,23.365,9.916,6.605,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
710.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Scan Time (s),155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
Retrace Time (s),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Scan Resolution (Hz),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sheath Flow (L/min),3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Aerosol Flow (L/min),1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.12,1.12,1.13,1.14,1.14,1.14,1.15,1.15,1.17,1.18,1.19,1.20,1.22,1.20,1.21,1.21,1.23
Bypass Flow (L/min),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Low Voltage (V),11.14,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.14,11.14,11.15,11.13,11.14,11.14,11.13,11.14,11.14,11.13,11.14,11.13,11.13,11.12
High Voltage (V),9223.71,9222.84,9222.84,9222.84,9221.83,9221.53,9222.12,9219.94,9219.06,9217.03,9213.83,9210.65,9208.77,9205.29,9202.14,9201.86,9194.52,9190.56,9187.75,9181.23,9177.63,9181.51,9180.12,9176.47
Lower Size (nm), 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0
Upper Size (nm),723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4
Density (g/cm³),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
td + 0.5 (s),1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
tf (s),6.03,6.03,6.03,6.04,6.04,6.04,6.04,6.03,6.02,6.02,6.00,6.00,5.99,5.98,5.98,5.96,5.94,5.92,5.90,5.89,5.90,5.90,5.90,5.87
D50 (nm),682.1,682.1,682.1,682.8,682.4,683.1,682.4,681.3,678.9,677.9,674.0,673.7,672.3,668.5,668.2,664.3,659.7,656.5,651.8,647.8,652.0,650.5,650.8,644.0
Neutralizer Status,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON
Median (nm),62.905,30.612,25.705,27.440,131.489,125.702,132.395,137.183,141.020,144.177,146.925,149.094,150.838,152.519,154.125,155.563,156.657,157.420,158.375,160.023,160.998,161.978,161.800,162.861
Mean (nm),67.133,62.828,43.168,53.256,135.970,129.083,135.810,140.607,144.462,147.752,150.336,152.675,154.404,156.162,157.614,158.993,160.408,161.195,162.053,163.774,164.738,165.619,165.581,166.563
Geo. Mean (nm),50.545,41.935,32.141,36.356,125.110,110.612,119.399,125.519,130.125,134.029,137.035,139.677,141.701,143.598,145.214,146.735,148.325,149.200,150.162,151.925,152.904,153.894,153.934,154.885
Mode (nm),19.456,21.674,19.456,21.674,145.902,151.247,156.788,162.531,162.531,162.531,162.531,174.658,168.485,168.485,174.658,168.485,174.658,174.658,168.485,181.056,181.056,181.056,174.658,174.658
Geo. Std. Dev.,2.142,2.315,1.920,2.136,1.521,1.834,1.729,1.665,1.627,1.597,1.576,1.560,1.547,1.538,1.530,1.523,1.514,1.510,1.505,1.500,1.498,1.493,1.491,1.490
Total Conc. (#/cm³),2.300425e+000,1.785717e+000,2.538620e+000,3.473734e+000,4.747997e+005,3.738461e+005,3.112998e+005,2.674163e+005,2.318048e+005,2.054393e+005,1.806427e+005,1.634611e+005,1.453349e+005,1.304748e+005,1.180438e+005,1.060310e+005,9.635058e+004,8.687847e+004,7.893498e+004,7.258235e+004,6.790747e+004,6.277130e+004,5.741178e+004,5.207519e+004
Title,,,,,,,,,,,,,,,,,,,,,,,,
User Name,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab
Sample ID,,,,,,,,,,,,,,,,,,,,,,,,
Instrument ID,,,,,,,,,,,,,,,,,,,,,,,,
Lab ID,,,,,,,,,,,,,,,,,,,,,,,,
Leak Test and Leakage Rate,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Errors,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan
Comment,,,,,,,,,,,,,,,,,,,,,,,,
