Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_LRH_20230530_2.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Date,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23
Start Time,13:44:00,13:47:00,13:50:00,13:53:00,13:56:00,13:59:00,14:02:00,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00,14:29:00,14:32:00,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00,15:17:00,15:20:00,15:23:00,15:26:00,15:29:00,15:32:00,15:35:00,15:38:00,15:41:00,15:44:00,15:47:00
Diameter Midpoint
 25.0,0,0,0,752241,170124,98221.9,60448.9,37592.5,25767.1,19216.9,14678.3,10839.6,7567.62,5766.1,4625.09,3851.84,2965.54,2658.9,2318.41,1734.39,1727.27,1532.25,1571.7,1553.07,1348.6,1295.64,1229.64,1057.82,1251.45,1056.78,869.517,796.552,912.047,761.13,805.556,808.447,661.019,867.332,775.02,516.025,490.553,607.656
 25.9,0,0,0,1.43203e+006,185198,103428,69350.2,45033.2,30129.8,21930.6,17188.4,12520.1,9712.5,7231.74,5659.5,4540.1,3781.66,3267.02,2874.75,2522.89,2288.18,2113.21,1921.3,1438.83,1383.74,1697.69,1360.96,1349.26,1073.98,1244.23,1042.6,1052.77,981.457,1073.66,951.967,909.272,903.291,845.167,571.088,710.169,589.839,654.414
 26.9,0,0,0,2.45653e+006,199372,116941,74129.9,50083.1,37304.8,26900.2,20357,14133.4,11888.6,8666.08,7491.97,6123.75,5156.28,3736.14,3494.61,2918.52,2816.44,2776.37,2596.26,2546.46,2056.06,1994.01,1652.98,1382.98,1436.01,1402.57,1170.03,1187.63,959.57,941.197,962.589,1071.64,860.261,1196.24,949.763,682.495,667.305,793.1
 27.9,0,0,0,3.54836e+006,206933,124085,83193.3,57803.4,41688.5,31472.9,22089.1,17925,13309.3,10900,8197.09,7137.48,5668.87,4872.01,4284.94,3596.2,3436.07,2936.07,3000.15,2668.78,2717.88,2218.37,1837.16,1923.18,1889.81,1652.66,1592.71,1200.14,1539.1,1282.42,1148.62,1127.01,1071.4,858.812,1315.76,1193.11,1011.49,632.072
 28.9,0,0,0,3.6105e+006,220107,138832,91589.5,62362.8,45702.5,33453,26875.1,20227,16202.3,12164.2,10157.6,7997.92,7269.3,5942.05,5396.6,4625.93,4136.63,3656.41,3679.29,2990.83,3016.92,2445.92,2294.51,2171.39,2171.46,2238.01,1959.82,1463.33,1591.34,1673.51,1378.83,1496.31,1031.17,1069.94,1070.84,1369.89,1064.67,1022.73
 30.0,0,0,0,2.72962e+006,225838,142158,99486.1,70109.2,50362.7,38312.4,30468,22904.8,18370.2,14705.3,12554.8,10130.2,8526.52,7666.11,6091.7,5505.25,4839.47,4046.25,4200.82,3801.65,3488.89,3033.2,2682.22,2929.4,2628.15,2565.76,1983.37,1755.6,1946.57,1659.62,1714.59,1426.69,1476.86,1492.98,1088.82,1085.47,1087.25,1062.12
 31.1,0,0,0,1.82959e+006,230886,151019,105903,77484.7,55214.2,42854.9,34063.5,26931,21397.7,17585.4,13919.5,11989.7,10216,8418.2,7276.98,6799.79,6211.75,4954.01,5144.8,4281.43,4183.5,3749.6,3613.4,2690.13,2880.45,2772.59,2417.44,2463.3,1716.1,2217.15,2085.87,1902.21,1773.78,1769.99,1447.12,1232.25,1358.59,1340.04
 32.2,0,0,0,1.26312e+006,241786,159841,114687,83072.7,60684.3,46822.7,39961.3,29484.7,24155.8,19031.8,16556.7,13707.6,11734,10165.1,8804.28,7103.09,6886.07,6136.78,5720.08,5017.97,4892.92,4385.54,3778.65,3526.84,3290.42,2933.99,2818.66,3018.54,2577.96,2543.57,2637.65,2086.61,1896.37,1816.77,1486.06,1520.12,1479.37,1423.83
 33.4,0,0,0,957976,243930,169158,120722,89369.2,67600.5,52078.7,41062.5,34288.2,27993.4,22574.2,18611.5,16763.6,13859.7,11884,10674,9112.86,7705.53,7680.06,7113.05,6567.17,5567.44,5118.67,4487.33,4503.53,4146.44,3386.52,3131.09,3171.44,3036.65,2782.22,2768.3,2556.5,2247.32,2169.88,2134.26,1913.09,1727.11,1772.55
 34.6,0,0,0,719308,251027,175116,128230,95608.5,71535.2,57523.8,46022.4,38403.7,31306.3,24571.5,21902.8,18267,15918.1,13121,12768.5,10187.2,9108.9,7665.45,8276.31,6827.54,6366.46,6173.28,5796.23,5297.04,4700.47,4128.68,3933.27,3757.35,3670.1,2895.8,3125.39,2808.61,2497.7,2424.27,2290.15,2130.33,2393.32,2255.81
 35.9,0,0,0,515356,259636,181061,136567,101742,77747.5,61273.9,50537.4,41594.2,33526.6,28277.6,23576.1,20369.2,17926.2,14849.9,13459.1,11983.1,11355.3,9540.63,9251.43,8126.79,7926.18,6527.84,6348.94,5242.78,5095.23,5263.03,5132.77,4532.44,3944.12,3845.04,3596.42,3492.19,2912.78,3012.19,3308.66,2656.01,2088.18,2909.39
 37.2,0,0,0,381283,261641,186217,140210,105283,84029.6,67060.7,55420.4,45615.7,38562.7,30794.7,27049.8,22484.8,19938.8,17211.8,15479,13274,12212.1,11323,10511.9,9440.65,8507.43,7473.35,7371.86,6676.05,6259.84,5737.08,4776.47,5257.6,4953.13,4530.46,4170.54,4298.02,3777.74,3142.37,3225.75,3101.59,2807.38,2738.74
 38.5,0,0,0,286034,261837,192569,147233,112379,87125.9,73567.3,56991,50996.1,40438.7,34562.5,29163.4,26208.2,22560,19011.5,16658.3,15816.4,14046.8,12855.2,11706.2,11046.1,9595.69,8995.97,8636.09,7807.76,6862.9,7059.89,6125.85,5137.37,5472.33,5541.33,4514.94,5216.14,4502.13,3785.77,3453.12,3651.19,3391.46,3186.36
 40.0,0,0,0,213262,269398,195939,150852,117553,93038.7,75670.7,64141.8,52019.6,45321.4,37413.5,32666.6,27867.8,24894.8,21460.8,20190.5,17163.7,15268.8,14239.5,13567.8,12266.2,11149.1,10366.7,9215.66,8083.25,7835.03,6807.77,7437.82,6314.17,5982.91,5630.01,5205.44,5229.49,4973.07,4696.27,4503.24,3771.16,4105.91,3536.89
 41.4,0,0,0,160617,264505,199044,157263,124994,98185.2,81846.4,67665.5,56469.3,47958.7,41814.9,34945.2,30946.3,28033.5,25414.1,21200,18965.2,17886,15615.9,15286.1,14139.8,12840.8,11667.3,10371,9942.03,8730.38,7947.79,8131.61,7624.86,6984.41,6537.82,6387.49,6143.45,5562.91,5033.27,5026.16,4773.13,4139.74,4037.64
 42.9,0,0,0,123528,268573,204496,160761,126918,104572,87003.8,71783.4,61773.1,52499.4,44665.1,38869.3,32893.5,30495.4,26974.4,23102.3,22204.6,19053.7,18679.8,17525.7,15612.4,14275.1,12783.7,11568.8,10541.2,9874.71,9147.24,8989.99,8204.19,8069.03,7811.35,7197.48,6345.45,5821.56,5405.83,5173.39,5047.05,4759.75,4729.34
 44.5,0,0,0,105074,266544,205794,165382,131985,108923,89100.5,76381.9,63529.8,55496.2,48595.5,42324,36441.2,31587.7,28957.3,25889.6,24103.5,22167,19858,18435.1,16965.7,15633.5,14756.9,13362.9,12293.1,11196.9,10575.3,10019.6,8652.29,8885.74,8213.12,7903.42,7604.33,6681.92,6971.63,6883.86,6045.11,6095.83,5447.89
 46.1,0,0,0,113628,265877,207590,170600,139188,113835,97369.3,80736,68380.6,60066.1,51336.3,45497.5,40959.3,35792.3,30899.3,27532.3,27123.3,24538.7,22048.1,20756.3,18926.7,17261.9,16308.7,15243.8,13598.5,12535.1,11905.4,11517.7,10508.2,10322.3,9205.67,8646.62,8614.8,7872.62,7433.63,7584.64,6628.22,6006.33,6375.49
 47.8,0,0,0,124011,267212,211997,172303,141845,117399,100297,84238.1,70780.3,62967.6,56374.5,48481.7,44348.3,39698.6,34135.5,31385,28834,26621.9,24717.8,23216.4,21304.3,19435.9,18257.1,16394.8,15771.6,14123.5,13725.6,13271,12659.4,11632.1,11191.9,10580.5,9943.33,9053.6,8492.18,8288.86,7877.23,7398.26,6886.39
 49.6,0,0,0,126934,269222,216445,181255,148003,125319,107913,89315.9,76764.2,68360.7,59338.6,53657.3,48261.3,42903.6,38823.8,34039.3,32463.1,29511.3,26891.8,25639.7,23572,22159.9,19687.8,18884.2,17428.4,16423.4,14883.4,15461.8,14149.5,12642,13031.3,12001.7,11273.1,10178.5,9938.75,8908.28,8932.13,9126.48,8189.23
 51.4,0,0,0,127940,270815,219875,180293,148644,128171,111969,94042,82336.8,73029.1,65150.3,57262,51682.6,45174.4,42646.1,37246.8,33334.8,32190.4,29412.1,28642.9,25894.5,24270.4,22368.5,20363.7,19569.4,18865.9,16958.5,16088.2,15302,15202.6,14424.1,13435.8,13259.5,11876.1,11292.7,11150.2,10155.9,9057.11,8480.43
