Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230417.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Date,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23
Start Time,11:50:00,11:53:01,11:56:00,11:59:00,12:02:00,12:05:00,12:08:00,12:11:00,12:14:00,12:17:00,12:20:00,12:23:00,12:26:00,12:29:00,12:32:00,12:35:00,12:38:00,12:41:00
Diameter Midpoint
 53.3,0,6.86525,0,0,513652,288693,222911,172310,138256,114598,89072.2,75233.1,63555.3,51923.2,43090.7,37662.3,32814.8,28945.8
 55.2,8.9647,6.93927,6.62021,0,542525,315483,245244,194195,156010,126981,103379,85060.5,70750.7,59379.5,51009.2,43804.1,38948,33417
 57.3,4.74769,0,5.8416,0,594523,349608,267319,212323,173119,140573,116955,96347.3,80603.6,68531.7,57955.2,50794.6,43666.2,39948
 59.4,0,7.0801,5.6426,0,666497,377294,291840,234469,190991,154411,130281,110307,90958.1,78839.7,69529.9,58457.6,50773,45119.1
 61.5,6.79334,6.44139,5.56277,13.351,711861,409933,323026,262286,211568,176581,146626,125724,105821,90142.3,76529.6,68689,59026.3,52519.7
 63.8,0,0,5.41389,6.83438,741599,439802,349528,282901,236339,198527,163668,141415,118204,105514,86826.8,80154.6,68118.2,62213.5
 66.1,11.7191,0,0,5.19277,764597,474691,382697,313592,259824,215715,180131,156269,134076,118178,99451.8,87286,78082.2,69470.4
 68.5,12.2811,12.6097,0,0,772225,508689,414457,342991,281847,242583,200423,176145,149827,131497,115947,100705,88890.3,78814.9
 71.0,11.7529,6.37878,0,3.29172,748132,525612,421663,355733,294616,248597,212511,184467,157179,137834,120436,105342,90885.3,83665.6
 73.7,6.28438,8.56558,17.2739,11.6526,748930,546727,447078,375023,310043,264586,225699,195988,166982,147314,127484,110326,101560,88939.3
 76.4,0,0,11.6144,0,766983,581058,476826,404372,338442,288665,248842,216408,183415,164252,141607,122239,112041,99480.2
 79.1,6.14489,12.1749,4.05539,0,794521,623882,508873,438513,367016,311859,266832,233178,202723,183222,157188,137972,124663,111599
 82.0,0,0,8.9558,9.30531,842090,657070,550472,466747,400007,344996,291190,256981,220561,198567,173547,154574,140105,122674
 85.1,10.4112,2.71963,11.8875,9.44713,885462,688541,583322,499903,427658,369876,315119,277395,244828,218298,189237,172362,153081,136935
 88.2,5.77611,0,9.82147,14.1145,924155,735148,619185,533241,463340,392538,345747,300471,266598,234705,209635,187191,167526,148555
 91.4,0,5.15072,9.17341,1.11401,956452,768739,659494,561392,484460,421831,375929,324528,284819,256769,228901,202922,185755,161993
 94.7,5.13521,16.3197,8.71944,0,977362,813182,688816,601720,514841,454934,396677,347010,305579,274168,253156,221269,200013,180239
 98.2,10.9777,0,10.0152,10.7516,1.01524e+006,850705,723168,626090,555260,479429,428300,372058,333373,299733,267003,238750,215282,192937
101.8,4.17917,3.84441,8.82587,15.0889,1.06686e+006,878627,764642,661507,584700,510086,457627,396811,356741,317318,282925,260958,229897,208751
