Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_LRH_20230531_dryeronwaterSMPS.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Date,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23
Start Time,15:03:00,15:06:00,15:09:00,15:12:00,15:15:00,15:18:00,15:21:00,15:24:00,15:27:00,15:30:00,15:33:00,15:36:00,15:39:00,15:42:00
Diameter Midpoint
 73.7,37008.8,35783.2,32671.7,31444.5,28559.6,27156.6,26130.2,23784.6,22208.6,22047.7,22054.7,20237.1,18908.7,17806.1
 76.4,40179.2,39308.1,35548.1,36271.8,32686.7,30978.3,29272.4,27097.6,25371.8,25498.3,24688.6,22539.1,21898.9,20282
 79.1,45490.2,42424.8,39439.1,37645.5,35798.7,35044.9,33419.8,30742.7,30349.3,27729,26993.1,26195.2,23483.1,23007.4
 82.0,49737.5,47292,45711.6,41685.2,39467.1,38456.4,36797.9,33325.9,32467.7,30694.7,29832,28636.1,26907.5,26922.6
 85.1,55098.8,49829.3,47567.1,45101.6,43552.1,42038.2,40211.9,36989.6,35082,35004.1,32357.3,30309.9,28663.3,28498.1
 88.2,61445.3,55537,53220.8,49703.7,50112.3,45331.6,42518.6,40956.6,38615.4,37955.9,35094.9,35046.5,32308.5,31469.9
 91.4,64730.4,59813.7,57249.2,55416.3,51555.4,49700.3,47319.8,43272,41945.8,39599.9,39394,36451.8,35013.4,33633.1
 94.7,68438,63447,61296.4,60443.1,55546.8,53616.1,50668.6,48171.7,45201.3,42408.1,41849.8,39504.1,37291.8,36795.5
 98.2,73841.1,69262,66374.5,64120.8,60570.4,58284.6,54766.4,50435.4,48082.3,46202.2,45223.8,41830.4,39285.2,38155.7
101.8,79243.9,73159.6,70335.1,67444.1,64344,59651.9,57014,54068.8,53254.1,48271.9,47854.9,45616,42337.7,41242
105.5,84348.3,78030.7,73403.7,70681.6,67879.8,64185.5,60835.9,57422.5,56114.9,53304.9,50070.6,48182.6,45346.5,43315.9
109.4,86909.8,81545.9,78105.4,73498.6,69793.6,67025.9,63647.8,60908.7,58962.9,55375.7,51323.3,51338.4,46773.9,47472.9
113.4,91337.3,83877.7,82412.3,76490,75580.3,69587.7,66677.5,63495.8,61310.9,58144.9,54946.5,53278.2,49270.8,49169.3
117.6,93453.9,89580.9,84334.8,81276.8,77749.6,72650.9,69203,63653.6,63353.6,59671.9,55442.1,56071.1,53676.5,49351.5
121.9,97717.7,89729.4,87883.6,83482.5,81239.3,74698.4,71378,66999.4,67966.2,62288.3,59027,57152,54332.9,52746.8
126.3,100059,92597.4,88614.4,86674.5,83809.9,76840,74402.3,69729.9,67620,63527.4,60661.6,58670.4,55529.1,53228.5
131.0,101094,96188.8,90874.6,87438.3,83912.6,79659.1,75732.3,71539.3,69653.4,65953.9,62932.3,59230,57791.3,54334.5
135.8,104259,97573,94961.6,89941.4,84162.4,80773.5,77099.2,73436.7,70079.9,67077.7,64031.3,60688.4,58255.3,55367.5
140.7,105451,100476,95870.9,90477.3,85974.2,81450.6,77950.8,73906.8,70143.1,67149.3,64724.1,62727.6,59435.4,56528.6
