Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023
Start Time,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00
Sample Temp (C),22.8,22.8,22.8,22.8,22.8,22.7,22.7,22.6,22.6,22.6,22.5,22.5,22.4,22.4,22.3,22.3,22.3,22.2,22.2,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.2,22.2
Sample Pressure (kPa),79.3,79.3,79.3,79.3,79.3,79.4,79.3,79.3,79.2,79.2,79.2,79.1,79.0,78.9,78.8,78.8,78.6,78.6,78.5,78.4,78.4,78.3,78.2,78.2,78.2,78.2,78.2,78.1
Relative Humidity (%),9.2,9.0,8.9,8.9,8.8,8.7,8.7,8.6,8.6,8.5,8.5,8.4,8.4,8.3,8.3,8.3,8.3,8.3,8.2,8.2,8.2,8.2,8.2,8.2,8.1,8.1,8.1,8.1
Mean Free Path (m),8.58971e-008,8.58971e-008,8.58971e-008,8.58971e-008,8.58971e-008,8.57520e-008,8.58601e-008,8.58232e-008,8.59316e-008,8.59316e-008,8.58946e-008,8.60032e-008,8.60751e-008,8.61842e-008,8.62564e-008,8.62564e-008,8.64759e-008,8.64386e-008,8.65487e-008,8.66218e-008,8.66218e-008,8.67324e-008,8.68434e-008,8.68434e-008,8.68434e-008,8.68434e-008,8.68808e-008,8.69920e-008
Gas Viscosity (Pa*s),1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 24.1,24.264,4.949,0.000,91765.247,39969.849,21715.523,11822.502,7224.567,4109.094,3015.846,1937.348,1273.733,721.904,547.683,474.308,373.209,219.423,205.189,118.297,121.742,92.456,71.688,68.052,50.242,75.967,53.626,43.389,32.133
 25.0,4.260,18.235,0.000,99604.848,45692.301,24311.285,14255.889,8578.866,5347.295,3705.786,2526.310,1518.660,1246.874,789.070,627.113,451.933,293.339,208.690,208.325,198.434,137.291,48.181,86.170,79.099,49.709,58.827,47.011,36.864
 25.9,13.232,39.682,0.000,109725.918,49735.038,26874.487,15931.508,9933.074,6021.302,3988.020,3017.148,2001.285,1480.582,996.940,789.557,604.595,496.001,371.065,259.355,255.616,195.927,125.193,158.823,110.558,55.271,44.475,73.361,66.217
 26.9,16.723,4.137,67048.341,116516.113,56471.004,31143.944,18192.142,12270.466,7054.685,4849.891,3585.288,2559.167,1835.894,1357.169,920.083,816.561,573.037,473.619,385.463,203.915,234.115,196.970,151.858,155.312,94.993,65.325,71.206,48.954
 27.9,15.861,11.883,226610.956,125280.668,62363.149,34056.482,21112.645,13046.376,9068.115,5960.125,4174.358,2939.203,2325.321,1644.144,1224.023,941.691,750.924,547.118,405.448,394.362,325.613,272.279,216.100,258.080,141.959,129.442,94.051,105.746
 28.9,23.609,7.365,471889.627,132633.423,65513.085,37984.264,24874.505,15788.562,10196.412,7464.963,5049.551,3663.405,2767.837,2142.743,1659.380,1106.739,1016.717,805.106,606.777,516.109,458.960,309.483,291.865,296.357,175.356,144.044,144.259,112.337
 30.0,7.311,14.699,823541.770,140654.287,74141.127,44035.495,27462.521,19051.987,11693.675,8854.641,6062.449,4921.868,3437.661,2586.830,1960.881,1511.009,1136.576,1025.940,754.161,671.224,468.581,433.617,324.850,370.562,282.686,291.454,185.987,236.377
 31.1,14.564,7.113,1223925.709,149381.944,80938.410,49575.747,32008.994,21638.393,13800.728,9481.894,7463.517,5513.614,4174.809,3402.069,2425.020,1869.148,1601.328,1318.539,1060.361,971.408,743.101,593.634,542.056,365.555,369.150,378.988,239.143,277.066
 32.2,3.438,10.228,1498603.505,160888.080,84767.975,52970.819,36325.522,23901.086,17304.069,12394.378,8909.760,6530.142,5042.888,3927.357,3252.027,2340.143,1970.282,1739.215,1318.874,1211.857,1042.445,843.635,636.023,584.867,427.006,408.765,444.627,301.699
 33.4,6.308,6.405,1807810.669,170869.734,96265.655,59242.853,40651.493,27682.670,19341.835,14363.224,10583.070,8001.687,6230.521,4756.142,3793.510,2981.502,2352.673,2041.864,1740.103,1420.562,1138.623,874.573,865.184,687.858,601.536,565.561,542.766,495.260
 34.6,15.361,5.573,2172697.940,184426.199,103363.594,66326.717,45730.650,31207.274,22327.295,16162.967,12186.067,8988.843,7221.409,5847.724,4544.737,3819.955,2988.885,2398.302,1946.432,1673.946,1509.748,1256.784,1010.408,967.006,809.099,738.123,674.347,665.990
 35.9,8.697,12.221,2368940.748,196648.968,110129.324,70865.984,51556.328,35459.878,25434.330,18473.810,14797.684,10859.123,8706.857,6819.274,5389.298,4490.723,3498.355,3153.471,2607.912,2112.715,1763.484,1575.619,1369.937,1187.557,962.799,842.923,797.317,730.775
