Relative Humidity (%),70.4,71.3,72.2,72.9,73.7,74.3,74.9,75.5,76.0,76.5,77.0,77.4,77.8,78.1,78.5,78.8,79.1,79.4,79.6,79.8,80.1,80.3,80.5,80.6,80.8,81.0,81.2
Mean Free Path (m),8.60729e-008,8.60729e-008,8.60729e-008,8.60729e-008,8.60010e-008,8.61100e-008,8.61100e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008
Gas Viscosity (Pa*s),1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 24.1,51.882,0.000,86998.096,52199.108,31531.671,19970.376,12694.380,9017.889,5797.449,4665.730,3427.597,2573.917,1804.748,1485.968,1077.271,813.639,790.840,572.529,560.311,348.254,333.164,301.257,275.921,245.026,198.625,176.251,105.730
 25.0,41.795,0.000,88118.088,54940.616,33851.031,21534.701,14654.664,10035.621,7355.760,5597.831,3832.239,3061.203,2427.385,1791.618,1279.418,1086.428,957.573,885.028,596.320,473.174,582.176,349.927,252.027,286.956,159.164,252.592,154.017
 25.9,35.269,0.000,89902.610,56511.345,34745.558,23672.087,15831.440,11135.430,8596.613,6104.305,4542.869,3427.274,2948.038,2098.844,1812.955,1516.376,1144.871,954.411,749.974,674.414,619.338,507.972,466.131,381.451,312.284,222.171,302.349
 26.9,44.745,0.000,89408.432,57364.587,38963.426,26453.573,17485.273,12792.639,9335.458,6997.858,5250.004,3584.313,3224.852,2575.857,1978.050,1498.206,1498.112,1260.751,878.381,835.097,759.519,573.566,535.053,465.034,337.525,330.882,335.620
 27.9,29.833,0.000,93642.796,60991.499,41013.359,27934.169,19137.171,13822.237,10216.193,7306.255,6279.084,4890.666,4195.387,3076.332,2540.908,2093.719,1848.642,1545.060,1275.506,974.202,933.775,800.128,672.962,595.657,453.688,557.086,468.010
 28.9,51.325,0.000,95772.550,64007.159,43841.152,30223.754,21237.619,16041.200,12383.220,8957.312,6991.126,5626.746,4499.153,3680.533,3146.367,2586.211,1813.350,1539.860,1535.188,1162.062,953.155,998.587,850.969,567.587,502.757,657.251,436.440
 30.0,62.618,0.000,99009.756,68200.352,47057.327,32598.713,23970.811,17225.575,13063.088,10468.553,8183.022,6072.647,5222.528,4204.435,3376.067,2861.799,2589.490,1966.290,1906.519,1523.048,1285.345,1039.652,1039.203,953.639,807.330,734.540,548.090
 31.1,78.756,0.000,101133.079,70361.927,49450.396,34223.296,26237.353,19763.712,15181.135,11108.366,9538.628,7441.516,6047.153,5013.922,4158.359,3404.174,3043.119,2377.004,1946.077,1829.865,1842.355,1454.254,1221.951,1159.185,1052.005,850.890,734.740
 32.2,37.643,0.000,103374.169,74514.992,52940.986,38947.721,28536.208,21727.495,16906.877,13292.813,10302.747,8802.723,6848.513,5954.224,4874.376,4108.113,3065.554,2953.987,2543.233,2396.441,2096.157,1830.119,1522.637,1430.047,1084.411,1006.886,1023.463
 33.4,34.203,30998.711,109704.363,78100.158,56865.544,41688.296,31497.781,23881.217,18442.338,14755.692,12045.292,9839.449,8114.304,6965.337,5936.870,4954.000,4081.857,3562.247,3059.869,2495.421,2404.330,2008.976,1761.600,1768.856,1266.941,1280.675,1208.179
 34.6,77.064,114217.221,112038.543,80899.217,60205.458,46137.581,35021.534,26662.142,21451.774,16771.151,14088.345,11365.931,9206.788,8020.674,6721.642,5534.251,4787.782,4264.207,3401.777,3243.641,2852.778,2421.608,2320.896,2151.825,1451.310,1503.165,1189.037
 35.9,71.733,216896.229,114145.492,86481.502,64122.708,50159.536,38462.146,29916.176,24084.766,18748.348,16095.220,12918.684,10664.744,9172.780,7565.823,6201.152,5457.154,4855.283,4186.528,3603.938,3161.279,2785.644,2601.784,2167.652,2067.335,1687.316,1586.744
 37.2,85.952,349304.768,119493.608,91749.891,68637.142,53453.735,42851.784,33560.976,26755.683,21120.970,17717.900,15232.133,12030.242,10904.202,9114.005,7875.893,6735.216,5743.734,5167.422,4311.130,3780.264,3396.156,3243.462,2924.339,2393.451,2363.149,1860.084
 38.5,64.687,450900.062,127948.289,97953.176,74536.141,57922.383,45664.072,35993.111,30298.289,24277.147,19391.046,17117.774,13812.016,11752.587,10383.446,8588.916,7562.784,6743.031,6264.519,5028.073,4541.402,4058.053,4039.337,3489.426,2954.517,2428.091,2444.198
 40.0,104.617,490416.513,133812.480,102416.082,79119.911,63625.919,50722.692,40388.683,32713.688,27002.396,22225.020,19879.443,16274.909,14133.722,12390.640,10039.085,9089.044,7966.047,6965.286,6222.060,5053.262,4708.441,4168.588,3932.812,3617.393,3152.533,2842.860
