Start Time,16:09:00,16:12:00,16:15:01,16:18:00,16:21:01,16:24:00,16:27:01,16:30:00,16:33:00,16:36:00,16:39:00,16:42:00,16:45:00,16:48:00,16:51:00,16:54:00,16:57:00,17:00:00,17:03:00,17:06:00,17:09:00,17:12:00,17:15:00,17:18:00,17:21:00,17:24:00,17:27:00,17:30:00,17:33:00,17:36:00,17:39:00,17:42:00,17:45:00,17:48:00,17:51:00,17:54:00,17:57:00,18:00:00,18:03:00,18:06:00,18:09:00,18:12:00,18:15:00,18:18:00,18:21:00,18:24:00,18:27:00,18:30:00,18:33:00,18:36:00,18:39:00,18:42:00,18:45:00,18:48:00,18:51:00,18:54:00,18:57:00,19:00:00,19:03:00,19:06:00,19:09:00,19:12:00,19:15:00,19:18:00,19:21:00,19:24:00,19:27:00,19:30:00,19:33:00,19:36:00,19:39:00,19:42:00,19:45:00,19:48:00
Diameter Midpoint
 22.5,0,0,18664.1,7784.52,4181.85,2119.55,1356.69,988.976,920.237,385.393,441.448,142.091,354.04,255.244,62.8598,161.355,82.7621,64.2442,125.509,51.77,11.263,32.0414,31.966,13.2028,35.9406,33.6663,14.5451,0,0,0,18.2322,15.8058,0,18.7373,17.5171,0,17.914,0,0,0,0,0,0,39.0939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 23.3,0,0,19807.2,8351.78,4304.28,2336.66,1501.78,1064.57,819.969,588.601,364.833,386.02,328.011,155.342,178.405,109.643,9.28414,117.788,140.068,79.6083,86.6232,44.8404,0,41.2759,10.9667,69.992,15.2205,51.4298,16.0369,35.3844,0,33.6681,14.5955,17.4235,0,0,36.442,0,0,0,17.1365,0,17.6821,3.80981,18.8037,0,0,0,0,18.3272,18.6122,0,0,18.7808,0,0,0,0,0,0,0,0,0,0,0,0,19.2366,0,0,0,0,0,0,0
 24.1,0,0,20065.8,8866.34,4451.51,2788.02,1846.14,1111.97,1093.03,647.518,431.057,442.047,456.413,246.635,208.316,240.548,90.6018,77.3644,145.633,155.264,65.4871,18.6336,144.992,1.35996,6.89741,10.1737,40.8589,24.6889,98.6466,45.4932,0,30.7482,0,15.0476,0,0,13.3804,16.298,33.0596,0,17.5289,15.3378,0,12.7983,17.1102,0,0,0,0,0,0,17.2616,0,0,0,18.1933,17.423,0,0,17.2859,0,0,0,0,16.9968,0,18.1865,0,0,0,16.9006,0,18.0035,0
 25.0,0,0,21786,9867.39,5188.83,3922.81,1975.07,1480.59,1436.72,979.506,833.316,415.352,427.98,476.288,241.867,210.444,145.408,186.059,149.801,111.508,60.9677,93.3516,219.609,21.2439,0,69.8853,18.4725,0.264928,51.1507,22.2124,42.3644,20.3116,0,62.3507,0,13.4693,4.44232,64.0668,0,30.4833,15.1868,0,0,32.7172,32.3309,0,0,0,0,0,25.8432,6.74983,16.3354,16.0962,0,0,9.14917,0,0,0,33.2579,0,16.8659,8.521,0,0,0,16.0018,8.72898,0,0,0,0,0
 25.9,0,0,22857.6,11311.5,5559.15,4225.1,2718.5,2184.61,1675.58,1127.98,869.381,550.302,510.965,687.6,404.2,437.288,266.85,206.624,209.081,163.113,118.442,82.22,113.531,95.3382,54.4455,70.9668,91.6016,88.7436,52.9062,58.9856,19.8894,0,8.31584,6.62524,18.0759,0,16.8786,9.55479,28.4641,0,28.6139,0,0,29.4287,12.4571,12.8477,11.9946,15.6089,0,13.5136,35.2382,38.0661,15.1772,0,14.246,14.3164,21.855,0,14.5224,0,0,15.5612,15.157,6.28184,0,0,0,15.697,6.11336,0,0,0,16.266,0
 26.9,0,0,25239.7,12184.7,7035.35,5101.08,2841,2589.97,1950.79,1421.36,1195.61,1042.64,708.322,521.97,430.885,497.729,445.143,361.712,183.519,185.445,54.854,139.408,170.788,170.434,92.8207,22.0052,90.4312,27.7887,59.4714,42.4484,11.6586,92.7949,66.0847,14.9784,38.3845,37.7659,22.2472,22.7477,21.757,24.4622,26.1076,0,25.8378,9.78619,12.6993,42.6783,26.4535,29.2798,12.4069,11.9241,16.3194,0,0,0,0,0,13.7639,0,0,45.603,0,0,0,13.6857,0,14.8849,0,0,0,14.0293,0,0,0,0
 27.9,0,0,26696.8,14340.2,7537.26,5439.01,4459.59,3114.61,2675.17,1805.36,1347.05,1039.05,844.965,748.12,724.494,510.12,508.177,490.796,203.526,149.728,161.774,131.333,274.616,70.5369,153.953,145.102,101.063,164.201,82.9023,51.1965,47.045,97.3436,42.1818,107.416,12.0644,0,0,45.2661,33.4068,36.8677,20.1024,0,20.1738,23.1915,41.244,0,98.054,0,23.8199,0,10.9067,10.4614,24.6378,10.7301,0,12.6702,0,0,0,0,12.291,10.7617,0,28.3564,0,14.6241,0,0,13.5826,27.7032,0,0,13.2923,0
 28.9,0,0,30612,14028.7,9005.31,7072.51,5090.52,3416.58,2684.93,2249.78,1636.74,1317.4,1152.02,940.203,698.991,741.351,652.093,322.107,425.103,322.043,310.907,323.336,206.774,157.71,224.309,122.74,243.69,168.199,163.068,142.719,181.584,62.1584,89.678,47.8803,67.8927,38.2644,36.9002,54.889,54.7639,0,67.5683,1.94997,10.9796,50.3423,20.4434,17.8351,46.9024,5.10218,21.0426,35.6387,22.5096,24.7082,0,0,39.8523,6.17293,10.3055,0,37.2534,0,0,0,25.6583,0,12.002,0,28.1996,0,13.5688,0,0,0,11.47,0
 30.0,0,0,30907.5,18579.3,10569.2,7719.94,5537.15,4286.84,3659.93,2364.74,1755.51,1539.6,1272.24,1468.26,791.296,943.499,932.982,578.648,562.662,716.701,379.18,402.428,253.409,368.303,300.991,250.02,150.189,135.871,121.933,123.4,152.558,98.1236,86.6474,75.6252,170.71,124.421,30.6407,91.2522,95.1755,0,89.5835,38.0884,67.7055,34.2555,33.2715,78.0455,68.1621,17.9139,3.45269,13.8443,17.4899,33.8204,24.5238,48.3422,0,20.1203,3.2367,21.3908,35.1393,23.2623,0,0,10.4081,0,0,13.7275,24.0802,11.0059,0,13.1209,0,0,0,24.667
 31.1,0,0,34017.3,20199.2,11424.3,9245.67,6533.22,4650.3,3622.31,3132.24,2655.39,1897.79,1326.76,1355.52,1142.44,1127.4,750.585,886.608,753.788,649.183,388.264,504.286,370.224,269.677,287.295,371.289,285.133,280.378,155.529,167.339,192.051,89.3511,175.136,95.3855,58.5689,14.9267,80.8416,88.8193,31.1814,41.9581,33.8148,0,81.0907,12.4468,70.0046,97.931,51.7237,27.2757,48.8647,36.522,41.9359,17.9681,40.8417,2.67029,19.8718,1.11434,18.9887,33.8971,0,5.66483,6.51924,19.1598,0,5.43575,7.9396,17.6791,22.1627,10.4378,8.45688,10.6541,11.518,0,0,28.3444
