Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230508.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Date,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23
Start Time,10:13:00,10:16:00,10:19:00,10:22:00,10:25:00,10:28:00,10:31:00,10:34:00,10:37:00,10:40:00,10:43:00,10:46:00,10:49:00,10:52:00,10:55:00,10:58:00,11:01:00,11:04:00,11:07:00,11:10:00,11:13:00,11:16:00,11:19:00,11:22:00,11:25:00,11:28:00,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00
Diameter Midpoint
 26.9,15.67,0,0,0,0,101146,101105,60096.8,41870.6,29263.9,19733,15279.6,9927.15,8502.34,5882.72,4826.36,4151.66,3128.79,2925.82,1967.02,2079.94,1328.61,1319.77,841.699,925.259,959.526,461.761,734.503,349.581,525.404,273.264,243.335,205.76,406.69,379.528,208.909,198.09,121.043,61.9103
 27.9,0,0,0,0,0,148763,99019.8,63789,42531.8,31044.7,22211,14873.9,11267.2,8296.91,6553.72,5690.38,4623.83,3928.78,2985.31,2726.47,2118.48,1846.5,1416.54,1053,1153.12,1014.53,775.571,793.054,539.216,560.929,342.866,502.998,409.265,456.325,259.632,267.839,403.478,256.175,290.655
 28.9,0,0,0,0,0,145028,101910,62887.7,45805,31990.4,24579,16903.7,13366.1,10083.2,7637.84,6801.72,5651.85,4479.18,3337.51,3079.34,2138.21,2370.68,2016.69,1589.37,1369.4,1249.86,1057.03,1164.84,907.399,658.877,723.604,516.031,463.793,527.038,344.997,445.342,460.865,392.661,326.433
 30.0,0,0,0,0,0,104266,100621,64703.3,46453.4,35110,25827.4,19419.7,14562.3,11352.5,9330.91,8288.87,5907.37,4870.82,4975.58,3372.43,3097.43,2668.82,2039.49,1720.79,1761.35,1379.98,1557.07,1213.1,1267.84,889.874,967.553,659.688,888.937,827.407,739.445,534.825,461.383,570.451,563.097
 31.1,0,0,13.0324,0,0,76869.9,102921,69733.7,50391.4,35896.6,27762.2,21341.1,16656.9,12737.1,9761.08,9672.89,7547.52,6838.69,4778.42,4412.5,3854.73,3228.49,2934.98,2539.73,2356.1,2001.85,1800.94,1578.54,1279.43,1208.96,1163.89,1053.1,903.767,1026.13,643.523,552.215,944.389,610.553,837.076
 32.2,0,0,0,0,0,69591,106205,73307.7,53328.7,40390.1,31104,23677.1,18005.5,15453.4,10921.4,11276.5,8136.31,7742.35,6927.61,6122.11,4153.03,4068.55,3463.67,3182.79,2713.31,2679.55,2288.56,1868.74,1933.78,1611.68,1668.09,1256.83,1027,1119.32,830.548,742.77,859.024,759.99,630.597
 33.4,0,0,0,0,0,71667.7,109382,76468,56890.6,42502.9,34018.6,24928.9,20562,16748.5,15605.6,13146.1,11212.9,8616.91,7673.19,6289.62,5885.03,4548.29,4741.51,3724.09,3301.31,3493.21,2911.62,2384.68,2333.66,2150.79,1810.83,1536.97,1277.24,1234.42,1086.85,994.624,1143.85,1030.07,964.237
 34.6,0,0,0,0,0,90379.9,110600,80121.5,58185.2,46871.5,35676.5,28396.5,23243.5,18854.9,17277.9,14647.6,12555.5,10469,9221.6,7988.79,6799.36,5573.98,5249.42,4448.43,4136.75,3942.73,3415.01,3065.22,3034.13,2159.1,2377.67,1988.42,1605.35,1496.76,1475.54,1346.73,1483.76,1333,1113.77
 35.9,0,0,0,0,0,115890,118243,81909,62773.7,49733.5,39125.2,30708.5,26359.6,21629.9,21267.9,16101.5,14573.2,12144.5,10956.4,9161.24,7575.33,7083,5737.33,5068.23,4795.09,4582.48,4310.65,3364.31,3577.16,2854.99,2726.83,2474.09,2183.27,2048.37,1870.45,1406.58,1863.37,1611.22,1507.02
 37.2,0,0,0,0,0,147567,120826,88273.2,65747.2,53068.3,41657.3,35165.6,28090.9,23431.5,23132.1,19217.4,16327.5,13652.6,12925.6,10467.5,8904.15,7686.5,7753.02,6282,5457.58,5899.04,5379.76,4572.55,3552.35,3509.21,3414.64,3228.07,3056.05,2296.55,1983.39,2197.45,2307.15,2082.44,1799.07
 38.5,0,0,0,0,0,170986,126880,91038.2,71883.2,57690.8,46308.5,37013.5,31840.5,27663.7,26124.3,22294.8,19191,15973.2,14572,12302,11120.1,9885.41,8649.82,7444.74,6674.91,7213.96,6134.6,5522.91,5004.05,4533.01,4140.9,3955.58,3606.65,3090.77,2549.96,2525.85,2409.02,2387.82,2286.27
 40.0,9.93823,0,0,0,0,187608,132867,97476.5,76201.2,62878.1,51409.5,41646.3,35140,28960.7,29345.4,24766.4,20823,18971.2,16492.7,15040.9,12949.5,11231.3,9772.66,8670.57,8117.08,7959.62,7444.3,6592.17,5693.69,5710.54,5117.02,4162.9,4115.5,3619,3424.31,3247.14,3725.66,3370.33,2995.05
 41.4,0,0,0,0,0,212262,136288,101824,82251.3,67391.2,55652.9,45587.2,38285.6,33046.1,32685.4,27941.1,24759,21346.8,18727.2,16605.6,15715.8,13258.1,11748.5,9698.38,10335.8,10165,8859.15,7926.5,7160,6541.37,5645.67,5461.85,4777.21,4705.26,3990.4,3582.26,3701.14,3556.17,3444.31
 42.9,0,0,0,0,0,235105,141164,107585,88918.5,71569.4,60715.2,51608.5,43532.6,37267.3,36840.9,31346.8,28333,24105.4,21472,19617.6,17139.2,15820,14002,12040.3,10958.8,11856.4,10130.1,9536.77,7592.52,7526.77,7021.3,6389.78,5728.75,5288.55,4583.61,4865.01,5001.4,4155.55,4343.83
 44.5,0,0,0,0,0,256278,149150,114343,91057.6,78022.6,66587.3,54432.6,47426.8,40826.7,41900.1,36202.6,32058.4,28108.5,24457.9,23522.7,19072.9,18153.1,15516.2,13988.4,12587,13153.7,11925.8,10183.3,10241.1,9271.99,8350.27,7406.43,6756.35,6137.1,5588.12,5197.92,6146.53,5145.99,5210.57
 46.1,0,0,0,0,0,278261,155840,121782,100893,85416.5,71947.9,61381.5,54250.3,45643.3,46948,39884.7,34627.6,32438.6,29426.7,25572.2,22890.1,21490.6,18733.5,15924.4,14515.9,15765,13618,12810.6,11235.2,10888.3,10345.1,8978.23,8472.99,7658.18,6754.63,5814.99,6808.95,6474.04,5856.51
 47.8,0,0,0,0,0,273076,159428,130484,107782,92366.6,76677,67483.6,58399.5,48935.5,53732.9,44422.9,38060.4,34220.9,32757.6,27888.6,26238.4,23469.3,21304.6,18873.8,16872.7,18756.8,16003.2,15411.5,13708.6,12501.6,11873.5,10184.4,9382.06,10080.8,8133.04,7487.68,8435.11,7187.64,7432.87
 49.6,0,0,0,0,0,280182,174186,140630,118075,99227.6,87435.1,76559.3,65037.5,56597.1,59448.4,49791.6,45046.3,40058.4,35755.2,31462.5,30111.8,25957.7,24476.3,20814.1,19722.3,21372.6,18404,17191.3,15505,14464.5,14429.7,12663.2,11524.1,11571.8,9239.82,9137.29,10085.8,9416.38,8136.03
 51.4,0,0,0,7.96194,0,345234,186468,151357,126398,108823,92130.8,79995,71366.7,62681.9,65170.5,56011.5,49436.4,44725.2,41096.4,37749.1,33629.1,29893.5,28521.3,23874.9,21956.9,25667.2,22496.4,20050.5,19069.3,16804.4,15246.7,14867.9,13548,12348.5,10996,10735,11631.7,10342.4,10401.4
 53.3,7.75481,0,7.75589,0,0,370557,196932,164560,138397,116525,99411.8,89613.4,76430.7,69570.6,70492,62223,56290.7,50524.2,44934.3,41759.9,39199.6,34617.7,30661.1,28221.6,26735.4,28386.6,24707.3,22961.4,21559.3,19490.4,17658.9,16811,16117.9,14808.7,12966.4,11967.6,12967.3,12126.2,11824.9
 55.2,0,0,0,0,0,386038,213932,170824,146508,126332,108818,95796.6,84538,73402.6,78793.3,67645.5,62262,56331.5,51924.4,45896.5,42948.9,39487.3,36282.3,32761.3,29880.4,32045.4,27407.1,26270.6,24386.3,22622.1,20602.5,19789.1,17303.3,17778.5,15102.9,14349.5,15751.6,13775.6,12668.1
 57.3,0,0,0,0,0,409178,230575,181837,154326,135029,115848,102600,91916.8,81006.8,86890.3,75137.2,68313.6,61698.8,56353.6,53722.2,48397.2,42445.3,40396,36752.4,33875.7,36266.9,30956.9,29284.9,28002.1,26175.2,23648.6,22865.4,21177.4,19547.9,17606,16574.3,17487.9,16635.5,15915.7
