Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023
Start Time,13:17:00,13:20:00,13:23:00,13:26:00,13:29:00,13:32:00,13:35:00,13:38:00,13:41:00,13:44:00,13:47:00,13:50:00,13:53:00,13:56:00,13:59:00,14:02:00,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00,14:29:00,14:32:00,14:35:00,14:38:00
Sample Temp (C),22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.4,22.4,22.4,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.2,22.2
Sample Pressure (kPa),79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.2,79.3,79.3,79.3,79.3
Relative Humidity (%),6.6,6.6,6.5,6.5,6.5,6.4,6.4,6.4,6.3,6.3,6.3,6.2,6.2,6.2,6.2,6.2,6.2,6.1,6.1,6.1,6.1,6.1,6.0,6.0,6.0,6.0,6.0,6.0
Mean Free Path (m),8.56046e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57494e-008,8.57494e-008,8.57494e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.58207e-008,8.57125e-008,8.57125e-008,8.56756e-008,8.56756e-008
Gas Viscosity (Pa*s),1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 23.3,0.000,0.000,0.000,0.000,55370.064,25729.840,13089.886,6928.367,4228.332,2392.551,1582.897,929.311,625.500,444.391,219.105,282.476,144.657,100.422,78.149,75.239,26.131,74.986,3.973,43.511,20.290,18.484,20.872,25.423
 24.1,0.000,0.000,0.000,0.000,57945.833,27453.250,14655.927,7710.604,4670.142,2928.642,1699.644,1190.211,831.706,505.598,353.552,280.209,160.142,150.161,106.036,110.220,53.832,73.459,28.232,28.594,44.708,22.407,17.402,0.000
 25.0,0.000,0.000,4.778,0.000,61069.131,29695.352,16240.174,8886.303,5663.024,3105.130,2333.091,1281.175,947.035,600.028,502.892,440.391,249.129,227.846,190.753,65.317,90.375,51.061,60.095,41.802,75.134,36.034,68.590,17.923
 25.9,0.000,0.000,9.281,38828.937,61948.626,32083.359,16988.301,10040.291,6067.473,3880.999,2408.281,1626.367,1106.191,871.410,472.519,418.785,291.963,222.848,200.798,168.294,136.831,47.074,108.432,54.695,58.398,28.490,31.609,40.457
 26.9,0.000,4.433,0.000,121493.337,63802.758,32387.165,18906.226,10832.853,6995.554,4670.107,3129.501,2244.106,1600.045,1035.020,836.082,519.982,379.854,269.201,299.029,183.925,192.937,145.145,154.094,73.670,95.266,52.750,56.584,46.298
 27.9,0.000,4.322,0.000,212151.456,65910.398,35499.110,20030.139,12108.913,8143.214,5310.759,3619.863,2333.063,1751.321,1213.684,877.945,624.508,548.170,433.378,280.564,311.290,223.231,172.970,122.166,151.334,133.876,77.194,95.304,53.316
 28.9,12.541,0.000,4.020,316029.106,67041.019,37315.378,21660.670,14001.645,9253.877,6322.768,4211.106,3077.509,2101.237,1452.074,1083.626,832.915,674.737,548.198,435.125,318.372,284.565,199.278,171.306,195.724,137.409,165.331,88.812,89.546
 30.0,7.678,16.042,7.098,407554.463,70634.194,39352.240,24588.336,15432.680,10256.398,6770.894,4768.870,3521.597,2831.609,1776.620,1347.702,1112.628,760.202,702.652,450.354,352.137,333.882,322.474,177.682,213.887,216.921,119.659,126.902,100.469
 31.1,7.479,3.279,0.326,489531.288,70467.788,41257.652,25633.136,16692.230,11224.508,7747.554,5496.328,4021.779,2914.529,1910.988,1638.665,1297.581,1044.465,814.751,670.363,563.095,435.359,355.617,350.772,126.475,221.385,216.639,160.280,121.014
 32.2,11.060,7.372,5.087,610253.818,73099.484,44072.955,27480.757,18468.522,12689.543,8694.488,6350.532,4679.675,3574.685,2854.777,2008.171,1641.720,1285.370,1029.683,848.626,645.206,552.678,501.493,436.279,392.561,240.516,246.590,155.663,246.569
 33.4,3.439,3.517,5.518,727115.723,76686.537,45989.338,30403.702,19826.224,14232.012,9907.233,7059.298,5282.131,4121.157,2870.747,2299.929,1883.650,1653.432,1554.124,1090.036,868.768,738.552,621.976,560.367,402.126,278.047,356.787,252.705,271.429
 34.6,3.325,6.493,6.580,750593.404,80512.927,49584.260,33467.337,22067.420,15237.791,10805.377,7912.014,5787.172,4534.381,3416.686,2979.702,2375.330,1996.184,1563.907,1215.450,1016.581,882.252,733.174,491.421,480.863,445.175,308.152,325.005,220.650
 35.9,13.233,2.868,9.297,685543.981,82274.414,52337.087,34728.676,24524.417,16601.867,12513.271,9330.379,7010.363,5138.648,4540.387,3145.092,2798.606,2311.282,1931.924,1364.012,1330.303,970.555,932.199,745.976,782.662,614.563,441.954,306.137,304.461
 37.2,5.524,15.813,9.779,607217.113,89420.401,56094.374,38263.070,26229.021,19634.605,14068.716,10336.492,8194.286,6350.649,4890.662,4137.939,3283.944,2661.762,2157.437,1933.742,1574.540,1361.123,1096.758,880.711,939.911,664.988,580.937,487.281,419.019
 38.5,5.071,5.081,4.896,489675.901,92206.033,59068.738,41409.877,28235.516,20894.588,15561.949,12383.037,9150.081,7281.788,5864.099,4587.241,3732.870,3213.917,2677.405,2103.042,1834.148,1556.148,1352.037,1226.126,1082.379,860.628,794.832,695.092,457.682
 40.0,17.102,2.052,5.029,378567.673,95911.188,63553.565,44862.970,31521.906,23711.271,17802.316,13370.740,10777.331,8711.052,6811.972,5401.469,4572.838,3896.637,2857.897,2453.671,2227.622,1833.006,1628.370,1250.889,1172.854,1074.160,872.820,854.377,684.255
