Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_HRH_20230412.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23
Start Time,10:55:00,10:58:01,11:01:00,11:04:01,11:07:00,11:10:01,11:13:00,11:16:01,11:19:00,11:22:01,11:25:00,11:28:01,11:31:00,11:34:01,11:37:00,11:40:01,11:43:00,11:46:01,11:49:00,11:52:01,11:55:00,11:58:01,12:01:00,12:04:01,12:07:00
Diameter Midpoint
 32.2,2298.33,2345.24,1209.45,2124.19,2811.29,2412.96,2375.22,1902.34,1190.46,1847.12,1982.9,1618.14,1972.8,1825.6,1621.1,2060.06,2018.52,1067.3,1892.17,1108,1969.65,2642.42,1048.6,1761.12,1557.07
 33.4,1480.07,2012.16,2155.19,901.235,4318.89,2751.9,2969.36,1501.84,1176.05,928.198,1698.11,1303.7,1410.68,3707.86,1510.69,1565.63,2274.24,1318.07,1135.55,2133.65,1916.87,1517.72,1438.39,563.909,794.987
 34.6,1060.75,1018.76,1575.38,1006.79,4092.81,4148.25,2327.45,2129.31,1601.93,2565.44,1422.06,1632.1,2240.8,2447.8,1554,1834.06,1438.5,2209.67,1629.11,1634.83,1475.89,2540.78,1435.28,1165.22,1990.32
 35.9,1084.89,790.086,762.297,25.4145,4639.97,3386.34,1743.23,2208.68,2159.39,1227.36,1171.27,1495.39,1385.67,1180.53,823.377,1651.57,1531.56,1829.2,751.032,1344.39,1242.84,1740.75,1173.58,1617,1912.2
 37.2,371.756,732.389,1400.62,0,5251.72,3535.87,2079.66,1942.19,1240.96,1679.07,1693.83,2056.05,864.039,1737.71,1309.16,1779.81,1502.35,2073.86,1191.36,829.7,1783.71,1600.61,1179.1,1021.59,1151.34
 38.5,1153.28,2019.43,498.63,0,5411.17,3635.74,2412.65,2564.15,2538.19,2164.47,1327.16,2557.25,1290.81,1906.95,1401.79,2014.63,1564.35,1977.87,1112.94,855.279,1267.89,1699.91,1637.77,1951.36,1718.47
 40.0,579.39,823.53,1585.71,0,6302.39,4042.03,2594.78,2747.01,2863.66,2052.04,1037.61,1897.69,1416.62,1492.77,2812.23,2610.21,1973.48,1494.94,1252.37,902.058,1246.76,1729.5,1427.28,973.91,1303.28
 41.4,413.432,1259.28,1316.34,0,6320.05,4781.36,3694.61,2231.58,2944.93,1920.08,1239.52,2465.72,2306.87,1689.8,1689.14,1734.88,1898.18,865.514,909.157,979.805,1551.61,1486.93,982.943,1868.64,1769.73
 42.9,1022.51,1411.66,828.732,0,7025.74,5625.78,2608.19,3616.54,2329.69,2554.3,1959.89,2919.98,1109.14,2217.39,818.37,1562.94,2561.86,838.33,848.31,1033.15,1281.32,2831.41,1322.38,1439.99,1240.4
 44.5,1222.38,986.597,1065.39,2.43702,8422.66,5240.13,3544.31,3428.22,3214.57,2875.86,2308.08,2743.15,1818.94,2014.51,1666.6,2862.57,1209.96,1067.12,1756.84,2482.08,1962.46,1428.66,2223.49,1786.22,1462.37
 46.1,735.554,657.886,799.08,467.482,8079.55,5631.8,4237.56,3897.87,3062.59,2715.11,1629.75,3736.84,1350.02,2849.87,2203.29,2060.61,1775.43,1394.59,859.534,2429.73,1809.65,2270.87,1274.29,2532.08,1093.69
 47.8,1033.39,1131.57,940.905,714.903,9022.75,8056.84,3932.32,3969.14,4153.8,3993.53,2738.35,5118.32,1868.1,2534.87,1448.45,1352.55,1812.38,1160.65,1067.82,1644.39,1229.26,1412.27,1247.91,2158.66,1921.06
 49.6,972.517,790.694,877.739,5679.3,10256.1,7418.18,4851.6,4718.09,4289.84,4195.05,2937.76,4145.54,2403.9,3058.32,2151.36,2526.67,1825.06,2342.9,1719.65,2208.64,1564.84,1466.76,1280.78,2363.03,1777.94
 51.4,602.762,1022.18,931.972,18687.3,11035.8,8147.39,10743.3,4868.53,4879.5,4128.75,5901.42,4452.21,2616.73,3173.41,1956.31,3664.79,2037.29,2010.84,1846.25,2626.8,1875.06,1972.51,2130.85,2632.91,1158.04
 53.3,1393.65,1176.84,771.2,27371.2,11838.2,8579.24,11239.3,5668.43,6282.58,5066.85,6361.28,4396.56,3197.58,3445.1,3063.95,3610.52,2146.85,2096.78,3796.63,2678.3,1673.75,1839.4,1709.74,2521.84,1929.13
 55.2,887.401,632.459,1006.7,32280.8,14152.5,9560.99,13661,6713.17,6113.87,5561.34,8502.79,4969.61,3233.05,4341.5,3295.26,4954.83,2293.92,2254.17,2834.6,3623.04,1866.38,2566.54,1862.7,1860.46,1767.02
 57.3,507.6,873.747,1244.37,32871.2,14738.6,9991.49,13880.1,6801.3,8732.28,6032.1,8248.07,5053.87,3395.8,4992.45,3443.37,4627.32,3775.73,2529.86,3499.61,4009.16,2145.78,2213.05,1994.89,2031.49,1761.76
 59.4,737.381,374.522,478.367,25209.9,15303.8,10358.6,15116.8,8343.83,7396.78,7715.37,8164.43,6372.51,4499.68,5280.29,5984.42,5066.87,4047.48,2811.76,2672.94,4422.34,2899.44,2640.49,1737.74,3044.04,1891.23
 61.5,341.51,417.885,816.327,15755.6,15870.9,11786.3,22251.1,8452.8,8823.91,7469.23,8652.52,6827.5,5299.67,5441.34,6884.43,4460.2,4655.15,3623.74,3886.02,4784.05,2792.8,3072.29,2150.87,2467.54,2195.43
 63.8,466.264,1009.47,954.368,8481.12,17384.1,11419.4,21643.6,10001.8,10242.5,8778.31,9955.75,7479.5,5396.9,6808.44,7211.48,5763.79,6013.62,3877.74,3427.47,5155.68,3842.85,2393.62,3009.65,3055.5,3654.27
 66.1,937.006,493.351,1487.89,4395.42,20020.3,14013.9,21287,11292.1,10725.2,9011.9,10422.6,7726.62,5886.58,7571.24,7759.65,6701.97,5985.49,3902.88,4173.22,5396.87,3449.74,3030.29,3333.72,2883.95,3218.06
 68.5,488.185,402.168,846.937,3583.61,20396.2,14675.9,23775.3,11260.8,11565.3,10753.3,10113.3,7893.24,6867.61,8286.04,8555.02,7230.34,5916.12,4344.26,3228.93,6732.79,3343.26,3890.04,3382.84,3442.29,3939.2
 71.0,606.048,584.808,678.543,2738.45,24522.5,13957.9,23207.4,11253.1,11943.8,11607.9,11927.1,9472.7,7204.9,8620.22,8997.26,7677.03,5826.67,4738.66,5249.36,5668.53,3953.22,2982.06,3233.94,3917.79,2768.23
 73.7,419.584,364.138,312.949,5424.78,23003.5,15679.8,26642.8,12592.1,13889.3,11860.1,10604,9055.68,6754.77,9313.45,8540.04,7176.38,7021.15,4394.95,4425.28,5444.16,4527.43,3127.38,3766.79,3866.35,3474.78
 76.4,721.862,384.322,294.514,10224.4,25033.3,15908.7,28724,15760,13866.1,11943.9,12374.8,9477.09,8163.6,10213.5,8848.05,7240.25,7555.32,4613.23,5933.78,7982.67,4285.18,3067.26,5204.79,5009.87,3605.32
