Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230410.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23
Start Time,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:01,12:13:00,12:16:01,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:01,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:00
Diameter Midpoint
 41.4,0,9.25767,0,0,73869.9,60826.1,35692,23866.9,15604,11552.6,8799.85,6700.86,5163.57,4428.47,2970.57,3037.94,2224.65,2129.73,1732.18,1212.89,1310.75,1227.44,845.412,827.958
 42.9,0,0,0,0,172589,63538.2,39999.1,25224.9,17849.9,13499.5,9718.9,8014.2,5668.84,4275.49,4451.75,3241.96,2647.1,2494.36,2103.94,1767.11,1580.54,1088.64,1223.44,980.488
 44.5,0,0,0,0,247729,67532.8,42571.8,27527.3,19778.6,14713.5,10733.3,8907.39,6794.34,6257.51,4900.63,3658.16,3205.6,3068.94,2553.53,1932.64,1716.69,1521.98,1410.21,1279.35
 46.1,0,0,0,0,317842,70062.2,45534,31572.9,21822.9,17074.9,11852.8,10298.7,8119.02,6387.72,5302.04,4255.08,3747.64,3360.01,2707.29,2487.55,2129.45,2003.66,1747,1252.39
 47.8,0,8.45878,0,0,322962,73494.3,49213.9,32886.7,23739.9,19192.1,12085.6,11661.8,9815.67,8063.27,6519.84,5691.93,4033.75,4309.71,3243.22,2746.13,2688.48,2303.12,1547.83,1722.47
 49.6,1.1963,0,8.22818,8.22987,308457,76045.9,51765.3,36442.1,26854.2,21178.9,16138.9,13867.2,10958.7,8523.35,6590.82,6506.85,5596.99,5053.41,3668.48,3625.16,3343.43,2657.65,2483.64,2170.16
 51.4,6.13859,0,0,0,245631,79206.7,54492.7,39176.4,29282.8,22052.2,17444.2,14421.6,12175.3,10146.5,7634.67,7607.3,6331.88,5244.44,4986.47,4643.09,4045.67,3500.96,2766.15,2825.7
 53.3,0,0,0,7.80466,147118,82764.9,57414,40994.2,30278.3,24769.3,19425.1,16436.9,13606.4,11560.6,9552.01,8440.48,7351.3,6313.19,5716.73,4556.42,4323.66,4033.98,3392.58,3328.31
 55.2,0,0,0,0,80899.5,84645,59765.9,45292.9,34703.3,27262,21330.7,18765.3,16215.9,13126.5,10814.7,9493.83,8229.77,7109.25,5941.83,5673.81,4912.43,4292.08,4193.69,4021.67
 57.3,0,7.41947,0,7.42003,43013.7,87323.2,65222.3,46739.2,35966.8,29498,23829.2,20519,17054,14244.4,12118.6,11163.2,8963.73,8409.84,7095,7155.21,6326.33,5424.82,5333.97,4317.54
 59.4,7.24095,7.24077,0,0,27079.9,89226.4,65487.6,50085,39221,31725.7,25517.5,22044.7,19139.1,17037.3,14133.6,12067.3,10650.9,9739.72,8547.95,7599.22,6923.11,6691.06,5829.84,4960.47
 61.5,7.07052,0,0,0,33766.9,92915.1,68807.8,53229.9,42054.4,34961.7,27817.2,24601.1,20292.2,17535.2,14936.4,14012.6,12419.5,10954.8,9768.07,8793.22,8324.5,7106.07,6233.17,5702.3
 63.8,0,0,6.90708,6.15541,55386.4,94614.5,72073.9,54867.7,44416.8,37831.7,29818.4,26259.2,22724.1,19530.3,17400,16024.3,13261.4,12578.5,11241.5,9940.55,8442.55,7891.57,7123.86,6095.69
 66.1,0,0,6.75174,0,84635.8,93942.6,73282.9,57440,46778.2,39705.8,32997.4,29759.4,25433.5,22356.8,18612.4,17832.2,15084.4,13580,12982.1,11642,10279.9,9212.22,8044.57,7227.62
 68.5,0,0,0,0,112809,100106,75236,62136.1,50462.4,43073.8,36065.1,31530,26823.5,24143.5,22029.2,18721.8,17447.2,15652.9,13887,13548,11836.5,11253,8984.06,8708.31
 71.0,0,0,0,0,124926,96669.1,75136.9,61341.7,50103.6,42577,36905.3,31923.4,27366.3,24528.3,21357.9,19379.7,16604.9,15524.4,13870.6,12730.7,11261.4,11134.1,9966.06,8742.22
 73.7,6.39774,0,0,0,158656,95640,75078.2,60626.9,51518.2,44414.8,37662.3,34245.9,27662.4,25659.4,22446,21854.9,17456.6,15805.6,14284.9,13836.6,11391,12190.3,9918.66,8832.53
 76.4,0,0,0,0,162542,98039.7,75793.8,64163.5,52171.6,45892.3,40268.1,35133.9,29624.6,27126.7,24926.7,21977.9,19379.3,18020.3,16493.5,14888.9,14105.2,11698.7,10683,9784.26
