Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_LRH_20230531_2.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23
Start Time,13:17:00,13:20:00,13:23:00,13:26:00,13:29:00,13:32:00,13:35:00,13:38:00,13:41:00,13:44:00,13:47:00,13:50:00,13:53:00,13:56:00,13:59:00,14:02:00,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00,14:29:00,14:32:00,14:35:00,14:38:00
Diameter Midpoint
 32.2,1559.06,0,10.2077,676224,171478,108908,75283.5,54186,39925.3,29716.2,22768.8,17838.7,13864.5,11542.4,9284.44,6781.53,6535.75,5036.98,4271.03,3881.45,2995.92,2698.32,2309.67,2394.25,1754.91,1718.44,1442.4,1099.3
 33.4,1360.53,31.2719,9.51964,448105,176738,114602,81135.5,59069,43324.7,32579.7,24748.8,20493.8,16746.8,14141.3,10695.8,9123.21,7817.05,6037.32,5249.31,4507.22,3521.73,3690.1,2953.79,2861.41,2215.17,1907.17,1831.06,1799.32
 34.6,1272.85,0,29.7804,294380,188688,123975,88840.3,65899,46772.8,37529.4,28957.5,23656.8,18515.9,15434.7,13239.7,10640.3,8593.44,7570.02,6654.25,5718.97,4715.38,4105.68,3415.34,3582.06,2654.57,1957.38,1942.77,1878.86
 35.9,1366.19,30.1687,19.4987,186363,196984,134255,95525.7,72640.7,53938.9,43329.1,32931.7,26903.3,22132.6,16933.5,14861.1,11868.8,10996.9,8427.55,7722.83,7165.71,5985.28,5025.02,4395.43,3661.25,3564.8,3342.09,2300.72,2626.27
 37.2,636.159,0,0,126327,211472,144363,104432,81272.9,62135.9,47354.8,37542.7,30174.7,25039.8,20823.8,18113,14776.3,12795.1,10256.6,9550.75,7440.6,6689.59,5362.05,5221.73,4809.15,4084.74,3617.32,3557.56,2747.01
 38.5,637.873,0,0,105592,223683,159595,113943,90374.2,67663.6,52746.7,44015.8,34531.8,28788,24359.6,20423.1,17351.4,14925.6,11856.3,11207.6,10218.6,9291.83,7493.44,7069.84,6480.38,5130.09,4540.15,4261.35,3759.76
 40.0,864.641,16.2832,27.105,130263,238426,165211,126770,96907.7,76029.2,59030,46814.8,40423.8,32705.2,28236.5,23401.6,19697.4,17327.9,15604.3,12461.7,11446.3,10195.4,9247.95,7836.09,6871.12,6340.37,5647.82,5034.85,4753.1
 41.4,653.072,24.167,15.6047,150297,254553,178619,136000,108578,82352.7,66997.3,55619.6,45809.3,38494.1,32640.2,26993,23363.7,20621.5,17791.7,15973.7,13629.1,11871.9,9998.5,9044.05,8754.86,8178.21,6829.99,5621.76,5822.26
 42.9,545.681,16.3462,16.4581,165837,271878,190055,149802,119162,93807.6,76500.2,64243.8,51906.7,43490.9,37098.4,32353.1,27344,24331.2,21143.2,18957.2,16288.6,13862.1,12910.9,11482,10248.4,9507.5,9258.82,7903.81,7090.76
 44.5,811.655,7.81631,7.25304,162925,290486,209267,163006,129235,104176,83536.8,71647.5,59658.6,49866.7,43139.6,35895.9,30997,27156.7,25097.3,22327.9,19833.2,17187.7,14847.9,14077.8,12898.3,11386.8,10418.3,8774.38,8631.5
