Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_LRH_20230323.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Date,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23
Start Time,11:00:00,11:03:00,11:06:00,11:09:00,11:12:00,11:15:00,11:18:00,11:21:00,11:24:00,11:27:00,11:30:00,11:33:00,11:36:00,11:39:00,11:42:00,11:45:01,11:48:00,11:51:00,11:54:00,11:57:00,12:00:00,12:03:00,12:06:00,12:09:00,12:12:00,12:15:00,12:18:00,12:21:00,12:24:00,12:27:00,12:30:00,12:33:00,12:36:00,12:39:00,12:42:00,12:45:00,12:48:00,12:51:00,12:54:00,12:57:00,13:00:00
Diameter Midpoint
 27.9,0,44.7822,58821.8,27456.3,14143.8,8107.9,4721.97,2977.14,1654.01,1501.01,1172.99,760.484,467.654,360.81,378.262,276.947,206.859,179.228,59.7514,74.705,117.284,79.3064,49.4354,62.1279,72.4109,29.8766,42.5495,0,14.9304,44.8134,14.9414,44.7912,0,14.9339,14.9413,0,29.88,14.94,44.8173,0,14.9413
 28.9,0,5672.07,61867.9,28056.6,16311.4,9080.08,6015.8,3681.18,2137.72,1897.71,1255.53,977.43,873.496,459.838,506.274,356.285,241.926,214.617,100.169,141.807,49.4383,137.271,81.3615,81.3798,42.9149,63.7359,57.2247,42.9149,14.303,85.8585,28.6261,55.8924,57.2309,28.6122,28.626,35.1054,42.9353,0,28.6219,14.3106,14.313
 30.0,0,58085.6,65829.9,32399.4,18302.5,9944.8,6762.86,4248.6,2899.95,2500.39,1768.45,1332.55,977.806,591.137,538.791,341.443,226.908,227.763,214.181,186.125,116.367,246.192,75.8924,81.6517,81.6495,85.4912,27.2187,108.866,68.0321,13.6126,95.3094,42.0744,13.6108,40.8279,40.8467,21.0417,40.8433,40.8433,27.2274,40.84,54.4622
 31.1,0,110307,69214.8,35131.1,19552.5,12550.5,7502.58,5552.03,3665.1,2842.14,2145.05,1515.49,1361.91,895.839,838.937,558.568,594.543,369.568,395.769,276.026,244.367,178.858,193.274,131.361,91.5059,160.399,143.806,117.65,104.565,78.4577,52.3163,78.4235,52.2983,52.2929,39.237,13.0732,78.4679,26.156,22.0073,65.3848,13.079
 32.2,0,351513,71186.7,37252.9,22035.6,14007.8,9280.95,6302.47,4422.68,3734.48,2850.55,1989.98,1548.55,1424.08,991.983,572.912,647.452,475.801,484.623,404.465,290.389,239.929,196.524,200.55,233.033,173.148,210.824,113.15,138.278,182.798,37.7356,100.566,50.2976,62.8657,62.8924,125.731,122.854,37.7326,66.8731,85.115,62.8924
 33.4,0,905649,76213.1,41628.7,24902.9,15897.9,10126.1,7100.69,5040.53,4320.6,3588.57,2146.52,2198.22,1427.32,1182.26,951.265,762.433,526.543,414.02,314.412,355.276,519.313,260.194,222.185,255.826,205.049,251.033,168.177,164.117,113.726,156.24,142.115,94.0962,96.1077,84.1286,84.0943,50.8613,70.0838,60.0846,84.8864,60.0918
 34.6,0,1.44411e+006,77085.1,44674.2,27512.3,18112.1,10873.3,8660.93,6355.88,5867.43,4116.4,2917.68,2551.26,1606.99,1209.2,1163.8,1087.4,805.946,589.434,435.896,481.392,402.4,459.774,340.238,290.012,337.892,302.105,205.542,187.711,160.719,162.206,106.163,151.066,159.229,115.861,160.685,91.2256,140.972,102.806,48.2863,92.6886
 35.9,0,1.71191e+006,82064.2,47400.9,30524.8,19103.8,14103,10531.8,7288.05,6550.22,5357.94,3875.67,2941.04,2441.82,1644.85,1689.31,1091.87,1167.66,817.949,765.373,683.752,508.448,323.987,340.655,661.229,265.183,213.609,267.897,167.801,222.179,187.525,177.5,177.768,179.147,177.597,198.771,123.485,109.817,178.973,109.81,55.4992
 37.2,0,1.68343e+006,86767.6,52415.7,32674.4,22462.5,15615.3,11235.8,8693.42,7775.06,6490.18,4242.68,3581.22,3052.5,2568.99,1644.62,1560.4,1088.68,1159.01,825.587,556.319,771.624,509.634,577.546,652.533,449.133,406.193,457.39,267.956,375.236,278.787,225.083,266.817,331.115,287.205,183.337,169.232,85.7496,179.947,65.4687,84.6212
 38.5,0,1.33504e+006,87322.3,55678.4,35540.8,24144.1,17792.5,14287.3,9677.77,8839.33,6836.37,5050.72,4578.87,3689.33,2856.33,2365.17,2058.05,1703.35,1282.08,1298.36,1037.12,1084.44,1007.87,824.99,886.457,746.924,614.624,653.505,559.118,435.457,348.472,403.305,370.093,309.698,196.518,397.011,237.699,224.869,187.608,119.348,104.112
