Sample #,1,2,3,4,5,6,7,8,9
Date,9/2/2022,9/2/2022,9/2/2022,9/2/2022,9/2/2022,9/2/2022,9/2/2022,9/2/2022,9/2/2022
Start Time,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:00,15:40:00,15:43:00,15:46:00
Sample Temp (C),24.8,24.9,24.9,24.9,24.9,24.8,25.0,25.0,24.9
Sample Pressure (kPa),81.4,81.4,81.4,81.4,81.3,81.3,81.3,81.3,81.3
Relative Humidity (%),35.0,35.2,35.3,35.4,35.6,35.6,35.6,35.6,35.6
Mean Free Path (m),8.44005e-008,8.44365e-008,8.44365e-008,8.44365e-008,8.45403e-008,8.45043e-008,8.45763e-008,8.45763e-008,8.45403e-008
Gas Viscosity (Pa*s),1.84103e-005,1.84151e-005,1.84151e-005,1.84151e-005,1.84151e-005,1.84103e-005,1.84198e-005,1.84198e-005,1.84151e-005
Diameter Midpoint (nm)
101.8,472.026,407.214,0.000,4138.911,1783.914,958.392,956.837,573.112,670.144
105.5,456.556,378.459,0.000,5129.950,1752.577,1053.041,963.255,510.012,626.361
109.4,393.844,261.938,0.000,5916.916,1591.456,1087.942,940.480,379.155,461.209
113.4,247.378,116.786,0.000,7118.959,1469.537,1230.123,968.972,226.833,342.683
117.6,297.822,105.461,0.000,8466.898,1423.725,1439.503,1054.936,148.337,291.918
121.9,449.849,92.688,0.000,9575.146,1331.263,1505.149,1231.122,275.968,245.174
126.3,483.757,243.971,0.000,11562.778,1679.411,2133.097,1249.897,602.877,421.257
131.0,795.846,468.281,0.000,13287.410,1677.506,2669.930,1759.552,973.473,644.286
135.8,926.305,639.183,0.000,15188.006,1848.632,3324.777,1861.742,1187.525,628.297
140.7,1074.901,707.316,490.388,16514.670,1907.901,4129.814,1894.892,1497.284,611.658
145.9,1568.442,1020.594,1179.832,18419.056,2257.160,4854.289,2512.817,1845.446,932.173
151.2,2226.756,1573.788,1672.364,20112.114,2833.772,5625.480,2767.424,2306.741,1296.906
156.8,2791.391,2338.549,2854.913,21917.560,3515.977,6497.906,3673.244,3190.715,1856.433
162.5,3332.979,2923.289,3950.040,23581.118,4110.671,7939.771,4575.288,4176.705,2593.121
168.5,4160.181,3969.849,5127.879,25421.389,5263.607,9613.683,5431.125,5223.128,3680.282
174.7,5619.956,5165.123,6536.390,27201.085,6435.397,10729.826,6726.585,6607.981,4915.328
181.1,6418.573,6064.758,8282.314,28924.626,7683.277,12365.256,7671.603,7770.787,5889.634
187.7,7262.047,7052.815,9639.636,30794.175,9005.224,14328.750,8702.257,8949.582,6906.246
194.6,8358.123,7731.206,9804.635,32078.617,9960.816,15281.207,9768.863,9493.497,7610.274
201.7,9206.028,8547.540,10906.531,33852.538,11669.541,16886.017,10770.862,10602.294,8457.089
209.1,10842.480,10129.379,12247.793,35916.309,14096.212,18377.560,12462.084,12077.062,10120.924
216.7,12272.500,11397.939,13459.427,38212.605,16213.658,19837.727,14593.980,13550.312,11750.525
224.7,13514.885,12704.561,15635.547,40931.717,18360.890,21750.054,16286.415,15269.927,13197.537
232.9,14504.735,13826.711,17471.344,42779.066,19338.821,23296.488,17821.795,16425.269,14957.694
241.4,15598.664,14907.546,20150.333,44992.996,21036.788,25082.661,19660.324,17591.147,16066.837
250.3,17034.187,15932.906,22189.963,46007.011,22084.035,26400.649,20752.478,18594.849,16982.059
259.5,18251.259,16863.647,24268.070,48287.498,23258.839,27882.391,21935.894,19426.218,18162.913
269.0,19022.960,17593.574,26305.382,49946.253,24015.631,29437.152,22886.896,20540.537,19161.277
278.8,19883.028,18640.484,28035.876,51416.961,24682.738,31314.313,24311.770,21608.706,19860.218
289.0,21092.923,19710.442,29339.090,52813.049,25627.020,32692.467,25442.982,22532.226,21231.441
299.6,21999.701,20557.626,30528.365,53370.972,26315.529,33971.804,26657.792,23401.463,22432.314
310.6,22939.286,21739.428,31923.564,54000.854,27443.367,35300.575,27926.725,24658.223,23598.734
322.0,24194.415,23011.314,33483.878,55030.597,28916.011,36688.121,29269.013,26355.967,25202.911
333.8,24328.751,22992.942,32986.689,53653.638,28751.220,36958.634,29310.494,26536.035,25466.613
346.0,24273.997,23087.433,32907.946,52770.990,28819.860,36829.097,29614.768,26715.364,25619.635
358.7,24272.670,23251.416,32309.455,51574.648,28541.455,36311.096,29466.602,26413.997,25808.843
371.8,24128.105,23097.449,31658.745,49816.685,28258.477,35651.543,29045.956,26254.642,25693.461
385.4,23770.138,22959.651,30707.006,47953.775,27998.868,34738.979,28284.846,25938.618,25461.376
399.5,23058.028,22387.508,28942.933,45486.064,27044.202,33384.157,27671.390,25424.930,25040.920
414.2,22402.971,21626.485,27291.467,43049.514,26124.163,31968.229,26806.646,24809.222,24632.252
429.4,22426.353,21913.059,26612.055,41801.848,26311.659,31695.753,27444.140,25572.183,25147.385
445.1,21363.980,20885.867,24567.386,38612.776,24756.462,29676.757,26077.385,24456.345,24107.548
461.4,19655.160,19584.786,22353.136,35103.203,22935.322,27310.321,24347.450,22861.121,22797.159
478.3,18103.870,18071.152,20384.441,31257.782,21124.722,24934.765,22602.632,21213.837,21166.061
495.8,16304.582,16356.176,18344.680,27350.498,19159.290,22695.263,20669.751,19487.315,19457.198
514.0,14713.973,14861.279,16480.585,23986.853,17322.459,20522.234,18761.122,17760.488,17704.948
532.8,13105.131,13245.730,14705.766,21007.745,15604.758,18293.823,16926.269,16038.630,15998.164
552.3,11574.834,11788.401,12894.653,18246.013,13838.174,16083.252,15099.431,14499.646,14449.323
572.5,10050.757,10310.103,11215.816,15786.543,12216.854,14038.741,13288.676,12794.897,12932.893
593.5,8587.032,8823.516,9543.735,13356.464,10519.888,12048.047,11650.464,11124.167,11241.371
615.3,7253.584,7472.013,8067.713,11215.121,9061.645,10320.030,10059.744,9645.318,9726.276
637.8,6073.668,6279.256,6757.927,9155.171,7628.947,8638.499,8599.628,8246.397,8328.359
661.2,4933.173,5079.924,5520.813,7524.564,6328.235,7093.596,7156.002,6962.841,6961.942
685.4,3992.475,4154.244,4474.154,6127.288,5169.644,5774.629,5949.144,5795.526,5699.596
710.5,3150.304,3256.893,3524.076,4890.105,4138.282,4560.619,4751.196,4635.062,4549.255
736.5,2433.803,2535.488,2753.057,3839.969,3309.245,3590.088,3769.126,3723.277,3600.318
Scan Time (s),155,155,155,155,155,155,155,155,155
Retrace Time (s),4,4,4,4,4,4,4,4,4
Scan Resolution (Hz),50,50,50,50,50,50,50,50,50
Scans Per Sample,1,1,1,1,1,1,1,1,1
Sheath Flow (L/min),3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Aerosol Flow (L/min),0.929,0.928,0.928,0.930,0.932,0.935,0.937,0.940,0.943
Bypass Flow (L/min),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
