Sample File,C:\Users\VanceLab\Desktop\CASA_InLabTests\DecayWithRH\SMPS_20221003_FreshSmoke_Wet.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
495.8,102.261,54.277,39.129,51.844,16.071,31.454,17.142,31.399,40.033,22.896,27.622,11.469,27.683,14.349,11.500,22.008,37.441,17.312,7.712,17.313,31.798,17.392,23.252,14.519,26.538,32.444,10.408,17.440,20.328,19.129,25.788,14.328,22.924,8.597,33.669,14.364,11.481,5.746,16.092,8.642,13.567,32.594,6.044,27.199,15.107,9.073,21.983,15581.257,9812.471,4979.883,13031.846,17830.567,22662.663,19976.277,23576.876,31049.595,36259.496,17857.872,46393.408,32665.791,49767.017,26062.299,12098.177,11618.417,16681.028,13013.388,17299.961,10463.486,24716.329,22075.008,23237.770
514.0,47.114,24.565,17.676,32.264,36.097,26.208,8.728,18.833,37.856,34.976,23.338,17.519,26.446,29.225,23.532,15.683,11.732,25.089,24.498,17.779,14.720,8.855,14.800,8.872,20.701,8.880,5.921,29.601,20.702,23.659,14.590,11.673,11.673,8.755,5.842,17.554,5.846,5.851,15.822,8.800,23.472,17.148,18.465,6.155,24.615,21.087,18.482,19668.865,5016.883,15141.034,18492.389,11062.615,16647.137,20918.655,26930.509,30810.944,25055.527,23512.943,19926.513,13925.485,15668.148,17878.954,27506.945,15393.317,38287.665,21666.849,15067.425,25490.226,18716.303,15872.832,17240.284
532.8,71.996,52.635,54.022,23.905,29.693,32.612,26.676,16.349,8.900,20.777,8.916,14.873,23.948,8.932,11.819,17.912,14.940,16.348,14.981,14.817,8.997,3.008,9.046,18.076,24.102,12.214,12.063,21.109,15.064,12.051,2.973,11.891,5.946,23.783,5.951,11.922,11.911,14.902,2.983,5.977,11.956,7.123,6.270,7.094,15.673,6.756,6.276,13625.056,6739.998,18387.761,11800.290,18130.252,20322.948,22149.192,21122.214,35295.851,20344.661,13431.427,16225.826,23820.010,26936.264,13094.343,14740.937,13449.927,18856.882,12842.257,40714.497,18514.931,17396.614,17823.339,22326.828
552.3,61.518,28.398,27.528,27.907,9.078,24.209,27.186,15.090,12.094,18.165,9.087,27.284,21.356,12.137,24.318,18.255,18.770,30.507,18.321,0.000,6.113,9.751,9.220,15.352,6.140,12.139,9.220,12.293,12.282,6.141,6.059,9.089,0.000,12.119,15.163,6.075,15.532,9.112,6.080,9.137,6.092,6.266,9.585,21.527,0.000,9.593,15.990,10896.436,14506.360,13397.340,17874.929,32791.375,29065.711,19302.634,13689.036,37029.855,18488.073,29624.790,37235.623,26836.872,52878.075,22226.163,46322.200,22256.250,30261.272,15202.692,31571.651,14863.851,18211.934,21046.856,13148.774
572.5,77.544,19.303,18.711,15.015,3.085,12.330,12.319,15.385,27.743,15.427,6.176,9.273,6.221,15.468,12.397,3.102,11.910,15.552,15.566,9.332,3.116,5.682,3.133,6.261,3.130,15.667,0.000,3.134,9.392,3.131,9.267,11.970,3.089,3.089,3.092,6.194,2.728,6.194,0.000,0.000,6.211,3.194,6.515,6.515,9.771,6.520,3.710,6023.569,8374.354,16895.672,8914.232,19603.553,15693.362,12804.243,45758.603,27029.580,29530.260,44434.238,20619.659,18101.551,17119.064,17909.513,16654.560,39295.946,23840.879,14069.864,17667.249,25337.158,12266.004,29772.798,21507.861
593.5,41.051,26.073,22.115,15.728,18.754,6.246,9.360,12.469,24.983,18.754,25.028,18.788,18.907,9.402,12.559,13.760,7.491,0.000,7.539,9.454,4.377,0.000,12.697,19.029,20.301,15.872,6.349,3.174,6.344,12.686,6.259,13.922,6.259,6.259,6.265,18.825,9.404,0.000,12.561,7.428,15.732,9.708,3.300,3.300,6.599,3.303,9.455,10313.963,8309.749,14438.213,11561.522,31320.287,24776.951,42665.345,16482.090,17009.270,32795.161,20908.557,22241.061,31705.503,17007.997,44496.957,13541.131,23131.006,22521.686,17001.816,37296.824,17245.890,18142.138,21717.646,42306.427
615.3,41.884,29.927,22.563,28.883,12.756,6.372,4.657,12.722,38.234,4.680,19.151,9.584,6.430,15.988,7.944,18.023,14.821,0.000,5.179,9.646,5.197,3.230,3.238,6.471,1.937,6.477,6.478,6.477,6.471,9.707,9.578,14.931,9.579,3.193,3.196,3.201,0.000,3.201,9.611,11.680,9.630,6.603,0.000,3.367,0.000,6.739,16.850,14546.312,7102.660,14551.073,27544.266,23429.248,31316.334,28739.185,16765.618,16368.110,22841.899,14568.626,29985.441,19477.092,27068.416,16647.804,22478.745,24404.082,23602.226,10045.510,18495.004,20673.201,24202.160,16763.875,28255.187
637.8,49.328,37.335,9.870,9.827,19.530,19.513,8.244,6.493,3.252,14.754,13.033,13.044,6.563,6.528,18.050,9.818,13.102,6.563,9.854,9.845,3.288,0.000,13.223,3.303,0.000,3.306,16.529,16.529,9.909,0.000,19.553,9.777,0.000,6.518,0.000,9.802,3.264,3.267,6.540,3.276,6.553,6.740,6.874,10.311,10.309,6.879,10.320,32314.469,13240.822,10854.467,10872.237,34282.680,22480.951,14296.916,17959.566,10557.686,26614.610,25034.422,14597.857,41072.537,31233.386,8593.587,32120.346,47718.775,14981.023,34122.905,11284.557,21867.385,17421.913,21642.082,15307.637
661.2,35.740,24.088,20.015,19.927,16.502,9.892,3.295,16.457,18.857,19.802,13.213,6.613,13.309,13.237,0.000,0.000,13.285,13.309,9.990,9.982,3.334,0.000,6.703,10.046,0.000,0.000,6.704,3.352,3.349,0.000,13.217,6.609,6.609,6.609,3.307,3.313,9.929,3.313,9.947,6.643,9.967,10.250,0.000,13.938,6.967,6.974,3.488,20133.501,24665.425,3936.225,48478.495,22723.605,17040.736,25349.693,16366.439,30950.755,24996.418,15909.357,16868.332,24780.327,11418.813,24588.907,11697.578,25117.307,26383.806,18372.992,8599.419,16385.721,18437.206,18583.966,33834.189
685.4,38.422,14.061,26.931,13.571,16.857,13.473,16.827,13.449,11.052,9.731,10.123,10.132,10.196,3.380,3.387,6.779,6.785,10.196,6.804,13.596,10.215,0.000,0.000,17.103,9.920,3.424,10.271,13.695,3.421,0.000,0.000,6.751,3.375,10.126,0.000,3.384,13.524,6.768,0.000,0.000,10.181,0.000,0.000,0.000,10.677,3.562,0.000,26607.369,6962.209,6454.370,15151.195,16205.549,11682.697,16212.173,26839.226,24623.351,18475.482,13855.390,10352.952,14958.136,18142.907,27018.656,17133.471,24701.955,53792.864,15895.134,16258.586,26698.035,38712.965,17764.597,14265.911
710.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6243.429,12209.342,7400.336,9355.423,16393.927,33167.468,23173.277,10996.451,34483.674,14011.474,22535.926,21082.963,43786.304,22638.398,18830.789,39532.180,30038.839,18620.471,23467.972,20058.560,24006.260,23233.539,28084.036
736.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Scan Time (s),155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
Retrace Time (s),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Scan Resolution (Hz),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sheath Flow (L/min),3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Aerosol Flow (L/min),1.12,1.09,1.12,1.13,1.13,1.14,1.14,1.14,1.14,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.12,1.13,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.10,1.08,1.08,1.08,1.07,1.07,1.07,1.04,1.07,1.07,1.07,1.07,1.07,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Bypass Flow (L/min),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Low Voltage (V),10.28,10.36,10.33,10.33,10.33,10.34,10.34,10.34,10.34,10.34,10.34,10.34,10.34,10.33,10.34,10.34,10.34,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.32,10.32,10.32,10.32,10.32,10.33,10.33,10.33,10.33,10.33,10.32,10.34,10.33,10.32,10.34,10.34,10.32,10.32,10.35,10.32,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.35,10.33,10.33,10.35,10.35,10.35,10.35,10.35,10.36,10.36,10.36,10.36,10.36
High Voltage (V),9673.61,9656.84,9665.41,9652.43,9650.89,9648.73,9648.43,9648.12,9647.81,9648.43,9648.73,9649.04,9649.35,9651.51,9649.66,9650.27,9650.58,9650.89,9651.51,9653.51,9653.20,9653.82,9654.75,9655.68,9655.37,9657.06,9657.37,9657.37,9657.37,9657.06,9654.69,9651.74,9651.74,9651.74,9651.74,9654.42,9655.04,9654.73,9655.04,9655.35,9653.59,9658.33,9667.98,9674.61,9675.27,9675.27,9673.23,9673.23,9677.95,9686.81,9678.14,9677.82,9677.82,9679.52,9678.14,9678.46,9678.78,9680.47,9681.45,9679.09,9678.78,9681.77,9681.13,9681.45,9681.45,9681.45,9683.80,9683.48,9683.80,9683.48,9683.80
Lower Size (nm), 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4
Upper Size (nm),749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9
Density (g/cm³),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
td + 0.5 (s),1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53
tf (s),6.02,6.07,6.02,6.01,6.00,6.00,6.00,6.00,6.00,6.00,6.01,6.01,6.02,6.01,6.01,6.01,6.01,6.02,6.02,6.02,6.02,6.02,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.06,6.09,6.09,6.09,6.09,6.09,6.09,6.14,6.10,6.10,6.10,6.10,6.10,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11
D50 (nm),678.4,691.0,679.0,677.2,674.8,674.5,674.2,673.8,674.5,674.8,675.2,675.5,677.9,675.9,676.5,676.9,677.2,677.9,678.2,678.0,678.6,679.7,680.7,680.4,680.4,680.8,680.8,680.8,680.4,680.4,675.2,675.3,675.3,675.3,675.6,676.4,676.0,676.4,676.7,677.4,677.3,688.3,695.8,695.8,695.9,696.2,696.1,696.1,709.5,699.2,698.8,698.8,698.8,699.2,699.6,699.9,699.9,700.4,700.4,699.9,700.7,700.0,700.4,700.4,700.4,700.4,700.1,700.5,700.1,700.5,700.9
Neutralizer Status,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON
Median (nm),72.846,88.647,95.253,99.829,103.641,106.497,108.243,110.440,111.700,113.354,114.337,115.219,114.778,115.916,114.374,114.706,114.819,113.808,112.248,110.665,108.569,107.215,103.686,100.435,98.095,92.357,87.732,78.219,71.829,66.076,62.292,61.186,58.253,57.407,55.642,53.727,52.869,51.846,50.118,48.847,47.837,47.404,47.014,46.565,45.810,45.732,45.230,47.010,42.879,40.636,43.960,41.300,41.974,40.533,41.736,38.681,41.174,39.518,40.909,41.911,39.924,39.612,40.844,39.370,39.549,40.265,39.411,39.338,38.946,37.530,38.787
Mean (nm),81.200,93.193,98.223,102.562,106.366,108.927,110.401,112.555,113.172,114.653,115.415,115.754,114.920,115.911,113.476,113.522,113.776,112.769,111.153,109.759,108.707,107.517,105.439,103.292,102.474,100.194,98.671,95.743,93.668,91.171,89.318,88.481,86.488,85.728,84.115,82.112,81.113,79.761,77.429,75.486,73.734,72.590,71.486,70.215,68.953,68.309,67.070,83.046,73.009,73.989,82.977,77.749,78.536,79.517,79.292,75.275,80.326,74.628,76.514,81.404,79.264,73.412,73.532,75.177,75.157,70.424,70.778,70.577,71.105,68.366,70.378
Geo. Mean (nm),71.948,80.503,86.307,91.334,95.372,97.618,98.361,100.530,100.020,101.114,101.215,100.539,98.459,99.155,94.620,94.332,94.034,92.376,89.934,87.737,86.026,84.699,82.248,79.669,78.741,76.275,74.763,71.906,69.901,67.666,66.120,65.360,63.526,63.221,61.894,60.352,59.602,58.570,56.986,55.576,54.317,53.677,52.991,52.361,51.371,51.097,50.390,54.586,48.766,48.985,51.977,48.185,49.166,48.339,49.252,45.761,48.493,46.456,47.418,49.008,47.319,45.788,46.623,45.883,46.007,45.725,45.099,44.989,44.784,43.080,44.458
Mode (nm),41.418,117.574,113.419,117.574,117.574,126.346,126.346,126.346,126.346,126.346,130.975,135.773,135.773,135.773,140.746,140.746,140.746,140.746,140.746,151.247,140.746,145.902,151.247,145.902,145.902,151.247,151.247,151.247,151.247,156.788,151.247,156.788,156.788,156.788,38.542,39.954,41.418,41.418,41.418,39.954,42.935,41.418,42.935,39.954,38.542,42.935,41.418,35.866,16.253,37.180,15.679,15.679,16.849,15.679,28.903,16.253,15.679,19.456,18.106,16.849,19.456,16.849,15.679,16.253,16.849,20.169,18.106,25.946,16.849,16.849,16.849
Geo. Std. Dev.,1.645,1.789,1.727,1.675,1.649,1.654,1.683,1.673,1.722,1.730,1.757,1.800,1.853,1.859,1.958,1.965,1.988,2.014,2.052,2.091,2.113,2.129,2.152,2.181,2.187,2.205,2.211,2.224,2.232,2.235,2.230,2.233,2.240,2.221,2.217,2.211,2.205,2.199,2.178,2.168,2.158,2.142,2.130,2.106,2.106,2.092,2.074,2.297,2.276,2.267,2.387,2.377,2.363,2.402,2.358,2.386,2.410,2.341,2.350,2.407,2.409,2.318,2.301,2.342,2.329,2.233,2.265,2.254,2.276,2.279,2.263
Total Conc. (#/cm³),1.648051e+006,4.900695e+005,3.864382e+005,3.414180e+005,3.056874e+005,2.749762e+005,2.504813e+005,2.280547e+005,2.129456e+005,1.956605e+005,1.838720e+005,1.719573e+005,1.631659e+005,1.519213e+005,1.488300e+005,1.406741e+005,1.328157e+005,1.278446e+005,1.243625e+005,1.203868e+005,1.171096e+005,1.112222e+005,1.105190e+005,1.085390e+005,1.060600e+005,1.048191e+005,1.024916e+005,1.032761e+005,1.024277e+005,1.024863e+005,1.001565e+005,9.802276e+004,9.804563e+004,9.605995e+004,9.558836e+004,9.557011e+004,9.384460e+004,9.386576e+004,9.544040e+004,9.659618e+004,9.747958e+004,1.003741e+005,1.023006e+005,1.027775e+005,1.024010e+005,1.022998e+005,1.033153e+005,1.090037e+005,1.276635e+005,1.275694e+005,1.219294e+005,1.331924e+005,1.306985e+005,1.339176e+005,1.322679e+005,1.408823e+005,1.348670e+005,1.362083e+005,1.365615e+005,1.320855e+005,1.405926e+005,1.400267e+005,1.364173e+005,1.415365e+005,1.404002e+005,1.374066e+005,1.433064e+005,1.382386e+005,1.384135e+005,1.452651e+005,1.417309e+005
Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab
Sample ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leak Test and Leakage Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Errors,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Sheath flow error,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
