Sample File,C:\Users\VanceLab\Desktop\CASA_InLabTests\DecayWithRH\SMPS_20221003_FreshSmoke_Wet.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
 16.8,124125.626,94921.739,51374.100,26277.903,19597.056,16540.496,21868.326,17421.992,22447.642,19986.268,24426.364,28053.826,30151.921,28696.565,42619.570,31010.089,41482.504,34936.507,38728.469,43072.201,42313.363,43778.322,45767.685,47186.787,46700.837,48263.594,49077.882,55846.438,57394.000,58453.982,57583.703,57719.352,64877.575,59100.279,59581.943,65178.345,64444.579,63444.710,65817.164,70295.725,73191.968,75161.134,78235.119,76423.199,83592.199,81993.353,82352.862,84532.244,160970.723,116676.269,125513.403,118254.626,239318.036,206963.952,176332.113,200881.555,127994.377,224812.063,132305.664,220812.452,212721.185,276431.227,182438.013,217951.651,226029.563,138800.674,173772.910,161168.066,251532.486,382796.584,319569.616
 17.5,126531.400,98714.748,53118.878,27829.669,21265.730,18288.394,22837.835,17737.579,22269.254,21785.196,26594.507,28413.721,32341.562,29194.032,42500.092,35033.908,41403.176,35529.358,39784.557,44006.342,43427.382,44640.134,44893.998,48055.706,48149.414,50255.618,52279.683,54755.458,56081.230,60486.934,59114.997,59562.073,67148.829,60439.797,61371.804,66069.058,66015.577,64655.309,63988.010,70768.338,74855.414,77180.155,79787.708,77879.461,84662.904,82317.659,83110.410,82475.255,159540.657,128293.342,119928.867,143119.037,204333.170,140766.029,171306.759,163094.750,200186.859,216164.094,166770.079,170676.150,194170.826,262133.079,123674.418,206520.294,186522.805,135571.901,196874.522,149427.667,183598.529,186416.587,163874.077
 18.1,125735.094,106078.299,57542.076,30922.632,22076.524,20337.557,24502.838,19626.521,23606.450,22229.017,26218.118,30933.792,33699.834,29470.688,44443.093,37989.258,42495.489,37969.324,40104.207,45307.797,44489.785,44707.243,47522.890,49985.764,49819.809,51684.244,52532.829,57813.258,58024.575,61242.001,59888.717,63180.047,65861.111,62341.903,63316.203,67741.947,63394.090,66933.921,67476.172,72685.336,77017.381,77776.325,83328.198,79348.283,84533.528,84407.732,83992.131,88442.397,179970.515,142506.325,132478.719,247943.690,110371.699,199122.550,167226.948,188748.276,232793.664,173455.205,215661.187,174174.497,149298.250,175232.877,184057.253,172972.464,149050.579,177934.715,251611.009,151891.898,141765.884,209361.381,168316.375
 18.8,129463.352,116296.016,60128.249,33824.068,23988.037,21642.298,24997.161,21254.950,27296.266,25301.973,27620.349,32849.268,35677.221,31250.737,44292.878,41952.351,42918.157,40989.249,43723.512,47649.076,45757.339,47414.786,48148.450,51904.002,49978.304,54587.320,53221.554,58775.878,61187.115,61773.373,63034.406,65645.385,68805.357,64518.896,66123.183,68444.647,65261.732,68587.408,68014.892,75578.285,79671.933,80765.680,84266.101,80342.106,86976.992,85829.089,87960.871,90623.357,154319.191,102717.315,109143.982,123284.945,156106.862,200780.913,136695.566,204828.950,203379.703,153475.086,188647.958,167388.637,218595.986,199083.362,155090.475,175281.128,206199.372,155129.064,175706.358,155803.172,204957.668,208324.413,184895.419
 19.5,131318.302,124825.146,60851.139,36024.275,26809.984,23628.293,27184.250,21845.823,27073.937,25378.897,28234.519,33999.619,37079.001,32778.843,45527.996,44710.676,42925.544,42419.583,44632.172,50392.753,46695.017,46378.251,48397.418,53040.295,51834.397,54810.241,55074.010,59212.828,62201.359,64819.045,65939.283,65031.907,68864.211,65611.103,66880.195,69401.126,68753.864,69214.323,71660.480,77061.361,79274.832,82912.043,87025.945,85663.067,89567.559,87648.877,90247.521,90633.124,125173.963,136455.278,121118.713,124753.277,130802.650,182874.322,168497.064,211404.241,154154.916,277291.037,185521.005,135738.280,227233.430,181296.831,179885.869,173549.031,153697.829,191983.013,209320.027,162744.134,183969.542,219918.329,186880.560
 20.2,133944.679,130783.480,64041.856,38942.395,28382.487,26343.322,27552.685,23520.627,30028.535,25832.980,29288.666,34327.289,39162.589,33820.004,46278.668,47393.241,44526.472,44691.758,46611.304,50774.756,49303.224,47947.205,50442.277,55597.640,55038.411,58334.052,57961.987,60604.529,64340.241,66820.704,67147.598,66925.654,70201.560,66882.283,68057.832,68962.610,69610.295,73640.029,72892.027,81201.759,82765.812,85875.396,88605.690,85502.636,92397.433,88870.264,91363.467,93933.436,129898.334,122509.116,157343.164,123077.775,210013.971,178541.992,129187.564,217001.643,143421.979,170085.022,152887.555,191152.992,188438.519,159874.244,159238.631,229757.175,200505.642,207600.878,137996.058,203591.166,206328.422,187688.205,166336.591
 20.9,138659.027,135522.816,65269.232,41511.120,29452.624,28343.834,29397.323,24717.194,31616.693,27020.829,30142.413,34306.111,38906.135,34720.919,46915.590,47586.952,44286.649,46430.152,46888.827,50780.587,52378.104,48698.608,50830.768,57282.933,56727.981,58282.798,57467.839,62547.716,65370.018,67278.197,68078.184,69276.569,70606.651,66956.241,69821.299,72085.360,71020.197,73862.959,75288.852,81660.531,84628.808,84484.008,91890.653,86756.992,92990.898,90048.921,94329.776,97917.550,174128.491,121387.828,97022.736,98836.122,144615.639,120147.770,134421.044,162223.440,102695.477,163156.211,133033.632,119058.313,161999.044,146265.944,165456.974,196023.158,206038.131,141588.785,197447.281,203850.583,161819.253,157496.687,161761.849
 21.7,140131.039,143806.032,69607.804,44197.550,31483.066,29403.804,31631.041,25623.268,33000.358,28725.625,31213.468,36106.716,40217.591,36871.530,48633.472,49445.955,43738.430,48116.760,49208.741,51904.453,51541.973,49595.557,52737.550,59693.334,58202.088,59514.808,59014.550,63169.328,65458.225,71193.923,69275.331,69365.892,71862.509,70506.813,72218.520,72607.611,72661.822,77360.739,79266.047,82117.145,88246.346,87522.353,90632.422,89187.102,95321.615,94775.870,95835.215,97271.937,135129.818,152248.786,105653.770,139101.840,138201.645,168966.354,168641.592,179211.040,153514.951,191011.738,162340.603,131568.809,145444.710,136025.500,136760.865,190663.503,153573.266,180939.133,204185.669,166400.511,167879.391,182020.896,209037.918
 22.5,141763.046,148323.593,73846.488,48044.875,33668.732,32466.846,33001.693,28009.927,35503.288,30495.049,32945.659,36515.666,41784.931,38637.238,50471.489,49970.567,42681.175,50517.316,50490.772,52877.704,53122.089,51415.195,55314.987,61859.453,59727.320,61828.595,60217.849,65028.201,67001.790,73934.472,73816.888,72666.823,74826.994,72441.218,76193.257,74574.010,74107.292,79715.411,82796.956,85502.435,90291.055,90274.954,93526.748,93160.196,97650.118,95662.180,98401.054,92105.718,120156.314,128744.846,159621.231,188628.737,140605.132,131033.649,134133.106,180300.800,157572.771,136447.630,199534.560,137407.556,173543.512,145691.032,152063.457,157141.869,178288.262,148352.366,156355.397,166329.914,160390.316,174476.929,166116.288
 23.3,144063.699,153574.908,77767.847,52756.736,36566.955,34462.998,34744.667,29412.237,38034.122,31643.577,32771.510,37914.676,43340.637,40035.240,51745.049,50869.395,42847.258,52290.448,51122.342,54494.014,55847.079,53831.038,56804.754,61924.203,61990.533,64787.427,62604.606,67452.602,70360.441,74611.225,74674.157,74284.549,76439.148,73989.998,78628.398,77199.252,75942.105,82580.705,85375.593,86199.493,92160.522,92995.043,94242.328,98319.050,100209.183,97463.101,101144.719,102679.166,126359.522,135743.621,127260.717,124932.902,138077.537,143373.200,155904.867,177728.554,137205.444,182287.003,156610.013,139883.099,167141.849,169920.089,158375.807,133764.414,149251.561,177700.739,144619.707,150391.413,149134.977,167186.380,194936.186
