Sample File,C:\Users\VanceLab\Desktop\CASA_InLabTests\Wall_Losses\SMPS_20221118_Wall_Loss_Dry.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
572.5,1.078,2.958,4.382,3.596,3.430,2.597,2.352,2.506,4.799,3.413,4.031,2.344,2.802,2.684,2.625,1.895,2.791,1.874,1.990,1.730,2.404,1.627,1.661,1.276,1.106,1.309,1.055,0.815,0.592,1.171,0.688,0.792,0.818,0.724,0.636,0.493,0.433,0.617,0.815,0.574,0.262,0.769,0.564,0.330,1.048,0.585,0.773,0.718,0.526,0.740,0.646,0.734,0.774,0.388,0.993,0.471,0.646,1.158,0.460,0.554,1.069,1.163,1.020,0.719,1.169,0.626,1.147,1.226,1.459,1.630,1.258,1.681,1.468,1.296,1.527,1.679
593.5,1.410,2.979,2.825,3.706,1.999,2.699,2.108,1.880,4.134,2.608,2.493,2.305,1.990,1.626,2.659,2.250,2.104,2.226,1.561,1.721,1.539,1.464,1.039,0.539,0.821,1.268,0.619,0.990,0.436,0.596,0.378,0.267,0.284,0.573,0.278,0.499,0.536,0.481,0.632,0.824,0.289,0.466,0.748,0.654,0.357,0.467,0.415,0.681,0.535,0.485,0.625,0.656,0.262,0.349,0.306,0.391,0.567,0.435,0.662,0.475,0.650,0.567,0.534,0.386,1.042,0.682,0.510,0.889,1.084,1.037,0.920,0.912,0.787,0.871,0.656,0.748
615.3,1.487,2.759,2.719,2.740,2.253,1.598,1.804,2.011,2.793,1.403,1.443,1.986,1.984,2.524,1.424,1.832,0.939,2.004,1.393,0.984,1.129,1.429,0.811,0.672,0.744,0.588,0.421,0.393,0.778,0.303,0.661,0.327,0.695,0.266,0.261,0.356,0.348,0.441,0.595,0.396,0.443,0.342,0.403,0.355,0.400,0.620,0.188,0.695,0.273,0.360,0.365,0.268,0.534,0.223,0.268,0.354,0.401,0.177,0.398,0.484,0.309,0.445,0.598,0.237,0.340,0.340,0.304,0.389,0.670,0.373,0.805,0.436,0.625,0.444,0.481,0.731
637.8,1.226,2.249,2.663,2.008,1.422,1.560,1.660,1.982,2.613,2.039,2.105,1.445,1.117,1.353,1.746,1.246,1.712,0.914,0.813,1.072,1.481,0.723,0.517,0.436,0.594,0.841,0.744,0.630,0.624,0.481,0.731,0.390,0.714,0.163,0.160,0.156,0.305,0.250,0.557,0.253,0.151,0.199,0.248,0.199,0.439,0.222,0.192,0.189,0.279,0.092,0.476,0.228,0.182,0.091,0.182,0.226,0.318,0.362,0.181,0.270,0.226,0.182,0.342,0.000,0.000,0.000,0.000,0.000,0.000,0.835,0.456,0.000,0.501,0.227,0.000,0.000
661.2,0.991,1.712,1.661,1.928,0.865,1.294,1.654,1.691,1.647,1.568,1.067,1.545,1.416,1.766,1.107,5.785,1.047,0.940,0.893,0.611,0.734,1.042,0.702,0.506,0.617,0.548,0.474,0.407,0.345,0.401,0.057,0.395,0.056,0.165,0.216,0.316,0.257,0.102,0.462,0.717,0.153,0.303,0.402,0.252,0.198,0.071,0.389,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
685.4,1.178,1.399,1.918,1.369,1.222,1.513,1.513,0.911,1.682,1.238,1.423,1.740,1.085,0.981,1.004,1.999,1.169,0.565,0.952,0.694,0.818,0.739,0.527,0.516,0.508,0.124,0.425,0.297,0.353,0.058,0.408,0.115,0.171,0.337,0.387,0.161,0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
710.5,1.270,1.942,2.021,1.598,1.997,0.949,1.098,0.967,1.261,1.034,1.209,1.029,0.880,0.835,1.018,1.086,0.821,0.668,1.026,0.563,0.830,0.566,0.602,0.720,0.580,0.252,0.185,0.060,0.477,0.431,0.354,0.307,0.173,1.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
736.5,0.993,2.214,1.760,0.993,1.027,1.558,1.346,0.988,0.834,1.057,0.979,0.902,1.125,0.748,0.786,1.036,0.735,0.416,0.800,0.576,0.990,0.521,0.684,0.602,0.527,0.387,0.378,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Scan Time (s),155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
Retrace Time (s),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Scan Resolution (Hz),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sheath Flow (L/min),3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Aerosol Flow (L/min),0.902,0.902,0.901,0.902,0.902,0.903,0.903,0.904,0.905,0.907,0.908,0.909,0.910,0.911,0.914,0.916,0.919,0.921,0.924,0.929,0.937,0.944,0.953,0.963,0.971,0.981,0.993,1.01,1.02,1.02,1.03,1.04,1.05,1.06,1.08,1.11,1.14,1.15,1.14,1.14,1.15,1.16,1.16,1.16,1.18,1.19,1.20,1.22,1.24,1.25,1.27,1.26,1.27,1.27,1.26,1.27,1.27,1.27,1.27,1.28,1.28,1.27,1.27,1.29,1.30,1.31,1.30,1.31,1.30,1.28,1.26,1.30,1.26,1.27,1.29,1.30
Bypass Flow (L/min),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Low Voltage (V),10.32,10.32,10.32,10.32,10.32,10.32,10.31,10.31,10.31,10.31,10.31,10.31,10.31,10.31,10.31,10.31,10.31,10.32,10.32,10.32,10.32,10.32,10.31,10.30,10.31,10.31,10.32,10.31,10.31,10.32,10.32,10.31,10.31,10.32,10.31,10.31,10.30,10.31,10.32,10.31,10.31,10.32,10.32,10.32,10.31,10.31,10.30,10.31,10.30,10.30,10.30,10.31,10.31,10.31,10.31,10.30,10.31,10.30,10.30,10.29,10.30,10.30,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.30,10.31,10.28,10.32,10.29,10.30,10.29
High Voltage (V),9727.87,9727.87,9727.87,9728.22,9727.87,9726.15,9723.46,9723.46,9723.11,9722.76,9722.07,9721.72,9719.65,9721.03,9718.96,9719.64,9718.95,9717.92,9717.23,9716.19,9714.48,9711.74,9707.01,9701.61,9698.23,9695.55,9692.21,9685.87,9680.92,9677.65,9676.02,9672.36,9669.12,9664.61,9656.39,9648.32,9637.19,9629.17,9625.98,9627.94,9629.02,9625.20,9622.77,9621.25,9620.87,9614.55,9609.59,9604.83,9597.44,9588.63,9584.29,9580.55,9581.41,9580.27,9580.84,9583.09,9580.52,9583.91,9585.84,9584.54,9586.62,9589.72,9593.96,9596.45,9588.35,9586.34,9583.55,9585.52,9582.16,9585.99,9592.93,9591.33,9586.71,9593.15,9589.76,9581.67
Lower Size (nm), 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4
Upper Size (nm),749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9
Density (g/cm³),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
td + 0.5 (s),1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54
tf (s),6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.35,6.35,6.35,6.35,6.35,6.34,6.34,6.33,6.33,6.32,6.32,6.30,6.29,6.28,6.26,6.25,6.23,6.22,6.19,6.18,6.17,6.16,6.15,6.13,6.11,6.08,6.04,6.00,5.98,5.99,5.99,5.98,5.97,5.96,5.96,5.93,5.93,5.91,5.88,5.85,5.83,5.82,5.82,5.81,5.82,5.82,5.81,5.82,5.81,5.81,5.80,5.80,5.82,5.81,5.78,5.77,5.76,5.77,5.76,5.78,5.80,5.82,5.78,5.82,5.81,5.78,5.77
D50 (nm),767.7,767.7,768.1,767.7,767.7,767.1,767.0,766.5,766.1,765.1,764.7,764.2,763.6,763.3,761.8,760.9,759.5,758.6,757.2,755.0,751.3,748.2,744.2,739.7,736.3,732.1,727.1,720.9,716.9,714.9,713.4,709.4,704.0,699.2,692.4,682.4,673.4,668.1,672.1,671.4,669.1,666.5,664.8,665.2,658.4,657.4,652.3,647.1,640.4,635.9,632.2,633.0,631.9,632.5,633.0,630.5,632.2,630.9,630.4,628.4,630.0,632.6,631.8,626.3,622.6,621.5,623.4,621.7,624.7,629.2,634.2,624.6,633.5,631.7,626.0,624.0
Neutralizer Status,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON
Median (nm),43.410,52.529,112.963,123.821,125.998,135.490,137.809,139.670,151.117,150.270,152.729,153.168,155.852,158.281,159.635,160.988,163.015,164.261,164.879,166.023,168.381,169.112,169.405,170.935,171.455,172.881,173.641,175.201,175.664,176.636,177.754,178.357,179.375,180.229,180.655,181.652,183.106,183.734,184.871,185.643,186.484,187.208,188.547,188.743,189.531,190.229,190.989,192.299,191.893,193.335,194.028,194.534,194.495,194.697,195.498,197.176,196.797,197.686,197.933,198.969,199.392,199.755,199.856,199.081,201.056,201.605,201.960,202.826,204.148,205.465,205.718,206.543,207.053,205.511,205.458,208.629
Mean (nm),65.567,86.478,117.132,128.897,131.908,139.925,142.825,145.058,156.565,155.258,158.005,158.272,161.050,163.477,164.807,166.180,168.176,169.483,170.174,171.264,173.455,174.392,174.524,176.102,176.672,177.928,178.728,180.370,180.928,181.833,182.885,183.526,184.469,185.389,185.768,186.808,188.050,188.859,189.962,190.883,191.452,192.376,194.033,194.092,194.735,195.484,196.429,197.555,197.219,198.718,199.467,199.944,200.004,200.274,200.881,202.778,202.530,203.321,203.804,204.428,205.288,205.819,205.625,205.002,207.221,207.647,208.123,209.057,210.385,211.742,212.001,212.919,213.422,211.968,211.789,215.089
Geo. Mean (nm),46.861,71.921,104.216,116.265,118.967,126.962,131.046,133.205,144.271,143.471,146.294,146.495,149.427,151.995,153.333,154.781,156.792,158.150,158.976,160.068,162.227,163.225,163.353,165.075,165.669,166.925,167.710,169.365,169.995,170.843,171.969,172.629,173.589,174.478,174.926,175.923,177.153,177.992,179.038,180.021,180.494,181.544,183.085,183.120,183.802,184.534,185.580,186.605,186.329,187.726,188.592,188.872,189.081,189.274,189.915,191.682,191.354,192.171,192.707,193.338,194.112,194.613,194.503,193.856,196.062,196.527,196.950,197.836,198.954,200.206,200.588,201.558,201.807,200.455,200.309,203.423
Mode (nm),42.935,44.508,126.346,151.247,140.746,156.788,145.902,151.247,162.531,162.531,162.531,162.531,168.485,168.485,168.485,168.485,168.485,174.658,174.658,181.056,181.056,181.056,181.056,187.688,187.688,181.056,181.056,181.056,181.056,187.688,187.688,187.688,194.564,194.564,187.688,187.688,194.564,187.688,187.688,194.564,194.564,187.688,201.691,201.691,201.691,201.691,201.691,201.691,201.691,201.691,209.080,201.691,201.691,209.080,201.691,209.080,201.691,201.691,209.080,209.080,201.691,201.691,209.080,201.691,209.080,201.691,209.080,209.080,209.080,224.679,209.080,216.739,216.739,209.080,209.080,209.080
Geo. Std. Dev.,1.977,1.794,1.676,1.612,1.612,1.591,1.542,1.538,1.524,1.513,1.504,1.505,1.495,1.486,1.484,1.479,1.475,1.471,1.466,1.464,1.462,1.458,1.459,1.452,1.450,1.448,1.448,1.445,1.442,1.442,1.439,1.437,1.436,1.436,1.433,1.433,1.432,1.430,1.430,1.427,1.429,1.424,1.424,1.425,1.423,1.423,1.420,1.420,1.420,1.420,1.417,1.421,1.417,1.418,1.417,1.417,1.420,1.417,1.415,1.414,1.415,1.415,1.413,1.414,1.411,1.410,1.410,1.411,1.413,1.415,1.412,1.409,1.415,1.415,1.415,1.415
Total Conc. (#/cm³),9.548912e+002,1.002330e+006,5.538155e+005,3.757568e+005,2.897186e+005,2.740462e+005,3.031393e+005,2.793233e+005,3.248426e+005,2.775413e+005,2.648062e+005,2.365539e+005,2.362581e+005,2.271210e+005,2.124237e+005,2.058418e+005,1.967774e+005,1.887580e+005,1.809599e+005,1.716109e+005,1.605623e+005,1.541291e+005,1.419664e+005,1.375457e+005,1.291799e+005,1.188937e+005,1.134060e+005,1.083138e+005,1.023083e+005,9.836335e+004,9.583957e+004,9.138403e+004,8.675905e+004,8.262846e+004,7.874171e+004,7.211087e+004,6.874106e+004,6.653214e+004,6.670546e+004,6.535672e+004,6.449463e+004,6.263036e+004,6.271173e+004,6.114293e+004,5.864508e+004,5.718359e+004,5.454579e+004,5.291875e+004,5.039353e+004,4.908502e+004,4.868276e+004,4.691100e+004,4.571885e+004,4.437682e+004,4.222840e+004,4.243521e+004,4.160027e+004,4.084862e+004,4.006838e+004,3.869811e+004,3.854515e+004,3.867407e+004,3.732112e+004,3.518205e+004,3.514104e+004,3.424004e+004,3.377471e+004,3.285234e+004,3.392404e+004,3.474526e+004,3.372612e+004,3.260203e+004,3.266184e+004,3.063940e+004,2.834612e+004,2.945070e+004
Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab
Sample ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leak Test and Leakage Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Errors,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
