Sample File,C:\Users\VanceLab\Desktop\CASA_InLabTests\Wall_Losses\SMPS_20221118_Wall_Loss_Dry.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
 16.8,6.743,6.599,417.021,153.133,63.099,39.330,25.071,20.490,15.083,18.458,16.748,18.022,11.128,13.705,18.027,12.122,11.913,12.105,13.917,14.232,13.833,9.373,14.180,9.592,13.192,12.301,9.054,12.214,10.157,9.937,9.246,9.605,7.338,10.719,9.564,8.059,6.970,7.679,8.098,5.879,7.484,6.076,7.237,8.407,7.926,6.078,6.827,4.371,7.579,5.460,6.362,4.944,5.561,6.784,5.688,4.048,4.955,3.601,5.539,4.401,5.076,3.878,3.195,3.225,3.773,3.209,3.217,3.465,2.490,2.600,4.036,2.927,3.610,4.044,3.433,3.257
 17.5,9.485,9.189,456.299,152.349,63.021,36.222,16.689,15.284,11.229,10.036,11.787,6.343,7.070,5.642,9.193,7.179,4.971,8.892,7.347,7.780,7.431,4.665,5.556,6.713,6.079,4.831,5.045,6.491,4.370,4.142,3.593,4.147,5.311,4.448,4.243,4.263,3.896,3.825,4.924,3.423,4.282,3.657,3.678,3.963,3.943,2.979,3.346,3.013,3.971,3.031,4.812,4.222,3.460,2.604,3.652,3.490,4.292,3.531,3.360,2.255,3.092,2.344,2.467,1.295,1.138,1.252,1.009,1.379,2.430,1.801,1.570,1.266,1.958,2.100,1.399,2.606
 18.1,12.065,9.129,536.896,187.000,73.523,38.016,22.381,11.154,5.042,4.440,3.544,5.905,4.561,3.103,3.899,4.288,2.026,3.024,2.913,2.963,3.098,3.615,1.675,2.181,2.496,3.128,2.538,2.471,2.888,1.636,2.089,1.905,1.560,1.995,3.303,1.598,0.987,1.476,1.404,2.241,1.390,1.652,2.191,1.919,1.608,1.737,1.313,1.804,1.765,1.242,1.339,1.229,0.973,1.219,1.721,1.089,1.218,1.057,1.572,0.841,1.212,0.614,0.857,0.357,0.353,0.703,0.354,0.587,0.396,0.602,0.987,0.237,0.984,0.566,0.714,1.183
 18.8,7.762,9.322,611.137,189.331,79.652,38.614,22.812,11.292,7.060,3.928,3.918,2.149,1.753,2.138,1.350,1.535,1.524,2.653,0.940,2.043,1.456,1.073,1.226,1.026,2.013,1.146,0.971,0.775,0.765,1.825,1.059,0.897,0.588,1.157,0.708,1.233,0.665,0.959,0.594,1.189,0.655,0.779,1.292,0.647,1.005,1.001,0.861,1.208,0.591,0.698,1.493,0.921,0.344,0.575,0.346,0.114,1.131,0.343,0.799,0.340,0.684,0.345,0.688,0.337,0.333,0.221,0.111,0.332,0.448,0.682,0.231,0.559,0.231,0.115,1.011,0.558
 19.5,8.049,10.279,711.208,189.683,84.033,46.912,25.000,14.168,8.411,4.339,3.875,3.865,2.753,1.648,0.908,1.085,1.077,1.071,0.354,1.225,0.172,0.624,0.660,0.484,0.633,0.442,0.286,1.295,0.722,0.861,0.286,0.282,0.139,0.137,0.535,0.129,0.374,0.613,0.312,0.744,0.246,0.731,0.848,0.485,0.830,0.591,0.581,0.913,0.112,0.880,0.651,0.653,0.325,0.652,0.653,0.540,0.451,0.216,0.216,0.214,0.323,0.435,0.217,0.213,0.105,0.105,0.211,0.314,0.212,0.215,0.328,0.212,0.545,0.108,0.212,0.422
 20.2,10.588,11.493,764.060,208.582,94.548,52.243,29.918,17.724,8.476,6.236,5.967,4.162,1.729,1.208,0.685,1.533,0.845,0.336,0.501,0.000,1.132,0.207,0.467,0.000,0.298,0.166,0.000,0.158,0.542,0.135,0.402,0.794,0.390,0.512,0.125,0.485,0.589,0.578,0.352,0.000,0.464,0.345,0.343,0.458,0.560,0.223,0.439,0.216,0.633,0.104,0.103,0.206,0.205,0.205,0.103,0.408,0.000,0.000,0.000,0.304,0.102,0.103,0.205,0.100,0.298,0.000,0.199,0.198,0.100,0.203,0.206,0.000,0.309,0.615,0.402,0.000
 20.9,12.279,10.854,788.497,211.523,95.586,51.192,31.600,23.739,9.335,6.786,4.631,3.435,2.250,2.511,2.216,0.635,0.816,0.381,0.554,0.423,0.258,0.544,0.000,0.000,0.264,0.524,0.199,0.243,0.488,0.237,0.361,0.000,0.231,0.467,0.347,0.106,0.439,0.104,0.214,0.211,0.432,0.429,0.103,0.315,0.529,0.208,0.203,0.304,0.000,0.089,0.285,0.095,0.093,0.193,0.091,0.285,0.094,0.288,0.092,0.476,0.000,0.095,0.092,0.189,0.184,0.000,0.089,0.274,0.185,0.188,0.092,0.089,0.190,0.283,0.370,0.370
 21.7,12.770,11.620,830.203,218.228,108.648,68.462,40.352,21.140,12.726,7.329,4.924,4.572,2.887,1.621,1.820,1.252,0.828,0.555,0.295,0.630,0.354,0.349,0.195,0.494,0.346,0.351,4.828,0.092,0.077,0.000,0.450,0.339,0.000,0.216,0.202,0.527,0.199,0.088,0.192,0.619,0.196,0.394,0.297,0.089,0.094,0.391,0.282,0.374,0.366,0.083,0.082,0.175,0.000,0.000,0.079,0.000,0.267,0.087,0.176,0.178,0.085,0.000,0.088,0.344,0.000,0.000,0.079,0.348,0.082,0.000,0.177,0.084,0.083,0.173,0.349,0.709
 22.5,12.313,12.666,838.598,229.578,116.247,74.944,45.080,27.741,15.189,9.602,8.297,6.972,2.746,2.601,2.140,0.924,1.251,1.189,0.909,0.831,0.271,0.274,0.000,0.559,0.047,0.071,5.674,0.000,0.059,0.184,0.305,0.081,0.085,0.193,0.289,0.487,0.177,0.000,0.073,0.187,0.275,0.277,0.184,0.272,0.273,0.179,0.270,0.451,0.264,0.431,0.252,0.249,0.000,0.169,0.340,0.165,0.256,0.430,0.000,0.000,0.072,0.344,0.000,0.257,0.076,0.246,0.156,0.291,0.075,0.074,0.166,0.080,0.257,0.516,0.326,0.070
 23.3,11.908,12.270,873.210,235.992,126.065,88.558,49.537,32.702,17.778,12.211,8.445,6.567,5.097,2.640,1.264,2.291,1.308,1.498,0.686,0.581,0.967,0.470,0.214,0.254,0.738,0.042,0.484,0.168,0.050,0.177,0.168,0.174,0.170,0.169,0.170,0.459,0.167,0.252,0.265,0.268,0.348,0.355,0.628,0.168,0.443,0.524,0.152,0.330,0.150,0.000,0.400,0.064,0.487,0.059,0.076,0.232,0.074,0.391,0.150,0.000,0.067,0.159,0.148,0.228,0.000,0.146,0.235,0.414,0.397,0.396,0.160,0.151,0.233,0.062,0.468,0.556
